post_id,influencer_id,platform,external_post_id,post_text,posted_at,likes_count,shares_count,comments_count,views_count,sentiment_score,virality_score,detected_products,momentum_flag
58,28,instagram,GOLD-SIGNAL-58-58,Gold supplier feed shows active demand for Velocityworks Trekking Poles 58 in Outdoor with current retail price $138.82.,2026-05-02T05:38:24,919,159,72,28770,0.25,80,58,rising
59,29,tiktok,GOLD-SIGNAL-59-59,Gold supplier feed shows active demand for Summitpulse Daypack 59 in Outdoor with current retail price $365.1. Product 59 remains part of the PeakGear gold-data catalog.,2026-05-02T00:27:36,2000,384,182,67200,0.3,99,59,mega_viral
60,30,twitter,GOLD-SIGNAL-60-60,Gold supplier feed shows active demand for Trailforge Daypack 60 in Outdoor with current retail price $290.58. Product 60 remains part of the PeakGear gold-data catalog.,2026-05-01T20:00:00,1065,127,58,39540,0.35,63,60,rising
61,1,threads,GOLD-SIGNAL-61-61,Gold supplier feed shows active demand for Hydrawave Smart Scale 61 in Fitness Devices with current retail price $442.95.,2026-05-01T14:49:12,1095,151,73,43905,0.4,69,61,rising
62,2,youtube,GOLD-SIGNAL-62-62,Gold supplier feed shows active demand for Canyonridge Training Hoodie 62 in Activewear with current retail price $52.96.,2026-05-01T09:38:24,1429,222,112,61218,0.45,79,62,rising
63,3,instagram,GOLD-SIGNAL-63-63,Gold supplier feed shows active demand for Canyonridge Daypack 63 in Outdoor with current retail price $343.2. Product 63 remains part of the PeakGear gold-data catalog.,2026-05-01T04:27:36,7988,1389,726,144984,0.5,99,63,mega_viral
64,4,tiktok,GOLD-SIGNAL-64-64,Gold supplier feed shows active demand for Peakgear Cross-Training Shoe 64 in Footwear with current retail price $182.06.,2026-05-01T00:00:00,2981,572,163,63801,0.15,99,64,mega_viral
65,5,twitter,GOLD-SIGNAL-65-65,Gold supplier feed shows active demand for Hydrawave Trekking Poles 65 in Outdoor with current retail price $535.63. Product 65 remains part of the PeakGear gold-data catalog.,2026-04-30T18:49:12,248,29,16,7152,0.2,65,65,rising
66,6,threads,GOLD-SIGNAL-66-66,Gold supplier feed shows active demand for Velocityworks Camping Stove 66 in Camping Hiking with current retail price $383.04.,2026-04-30T13:38:24,391,53,30,11757,0.25,75,66,rising
67,7,youtube,GOLD-SIGNAL-67-67,Gold supplier feed shows active demand for Aerostride Badminton Set 67 in Racquet Sports with current retail price $226.7.,2026-04-30T08:27:36,476,74,43,15480,0.3,82,67,viral
68,8,instagram,GOLD-SIGNAL-68-68,Gold supplier feed shows active demand for Velocityworks Baseball Glove 68 in Team Sports with current retail price $350.94.,2026-05-07T04:00:00,803,139,44,27699,0.35,96,68,mega_viral
69,9,tiktok,GOLD-SIGNAL-69-69,Gold supplier feed shows active demand for Summitpulse Outdoor Jacket 69 in Outdoor with current retail price $487.87. Product 69 remains part of the PeakGear gold-data catalog.,2026-05-06T22:49:12,951,182,63,35436,0.4,73,69,rising
70,10,twitter,GOLD-SIGNAL-70-70,Gold supplier feed shows active demand for Ironkinetic Swim Goggles 70 in Water Sports with current retail price $90.22.,2026-05-06T17:38:24,3186,382,251,125454,0.45,99,70,mega_viral
71,11,threads,GOLD-SIGNAL-71-71,Gold supplier feed shows active demand for Velocityworks Baseball Glove 71 in Team Sports with current retail price $374.02.,2026-05-06T12:27:36,1286,177,117,55212,0.5,89,71,viral
72,12,youtube,GOLD-SIGNAL-72-72,Gold supplier feed shows active demand for Peakgear Headlamp 72 in Outdoor with current retail price $566.28. Product 72 remains part of the PeakGear gold-data catalog.,2026-05-06T08:00:00,884,137,48,17112,0.15,85,72,viral
73,13,instagram,GOLD-SIGNAL-73-73,Gold supplier feed shows active demand for Hydrawave Reflective Vest 73 in Running with current retail price $75.84. Product 73 remains part of the PeakGear gold-data catalog.,2026-05-06T02:49:12,1241,215,83,27261,0.2,67,73,rising
74,14,tiktok,GOLD-SIGNAL-74-74,Gold supplier feed shows active demand for Canyonridge Hydration Belt 74 in Running with current retail price $89.61. Product 74 remains part of the PeakGear gold-data catalog.,2026-05-05T21:38:24,1402,269,110,34848,0.25,75,74,rising
75,15,twitter,GOLD-SIGNAL-75-75,Gold supplier feed shows active demand for Summitpulse Baseball Glove 75 in Team Sports with current retail price $31.88.,2026-05-05T16:27:36,1350,162,122,37650,0.3,79,75,rising
76,16,threads,GOLD-SIGNAL-76-76,Gold supplier feed shows active demand for Trailforge Running Shoe 76 in Uncategorized with current retail price $126.17.,2026-05-05T12:00:00,1426,196,78,43980,0.35,86,76,viral
77,17,youtube,GOLD-SIGNAL-77-77,Gold supplier feed shows active demand for Aerostride Basketball 77 in Team Sports with current retail price $90.25. Product 77 remains part of the PeakGear gold-data catalog.,2026-05-05T06:49:12,1723,268,115,58059,0.4,95,77,mega_viral
78,18,instagram,GOLD-SIGNAL-78-78,Gold supplier feed shows active demand for Hydrawave Training Hoodie 78 in Activewear with current retail price $80.48. Product 78 remains part of the PeakGear gold-data catalog.,2026-05-05T01:38:24,350,60,27,13800,0.45,72,78,rising
79,19,tiktok,GOLD-SIGNAL-79-79,Gold supplier feed shows active demand for Ironkinetic Training Hoodie 79 in Activewear with current retail price $69.22.,2026-05-04T20:27:36,1642,315,149,65238,0.5,99,79,mega_viral
80,20,twitter,GOLD-SIGNAL-80-80,Gold supplier feed shows active demand for Velocityworks Adjustable Dumbbells 80 in Strength Training with current retail price $170.35.,2026-05-04T16:00:00,387,46,21,17454,0.15,79,80,rising
81,21,threads,GOLD-SIGNAL-81-81,Gold supplier feed shows active demand for Aerostride Baseball Glove 81 in Team Sports with current retail price $413.9.,2026-05-04T10:49:12,575,79,38,11550,0.2,89,81,viral
82,22,youtube,GOLD-SIGNAL-82-82,Gold supplier feed shows active demand for Peakgear Water Filter 82 in Camping Hiking with current retail price $177.94.,2026-05-04T05:38:24,927,144,73,20667,0.25,73,82,rising
83,23,instagram,GOLD-SIGNAL-83-83,Gold supplier feed shows active demand for Ironkinetic Trekking Poles        83 in Outdoor with current retail price $56.63.,2026-05-04T00:27:36,2071,360,188,50904,0.3,99,83,mega_viral
84,24,tiktok,GOLD-SIGNAL-84-84,Gold supplier feed shows active demand for Canyonridge Sleeping Bag 84 in Camping Hiking with current retail price $305.85.,2026-05-03T20:00:00,950,182,52,26850,0.35,82,84,viral
85,25,twitter,GOLD-SIGNAL-85-85,Gold supplier feed shows active demand for Trailforge Bike Light Set 85 in Cycling with current retail price $339.88. Product 85 remains part of the PeakGear gold-data catalog.,2026-05-03T14:49:12,712,85,47,22560,0.4,83,85,viral
86,26,threads,GOLD-SIGNAL-86-86,Gold supplier feed shows active demand for Velocityworks Heart Rate Strap 86 in Fitness Devices with current retail price $86.04.,2026-05-03T09:38:24,866,119,68,29778,0.45,61,86,normal
87,27,youtube,GOLD-SIGNAL-87-87,Gold supplier feed shows active demand for Summitpulse Tennis Racket 87 in Racquet Sports with current retail price $86.3.,2026-05-03T04:27:36,1383,215,125,50988,0.5,75,87,rising
88,28,instagram,GOLD-SIGNAL-88-88,Gold supplier feed shows active demand for Trailforge Climbing Harness 88 in Climbing with current retail price $15.17. Product 88 remains part of the PeakGear gold-data catalog.,2026-05-03T00:00:00,2869,499,157,113091,0.15,99,88,mega_viral
89,29,tiktok,GOLD-SIGNAL-89-89,Gold supplier feed shows active demand for Aerostride Tent 89 in Camping Hiking with current retail price $282.23. Product 89 remains part of the PeakGear gold-data catalog.,2026-05-02T18:49:12,1635,313,109,69870,0.2,89,89,viral
90,30,twitter,GOLD-SIGNAL-90-90,Gold supplier feed shows active demand for Canyonridge Headlamp 90 in Outdoor with current retail price $335.29. Product 90 remains part of the PeakGear gold-data catalog.,2026-05-02T13:38:24,2054,246,162,38172,0.25,70,90,rising
91,1,threads,GOLD-SIGNAL-91-91,Gold supplier feed shows active demand for Trailforge Soccer Ball 91 in Team Sports with current retail price $80.46. Product 91 remains part of the PeakGear gold-data catalog.,2026-05-02T08:27:36,294,40,26,7374,0.3,69,91,rising
92,2,youtube,GOLD-SIGNAL-92-92,Gold supplier feed shows active demand for Trailforge Foam Roller 92 in Running with current retail price $87.38. Product 92 remains part of the PeakGear gold-data catalog.,2026-05-02T04:00:00,443,69,24,11832,0.35,79,92,rising
93,3,instagram,GOLD-SIGNAL-93-93,Gold supplier feed shows active demand for Velocityworks Bike Light Set 93 in Cycling with current retail price $159.38.,2026-05-01T22:49:12,542,94,36,15834,0.4,85,93,viral
94,4,tiktok,GOLD-SIGNAL-94-94,Gold supplier feed shows active demand for Summitpulse   Bike Light  Set 94 in Cycling with current retail price $303.96.,2026-05-01T17:38:24,569,109,44,18270,0.45,90,94,viral
95,5,twitter,GOLD-SIGNAL-95-95,Gold supplier feed shows active demand for Canyonridge Headlamp 95 in Outdoor with current retail price $561.92. Product 95 remains part of the PeakGear gold-data catalog.,2026-05-01T12:27:36,1277,153,116,43341,0.5,83,95,viral
96,6,threads,GOLD-SIGNAL-96-96,Gold supplier feed shows active demand for Aerostride Cycling Computer 96 in Fitness Devices with current retail price $131.44.,2026-05-01T08:00:00,985,135,54,36660,0.15,79,96,rising
97,7,youtube,GOLD-SIGNAL-97-97,Gold supplier feed shows active demand for Peakgear Soccer Ball 97 in Team Sports with current retail price $183.61. Product 97 remains part of the PeakGear gold-data catalog.,2026-05-01T02:49:12,1209,188,81,48351,0.2,88,97,viral
98,8,instagram,GOLD-SIGNAL-98-98,Gold supplier feed shows active demand for Velocityworks Repair Kit 98 in Cycling with current retail price $55.93. Product 98 remains part of the PeakGear gold-data catalog.,2026-04-30T21:38:24,1089,189,86,46938,0.25,91,98,viral
99,9,tiktok,GOLD-SIGNAL-99-99,Gold supplier feed shows active demand for Peakgear Tent 99 in Camping Hiking with current retail price $304.95. Product 99 remains part of the PeakGear gold-data catalog.,2026-04-30T16:27:36,816,156,74,15888,0.3,61,99,normal
100,10,twitter,GOLD-SIGNAL-100-100,Gold supplier feed shows active demand for Ironkinetic Performance Tee 100 in Uncategorized with current retail price $63.48.,2026-04-30T12:00:00,911,109,50,20331,0.35,69,100,rising
101,11,threads,GOLD-SIGNAL-101-101,Gold supplier feed shows active demand for Trailforge Repair Kit 101 in Cycling with current retail price $315.16. Product 101 remains part of the PeakGear gold-data catalog.,2026-05-07T06:49:12,1495,206,100,37080,0.4,83,101,viral
102,12,youtube,GOLD-SIGNAL-102-102,Gold supplier feed shows active demand for Velocityworks Badminton Set 102 in Uncategorized with current retail price $305.06.,2026-05-07T01:38:24,2004,312,158,55308,0.45,95,102,mega_viral
103,13,instagram,GOLD-SIGNAL-103-103,Gold supplier feed shows active demand for Aerostride Basketball 103 in Team Sports with current retail price $36.46. Product 103 remains part of the PeakGear gold-data catalog.,2026-05-06T20:27:36,1901,330,172,58230,0.5,69,103,rising
104,14,tiktok,GOLD-SIGNAL-104-104,Gold supplier feed shows active demand for Nordcrest Volleyball 104 in Team Sports with current retail price $246.1. Product 104 remains part of the PeakGear gold-data catalog.,2026-05-06T16:00:00,849,163,46,29217,0.15,99,104,mega_viral
105,15,twitter,GOLD-SIGNAL-105-105,Gold supplier feed shows active demand for Peakgear Repair Kit 105 in Cycling with current retail price $220.75. Product 105 remains part of the PeakGear gold-data catalog.,2026-05-06T10:49:12,326,39,21,12936,0.2,74,105,rising
106,16,threads,GOLD-SIGNAL-106-106,Gold supplier feed shows active demand for Hydrawave Grip Tape 106 in Racquet Sports with current retail price $285.72. Product 106 remains part of the PeakGear gold-data catalog.,2026-05-06T05:38:24,515,71,40,21285,0.25,85,106,viral
107,17,youtube,GOLD-SIGNAL-107-107,Gold supplier feed shows active demand for Summitpulse Smart Scale 107 in Fitness Devices with current retail price $114.54.,2026-05-06T00:27:36,1353,211,123,58026,0.3,99,107,mega_viral
108,18,instagram,GOLD-SIGNAL-108-108,Gold supplier feed shows active demand for Aerostride Base Layer Top 108 in Activewear with current retail price $106.76.,2026-05-05T20:00:00,809,140,44,15762,0.35,72,108,rising
109,19,tiktok,GOLD-SIGNAL-109-109,Gold supplier feed shows active demand for Hydrawave Base Layer Top 109 in Activewear with current retail price $68.55. Product 109 remains part of the PeakGear gold-data catalog.,2026-05-05T14:49:12,826,158,55,18546,0.4,76,109,rising
110,20,twitter,GOLD-SIGNAL-110-110,Gold supplier feed shows active demand for Trailforge Gps Fitness Watch 110 in Fitness Devices with current retail price $253.04.,2026-05-05T09:38:24,981,117,77,24744,0.45,85,110,viral
111,21,threads,GOLD-SIGNAL-111-111,Gold supplier feed shows active demand for Canyonridge Kettlebell 111 in Strength Training with current retail price $257.63.,2026-05-05T04:27:36,1209,166,110,33843,0.5,94,111,mega_viral
112,22,youtube,GOLD-SIGNAL-112-112,Gold supplier feed shows active demand for Nordcrest Running Shoe 112 in Footwear with current retail price $109.74. Product 112 remains part of the PeakGear gold-data catalog.,2026-05-05T00:00:00,2022,315,111,61860,0.15,82,112,viral
113,23,instagram,GOLD-SIGNAL-113-113,Gold supplier feed shows active demand for Ironkinetic Training Hoodie 113 in Activewear with current retail price $104.06.,2026-05-04T18:49:12,1029,179,68,35157,0.2,71,113,rising
114,24,tiktok,GOLD-SIGNAL-114-114,Gold supplier feed shows active demand for Summitpulse Resistance Band Set 114 in Strength Training with current retail price $50.23.,2026-05-04T13:38:24,1532,294,121,56352,0.25,84,114,viral
115,25,twitter,GOLD-SIGNAL-115-115,Gold supplier feed shows active demand for Aerostride Repair Kit 115 in Cycling with current retail price $362.61. Product 115 remains part of the PeakGear gold-data catalog.,2026-05-04T08:27:36,1572,188,143,62508,0.3,90,115,viral
116,26,threads,GOLD-SIGNAL-116-116,Gold supplier feed shows active demand for Canyonridge Kettlebell 116 in Strength Training with current retail price $65.4.,2026-05-04T04:00:00,2139,295,117,91038,0.35,73,116,rising
117,27,youtube,GOLD-SIGNAL-117-117,Gold supplier feed shows active demand for Hydrawave Helmet 117 in Cycling with current retail price $406.66. Product 117 remains part of the PeakGear gold-data catalog.,2026-05-03T22:49:12,421,65,28,8778,0.4,78,117,rising
118,28,instagram,GOLD-SIGNAL-118-118,Gold supplier feed shows active demand for Trailforge Heart Rate Strap 118 in Fitness Devices with current retail price $243.5.,2026-05-03T17:38:24,376,65,29,9096,0.45,77,118,rising
119,29,tiktok,GOLD-SIGNAL-119-119,Gold supplier feed shows active demand for Nordcrest Compression Shorts 119 in Activewear with current retail price $74.86.,2026-05-03T12:27:36,665,127,60,17160,0.5,91,119,viral
