product_id,gold_product_id,product_sk,source_product_id,brand_id,sku,product_name,description,category,subcategory,unit_price,unit_cost,weight_kg,launch_date,tags
27,27,1632,27,8,SKU-100027,Nordcrest Base Layer Top 27,Gold catalog product 27 sourced from NetSuite in the Activewear category.,Activewear,NetSuite,91.01,38.35,1.7,2026-03-29,"gold-data,activewear,NetSuite"
28,28,1633,28,8,SKU-100028,Nordcrest Performance Tee 28,Gold catalog product 28 sourced from NetSuite in the Activewear category.,Activewear,NetSuite,90.46,41.14,1.75,2026-03-29,"gold-data,activewear,NetSuite"
29,29,1634,29,2,SKU-100029,Trailforge Trail Runner 29,Gold catalog product 29 sourced from NetSuite in the Footwear category.,Footwear,NetSuite,191.99,118.23,1.8,2026-03-29,"gold-data,footwear,NetSuite"
30,30,1635,30,3,SKU-100030,Hydrawave Training Hoodie 30,Gold catalog product 30 sourced from NetSuite in the Activewear category.,Activewear,NetSuite,26.27,14.71,1.85,2026-03-29,"gold-data,activewear,NetSuite"
31,31,1636,31,7,SKU-100031,Peakgear Repair Kit 31,Gold catalog product 31 sourced from NetSuite in the Cycling category.,Cycling,NetSuite,340.92,181.34,1.9,2026-03-29,"gold-data,cycling,NetSuite"
32,32,1637,32,3,SKU-100032,Hydrawave Pickleball Paddle 32,Gold catalog product 32 sourced from NetSuite in the Racquet Sports category.,Racquet Sports,NetSuite,72.97,42.48,1.95,2026-03-29,"gold-data,racquet-sports,NetSuite"
33,33,1638,33,9,SKU-100033,Aerostride  Training   Hoodie  33,Gold catalog product 33 sourced from NetSuite in the Activewear category.,Activewear,NetSuite,132.1,59.67,2.0,2026-03-29,"gold-data,activewear,NetSuite"
34,34,1639,34,1,SKU-100034,Velocityworks Reflective Vest 34,Gold catalog product 34 sourced from NetSuite in the Running category.,Running,NetSuite,250.78,120.94,2.05,2026-03-29,"gold-data,running,NetSuite"
35,35,1640,35,1,SKU-100035,Velocityworks Reflective Vest 35,Gold catalog product 35 sourced from NetSuite in the Running category.,Running,NetSuite,72.37,41.05,2.1,2026-03-29,"gold-data,running,NetSuite"
36,36,1641,36,1,SKU-100036,Velocityworks Daypack 36,Gold catalog product 36 sourced from NetSuite in the Outdoor category.,Outdoor,NetSuite,43.4,29.31,2.15,2026-03-29,"gold-data,outdoor,NetSuite"
37,37,1642,37,2,SKU-100037,Trailforge Compression Shorts 37,Gold catalog product 37 sourced from NetSuite in the Activewear category.,Activewear,NetSuite,56.02,23.88,2.2,2026-03-29,"gold-data,activewear,NetSuite"
38,38,1643,38,1,SKU-100038,Velocityworks Adjustable Dumbbells 38,Gold catalog product 38 sourced from NetSuite in the Strength Training category.,Strength Training,NetSuite,211.05,136.29,2.25,2026-03-29,"gold-data,strength-training,NetSuite"
39,39,1644,39,3,SKU-100039,Hydrawave Training Hoodie 39,Gold catalog product 39 sourced from NetSuite in the Activewear category.,Activewear,NetSuite,88.58,40.56,2.3,2026-03-29,"gold-data,activewear,NetSuite"
40,40,1645,40,9,SKU-100040,Aerostride Foam Roller 40,Gold catalog product 40 sourced from NetSuite in the Running category.,Running,NetSuite,138.47,71.6,2.35,2026-03-29,"gold-data,running,NetSuite"
41,41,1646,41,1,SKU-100041,Velocityworks Dry Bag 41,Gold catalog product 41 sourced from NetSuite in the Water Sports category.,Water Sports,NetSuite,138.0,68.13,2.4,2026-03-29,"gold-data,water-sports,NetSuite"
42,42,1647,42,4,SKU-100042,Ironkinetic Belay Device 42,Gold catalog product 42 sourced from NetSuite in the Climbing category.,Climbing,NetSuite,10.44,7.69,2.45,2026-03-29,"gold-data,climbing,NetSuite"
43,43,1648,43,8,SKU-100043,Nordcrest Bike Light Set 43,Gold catalog product 43 sourced from NetSuite in the Cycling category.,Cycling,NetSuite,231.72,114.51,2.5,2026-03-29,"gold-data,cycling,NetSuite"
44,44,1649,44,4,SKU-100044,Ironkinetic Cross-Training Shoe 44,Gold catalog product 44 sourced from NetSuite in the Footwear category.,Footwear,NetSuite,201.84,121.58,2.55,2026-03-29,"gold-data,footwear,NetSuite"
45,45,1650,45,5,SKU-100045,Canyonridge Tennis Racket 45,Gold catalog product 45 sourced from NetSuite in the Racquet Sports category.,Racquet Sports,NetSuite,399.11,188.96,2.6,2026-03-29,"gold-data,racquet-sports,NetSuite"
46,46,1651,46,1,SKU-100046,Velocityworks Wetsuit 46,Gold catalog product 46 sourced from NetSuite in the Water Sports category.,Water Sports,NetSuite,33.45,20.38,2.65,2026-03-29,"gold-data,water-sports,NetSuite"
47,47,1652,47,7,SKU-100047,Peakgear Paddle Leash 47,Gold catalog product 47 sourced from NetSuite in the Water Sports category.,Water Sports,NetSuite,154.45,82.43,2.7,2026-03-29,"gold-data,water-sports,NetSuite"
48,48,1653,48,3,SKU-100048,Hydrawave Adjustable Dumbbells 48,Gold catalog product 48 sourced from NetSuite in the Strength Training category.,Strength Training,NetSuite,266.82,121.55,2.75,2026-03-29,"gold-data,strength-training,NetSuite"
49,49,1654,49,6,SKU-100049,Summitpulse Repair Kit 49,Gold catalog product 49 sourced from NetSuite in the Cycling category.,Cycling,NetSuite,220.43,139.74,2.8,2026-03-29,"gold-data,cycling,NetSuite"
50,50,1655,50,2,SKU-100050,Trailforge Climbing Harness 50,Gold catalog product 50 sourced from NetSuite in the Climbing category.,Climbing,NetSuite,111.19,54.52,2.85,2026-03-29,"gold-data,climbing,NetSuite"
51,51,1656,51,1,SKU-100051,Velocityworks Base Layer Pants 51,Gold catalog product 51 sourced from NetSuite in the Winter Sports category.,Winter Sports,NetSuite,264.93,143.86,2.9,2026-03-29,"gold-data,winter-sports,NetSuite"
52,52,1657,52,5,SKU-100052,Canyonridge Foam Roller 52,Gold catalog product 52 sourced from NetSuite in the Running category.,Running,NetSuite,55.33,29.74,2.95,2026-03-29,"gold-data,running,NetSuite"
53,53,1658,53,6,SKU-100053,Summitpulse Resistance Band Set 53,Gold catalog product 53 sourced from NetSuite in the Strength Training category.,Strength Training,NetSuite,106.98,63.98,3.0,2026-03-29,"gold-data,strength-training,NetSuite"
54,54,1659,54,9,SKU-100054,Aerostride Cycling Jersey 54,Gold catalog product 54 sourced from NetSuite in the Cycling category.,Cycling,NetSuite,177.64,129.08,3.05,2026-03-29,"gold-data,cycling,NetSuite"
55,55,1660,55,9,SKU-100055,Aerostride Snow Helmet 55,Gold catalog product 55 sourced from NetSuite in the Uncategorized category.,Uncategorized,NetSuite,112.89,78.66,3.1,2026-03-29,"gold-data,uncategorized,NetSuite"
56,56,1661,56,4,SKU-100056,Ironkinetic Repair Kit 56,Gold catalog product 56 sourced from NetSuite in the Cycling category.,Cycling,NetSuite,204.04,130.52,3.15,2026-03-29,"gold-data,cycling,NetSuite"
57,57,1662,57,2,SKU-100057,Trailforge Badminton Set 57,Gold catalog product 57 sourced from NetSuite in the Racquet Sports category.,Racquet Sports,NetSuite,228.53,110.01,3.2,2026-03-29,"gold-data,racquet-sports,NetSuite"
58,58,1663,58,1,SKU-100058,Velocityworks Trekking Poles 58,Gold catalog product 58 sourced from NetSuite in the Outdoor category.,Outdoor,NetSuite,138.82,105.14,3.25,2026-03-29,"gold-data,outdoor,NetSuite"
59,59,1664,59,6,SKU-100059,Summitpulse Daypack 59,Gold catalog product 59 sourced from NetSuite in the Outdoor category.,Outdoor,NetSuite,365.1,194.49,3.3,2026-03-29,"gold-data,outdoor,NetSuite"
60,60,1665,60,2,SKU-100060,Trailforge Daypack 60,Gold catalog product 60 sourced from NetSuite in the Outdoor category.,Outdoor,NetSuite,290.58,179.13,3.35,2026-03-29,"gold-data,outdoor,NetSuite"
61,61,1666,61,3,SKU-100061,Hydrawave Smart Scale 61,Gold catalog product 61 sourced from NetSuite in the Fitness Devices category.,Fitness Devices,NetSuite,442.95,346.2,3.4,2026-03-29,"gold-data,fitness-devices,NetSuite"
62,62,1667,62,5,SKU-100062,Canyonridge Training Hoodie 62,Gold catalog product 62 sourced from NetSuite in the Activewear category.,Activewear,NetSuite,52.96,27.03,3.45,2026-03-29,"gold-data,activewear,NetSuite"
63,63,1668,63,5,SKU-100063,Canyonridge Daypack 63,Gold catalog product 63 sourced from NetSuite in the Outdoor category.,Outdoor,NetSuite,343.2,229.5,3.5,2026-03-29,"gold-data,outdoor,NetSuite"
64,64,1669,64,7,SKU-100064,Peakgear Cross-Training Shoe 64,Gold catalog product 64 sourced from NetSuite in the Footwear category.,Footwear,NetSuite,182.06,95.54,3.55,2026-03-29,"gold-data,footwear,NetSuite"
65,65,1670,65,3,SKU-100065,Hydrawave Trekking Poles 65,Gold catalog product 65 sourced from NetSuite in the Outdoor category.,Outdoor,NetSuite,535.63,345.56,3.6,2026-03-29,"gold-data,outdoor,NetSuite"
66,66,1671,66,1,SKU-100066,Velocityworks Camping Stove 66,Gold catalog product 66 sourced from NetSuite in the Camping Hiking category.,Camping Hiking,NetSuite,383.04,248.39,3.65,2026-03-29,"gold-data,camping-hiking,NetSuite"
67,67,1672,67,9,SKU-100067,Aerostride Badminton Set 67,Gold catalog product 67 sourced from NetSuite in the Racquet Sports category.,Racquet Sports,NetSuite,226.7,117.66,3.7,2026-03-29,"gold-data,racquet-sports,NetSuite"
68,68,1673,68,1,SKU-100068,Velocityworks Baseball Glove 68,Gold catalog product 68 sourced from NetSuite in the Team Sports category.,Team Sports,NetSuite,350.94,190.03,3.75,2026-03-29,"gold-data,team-sports,NetSuite"
69,69,1674,69,6,SKU-100069,Summitpulse Outdoor Jacket 69,Gold catalog product 69 sourced from NetSuite in the Outdoor category.,Outdoor,NetSuite,487.87,345.77,3.8,2026-03-29,"gold-data,outdoor,NetSuite"
70,70,1675,70,4,SKU-100070,Ironkinetic Swim Goggles 70,Gold catalog product 70 sourced from NetSuite in the Water Sports category.,Water Sports,NetSuite,90.22,50.03,3.85,2026-03-29,"gold-data,water-sports,NetSuite"
71,71,1676,71,1,SKU-100071,Velocityworks Baseball Glove 71,Gold catalog product 71 sourced from NetSuite in the Team Sports category.,Team Sports,NetSuite,374.02,186.79,3.9,2026-03-29,"gold-data,team-sports,NetSuite"
72,72,1677,72,7,SKU-100072,Peakgear Headlamp 72,Gold catalog product 72 sourced from NetSuite in the Outdoor category.,Outdoor,NetSuite,566.28,320.13,3.95,2026-03-29,"gold-data,outdoor,NetSuite"
73,73,1678,73,3,SKU-100073,Hydrawave Reflective Vest 73,Gold catalog product 73 sourced from NetSuite in the Running category.,Running,NetSuite,75.84,36.85,4.0,2026-03-29,"gold-data,running,NetSuite"
74,74,1679,74,5,SKU-100074,Canyonridge Hydration Belt 74,Gold catalog product 74 sourced from NetSuite in the Running category.,Running,NetSuite,89.61,62.5,4.05,2026-03-29,"gold-data,running,NetSuite"
75,75,1680,75,6,SKU-100075,Summitpulse Baseball Glove 75,Gold catalog product 75 sourced from NetSuite in the Team Sports category.,Team Sports,NetSuite,31.88,18.47,4.1,2026-03-29,"gold-data,team-sports,NetSuite"
76,76,1681,76,2,SKU-100076,Trailforge Running Shoe 76,Gold catalog product 76 sourced from NetSuite in the Uncategorized category.,Uncategorized,NetSuite,126.17,67.03,4.15,2026-03-29,"gold-data,uncategorized,NetSuite"
77,77,1682,77,9,SKU-100077,Aerostride Basketball 77,Gold catalog product 77 sourced from NetSuite in the Team Sports category.,Team Sports,NetSuite,90.25,55.24,4.2,2026-03-29,"gold-data,team-sports,NetSuite"
78,78,1683,78,3,SKU-100078,Hydrawave Training Hoodie 78,Gold catalog product 78 sourced from NetSuite in the Activewear category.,Activewear,NetSuite,80.48,38.29,4.25,2026-03-29,"gold-data,activewear,NetSuite"
79,79,1684,79,4,SKU-100079,Ironkinetic Training Hoodie 79,Gold catalog product 79 sourced from NetSuite in the Activewear category.,Activewear,NetSuite,69.22,30.55,4.3,2026-03-29,"gold-data,activewear,NetSuite"
80,80,1685,80,1,SKU-100080,Velocityworks Adjustable Dumbbells 80,Gold catalog product 80 sourced from NetSuite in the Strength Training category.,Strength Training,NetSuite,170.35,108.46,0.35,2026-03-29,"gold-data,strength-training,NetSuite"
81,81,1686,81,9,SKU-100081,Aerostride Baseball Glove 81,Gold catalog product 81 sourced from NetSuite in the Team Sports category.,Team Sports,NetSuite,413.9,212.18,0.4,2026-03-29,"gold-data,team-sports,NetSuite"
82,82,1687,82,7,SKU-100082,Peakgear Water Filter 82,Gold catalog product 82 sourced from NetSuite in the Camping Hiking category.,Camping Hiking,NetSuite,177.94,116.25,0.45,2026-03-29,"gold-data,camping-hiking,NetSuite"
83,83,1688,83,4,SKU-100083,Ironkinetic Trekking Poles        83,Gold catalog product 83 sourced from NetSuite in the Outdoor category.,Outdoor,NetSuite,56.63,32.81,0.5,2026-03-29,"gold-data,outdoor,NetSuite"
84,84,1689,84,5,SKU-100084,Canyonridge Sleeping Bag 84,Gold catalog product 84 sourced from NetSuite in the Camping Hiking category.,Camping Hiking,NetSuite,305.85,215.34,0.55,2026-03-29,"gold-data,camping-hiking,NetSuite"
85,85,1690,85,2,SKU-100085,Trailforge Bike Light Set 85,Gold catalog product 85 sourced from NetSuite in the Cycling category.,Cycling,NetSuite,339.88,197.08,0.6,2026-03-29,"gold-data,cycling,NetSuite"
86,86,1691,86,1,SKU-100086,Velocityworks Heart Rate Strap 86,Gold catalog product 86 sourced from NetSuite in the Fitness Devices category.,Fitness Devices,NetSuite,86.04,69.81,0.65,2026-03-29,"gold-data,fitness-devices,NetSuite"
87,87,1692,87,6,SKU-100087,Summitpulse Tennis Racket 87,Gold catalog product 87 sourced from NetSuite in the Racquet Sports category.,Racquet Sports,NetSuite,86.3,53.17,0.7,2026-03-29,"gold-data,racquet-sports,NetSuite"
88,88,1693,88,2,SKU-100088,Trailforge Climbing Harness 88,Gold catalog product 88 sourced from NetSuite in the Climbing category.,Climbing,NetSuite,15.17,8.53,0.75,2026-03-29,"gold-data,climbing,NetSuite"
89,89,1694,89,9,SKU-100089,Aerostride Tent 89,Gold catalog product 89 sourced from NetSuite in the Camping Hiking category.,Camping Hiking,NetSuite,282.23,177.11,0.8,2026-03-29,"gold-data,camping-hiking,NetSuite"
90,90,1695,90,5,SKU-100090,Canyonridge Headlamp 90,Gold catalog product 90 sourced from NetSuite in the Outdoor category.,Outdoor,NetSuite,335.29,234.72,0.85,2026-03-29,"gold-data,outdoor,NetSuite"
91,91,1696,91,2,SKU-100091,Trailforge Soccer Ball 91,Gold catalog product 91 sourced from NetSuite in the Team Sports category.,Team Sports,NetSuite,80.46,51.97,0.9,2026-03-29,"gold-data,team-sports,NetSuite"
92,92,1697,92,2,SKU-100092,Trailforge Foam Roller 92,Gold catalog product 92 sourced from NetSuite in the Running category.,Running,NetSuite,87.38,54.92,0.95,2026-03-29,"gold-data,running,NetSuite"
93,93,1698,93,1,SKU-100093,Velocityworks Bike Light Set 93,Gold catalog product 93 sourced from NetSuite in the Cycling category.,Cycling,NetSuite,159.38,101.57,1.0,2026-03-29,"gold-data,cycling,NetSuite"
94,94,1699,94,6,SKU-100094,Summitpulse   Bike Light  Set 94,Gold catalog product 94 sourced from NetSuite in the Cycling category.,Cycling,NetSuite,303.96,218.79,1.05,2026-03-29,"gold-data,cycling,NetSuite"
95,95,1700,95,5,SKU-100095,Canyonridge Headlamp 95,Gold catalog product 95 sourced from NetSuite in the Outdoor category.,Outdoor,NetSuite,561.92,311.98,1.1,2026-03-29,"gold-data,outdoor,NetSuite"
96,96,1701,96,9,SKU-100096,Aerostride Cycling Computer 96,Gold catalog product 96 sourced from NetSuite in the Fitness Devices category.,Fitness Devices,NetSuite,131.44,88.83,1.15,2026-03-29,"gold-data,fitness-devices,NetSuite"
97,97,1702,97,7,SKU-100097,Peakgear Soccer Ball 97,Gold catalog product 97 sourced from NetSuite in the Team Sports category.,Team Sports,NetSuite,183.61,87.65,1.2,2026-03-29,"gold-data,team-sports,NetSuite"
98,98,1703,98,1,SKU-100098,Velocityworks Repair Kit 98,Gold catalog product 98 sourced from NetSuite in the Cycling category.,Cycling,NetSuite,55.93,32.08,1.25,2026-03-29,"gold-data,cycling,NetSuite"
99,99,1704,99,7,SKU-100099,Peakgear Tent 99,Gold catalog product 99 sourced from NetSuite in the Camping Hiking category.,Camping Hiking,NetSuite,304.95,191.65,1.3,2026-03-29,"gold-data,camping-hiking,NetSuite"
100,100,1705,100,4,SKU-100100,Ironkinetic Performance Tee 100,Gold catalog product 100 sourced from NetSuite in the Uncategorized category.,Uncategorized,NetSuite,63.48,35.84,1.35,2026-03-29,"gold-data,uncategorized,NetSuite"
101,101,1706,101,2,SKU-100101,Trailforge Repair Kit 101,Gold catalog product 101 sourced from NetSuite in the Cycling category.,Cycling,NetSuite,315.16,152.34,1.4,2026-03-29,"gold-data,cycling,NetSuite"
102,102,1707,102,1,SKU-100102,Velocityworks Badminton Set 102,Gold catalog product 102 sourced from NetSuite in the Uncategorized category.,Uncategorized,NetSuite,305.06,140.31,1.45,2026-03-29,"gold-data,uncategorized,NetSuite"
103,103,1708,103,9,SKU-100103,Aerostride Basketball 103,Gold catalog product 103 sourced from NetSuite in the Team Sports category.,Team Sports,NetSuite,36.46,17.0,1.5,2026-03-29,"gold-data,team-sports,NetSuite"
104,104,1709,104,8,SKU-100104,Nordcrest Volleyball 104,Gold catalog product 104 sourced from NetSuite in the Team Sports category.,Team Sports,NetSuite,246.1,134.76,1.55,2026-03-29,"gold-data,team-sports,NetSuite"
105,105,1710,105,7,SKU-100105,Peakgear Repair Kit 105,Gold catalog product 105 sourced from NetSuite in the Cycling category.,Cycling,NetSuite,220.75,122.14,1.6,2026-03-29,"gold-data,cycling,NetSuite"
106,106,1711,106,3,SKU-100106,Hydrawave Grip Tape 106,Gold catalog product 106 sourced from NetSuite in the Racquet Sports category.,Racquet Sports,NetSuite,285.72,202.7,1.65,2026-03-29,"gold-data,racquet-sports,NetSuite"
107,107,1712,107,6,SKU-100107,Summitpulse Smart Scale 107,Gold catalog product 107 sourced from NetSuite in the Fitness Devices category.,Fitness Devices,NetSuite,114.54,96.36,1.7,2026-03-29,"gold-data,fitness-devices,NetSuite"
108,108,1713,108,9,SKU-100108,Aerostride Base Layer Top 108,Gold catalog product 108 sourced from NetSuite in the Activewear category.,Activewear,NetSuite,106.76,64.8,1.75,2026-03-29,"gold-data,activewear,NetSuite"
109,109,1714,109,3,SKU-100109,Hydrawave Base Layer Top 109,Gold catalog product 109 sourced from NetSuite in the Activewear category.,Activewear,NetSuite,68.55,40.58,1.8,2026-03-29,"gold-data,activewear,NetSuite"
110,110,1715,110,2,SKU-100110,Trailforge Gps Fitness Watch 110,Gold catalog product 110 sourced from NetSuite in the Fitness Devices category.,Fitness Devices,NetSuite,253.04,210.64,1.85,2026-03-29,"gold-data,fitness-devices,NetSuite"
111,111,1716,111,5,SKU-100111,Canyonridge Kettlebell 111,Gold catalog product 111 sourced from NetSuite in the Strength Training category.,Strength Training,NetSuite,257.63,163.11,1.9,2026-03-29,"gold-data,strength-training,NetSuite"
112,112,1717,112,8,SKU-100112,Nordcrest Running Shoe 112,Gold catalog product 112 sourced from NetSuite in the Footwear category.,Footwear,NetSuite,109.74,54.82,1.95,2026-03-29,"gold-data,footwear,NetSuite"
113,113,1718,113,4,SKU-100113,Ironkinetic Training Hoodie 113,Gold catalog product 113 sourced from NetSuite in the Activewear category.,Activewear,NetSuite,104.06,56.73,2.0,2026-03-29,"gold-data,activewear,NetSuite"
114,114,1719,114,6,SKU-100114,Summitpulse Resistance Band Set 114,Gold catalog product 114 sourced from NetSuite in the Strength Training category.,Strength Training,NetSuite,50.23,24.32,2.05,2026-03-29,"gold-data,strength-training,NetSuite"
115,115,1720,115,9,SKU-100115,Aerostride Repair Kit 115,Gold catalog product 115 sourced from NetSuite in the Cycling category.,Cycling,NetSuite,362.61,203.38,2.1,2026-03-29,"gold-data,cycling,NetSuite"
116,116,1721,116,5,SKU-100116,Canyonridge Kettlebell 116,Gold catalog product 116 sourced from NetSuite in the Strength Training category.,Strength Training,NetSuite,65.4,32.02,2.15,2026-03-29,"gold-data,strength-training,NetSuite"
117,117,1722,117,3,SKU-100117,Hydrawave Helmet 117,Gold catalog product 117 sourced from NetSuite in the Cycling category.,Cycling,NetSuite,406.66,197.71,2.2,2026-03-29,"gold-data,cycling,NetSuite"
118,118,1723,118,2,SKU-100118,Trailforge Heart Rate Strap 118,Gold catalog product 118 sourced from NetSuite in the Fitness Devices category.,Fitness Devices,NetSuite,243.5,179.25,2.25,2026-03-29,"gold-data,fitness-devices,NetSuite"
119,119,1724,119,8,SKU-100119,Nordcrest Compression Shorts 119,Gold catalog product 119 sourced from NetSuite in the Activewear category.,Activewear,NetSuite,74.86,45.67,2.3,2026-03-29,"gold-data,activewear,NetSuite"
120,120,1725,120,3,SKU-100120,Hydrawave Headlamp 120,Gold catalog product 120 sourced from NetSuite in the Outdoor category.,Outdoor,NetSuite,219.78,150.82,2.35,2026-03-29,"gold-data,outdoor,NetSuite"
121,121,1726,121,3,SKU-100121,Hydrawave Gps Fitness Watch 121,Gold catalog product 121 sourced from NetSuite in the Fitness Devices category.,Fitness Devices,NetSuite,297.83,246.24,2.4,2026-03-29,"gold-data,fitness-devices,NetSuite"
122,122,1727,122,8,SKU-100122,Nordcrest Chalk Bag 122,Gold catalog product 122 sourced from NetSuite in the Climbing category.,Climbing,NetSuite,115.69,69.63,2.45,2026-03-29,"gold-data,climbing,NetSuite"
123,123,1728,123,5,SKU-100123,Canyonridge Smart Scale 123,Gold catalog product 123 sourced from NetSuite in the Fitness Devices category.,Fitness Devices,NetSuite,644.2,418.88,2.5,2026-03-29,"gold-data,fitness-devices,NetSuite"
124,124,1729,124,6,SKU-100124,Summitpulse Daypack 124,Gold catalog product 124 sourced from NetSuite in the Outdoor category.,Outdoor,NetSuite,85.93,54.03,2.55,2026-03-29,"gold-data,outdoor,NetSuite"
