case_entity_id,case_id,entity_id,role,evidence_score
112,9,81,store,81.0
113,2,83,seed,81.0
114,2,84,shared_order,81.0
115,2,8,refund_method,81.0
116,2,66,store,81.0
117,8,85,seed,81.0
118,8,86,shared_order,81.0
119,8,76,refund_method,81.0
120,8,87,store,81.0
121,6,88,seed,81.0
122,6,89,shared_order,81.0
123,6,57,refund_method,81.0
124,6,90,store,81.0
125,8,91,seed,81.0
126,8,92,shared_order,81.0
127,8,76,refund_method,81.0
128,8,17,store,81.0
129,1,48,seed,81.0
130,1,93,shared_order,81.0
131,1,4,refund_method,81.0
132,1,55,store,81.0
133,10,94,seed,81.0
134,10,95,shared_order,81.0
135,10,96,refund_method,81.0
136,10,7,store,81.0
137,9,9,seed,80.0
138,9,97,shared_order,80.0
139,9,82,refund_method,80.0
140,9,47,store,80.0
141,5,98,seed,80.0
142,5,99,shared_order,80.0
143,5,22,refund_method,80.0
144,5,100,store,80.0
145,7,101,seed,80.0
146,7,102,shared_order,80.0
147,7,73,refund_method,80.0
148,7,103,store,80.0
149,9,104,seed,79.0
150,9,105,shared_order,79.0
151,9,82,refund_method,79.0
152,9,11,store,79.0
153,9,106,seed,79.0
154,9,107,shared_order,79.0
155,9,82,refund_method,79.0
156,9,108,store,79.0
157,2,109,seed,78.0
158,2,110,shared_order,78.0
159,2,8,refund_method,78.0
160,2,111,store,78.0
161,11,23,seed,78.0
162,11,112,shared_order,78.0
163,11,113,refund_method,78.0
164,11,75,store,78.0
165,9,48,seed,77.0
166,9,114,shared_order,77.0
167,9,82,refund_method,77.0
168,9,27,store,77.0
169,3,23,seed,76.0
170,3,115,shared_order,76.0
171,3,12,refund_method,76.0
172,3,29,store,76.0
173,11,116,seed,76.0
174,11,117,shared_order,76.0
175,11,113,refund_method,76.0
176,11,118,store,76.0
177,5,119,seed,76.0
178,5,120,shared_order,76.0
179,5,22,refund_method,76.0
180,5,121,store,76.0
181,6,5,seed,76.0
182,6,122,shared_order,76.0
183,6,57,refund_method,76.0
184,6,103,store,76.0
185,8,123,seed,76.0
186,8,124,shared_order,76.0
187,8,76,refund_method,76.0
188,8,125,store,76.0
189,1,126,seed,75.0
190,1,127,shared_order,75.0
191,1,4,refund_method,75.0
192,1,128,store,75.0
193,5,129,seed,75.0
194,5,130,shared_order,75.0
195,5,22,refund_method,75.0
196,5,87,store,75.0
197,7,1,seed,74.0
198,7,131,shared_order,74.0
199,7,73,refund_method,74.0
200,7,55,store,74.0
201,8,19,seed,74.0
202,8,132,shared_order,74.0
203,8,76,refund_method,74.0
204,8,3,store,74.0
205,7,1,seed,74.0
206,7,133,shared_order,74.0
207,7,73,refund_method,74.0
208,7,69,store,74.0
209,11,134,seed,74.0
210,11,135,shared_order,74.0
211,11,113,refund_method,74.0
212,11,118,store,74.0
213,2,136,seed,73.0
214,2,137,shared_order,73.0
215,2,8,refund_method,73.0
216,2,69,store,73.0
217,2,138,seed,73.0
218,2,139,shared_order,73.0
219,2,8,refund_method,73.0
220,2,50,store,73.0
221,8,140,seed,72.0
222,8,141,shared_order,72.0
223,8,76,refund_method,72.0
224,8,142,store,72.0
225,7,143,seed,72.0
226,7,144,shared_order,72.0
227,7,73,refund_method,72.0
228,7,11,store,72.0
229,9,32,seed,72.0
230,9,145,shared_order,72.0
231,9,82,refund_method,72.0
232,9,63,store,72.0
233,7,146,seed,71.0
234,7,147,shared_order,71.0
235,7,73,refund_method,71.0
236,7,44,store,71.0
237,9,148,seed,71.0
238,9,149,shared_order,71.0
239,9,82,refund_method,71.0
240,9,150,store,71.0
241,9,151,seed,71.0
242,9,152,shared_order,71.0
243,9,82,refund_method,71.0
244,9,47,store,71.0
245,7,1,seed,71.0
246,7,153,shared_order,71.0
247,7,73,refund_method,71.0
248,7,103,store,71.0
249,2,154,seed,71.0
250,2,155,shared_order,71.0
251,2,8,refund_method,71.0
252,2,156,store,71.0
253,11,157,seed,71.0
254,11,158,shared_order,71.0
255,11,113,refund_method,71.0
256,11,103,store,71.0
257,8,159,seed,70.0
258,8,160,shared_order,70.0
259,8,76,refund_method,70.0
260,8,14,store,70.0
261,9,161,seed,69.0
262,9,162,shared_order,69.0
263,9,82,refund_method,69.0
264,9,21,store,69.0
265,9,163,seed,69.0
266,9,164,shared_order,69.0
267,9,82,refund_method,69.0
268,9,27,store,69.0
269,9,165,seed,68.0
270,9,166,shared_order,68.0
271,9,82,refund_method,68.0
272,9,167,store,68.0
273,10,168,seed,65.0
274,10,169,shared_order,65.0
275,10,96,refund_method,65.0
276,10,170,store,65.0
277,8,171,seed,59.0
278,8,172,shared_order,59.0
279,8,76,refund_method,59.0
280,8,29,store,59.0
281,9,173,seed,57.0
282,9,174,shared_order,57.0
283,9,82,refund_method,57.0
284,9,41,store,57.0
285,8,175,seed,52.0
286,8,176,shared_order,52.0
287,8,76,refund_method,52.0
288,8,75,store,52.0
289,10,177,seed,52.0
290,10,178,shared_order,52.0
291,10,96,refund_method,52.0
292,10,179,store,52.0
293,10,180,seed,51.0
294,10,181,shared_order,51.0
295,10,96,refund_method,51.0
296,10,72,store,51.0
297,9,182,seed,50.0
298,9,183,shared_order,50.0
299,9,82,refund_method,50.0
300,9,170,store,50.0
301,5,184,seed,49.0
302,5,185,shared_order,49.0
303,5,22,refund_method,49.0
304,5,111,store,49.0
305,5,186,seed,48.0
306,5,187,shared_order,48.0
307,5,22,refund_method,48.0
308,5,50,store,48.0
309,5,188,seed,48.0
310,5,189,shared_order,48.0
311,5,22,refund_method,48.0
312,5,190,store,48.0
313,10,191,seed,48.0
314,10,192,shared_order,48.0
315,10,96,refund_method,48.0
316,10,72,store,48.0
317,10,193,seed,47.0
318,10,194,shared_order,47.0
319,10,96,refund_method,47.0
320,10,128,store,47.0
