forecast_id,product_id,region,forecast_date,predicted_demand,confidence_low,confidence_high,social_factor,model_version,explanation
82,189,AZ,2026-05-26,12,4,26,1.14,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
83,479,TX,2026-05-27,12,4,26,1.24,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
84,572,TX,2026-05-28,17,9,31,1.12,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
85,471,TX,2026-05-08,14,6,28,1.16,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
86,605,TX,2026-05-09,12,4,26,1.1,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
87,230,CA,2026-05-10,12,4,26,1.2,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
88,549,TX,2026-05-11,12,4,26,1.24,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
89,616,TX,2026-05-12,12,4,26,1.21,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
90,579,TX,2026-05-13,12,4,26,1.19,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
91,565,TX,2026-05-14,12,4,26,1.05,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
92,564,TX,2026-05-15,12,4,26,1.04,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
93,314,CA,2026-05-16,12,4,26,1.34,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
94,623,TX,2026-05-17,12,4,26,1.28,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
95,496,TX,2026-05-18,12,4,26,1.06,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
96,533,OH,2026-05-19,12,4,26,1.08,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
97,349,OH,2026-05-20,16,8,30,1.34,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
98,499,TX,2026-05-21,12,4,26,1.09,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
99,272,OH,2026-05-22,12,4,26,1.27,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
100,293,TX,2026-05-23,16,8,30,1.13,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
101,403,TX,2026-05-24,14,6,28,1.18,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
102,528,TX,2026-05-25,13,5,27,1.03,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
103,626,TX,2026-05-26,13,5,27,1.31,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
104,500,TX,2026-05-27,13,5,27,1.1,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
105,504,TX,2026-05-28,12,4,26,1.14,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
106,590,TX,2026-05-08,12,4,26,1.3,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
107,214,AZ,2026-05-09,12,4,26,1.04,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
108,461,TX,2026-05-10,16,8,30,1.06,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
109,544,TX,2026-05-11,15,7,29,1.19,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
110,519,TX,2026-05-12,12,4,26,1.29,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
111,449,TX,2026-05-13,12,4,26,1.29,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
112,337,CA,2026-05-14,12,4,26,1.22,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
113,398,TX,2026-05-15,12,4,26,1.13,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
114,201,AZ,2026-05-16,12,4,26,1.26,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
115,604,TX,2026-05-17,12,4,26,1.09,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
116,189,PA,2026-05-18,12,4,26,1.14,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
117,311,OH,2026-05-19,12,4,26,1.31,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
118,502,TX,2026-05-20,15,7,29,1.12,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
119,518,TX,2026-05-21,12,4,26,1.28,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
120,632,TX,2026-05-22,12,4,26,1.02,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
121,318,TX,2026-05-23,13,5,27,1.03,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
122,193,IN,2026-05-24,14,6,28,1.18,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
123,230,OH,2026-05-25,12,4,26,1.2,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
124,515,TX,2026-05-26,14,6,28,1.25,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
125,501,TX,2026-05-27,14,6,28,1.11,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
126,551,CA,2026-05-28,12,4,26,1.26,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
127,635,TX,2026-05-08,12,4,26,1.05,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
128,556,TX,2026-05-09,13,5,27,1.31,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
129,484,CA,2026-05-10,12,4,26,1.29,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
130,482,TX,2026-05-11,12,4,26,1.27,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
131,595,CA,2026-05-12,12,4,26,1.0,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
132,460,CA,2026-05-13,14,6,28,1.05,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
133,336,CA,2026-05-14,12,4,26,1.21,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
134,560,TX,2026-05-15,12,4,26,1.0,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
135,570,CA,2026-05-16,12,4,26,1.1,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
136,226,OH,2026-05-17,12,4,26,1.16,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
137,481,IN,2026-05-18,12,4,26,1.26,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
138,602,TX,2026-05-19,12,4,26,1.07,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
139,603,TX,2026-05-20,12,4,26,1.08,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
140,644,CA,2026-05-21,12,4,26,1.14,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
141,529,CA,2026-05-22,13,5,27,1.04,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
142,615,TX,2026-05-23,15,7,29,1.2,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
143,592,CA,2026-05-24,12,4,26,1.32,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
144,513,TX,2026-05-25,12,4,26,1.23,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
145,489,TX,2026-05-26,15,7,29,1.34,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
146,547,TX,2026-05-27,12,4,26,1.22,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
147,576,IN,2026-05-28,12,4,26,1.16,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
148,472,CA,2026-05-08,12,4,26,1.17,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
149,545,TX,2026-05-09,15,7,29,1.2,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
150,305,TX,2026-05-10,13,5,27,1.25,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
151,185,NC,2026-05-11,12,4,26,1.1,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
152,188,WA,2026-05-12,12,4,26,1.13,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
153,214,OH,2026-05-13,12,4,26,1.04,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
154,193,AZ,2026-05-14,13,5,27,1.18,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
155,259,AZ,2026-05-15,12,4,26,1.14,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
156,397,TX,2026-05-16,12,4,26,1.12,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
157,506,TX,2026-05-17,12,4,26,1.16,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
158,373,TX,2026-05-18,12,4,26,1.23,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
159,373,CA,2026-05-19,12,4,26,1.23,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
160,373,OH,2026-05-20,12,4,26,1.23,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
161,630,TX,2026-05-21,12,4,26,1.0,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
162,637,TX,2026-05-22,12,4,26,1.07,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
163,643,TX,2026-05-23,15,7,29,1.13,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
164,639,TX,2026-05-24,12,4,26,1.09,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
165,537,CA,2026-05-25,12,4,26,1.12,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
166,546,TX,2026-05-26,12,4,26,1.21,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
167,516,TX,2026-05-27,14,6,28,1.26,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
168,541,TX,2026-05-28,12,4,26,1.16,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
169,588,TX,2026-05-08,12,4,26,1.28,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
170,488,TX,2026-05-09,14,6,28,1.33,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
171,512,TX,2026-05-10,12,4,26,1.22,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
172,612,TX,2026-05-11,12,4,26,1.17,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
173,598,TX,2026-05-12,12,4,26,1.03,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
174,552,TX,2026-05-13,12,4,26,1.27,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
175,610,TX,2026-05-14,12,4,26,1.15,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
176,584,IN,2026-05-15,12,4,26,1.24,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
177,491,CA,2026-05-16,12,4,26,1.01,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
178,622,TX,2026-05-17,12,4,26,1.27,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
179,642,TX,2026-05-18,14,6,28,1.12,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
180,563,CA,2026-05-19,12,4,26,1.03,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
181,494,TX,2026-05-20,12,4,26,1.04,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
182,530,CA,2026-05-21,14,6,28,1.05,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
183,530,TX,2026-05-22,14,6,28,1.05,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
184,645,TX,2026-05-23,12,4,26,1.15,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
185,585,IN,2026-05-24,13,5,27,1.25,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
186,356,IN,2026-05-25,12,4,26,1.06,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
187,578,TX,2026-05-26,12,4,26,1.18,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
188,483,CA,2026-05-27,12,4,26,1.28,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
189,483,TX,2026-05-28,12,4,26,1.28,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
190,522,TX,2026-05-08,12,4,26,1.32,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
191,203,PA,2026-05-09,12,4,26,1.28,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
192,318,CA,2026-05-10,12,4,26,1.03,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
193,198,CA,2026-05-11,12,4,26,1.23,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
194,548,TX,2026-05-12,12,4,26,1.23,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
195,193,FL,2026-05-13,13,5,27,1.18,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
