mention_id,post_id,product_id,confidence_score,mention_type
85,85,85,0.77,semantic
86,86,86,0.78,direct
87,87,87,0.79,semantic
88,88,88,0.8,direct
89,89,89,0.81,semantic
90,90,90,0.82,direct
91,91,91,0.83,semantic
92,92,92,0.84,direct
93,93,93,0.85,semantic
94,94,94,0.86,direct
95,95,95,0.87,semantic
96,96,96,0.88,direct
97,97,97,0.89,semantic
98,98,98,0.9,direct
99,99,99,0.91,semantic
100,100,100,0.72,direct
101,101,101,0.73,semantic
102,102,102,0.74,direct
103,103,103,0.75,semantic
104,104,104,0.76,direct
105,105,105,0.77,semantic
106,106,106,0.78,direct
107,107,107,0.79,semantic
108,108,108,0.8,direct
109,109,109,0.81,semantic
110,110,110,0.82,direct
111,111,111,0.83,semantic
112,112,112,0.84,direct
113,113,113,0.85,semantic
114,114,114,0.86,direct
115,115,115,0.87,semantic
116,116,116,0.88,direct
117,117,117,0.89,semantic
118,118,118,0.9,direct
119,119,119,0.91,semantic
120,120,120,0.72,direct
121,121,121,0.73,semantic
122,122,122,0.74,direct
123,123,123,0.75,semantic
124,124,124,0.76,direct
125,125,125,0.77,semantic
126,126,126,0.78,direct
127,127,127,0.79,semantic
128,128,128,0.8,direct
129,129,129,0.81,semantic
130,130,130,0.82,direct
131,131,131,0.83,semantic
132,132,132,0.84,direct
133,133,133,0.85,semantic
134,134,134,0.86,direct
135,135,135,0.87,semantic
136,136,136,0.88,direct
137,137,137,0.89,semantic
138,138,138,0.9,direct
139,139,139,0.91,semantic
140,140,140,0.72,direct
141,141,141,0.73,semantic
142,142,142,0.74,direct
143,143,143,0.75,semantic
144,144,144,0.76,direct
145,145,145,0.77,semantic
146,146,146,0.78,direct
147,147,147,0.79,semantic
148,148,148,0.8,direct
149,149,149,0.81,semantic
150,150,150,0.82,direct
151,151,151,0.83,semantic
152,152,152,0.84,direct
153,153,153,0.85,semantic
154,154,154,0.86,direct
155,155,155,0.87,semantic
156,156,156,0.88,direct
157,157,157,0.89,semantic
158,158,158,0.9,direct
159,159,159,0.91,semantic
160,160,160,0.72,direct
161,161,161,0.73,semantic
162,162,162,0.74,direct
163,163,163,0.75,semantic
164,164,164,0.76,direct
165,165,165,0.77,semantic
166,166,166,0.78,direct
167,167,167,0.79,semantic
168,168,168,0.8,direct
169,169,169,0.81,semantic
170,170,170,0.82,direct
171,171,171,0.83,semantic
172,172,172,0.84,direct
173,173,173,0.85,semantic
174,174,174,0.86,direct
175,175,175,0.87,semantic
176,176,176,0.88,direct
177,177,177,0.89,semantic
178,178,178,0.9,direct
179,179,179,0.91,semantic
180,180,180,0.72,direct
181,181,181,0.73,semantic
182,182,182,0.74,direct
183,183,183,0.75,semantic
184,184,184,0.76,direct
185,185,185,0.77,semantic
186,186,186,0.78,direct
187,187,187,0.79,semantic
188,188,188,0.8,direct
189,189,189,0.81,semantic
190,190,190,0.82,direct
191,191,191,0.83,semantic
192,192,192,0.84,direct
193,193,193,0.85,semantic
194,194,194,0.86,direct
195,195,195,0.87,semantic
196,196,196,0.88,direct
197,197,197,0.89,semantic
198,198,198,0.9,direct
199,199,199,0.91,semantic
200,200,200,0.72,direct
201,201,201,0.73,semantic
202,202,202,0.74,direct
203,203,203,0.75,semantic
204,204,204,0.76,direct
205,205,205,0.77,semantic
206,206,206,0.78,direct
207,207,207,0.79,semantic
208,208,208,0.8,direct
209,209,209,0.81,semantic
210,210,210,0.82,direct
211,211,211,0.83,semantic
212,212,212,0.84,direct
213,213,213,0.85,semantic
214,214,214,0.86,direct
215,215,215,0.87,semantic
216,216,216,0.88,direct
217,217,217,0.89,semantic
218,218,218,0.9,direct
219,219,219,0.91,semantic
220,220,220,0.72,direct
221,221,221,0.73,semantic
222,222,222,0.74,direct
223,223,223,0.75,semantic
224,224,224,0.76,direct
225,225,225,0.77,semantic
226,226,226,0.78,direct
227,227,227,0.79,semantic
228,228,228,0.8,direct
229,229,229,0.81,semantic
230,230,230,0.82,direct
231,231,231,0.83,semantic
232,232,232,0.84,direct
233,233,233,0.85,semantic
234,234,234,0.86,direct
235,235,235,0.87,semantic
236,236,236,0.88,direct
237,237,237,0.89,semantic
238,238,238,0.9,direct
239,239,239,0.91,semantic
240,240,240,0.72,direct
241,241,241,0.73,semantic
242,242,242,0.74,direct
243,243,243,0.75,semantic
244,244,244,0.76,direct
245,245,245,0.77,semantic
246,246,246,0.78,direct
247,247,247,0.79,semantic
248,248,248,0.8,direct
249,249,249,0.81,semantic
250,250,250,0.82,direct
251,251,251,0.83,semantic
252,252,252,0.84,direct
253,253,253,0.85,semantic
254,254,254,0.86,direct
255,255,255,0.87,semantic
256,256,256,0.88,direct
257,257,257,0.89,semantic
258,258,258,0.9,direct
259,259,259,0.91,semantic
260,260,260,0.72,direct
261,261,261,0.73,semantic
262,262,262,0.74,direct
263,263,263,0.75,semantic
264,264,264,0.76,direct
265,265,265,0.77,semantic
266,266,266,0.78,direct
267,267,267,0.79,semantic
268,268,268,0.8,direct
269,269,269,0.81,semantic
270,270,270,0.82,direct
271,271,271,0.83,semantic
272,272,272,0.84,direct
273,273,273,0.85,semantic
274,274,274,0.86,direct
275,275,275,0.87,semantic
276,276,276,0.88,direct
277,277,277,0.89,semantic
278,278,278,0.9,direct
279,279,279,0.91,semantic
280,280,280,0.72,direct
281,281,281,0.73,semantic
282,282,282,0.74,direct
283,283,283,0.75,semantic
284,284,284,0.76,direct
285,285,285,0.77,semantic
286,286,286,0.78,direct
287,287,287,0.79,semantic
288,288,288,0.8,direct
289,289,289,0.81,semantic
290,290,290,0.82,direct
291,291,291,0.83,semantic
292,292,292,0.84,direct
293,293,293,0.85,semantic
294,294,294,0.86,direct
295,295,295,0.87,semantic
296,296,296,0.88,direct
297,297,297,0.89,semantic
298,298,298,0.9,direct
299,299,299,0.91,semantic
300,300,300,0.72,direct
301,301,301,0.73,semantic
302,302,302,0.74,direct
303,303,303,0.75,semantic
304,304,304,0.76,direct
305,305,305,0.77,semantic
306,306,306,0.78,direct
307,307,307,0.79,semantic
308,308,308,0.8,direct
309,309,309,0.81,semantic
310,310,310,0.82,direct
311,311,311,0.83,semantic
312,312,312,0.84,direct
313,313,313,0.85,semantic
314,314,314,0.86,direct
315,315,315,0.87,semantic
316,316,316,0.88,direct
317,317,317,0.89,semantic
318,318,318,0.9,direct
319,319,319,0.91,semantic
320,320,320,0.72,direct
321,321,321,0.73,semantic
322,322,322,0.74,direct
323,323,323,0.75,semantic
324,324,324,0.76,direct
325,325,325,0.77,semantic
326,326,326,0.78,direct
327,327,327,0.79,semantic
328,328,328,0.8,direct
329,329,329,0.81,semantic
330,330,330,0.82,direct
331,331,331,0.83,semantic
332,332,332,0.84,direct
333,333,333,0.85,semantic
334,334,334,0.86,direct
335,335,335,0.87,semantic
336,336,336,0.88,direct
337,337,337,0.89,semantic
338,338,338,0.9,direct
339,339,339,0.91,semantic
340,340,340,0.72,direct
341,341,341,0.73,semantic
342,342,342,0.74,direct
343,343,343,0.75,semantic
344,344,344,0.76,direct
345,345,345,0.77,semantic
346,346,346,0.78,direct
347,347,347,0.79,semantic
348,348,348,0.8,direct
349,349,349,0.81,semantic
350,350,350,0.82,direct
351,351,351,0.83,semantic
352,352,352,0.84,direct
353,353,353,0.85,semantic
354,354,354,0.86,direct
355,355,355,0.87,semantic
356,356,356,0.88,direct
357,357,357,0.89,semantic
358,358,358,0.9,direct
359,359,359,0.91,semantic
360,360,360,0.72,direct
361,361,361,0.73,semantic
362,362,362,0.74,direct
363,363,363,0.75,semantic
364,364,364,0.76,direct
365,365,365,0.77,semantic
366,366,366,0.78,direct
367,367,367,0.79,semantic
368,368,368,0.8,direct
369,369,369,0.81,semantic
370,370,370,0.82,direct
371,371,371,0.83,semantic
372,372,372,0.84,direct
373,373,373,0.85,semantic
374,374,374,0.86,direct
375,375,375,0.87,semantic
376,376,376,0.88,direct
377,377,377,0.89,semantic
378,378,378,0.9,direct
379,379,379,0.91,semantic
380,380,380,0.72,direct
381,381,381,0.73,semantic
382,382,382,0.74,direct
383,383,383,0.75,semantic
384,384,384,0.76,direct
385,385,385,0.77,semantic
386,386,386,0.78,direct
387,387,387,0.79,semantic
388,388,388,0.8,direct
389,389,389,0.81,semantic
390,390,390,0.82,direct
391,391,391,0.83,semantic
392,392,392,0.84,direct
393,393,393,0.85,semantic
394,394,394,0.86,direct
395,395,395,0.87,semantic
396,396,396,0.88,direct
397,397,397,0.89,semantic
398,398,398,0.9,direct
399,399,399,0.91,semantic
400,400,400,0.72,direct
401,401,401,0.73,semantic
402,402,402,0.74,direct
403,403,403,0.75,semantic
404,404,404,0.76,direct
405,405,405,0.77,semantic
406,406,406,0.78,direct
407,407,407,0.79,semantic
408,408,408,0.8,direct
409,409,409,0.81,semantic
410,410,410,0.82,direct
411,411,411,0.83,semantic
412,412,412,0.84,direct
413,413,413,0.85,semantic
414,414,414,0.86,direct
415,415,415,0.87,semantic
416,416,416,0.88,direct
417,417,417,0.89,semantic
418,418,418,0.9,direct
419,419,419,0.91,semantic
420,420,420,0.72,direct
