source_system,raw_sku,asset_type,object_uri,file_name,mime_type,width,height,checksum,quality_status,source_updated_at
DAM_EXPORT,SKU-100018,primary,oci://peakgear-demo-bronze/product-images/SKU-100018/nordcrest-carabiner-set-18.jpg,nordcrest-carabiner-set-18.jpg,image/jpeg,1300,1300,6c8b0d9121174fbcae3e5b9010010018,ready,2026-05-20T06:57:56Z
DAM_EXPORT,SKU-100023,primary,oci://peakgear-demo-bronze/product-images/SKU-100023/velocityworks-dry-bag-23.jpg,velocityworks-dry-bag-23.jpg,image/jpeg,1200,1200,6c8b0d9121174fbcae3e5b9010010023,ready,2026-05-20T06:58:10Z
DAM_EXPORT,SKU-100024,primary,oci://peakgear-demo-bronze/product-images/SKU-100024/ironkinetic-trekking-poles-24.jpg,ironkinetic-trekking-poles-24.jpg,image/jpeg,1600,1600,6c8b0d9121174fbcae3e5b9010010024,ready,2026-05-20T06:58:30Z
DAM_EXPORT,SKU-100025,primary,oci://peakgear-demo-bronze/product-images/SKU-100025/summitpulse-basketball-25.jpg,summitpulse-basketball-25.jpg,image/jpeg,1500,1500,6c8b0d9121174fbcae3e5b9010010025,ready,2026-05-20T06:58:44Z
DAM_EXPORT,SKU-100029,primary,oci://peakgear-demo-bronze/product-images/SKU-100029/trailforge-trail-runner-29.jpg,trailforge-trail-runner-29.jpg,image/jpeg,1600,1600,6c8b0d9121174fbcae3e5b9010010029,ready,2026-05-20T06:59:02Z
DAM_EXPORT,SKU-100030,primary,oci://peakgear-demo-bronze/product-images/SKU-100030/hydrawave-training-hoodie-30.jpg,hydrawave-training-hoodie-30.jpg,image/jpeg,1300,1300,6c8b0d9121174fbcae3e5b9010010030,ready,2026-05-20T06:59:18Z
DAM_EXPORT,SKU-100032,primary,oci://peakgear-demo-bronze/product-images/SKU-100032/hydrawave-pickleball-paddle-32.jpg,hydrawave-pickleball-paddle-32.jpg,image/jpeg,1500,1500,6c8b0d9121174fbcae3e5b9010010032,ready,2026-05-20T06:59:33Z
DAM_EXPORT,SKU-100033,primary,oci://peakgear-demo-bronze/product-images/SKU-100033/aerostride-training-hoodie-33.jpg,aerostride-training-hoodie-33.jpg,image/jpeg,1080,720,6c8b0d9121174fbcae3e5b9010010033,needs_crop,2026-05-20T06:59:50Z
DAM_EXPORT,SKU-100033,alternate,,,,0,0,,missing,2026-05-20T06:59:55Z
DAM_EXPORT,SKU-100041,primary,oci://peakgear-demo-bronze/product-images/SKU-100041/velocityworks-dry-bag-41.jpg,velocityworks-dry-bag-41.jpg,image/jpeg,1600,1600,6c8b0d9121174fbcae3e5b9010010041,ready,2026-05-20T07:00:10Z
DAM_EXPORT,SKU-100044,primary,oci://peakgear-demo-bronze/product-images/SKU-100044/ironkinetic-cross-training-shoe-44.jpg,ironkinetic-cross-training-shoe-44.jpg,image/jpeg,1200,1200,6c8b0d9121174fbcae3e5b9010010044,ready,2026-05-20T07:00:24Z
DAM_EXPORT,SKU-100047,primary,,,,0,0,,missing,2026-05-20T07:00:40Z
DAM_EXPORT,SKU-100055,primary,oci://peakgear-demo-bronze/product-images/SKU-100055/aerostride-snow-helmet-55.jpg,aerostride-snow-helmet-55.jpg,image/jpeg,900,900,6c8b0d9121174fbcae3e5b9010010055,low_resolution,2026-05-20T07:01:02Z
DAM_EXPORT,SKU-100064,primary,oci://peakgear-demo-bronze/product-images/SKU-100064/peakgear-cross-training-shoe-64.jpg,peakgear-cross-training-shoe-64.jpg,image/jpeg,1500,1500,6c8b0d9121174fbcae3e5b9010010064,ready,2026-05-20T07:01:20Z
DAM_EXPORT,SKU-100065,primary,oci://peakgear-demo-bronze/product-images/SKU-100065/hydrawave-trekking-poles-65.jpg,hydrawave-trekking-poles-65.jpg,image/jpeg,1500,1500,6c8b0d9121174fbcae3e5b9010010065,ready,2026-05-20T07:01:37Z
DAM_EXPORT,SKU-100069,primary,oci://peakgear-demo-bronze/product-images/SKU-100069/summitpulse-outdoor-jacket-69.jpg,summitpulse-outdoor-jacket-69.jpg,image/jpeg,1600,1600,6c8b0d9121174fbcae3e5b9010010069,ready,2026-05-20T07:01:54Z
DAM_EXPORT,SKU-100070,primary,oci://peakgear-demo-bronze/product-images/SKU-100070/ironkinetic-swim-goggles-70.jpg,ironkinetic-swim-goggles-70.jpg,image/jpeg,1400,1400,6c8b0d9121174fbcae3e5b9010010070,ready,2026-05-20T07:02:12Z
DAM_EXPORT,SKU-100072,primary,oci://peakgear-demo-bronze/product-images/SKU-100072/peakgear-headlamp-72.jpg,peakgear-headlamp-72.jpg,image/jpeg,820,820,6c8b0d9121174fbcae3e5b9010010072,low_resolution,2026-05-20T07:02:26Z
DAM_EXPORT,SKU-100080,primary,oci://peakgear-demo-bronze/product-images/SKU-100080/velocityworks-adjustable-dumbbells-80.jpg,velocityworks-adjustable-dumbbells-80.jpg,image/jpeg,1600,1600,6c8b0d9121174fbcae3e5b9010010080,ready,2026-05-20T07:02:41Z
DAM_EXPORT,SKU-100083,primary,oci://peakgear-demo-bronze/product-images/SKU-100083/ironkinetic-trekking-poles-83.jpg,ironkinetic-trekking-poles-83.jpg,image/jpeg,1200,1200,6c8b0d9121174fbcae3e5b9010010083,duplicate_source,2026-05-20T07:03:00Z
DAM_EXPORT,SKU-100086,primary,oci://peakgear-demo-bronze/product-images/SKU-100086/velocityworks-heart-rate-strap-86.jpg,velocityworks-heart-rate-strap-86.jpg,image/jpeg,1300,1300,6c8b0d9121174fbcae3e5b9010010086,ready,2026-05-20T07:03:18Z
DAM_EXPORT,SKU-100088,primary,oci://peakgear-demo-bronze/product-images/SKU-100088/trailforge-climbing-harness-88.jpg,trailforge-climbing-harness-88.jpg,image/jpeg,1600,1600,6c8b0d9121174fbcae3e5b9010010088,ready,2026-05-20T07:03:31Z
DAM_EXPORT,SKU-100090,primary,oci://peakgear-demo-bronze/product-images/SKU-100090/canyonridge-headlamp-90.jpg,canyonridge-headlamp-90.jpg,image/jpeg,700,700,6c8b0d9121174fbcae3e5b9010010090,low_resolution,2026-05-20T07:03:48Z
DAM_EXPORT,SKU-100096,primary,oci://peakgear-demo-bronze/product-images/SKU-100096/aerostride-cycling-computer-96.jpg,aerostride-cycling-computer-96.jpg,image/jpeg,1400,1400,6c8b0d9121174fbcae3e5b9010010096,ready,2026-05-20T07:04:05Z
DAM_EXPORT,SKU-100097,primary,oci://peakgear-demo-bronze/product-images/SKU-100097/peakgear-soccer-ball-97.jpg,peakgear-soccer-ball-97.jpg,image/jpeg,1500,1500,6c8b0d9121174fbcae3e5b9010010097,ready,2026-05-20T07:04:22Z
