source_system,transaction_id,transaction_ts,channel,customer_ref,customer_city,customer_region,store_id,raw_sku,quantity,unit_price,discount_pct,line_total,payment_type,fulfillment_method,demand_signal_ref
WEB-WEST,ORD-20260520-0015,2026-05-20T10:57:08Z,web,CUST-CA-6617,San Diego,CA,WEB-W-001,SKU-100007,1,172.10,8,158.33,wallet,ship_to_home,SIG-2026-0015
B2B-PORTAL,ORD-20260520-0016,2026-05-20T11:13:30Z,b2b,CUST-WA-5502,Spokane,WA,SEA-WH-001,SKU-100069,1,487.87,0,487.87,invoice,warehouse_ship,SIG-2026-0016
B2B-PORTAL,ORD-20260520-0016,2026-05-20T11:13:30Z,b2b,CUST-WA-5502,Spokane,WA,SEA-WH-001,SKU-100065,1,535.63,10,482.07,invoice,warehouse_ship,SIG-2026-0016
B2B-PORTAL,ORD-20260520-0016,2026-05-20T11:13:30Z,b2b,CUST-WA-5502,Spokane,WA,SEA-WH-001,SKU-100024,3,196.20,5,559.17,invoice,warehouse_ship,SIG-2026-0016
WEB-EAST,ORD-20260520-0017,2026-05-20T11:24:45Z,web,CUST-PA-6022,Philadelphia,PA,WEB-NE-001,SKU-100003,2,162.66,0,325.32,card,ship_to_home,SIG-2026-0017
WEB-EAST,ORD-20260520-0017,2026-05-20T11:24:45Z,web,CUST-PA-6022,Philadelphia,PA,WEB-NE-001,SKU-100033,1,132.10,0,132.10,card,ship_to_home,SIG-2026-0017
POS-SOUTH,ORD-20260520-0018,2026-05-20T11:38:09Z,store,CUST-FL-9201,Orlando,FL,ORL-STORE-011,SKU-100041,3,138.00,10,372.60,card,pickup,SIG-2026-0018
POS-SOUTH,ORD-20260520-0018,2026-05-20T11:38:09Z,store,CUST-FL-9201,Orlando,FL,ORL-STORE-011,SKU-100047,2,154.45,10,278.01,card,pickup,SIG-2026-0018
POS-SOUTH,ORD-20260520-0018,2026-05-20T11:38:09Z,store,CUST-FL-9201,Orlando,FL,ORL-STORE-011,SKU-100023,5,9.91,0,49.55,card,pickup,SIG-2026-0018
WEB-WEST,ORD-20260520-0019,2026-05-20T11:50:03Z,web,CUST-CA-7863,Oakland,CA,WEB-W-001,SKU-100096,4,131.44,0,525.76,wallet,ship_to_home,SIG-2026-0019
WEB-WEST,ORD-20260520-0019,2026-05-20T11:50:03Z,web,CUST-CA-7863,Oakland,CA,WEB-W-001,SKU-100004,10,25.07,0,250.70,wallet,ship_to_home,SIG-2026-0019
WEB-MIDWEST,ORD-20260520-0020,2026-05-20T12:07:16Z,web,CUST-MN-1189,Minneapolis,MN,WEB-MW-001,SKU-100011,1,163.13,0,163.13,card,ship_to_home,SIG-2026-0020
WEB-MIDWEST,ORD-20260520-0020,2026-05-20T12:07:16Z,web,CUST-MN-1189,Minneapolis,MN,WEB-MW-001,SKU-100080,4,170.35,5,647.33,card,ship_to_home,SIG-2026-0020
WEB-MIDWEST,ORD-20260520-0020,2026-05-20T12:07:16Z,web,CUST-MN-1189,Minneapolis,MN,WEB-MW-001,SKU-100086,2,86.04,0,172.08,card,ship_to_home,SIG-2026-0020
B2B-PORTAL,ORD-20260520-0021,2026-05-20T12:18:41Z,b2b,CUST-GA-5001,Atlanta,GA,ATL-WH-004,SKU-100025,12,105.01,20,1008.10,invoice,warehouse_ship,SIG-2026-0007
B2B-PORTAL,ORD-20260520-0021,2026-05-20T12:18:41Z,b2b,CUST-GA-5001,Atlanta,GA,ATL-WH-004,SKU-100097,4,183.61,20,587.55,invoice,warehouse_ship,SIG-2026-0007
POS-ROCKIES,ORD-20260520-0022,2026-05-20T12:31:04Z,store,CUST-NM-3205,Santa Fe,NM,ABQ-STORE-003,SKU-100088,2,15.17,0,30.34,card,pickup,SIG-2026-0008
POS-ROCKIES,ORD-20260520-0022,2026-05-20T12:31:04Z,store,CUST-NM-3205,Santa Fe,NM,ABQ-STORE-003,SKU-100018,2,77.98,0,155.96,card,pickup,SIG-2026-0008
POS-ROCKIES,ORD-20260520-0022,2026-05-20T12:31:04Z,store,CUST-NM-3205,Santa Fe,NM,ABQ-STORE-003,SKU-100072,1,566.28,0,566.28,card,pickup,SIG-2026-0008
POS-WEST,ORD-20260520-0023,2026-05-20T12:44:29Z,store,CUST-WA-8812,Tacoma,WA,SEA-STORE-014,SKU-100029,2,191.99,5,364.78,card,ship_from_store,SIG-2026-0001
POS-WEST,ORD-20260520-0023,2026-05-20T12:44:29Z,store,CUST-WA-8812,Tacoma,WA,SEA-STORE-014,SKU-100007,2,172.10,5,326.99,card,ship_from_store,SIG-2026-0001
WEB-MOUNTAIN,ORD-20260520-0024,2026-05-20T13:02:11Z,web,CUST-CO-5011,Vail,CO,WEB-MTN-001,SKU-100055,5,112.89,15,479.78,card,ship_to_home,SIG-2026-0011
WEB-MOUNTAIN,ORD-20260520-0024,2026-05-20T13:02:11Z,web,CUST-CO-5011,Vail,CO,WEB-MTN-001,SKU-100016,2,365.59,15,621.50,card,ship_to_home,SIG-2026-0011
