product_id,brand_id,sku,product_name,description,category,subcategory,unit_price,unit_cost,weight_kg,is_active,launch_date,tags,created_at,updated_at
1,1,VIT-00001,mRNA LNP Clinical Batch,"Specialty Care product supplied by NorthStar Health System; tracked for regulatory, quality, demand, and care logistics logistics.",Specialty Care,Emergency Care,18500,12600,12,1,2025-11-24,"mrna,lnp,clinical-batch,care logistics",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
12,3,AQU-00012,NGS Oncology Library Kit,"Diagnostics product supplied by BioPure Diagnostics; tracked for regulatory, quality, demand, and care logistics logistics.",Diagnostics,Sequencing,3250,2180,2,1,2025-06-14,"ngs,oncology,library-prep",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
13,3,AQU-00013,ELISA Cytokine Monitoring Kit,"Diagnostics product supplied by BioPure Diagnostics; tracked for regulatory, quality, demand, and care logistics logistics.",Diagnostics,Immunoassay,760,430,2,1,2025-05-19,"elisa,cytokine,immunoassay",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
14,3,AQU-00014,Companion Diagnostic Control Set,"Diagnostics product supplied by BioPure Diagnostics; tracked for regulatory, quality, demand, and care logistics logistics.",Diagnostics,Controls,1450,890,1,1,2025-09-28,"companion-diagnostic,controls,ivd",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
15,3,AQU-00015,Digital Pathology Slide Batch,"Diagnostics product supplied by BioPure Diagnostics; tracked for regulatory, quality, demand, and care logistics logistics.",Diagnostics,Pathology,540,260,4,1,2024-07-07,"digital-pathology,slide-batch",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
16,4,POL-00016,Infusion Center Slot Bundle,"Specialty Care product supplied by Regional Oncology Network; tracked for regulatory, quality, demand, and care logistics logistics.",Specialty Care,Autologous Therapy,52000,38100,7,1,2024-07-07,"autologous,cell-therapy,patient-specific",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
17,4,POL-00017,Transplant Care Readiness Kit,"Specialty Care product supplied by Regional Oncology Network; tracked for regulatory, quality, demand, and care logistics logistics.",Specialty Care,Cell Banks,14800,10100,4,1,2024-12-10,"allogeneic,cell-bank,cryogenic",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
18,4,POL-00018,Specialty Pharmacy Prep Batch,"Specialty Care product supplied by Regional Oncology Network; tracked for regulatory, quality, demand, and care logistics logistics.",Specialty Care,Plasmid DNA,21400,15200,5,1,2025-11-15,"plasmid,gmp,gene-therapy",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
19,4,POL-00019,Specialty Care Readiness Panel,"Quality and Safety product supplied by Regional Oncology Network; tracked for regulatory, quality, demand, and care logistics logistics.",Quality and Safety,Vector Release,4200,2600,1,1,2024-10-17,"vector-release,qc,potency",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
20,4,POL-00020,Critical Medication Transport Kit,"Care Logistics product supplied by Regional Oncology Network; tracked for regulatory, quality, demand, and care logistics logistics.",Care Logistics,Cryogenic Shipment,1850,1100,16,1,2024-10-01,"cryogenic,shipper,cell-therapy",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
21,5,RES-00021,Specialty Infusion Capacity Pack,"Specialty Care product supplied by Immunology Care Alliance; tracked for regulatory, quality, demand, and care logistics logistics.",Specialty Care,mAb Manufacturing,33400,24100,10,1,2024-06-23,"monoclonal-antibody,pilot-lot,gmp",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
22,5,RES-00022,High-Concentration Formulation Buffer,"Pharmacy Supply product supplied by Immunology Care Alliance; tracked for regulatory, quality, demand, and care logistics logistics.",Pharmacy Supply,Specialty Care Buffer,640,360,12,1,2024-08-03,"formulation-buffer,biologics,excipient",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
23,5,RES-00023,Host Cell Protein Assay Kit,"Quality and Safety product supplied by Immunology Care Alliance; tracked for regulatory, quality, demand, and care logistics logistics.",Quality and Safety,Process Impurities,1280,780,2,1,2025-09-21,"hcp,quality-control,bioprocess",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
24,5,RES-00024,Protein A Formulation Qualification Pack,"Clinical Supplies product supplied by Immunology Care Alliance; tracked for regulatory, quality, demand, and care logistics logistics.",Clinical Supplies,Chromatography,8800,6200,14,1,2025-01-22,"protein-a,chromatography,qualification",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
25,5,RES-00025,Bioburden Rapid Test Cartridge,"Quality and Safety product supplied by Immunology Care Alliance; tracked for regulatory, quality, demand, and care logistics logistics.",Quality and Safety,Microbiology,920,520,2,1,2024-05-04,"bioburden,microbiology,rapid-test",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
26,6,AGR-00026,Population Health Outreach Kit,"Population Health product supplied by Community Health Partners; tracked for regulatory, quality, demand, and care logistics logistics.",Population Health,Risk Stratification,2400,1420,6,1,2024-11-15,"glp,toxicology,preclinical",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
27,6,AGR-00027,Community Vaccine Readiness Pack,"Vaccines product supplied by Community Health Partners; tracked for regulatory, quality, demand, and care logistics logistics.",Vaccines,Animal Health,8700,5800,10,1,2024-11-18,"animal-health,vaccine,batch",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
28,6,AGR-00028,Lab Result Review Bundle,"Population Health product supplied by Community Health Partners; tracked for regulatory, quality, demand, and care logistics logistics.",Population Health,Lab Review,680,360,5,1,2025-01-08,"bioanalysis,plasma,sample-set",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
29,6,AGR-00029,Remote Patient Monitoring Visit Pack,"Care Delivery Supplies product supplied by Community Health Partners; tracked for regulatory, quality, demand, and care logistics logistics.",Care Delivery Supplies,PK Sampling,340,170,3,1,2024-10-24,"pk,pharmacokinetics,visit-pack",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
30,6,AGR-00030,Pathology Review Slide Set,"Population Health product supplied by Community Health Partners; tracked for regulatory, quality, demand, and care logistics logistics.",Population Health,Pathology Review,1320,760,4,1,2025-02-15,"histopathology,glp,slides",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
31,7,BAT-00031,-80C Biologic Transport Lane,"Care Logistics product supplied by MedMove Logistics; tracked for regulatory, quality, demand, and care logistics logistics.",Care Logistics,Ultra-Low Temperature,3100,1900,24,1,2024-10-03,"ultra-low,care logistics,biologic",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
32,7,BAT-00032,2-8C Vaccine Distribution Lane,"Care Logistics product supplied by MedMove Logistics; tracked for regulatory, quality, demand, and care logistics logistics.",Care Logistics,Refrigerated,1180,690,18,1,2025-11-21,"vaccine,2-8c,refrigerated",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
33,7,BAT-00033,Dry Ice Replenishment Service,"Care Logistics product supplied by MedMove Logistics; tracked for regulatory, quality, demand, and care logistics logistics.",Care Logistics,Dry Ice,420,240,30,1,2024-12-24,"dry-ice,replenishment,shipment",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
34,7,BAT-00034,Cryogenic Dewar Validation Pack,"Care Logistics product supplied by MedMove Logistics; tracked for regulatory, quality, demand, and care logistics logistics.",Care Logistics,Cryogenic Validation,2450,1510,20,1,2025-05-24,"dewar,validation,cryogenic",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
35,7,BAT-00035,Temperature Excursion Triage Kit,"Quality and Safety product supplied by MedMove Logistics; tracked for regulatory, quality, demand, and care logistics logistics.",Quality and Safety,Excursion Management,860,410,2,1,2025-04-27,"temperature-excursion,quality,care logistics",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
36,8,SAF-00036,FDA Accreditation Submission Pack,"Compliance Services product supplied by QualityBridge Advisory; tracked for regulatory, quality, demand, and care logistics logistics.",Compliance Services,Accreditation,6200,3100,1,1,2025-11-06,"fda,ind,regulatory",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
37,8,SAF-00037,Quality Review Variation Dossier Review,"Compliance Services product supplied by QualityBridge Advisory; tracked for regulatory, quality, demand, and care logistics logistics.",Compliance Services,Quality Review,7400,3850,1,1,2026-03-02,"ema,variation,dossier",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
38,8,SAF-00038,Quality Audit Evidence Bundle,"Quality and Safety product supplied by QualityBridge Advisory; tracked for regulatory, quality, demand, and care logistics logistics.",Quality and Safety,Quality Audit,2850,1500,1,1,2024-05-31,"gxp,audit,evidence",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
39,8,SAF-00039,Labeling Change Impact Review,"Compliance Services product supplied by QualityBridge Advisory; tracked for regulatory, quality, demand, and care logistics logistics.",Compliance Services,Labeling,1950,930,1,1,2024-09-03,"labeling,change-control,regulatory",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
40,8,SAF-00040,Pharmacovigilance Case Pack,"Safety Operations product supplied by QualityBridge Advisory; tracked for regulatory, quality, demand, and care logistics logistics.",Safety Operations,PV Case,520,230,1,1,2024-11-05,"pharmacovigilance,safety,case",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
41,9,Accreditation-00041,Single-Use Bioreactor Bag 500L,"Clinical Supplies product supplied by Central Sterile Services; tracked for regulatory, quality, demand, and care logistics logistics.",Clinical Supplies,Single Use,2200,1460,11,1,2024-12-04,"single-use,bioreactor,manufacturing",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
42,9,Accreditation-00042,Sterile Connector Assembly,"Clinical Supplies product supplied by Central Sterile Services; tracked for regulatory, quality, demand, and care logistics logistics.",Clinical Supplies,Fluid Path,480,260,2,1,2025-03-25,"sterile-connector,fluid-path",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
43,9,Accreditation-00043,Gamma-Irradiated Tubing Set,"Clinical Supplies product supplied by Central Sterile Services; tracked for regulatory, quality, demand, and care logistics logistics.",Clinical Supplies,Tubing,620,340,3,1,2025-09-10,"gamma-irradiated,tubing,sterile",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
44,9,Accreditation-00044,Depth Filter Capsule Set,"Clinical Supplies product supplied by Central Sterile Services; tracked for regulatory, quality, demand, and care logistics logistics.",Clinical Supplies,Filtration,1400,860,7,1,2024-09-27,"depth-filter,filtration,bioprocess",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
45,9,Accreditation-00045,Cleanroom Gowning Kit,"Clinical Supplies product supplied by Central Sterile Services; tracked for regulatory, quality, demand, and care logistics logistics.",Clinical Supplies,Cleanroom,58,29,1,1,2025-07-29,"cleanroom,gowning,gmp",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
46,10,GRE-00046,Sustainable Lab Plastics Kit,"Lab Supplies product supplied by GreenCare Supplies; tracked for regulatory, quality, demand, and care logistics logistics.",Lab Supplies,Consumables,185,92,5,1,2024-07-28,"lab-plastics,sustainable,consumables",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
47,10,GRE-00047,Validated Sample Return Mailer,"Care Delivery Supplies product supplied by GreenCare Supplies; tracked for regulatory, quality, demand, and care logistics logistics.",Care Delivery Supplies,Sample Logistics,72,35,1,1,2024-05-10,"sample-return,mailer,trial",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
48,10,GRE-00048,Ambient Biospecimen Ship Kit,"Care Delivery Supplies product supplied by GreenCare Supplies; tracked for regulatory, quality, demand, and care logistics logistics.",Care Delivery Supplies,Biospecimen,126,64,2,1,2024-09-16,"biospecimen,ambient,shipping",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
49,10,GRE-00049,Recyclable Cold Pack Set,"Care Logistics product supplied by GreenCare Supplies; tracked for regulatory, quality, demand, and care logistics logistics.",Care Logistics,Passive Cooling,88,40,5,1,2024-07-12,"cold-pack,recyclable,passive",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
50,10,GRE-00050,Low-Waste Lab Starter Pack,"Lab Supplies product supplied by GreenCare Supplies; tracked for regulatory, quality, demand, and care logistics logistics.",Lab Supplies,Sustainable Lab,240,128,6,1,2024-08-17,"low-waste,lab-supplies,sustainability",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
51,11,COA-00051,Sterile Vial Stopper Set,"Packaging Components product supplied by MedDevice Services; tracked for regulatory, quality, demand, and care logistics logistics.",Packaging Components,Container Closure,340,190,3,1,2024-09-16,"vial-stopper,sterile,closure",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
52,11,COA-00052,Prefilled Syringe Component Kit,"Packaging Components product supplied by MedDevice Services; tracked for regulatory, quality, demand, and care logistics logistics.",Packaging Components,Device Components,920,520,4,1,2024-06-26,"prefilled-syringe,device,packaging",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
53,11,COA-00053,Autoinjector Assembly Lot,"Combination Products product supplied by MedDevice Services; tracked for regulatory, quality, demand, and care logistics logistics.",Combination Products,Autoinjector,8200,5600,9,1,2025-07-23,"autoinjector,combination-product",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
54,11,COA-00054,Tamper-Evident Carton Batch,"Packaging Components product supplied by MedDevice Services; tracked for regulatory, quality, demand, and care logistics logistics.",Packaging Components,Serialization,260,135,7,1,2024-12-21,"carton,serialization,tamper-evident",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
55,11,COA-00055,UDI Label Validation Pack,"Compliance Services product supplied by MedDevice Services; tracked for regulatory, quality, demand, and care logistics logistics.",Compliance Services,UDI,780,390,1,1,2025-07-17,"udi,label-validation,device",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
56,12,CAT-00056,Continuous Bioprocess Sensor Set,"Operations Analytics product supplied by CareFlow Analytics; tracked for regulatory, quality, demand, and care logistics logistics.",Operations Analytics,Process Sensors,5600,3300,3,1,2025-12-15,"bioprocess,sensor,continuous",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
57,12,CAT-00057,PAT Spectroscopy Model Pack,"Operations Analytics product supplied by CareFlow Analytics; tracked for regulatory, quality, demand, and care logistics logistics.",Operations Analytics,PAT,7600,4400,1,1,2024-11-02,"pat,spectroscopy,model",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
58,12,CAT-00058,Cell Culture Media Feed Lot,"Pharmacy Supply product supplied by CareFlow Analytics; tracked for regulatory, quality, demand, and care logistics logistics.",Pharmacy Supply,Media Feed,1180,720,18,1,2025-06-28,"cell-culture,media-feed,bioprocess",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
59,12,CAT-00059,Viral Clearance Study Pack,"Quality and Safety product supplied by CareFlow Analytics; tracked for regulatory, quality, demand, and care logistics logistics.",Quality and Safety,Viral Clearance,9400,6100,2,1,2024-05-27,"viral-clearance,quality,study",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
60,12,CAT-00060,Process Deviation Triage Service,"Quality and Safety product supplied by CareFlow Analytics; tracked for regulatory, quality, demand, and care logistics logistics.",Quality and Safety,Deviation,1750,820,1,1,2026-02-23,"deviation,triage,quality",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
61,31,PUR-00061,Purified Water Monitoring Kit,"Quality and Safety product supplied by PurePAC Clinical; tracked for regulatory, quality, demand, and care logistics logistics.",Quality and Safety,Utilities,390,210,3,1,2024-05-18,"purified-water,monitoring,gmp",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
62,32,SIL-00062,Medical-Grade Silicone Tubing,"Device Components product supplied by SiliconeWorks Medical; tracked for regulatory, quality, demand, and care logistics logistics.",Device Components,Tubing,520,310,5,1,2025-08-07,"medical-grade,silicone,device",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
63,33,CAR-00063,Endotoxin Removal Cartridge,"Pharmacy Supply product supplied by EndoClear BioProcess; tracked for regulatory, quality, demand, and care logistics logistics.",Pharmacy Supply,Endotoxin Control,1480,920,4,1,2026-02-15,"endotoxin,cartridge,bioprocess",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
64,34,CHL-00064,Sterility Assurance Swab Pack,"Quality and Safety product supplied by SterilityGuard; tracked for regulatory, quality, demand, and care logistics logistics.",Quality and Safety,Sterility,260,120,1,1,2024-11-16,"sterility,swab,environmental-monitoring",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
65,35,MET-00065,Antioxidant Excipient Blend,"Pharmacy Supply product supplied by Readmission ReviewCo; tracked for regulatory, quality, demand, and care logistics logistics.",Pharmacy Supply,Stabilizers,640,390,6,1,2025-01-29,"antioxidant,excipient,stability",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
66,36,COA-00066,Aseptic Process Simulation Kit,"Quality and Safety product supplied by AseptiCoast; tracked for regulatory, quality, demand, and care logistics logistics.",Quality and Safety,Media Fill,3200,1980,8,1,2025-11-30,"aseptic,media-fill,simulation",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
67,37,CIT-00067,Citrate Buffer USP Batch,"Pharmacy Supply product supplied by CitrateSource Pharma; tracked for regulatory, quality, demand, and care logistics logistics.",Pharmacy Supply,Buffers,540,330,9,1,2025-02-07,"citrate-buffer,usp,excipient",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
68,38,IPA-00068,Sterile WFI Vial Batch,"Pharmacy Supply product supplied by WFI Direct; tracked for regulatory, quality, demand, and care logistics logistics.",Pharmacy Supply,Water for Injection,780,460,10,1,2025-05-08,"wfi,sterile,vial",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
69,39,EPO-00069,Device Adhesive Biocompatibility Lot,"Device Components product supplied by AdhesiveOne Medical; tracked for regulatory, quality, demand, and care logistics logistics.",Device Components,Biocompatible Adhesives,1450,920,3,1,2025-11-15,"device,adhesive,biocompatibility",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
70,40,POL-00070,Medical-Grade Resin Cartridge,"Device Components product supplied by MedPropel Devices; tracked for regulatory, quality, demand, and care logistics logistics.",Device Components,Medical Device Material,1180,730,8,1,2024-11-27,"medical-grade,resin,device",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
71,41,COR-00071,Clean Steam Integrity Audit,"Quality and Safety product supplied by CleanSteamCare; tracked for regulatory, quality, demand, and care logistics logistics.",Quality and Safety,Utilities Audit,2100,1160,1,1,2025-01-28,"clean-steam,audit,gmp",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
72,24,PHA-00072,USP Propylene Glycol Excipient,"Pharmacy Supply product supplied by PharmaPrep; tracked for regulatory, quality, demand, and care logistics logistics.",Pharmacy Supply,Glycols,540,360,215,1,2025-08-02,"usp,propylene-glycol,pharma",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
73,25,CLE-00073,Stainless Bioreactor Passivation Kit,"Clinical Supplies product supplied by CleanSuite Healthcare; tracked for regulatory, quality, demand, and care logistics logistics.",Clinical Supplies,Passivation,680,410,7,1,2024-11-26,"passivation,bioreactor,cleaning",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
74,26,RES-00074,Acrylic Device Housing Formulation,"Device Components product supplied by FormulationBridge; tracked for regulatory, quality, demand, and care logistics logistics.",Device Components,Device Housing,330,202,10,1,2024-04-15,"device-housing,formulation,medical-device",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
75,28,FIN-00075,Trace Impurity Reference Standard,"Quality and Safety product supplied by FineBio Direct; tracked for regulatory, quality, demand, and care logistics logistics.",Quality and Safety,Reference Standards,1180,760,1,1,2025-03-17,"impurity,reference-standard,qc",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
76,29,POR-00076,Imported API Release Lot,"Pharmacy Supply product supplied by PortBio Supply; tracked for regulatory, quality, demand, and care logistics logistics.",Pharmacy Supply,API,9200,6800,12,1,2025-10-09,"api,release-lot,import",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
77,30,ALK-00077,Peptide Intermediate Batch,"Pharmacy Supply product supplied by Peptide Partners; tracked for regulatory, quality, demand, and care logistics logistics.",Pharmacy Supply,Peptide Intermediate,12600,9300,3,1,2024-11-18,"peptide,intermediate,api",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
78,48,LAB-00078,Sodium Chloride USP Buffer Component,"Lab Reagents product supplied by LabGrade Connect; tracked for regulatory, quality, demand, and care logistics logistics.",Lab Reagents,Salts,215,140,10,1,2025-10-17,"sodium-chloride,usp,buffer",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
79,49,SPE-00079,Specialty Amine API Intermediate,"Pharmacy Supply product supplied by SpecBio Exchange; tracked for regulatory, quality, demand, and care logistics logistics.",Pharmacy Supply,API Intermediate,6800,4300,4,1,2025-06-27,"amine,api,intermediate",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
80,1,VIT-00080,mRNA LNP Clinical Batch - Continuity Lot 2,"Specialty Care product supplied by NorthStar Health System; tracked for regulatory, quality, demand, and care logistics logistics.",Specialty Care,Emergency Care,18500,12600,12,1,2024-08-03,"mrna,lnp,clinical-batch,care logistics",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
81,1,VIT-00081,Sepsis Care Pathway Monitoring Bundle - Continuity Lot 2,"Specialty Care product supplied by NorthStar Health System; tracked for regulatory, quality, demand, and care logistics logistics.",Specialty Care,Care Pathways,14200,9100,8,1,2025-03-21,"recombinant-protein,gmp,release-testing",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
82,1,VIT-00082,Operating Room Turnover Optimization Pack - Continuity Lot 2,"Specialty Care product supplied by NorthStar Health System; tracked for regulatory, quality, demand, and care logistics logistics.",Specialty Care,OR and Procedural Care,26400,18800,6,1,2025-04-23,"aav,viral-vector,gene-therapy",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
83,1,VIT-00083,Bed Capacity Surge Playbook - Continuity Lot 2,"Hospital Operations product supplied by NorthStar Health System; tracked for regulatory, quality, demand, and care logistics logistics.",Hospital Operations,Bed Management,11800,7200,1,1,2025-03-24,"fill-finish,sterile,capacity",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
84,1,VIT-00084,Readmission Risk Review Set - Continuity Lot 2,"Quality and Safety product supplied by NorthStar Health System; tracked for regulatory, quality, demand, and care logistics logistics.",Quality and Safety,Readmission Review,3900,2100,3,1,2026-02-02,"stability,ich,quality",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
85,2,SOL-00085,New Clinic Activation Kit - Continuity Lot 2,"Care Delivery Supplies product supplied by CarePath Clinics; tracked for regulatory, quality, demand, and care logistics logistics.",Care Delivery Supplies,Clinic Activation,720,420,9,1,2025-10-26,"site-activation,trial-kit,protocol",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
86,2,SOL-00086,Patient Intake Digital Packet - Continuity Lot 2,"Care Delivery Supplies product supplied by CarePath Clinics; tracked for regulatory, quality, demand, and care logistics logistics.",Care Delivery Supplies,Patient Materials,95,38,2,1,2026-01-06,"econsent,patient-materials,trial",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
87,2,SOL-00087,Care Plan Label Pack - Continuity Lot 2,"Care Delivery Supplies product supplied by CarePath Clinics; tracked for regulatory, quality, demand, and care logistics logistics.",Care Delivery Supplies,Care Plan Labeling,210,92,1,1,2025-08-24,"randomization,labeling,irt",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
88,2,SOL-00088,Medication Reconciliation Kit - Continuity Lot 2,"Care Delivery Supplies product supplied by CarePath Clinics; tracked for regulatory, quality, demand, and care logistics logistics.",Care Delivery Supplies,Medication Reconciliation,1280,740,4,1,2025-07-16,"comparator,blinding,trial-supply",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
89,2,SOL-00089,Rapid Response Medication Pack - Continuity Lot 2,"Care Delivery Supplies product supplied by CarePath Clinics; tracked for regulatory, quality, demand, and care logistics logistics.",Care Delivery Supplies,Rescue Medication,860,510,5,1,2024-09-06,"rescue-medication,site-pack,safety",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
90,3,AQU-00090,qPCR Respiratory Panel - Continuity Lot 2,"Diagnostics product supplied by BioPure Diagnostics; tracked for regulatory, quality, demand, and care logistics logistics.",Diagnostics,Molecular Panels,1180,690,3,1,2025-06-10,"qpcr,diagnostics,respiratory",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
91,3,AQU-00091,NGS Oncology Library Kit - Continuity Lot 2,"Diagnostics product supplied by BioPure Diagnostics; tracked for regulatory, quality, demand, and care logistics logistics.",Diagnostics,Sequencing,3250,2180,2,1,2025-10-18,"ngs,oncology,library-prep",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
