influencer_id,handle,display_name,platform,follower_count,engagement_rate,influence_score,niche,city,region,country,is_verified,created_at
33,@regdesk_index,Regdesk Index,Cold Chain Bulletin,7341,0.0926,89.01,GxP,Boston,Massachusetts,US,0,2026-04-13T09:16:47Z
34,@pvwatch_office,PV Watch Office,Regulatory Notice,509575,0.0215,84.22,Care Logistics,Atlanta,Georgia,US,1,2026-04-13T09:16:47Z
35,@labdesk_risk,Labdesk Risk,Capacity Alert,2336,0.032,60.49,Port Logistics,Dallas,Texas,US,0,2026-04-13T09:16:47Z
36,@route_observer,Route Observer,Supply Quality Notice,90248,0.0539,80.52,GMP Utilities,San Diego,California,US,0,2026-04-13T09:16:47Z
37,@rail_desk,Rail Desk,Compliance Signal,43754,0.0371,81.17,Vaccine Products,Minneapolis,Minnesota,US,0,2026-04-13T09:16:47Z
38,@barge_signal,Barge Signal,Cold Chain Bulletin,71571,0.0657,90.66,Protocol Operations,Detroit,Michigan,US,0,2026-04-13T09:16:47Z
39,@gulf_safety,Gulf Safety,Regulatory Notice,563253,0.0407,94.21,Care Delivery Supplies,Las Vegas,Nevada,US,1,2026-04-13T09:16:47Z
40,@pacific_screen,Pacific Screen,Capacity Alert,27525,0.0475,72.77,Device Packaging,Brooklyn,New York,US,0,2026-04-13T09:16:47Z
41,@midwest_node,Midwest Node,Supply Quality Notice,617113,0.0441,96.66,Steriles,New York,New York,US,1,2026-04-13T09:16:47Z
42,@northeast_source,Northeast Source,Compliance Signal,11615,0.031,69.01,Sterility Assurance,Los Angeles,California,US,0,2026-04-13T09:16:47Z
43,@southwest_pulse,Southwest Pulse,Cold Chain Bulletin,5486,0.0944,87.07,Manufacturer Quality,Chicago,Illinois,US,0,2026-04-13T09:16:47Z
44,@vaccine_updates,Vaccine Updates,Regulatory Notice,68500,0.0706,91.8,Component Risk,Houston,Texas,US,0,2026-04-13T09:16:47Z
45,@protocoldesk_monitor,Protocoldesk Monitor,Capacity Alert,13113440,0.01,83.84,Care Logistics Logistics,Phoenix,Arizona,US,1,2026-04-13T09:16:47Z
46,@gxpdesk_routing,GxPDesk Routing,Supply Quality Notice,74785,0.0584,86.91,FDA,San Francisco,California,US,0,2026-04-13T09:16:47Z
47,@portsupply_forecast,Portsupply Forecast,Compliance Signal,60707,0.0423,76.63,Quality Review,Miami,Florida,US,0,2026-04-13T09:16:47Z
48,@coldchainops_brief,Care Logisticsops Brief,Cold Chain Bulletin,9805,0.0647,84.17,GxP,Seattle,Washington,US,0,2026-04-13T09:16:47Z
49,@fdawatch_planner,CMS Watch Planner,Regulatory Notice,9843,0.074,89.37,Care Logistics,Denver,Colorado,US,0,2026-04-13T09:16:47Z
50,@emaupdates_report,Quality Review Updates Report,Capacity Alert,816891,0.0209,79.09,Port Logistics,Austin,Texas,US,1,2026-04-13T09:16:47Z
51,@fda_watch2,CMS Watch,Supply Quality Notice,4838,0.088,82.74,GMP Utilities,Nashville,Tennessee,US,0,2026-04-13T09:16:47Z
52,@ema_review2,Quality Review Review,Compliance Signal,12017,0.0512,74.88,Vaccine Products,Portland,Oregon,US,0,2026-04-13T09:16:47Z
53,@gxp_compliance2,GxP Compliance,Cold Chain Bulletin,35610,0.0582,90.5,Protocol Operations,Boston,Massachusetts,US,0,2026-04-13T09:16:47Z
54,@gxp_audit2,Quality Audit,Regulatory Notice,65652,0.079,100,Care Delivery Supplies,Atlanta,Georgia,US,0,2026-04-13T09:16:47Z
55,@protocol_feed2,Protocol Feed,Capacity Alert,6292,0.0387,71.86,Device Packaging,Dallas,Texas,US,0,2026-04-13T09:16:47Z
56,@port_status2,Port Status,Supply Quality Notice,2430,0.0898,81.99,Steriles,San Diego,California,US,0,2026-04-13T09:16:47Z
57,@care logistics_coordinator2,Care Logistics Coordinator,Compliance Signal,934165,0.0317,86.89,Sterility Assurance,Minneapolis,Minnesota,US,1,2026-04-13T09:16:47Z
58,@vaccine_controlroom2,Vaccine Controlroom,Cold Chain Bulletin,4304,0.0673,74.41,Manufacturer Quality,Detroit,Michigan,US,0,2026-04-13T09:16:47Z
59,@waterworks_lab2,Waterworks Lab,Regulatory Notice,1725,0.0626,69.79,Component Risk,Las Vegas,Nevada,US,0,2026-04-13T09:16:47Z
60,@formulation_tracker2,Formulation Tracker,Capacity Alert,62836,0.0564,78.66,Care Logistics Logistics,Brooklyn,New York,US,0,2026-04-13T09:16:47Z
61,@alkali_flow2,Aseptic Flow,Supply Quality Notice,696723,0.0234,79.61,FDA,New York,New York,US,1,2026-04-13T09:16:47Z
62,@trial supply_hub2,Trial Supply Hub,Compliance Signal,725374,0.0257,88.88,Quality Review,Los Angeles,California,US,1,2026-04-13T09:16:47Z
63,@device_release2,Device Release,Cold Chain Bulletin,44952,0.0563,77.54,GxP,Chicago,Illinois,US,0,2026-04-13T09:16:47Z
64,@catalyst_watchlist2,Assay Watchlist,Regulatory Notice,319361,0.028,74.74,Care Logistics,Houston,Texas,US,0,2026-04-13T09:16:47Z
65,@chlor_bridge2,Sterility Bridge,Capacity Alert,5602,0.0388,60.54,Port Logistics,Phoenix,Arizona,US,0,2026-04-13T09:16:47Z
66,@peroxide_ops2,Aseptic Ops,Supply Quality Notice,7110,0.1153,100,GMP Utilities,San Francisco,California,US,0,2026-04-13T09:16:47Z
67,@citric_intel2,Excipient Intel,Compliance Signal,7014,0.0837,89.64,Vaccine Products,Miami,Florida,US,0,2026-04-13T09:16:47Z
68,@pv_wire2,PV Wire,Cold Chain Bulletin,4793904,0.0155,81.19,Protocol Operations,Seattle,Washington,US,1,2026-04-13T09:16:47Z
69,@supply_ledger2,Supply Ledger,Regulatory Notice,22221,0.0287,66.12,Care Delivery Supplies,Denver,Colorado,US,0,2026-04-13T09:16:47Z
70,@tariff_registry2,Tariff Registry,Capacity Alert,93758,0.0417,87.56,Device Packaging,Austin,Texas,US,0,2026-04-13T09:16:47Z
71,@freight_matrix2,Freight Matrix,Supply Quality Notice,875656,0.0217,88.48,Steriles,Nashville,Tennessee,US,1,2026-04-13T09:16:47Z
72,@purity_bulletins2,Purity Bulletins,Compliance Signal,7898,0.085,87.16,Sterility Assurance,Portland,Oregon,US,0,2026-04-13T09:16:47Z
73,@storage_bulletin2,Storage Bulletin,Cold Chain Bulletin,2234,0.0385,67.44,Manufacturer Quality,Boston,Massachusetts,US,0,2026-04-13T09:16:47Z
74,@compat_notice2,Compat Notice,Regulatory Notice,97139,0.0454,88.16,Component Risk,Atlanta,Georgia,US,0,2026-04-13T09:16:47Z
75,@allocation_network2,Allocation Network,Capacity Alert,14434057,0.0154,97.91,Care Logistics Logistics,Dallas,Texas,US,1,2026-04-13T09:16:47Z
76,@component_map2,Component Map,Supply Quality Notice,67907,0.036,76.32,FDA,San Diego,California,US,0,2026-04-13T09:16:47Z
77,@plant_control2,Plant Control,Compliance Signal,6207,0.0675,75.57,Quality Review,Minneapolis,Minnesota,US,0,2026-04-13T09:16:47Z
78,@safety_queue2,Safety Queue,Cold Chain Bulletin,8857,0.0692,86.97,GxP,Detroit,Michigan,US,0,2026-04-13T09:16:47Z
79,@import_channel2,Import Channel,Regulatory Notice,10699,0.0673,86.5,Care Logistics,Las Vegas,Nevada,US,0,2026-04-13T09:16:47Z
80,@export_alerts2,Export Alerts,Capacity Alert,98266,0.0366,80.17,Port Logistics,Brooklyn,New York,US,0,2026-04-13T09:16:47Z
81,@quality_weekly2,Quality Weekly,Supply Quality Notice,9487,0.0717,89.28,GMP Utilities,New York,New York,US,0,2026-04-13T09:16:47Z
82,@compliance_market2,Compliance Market,Compliance Signal,6852,0.0604,75.38,Vaccine Products,Los Angeles,California,US,0,2026-04-13T09:16:47Z
83,@regdesk_index2,Regdesk Index,Cold Chain Bulletin,4650,0.0497,70.27,Protocol Operations,Chicago,Illinois,US,0,2026-04-13T09:16:47Z
84,@pvwatch_office2,PV Watch Office,Regulatory Notice,15251,0.0782,86.63,Care Delivery Supplies,Houston,Texas,US,0,2026-04-13T09:16:47Z
85,@labdesk_risk2,Labdesk Risk,Capacity Alert,2854,0.0862,84.05,Device Packaging,Phoenix,Arizona,US,0,2026-04-13T09:16:47Z
86,@route_observer2,Route Observer,Supply Quality Notice,3956,0.077,88.11,Steriles,San Francisco,California,US,0,2026-04-13T09:16:47Z
87,@rail_desk2,Rail Desk,Compliance Signal,156670,0.0329,79.11,Sterility Assurance,Miami,Florida,US,0,2026-04-13T09:16:47Z
88,@barge_signal2,Barge Signal,Cold Chain Bulletin,2163,0.111,95.1,Manufacturer Quality,Seattle,Washington,US,0,2026-04-13T09:16:47Z
89,@gulf_safety2,Gulf Safety,Regulatory Notice,85246,0.04,72.35,Component Risk,Denver,Colorado,US,0,2026-04-13T09:16:47Z
90,@pacific_screen2,Pacific Screen,Capacity Alert,92349,0.0389,73.85,Care Logistics Logistics,Austin,Texas,US,0,2026-04-13T09:16:47Z
91,@midwest_node2,Midwest Node,Supply Quality Notice,5177,0.0869,95.89,FDA,Nashville,Tennessee,US,0,2026-04-13T09:16:47Z
92,@northeast_source2,Northeast Source,Compliance Signal,9852,0.1129,97.49,Quality Review,Portland,Oregon,US,0,2026-04-13T09:16:47Z
93,@southwest_pulse2,Southwest Pulse,Cold Chain Bulletin,1417,0.0506,70.96,GxP,Boston,Massachusetts,US,0,2026-04-13T09:16:47Z
94,@vaccine_updates2,Vaccine Updates,Regulatory Notice,5299,0.0875,88.81,Care Logistics,Atlanta,Georgia,US,0,2026-04-13T09:16:47Z
95,@protocoldesk_monitor2,Protocoldesk Monitor,Capacity Alert,65292,0.0687,93.5,Port Logistics,Dallas,Texas,US,0,2026-04-13T09:16:47Z
101,@gxpdesk_routing2,GxPDesk Routing,Supply Quality Notice,73658,0.0517,83.61,GMP Utilities,San Diego,California,US,0,2026-04-13T09:16:47Z
102,@portsupply_forecast2,Portsupply Forecast,Compliance Signal,4916,0.1162,100,Vaccine Products,Minneapolis,Minnesota,US,0,2026-04-13T09:16:47Z
103,@coldchainops_brief2,Care Logisticsops Brief,Cold Chain Bulletin,60145,0.0495,82.6,Protocol Operations,Detroit,Michigan,US,0,2026-04-13T09:16:47Z
104,@fdawatch_planner2,CMS Watch Planner,Regulatory Notice,32849,0.073,86.31,Care Delivery Supplies,Las Vegas,Nevada,US,0,2026-04-13T09:16:47Z
105,@emaupdates_report2,Quality Review Updates Report,Capacity Alert,2363,0.1179,100,Device Packaging,Brooklyn,New York,US,0,2026-04-13T09:16:47Z
106,@fda_watch3,CMS Watch,Supply Quality Notice,245920,0.0367,84.7,Steriles,New York,New York,US,0,2026-04-13T09:16:47Z
107,@ema_review3,Quality Review Review,Compliance Signal,9762,0.0823,88.13,Sterility Assurance,Los Angeles,California,US,0,2026-04-13T09:16:47Z
108,@gxp_compliance3,GxP Compliance,Cold Chain Bulletin,4217,0.0485,73.21,Manufacturer Quality,Chicago,Illinois,US,0,2026-04-13T09:16:47Z
109,@gxp_audit3,Quality Audit,Regulatory Notice,4704,0.1195,100,Component Risk,Houston,Texas,US,0,2026-04-13T09:16:47Z
110,@protocol_feed3,Protocol Feed,Capacity Alert,84601,0.0781,100,Care Logistics Logistics,Phoenix,Arizona,US,0,2026-04-13T09:16:47Z
111,@port_status3,Port Status,Supply Quality Notice,901538,0.0242,77.36,FDA,San Francisco,California,US,1,2026-04-13T09:16:47Z
112,@care logistics_coordinator3,Care Logistics Coordinator,Compliance Signal,1435,0.0704,81.28,Quality Review,Miami,Florida,US,0,2026-04-13T09:16:47Z
113,@vaccine_controlroom3,Vaccine Controlroom,Cold Chain Bulletin,84089,0.0491,83.86,GxP,Seattle,Washington,US,0,2026-04-13T09:16:47Z
114,@waterworks_lab3,Waterworks Lab,Regulatory Notice,89858,0.0749,91.43,Care Logistics,Denver,Colorado,US,0,2026-04-13T09:16:47Z
115,@formulation_tracker3,Formulation Tracker,Capacity Alert,3431,0.0386,69.87,Port Logistics,Austin,Texas,US,0,2026-04-13T09:16:47Z
116,@alkali_flow3,Aseptic Flow,Supply Quality Notice,39057,0.0548,79.46,GMP Utilities,Nashville,Tennessee,US,0,2026-04-13T09:16:47Z
117,@trial supply_hub3,Trial Supply Hub,Compliance Signal,8048,0.1043,100,Vaccine Products,Portland,Oregon,US,0,2026-04-13T09:16:47Z
118,@device_release3,Device Release,Cold Chain Bulletin,7988,0.0688,87.07,Protocol Operations,Boston,Massachusetts,US,0,2026-04-13T09:16:47Z
119,@catalyst_watchlist3,Assay Watchlist,Regulatory Notice,6754,0.1129,100,Care Delivery Supplies,Atlanta,Georgia,US,0,2026-04-13T09:16:47Z
120,@chlor_bridge3,Sterility Bridge,Capacity Alert,250289,0.0333,76.21,Device Packaging,Dallas,Texas,US,0,2026-04-13T09:16:47Z
121,@peroxide_ops3,Aseptic Ops,Supply Quality Notice,865261,0.0167,71.72,Steriles,San Diego,California,US,1,2026-04-13T09:16:47Z
122,@citric_intel3,Excipient Intel,Compliance Signal,84982,0.0477,87.31,Sterility Assurance,Minneapolis,Minnesota,US,0,2026-04-13T09:16:47Z
123,@pv_wire3,PV Wire,Cold Chain Bulletin,68341,0.0603,91.51,Manufacturer Quality,Detroit,Michigan,US,0,2026-04-13T09:16:47Z
124,@supply_ledger3,Supply Ledger,Regulatory Notice,6828,0.1104,97.28,Component Risk,Las Vegas,Nevada,US,0,2026-04-13T09:16:47Z
125,@tariff_registry3,Tariff Registry,Capacity Alert,754246,0.0386,89.21,Care Logistics Logistics,Brooklyn,New York,US,1,2026-04-13T09:16:47Z
126,@freight_matrix3,Freight Matrix,Supply Quality Notice,7136,0.1019,96.51,FDA,New York,New York,US,0,2026-04-13T09:16:47Z
127,@purity_bulletins3,Purity Bulletins,Compliance Signal,81812,0.0498,88.26,Quality Review,Los Angeles,California,US,0,2026-04-13T09:16:47Z
128,@storage_bulletin3,Storage Bulletin,Cold Chain Bulletin,20073,0.0699,92.03,GxP,Chicago,Illinois,US,0,2026-04-13T09:16:47Z
129,@compat_notice3,Compat Notice,Regulatory Notice,1668,0.0368,60.28,Care Logistics,Houston,Texas,US,0,2026-04-13T09:16:47Z
130,@allocation_network3,Allocation Network,Capacity Alert,47675,0.0707,93.77,Port Logistics,Phoenix,Arizona,US,0,2026-04-13T09:16:47Z
131,@component_map3,Component Map,Supply Quality Notice,72439,0.0769,98.89,GMP Utilities,San Francisco,California,US,0,2026-04-13T09:16:47Z
132,@plant_control3,Plant Control,Compliance Signal,51330,0.0312,66.31,Vaccine Products,Miami,Florida,US,0,2026-04-13T09:16:47Z
133,@safety_queue3,Safety Queue,Cold Chain Bulletin,43850,0.03,70.4,Protocol Operations,Seattle,Washington,US,0,2026-04-13T09:16:47Z
134,@import_channel3,Import Channel,Regulatory Notice,64111,0.0691,97.82,Care Delivery Supplies,Denver,Colorado,US,0,2026-04-13T09:16:47Z
135,@export_alerts3,Export Alerts,Capacity Alert,7956,0.039,68.87,Device Packaging,Austin,Texas,US,0,2026-04-13T09:16:47Z
136,@quality_weekly3,Quality Weekly,Supply Quality Notice,111378,0.03,75.48,Steriles,Nashville,Tennessee,US,0,2026-04-13T09:16:47Z
137,@compliance_market3,Compliance Market,Compliance Signal,8309,0.0685,82.94,Sterility Assurance,Portland,Oregon,US,0,2026-04-13T09:16:47Z
138,@regdesk_index3,Regdesk Index,Cold Chain Bulletin,2495,0.1025,92.12,Manufacturer Quality,Boston,Massachusetts,US,0,2026-04-13T09:16:47Z
139,@pvwatch_office3,PV Watch Office,Regulatory Notice,810707,0.0235,79.77,Component Risk,Atlanta,Georgia,US,1,2026-04-13T09:16:47Z
140,@labdesk_risk3,Labdesk Risk,Capacity Alert,9857127,0.015,93.11,Care Logistics Logistics,Dallas,Texas,US,1,2026-04-13T09:16:47Z
141,@route_observer3,Route Observer,Supply Quality Notice,520064,0.0163,72.9,FDA,San Diego,California,US,1,2026-04-13T09:16:47Z
142,@rail_desk3,Rail Desk,Compliance Signal,9643,0.0843,90.43,Quality Review,Minneapolis,Minnesota,US,0,2026-04-13T09:16:47Z
143,@barge_signal3,Barge Signal,Cold Chain Bulletin,82395,0.0614,88.18,GxP,Detroit,Michigan,US,0,2026-04-13T09:16:47Z
144,@gulf_safety3,Gulf Safety,Regulatory Notice,4665,0.0526,63.96,Care Logistics,Las Vegas,Nevada,US,0,2026-04-13T09:16:47Z
145,@pacific_screen3,Pacific Screen,Capacity Alert,119177,0.0182,64.35,Port Logistics,Brooklyn,New York,US,0,2026-04-13T09:16:47Z
146,@midwest_node3,Midwest Node,Supply Quality Notice,5760,0.0791,92.22,GMP Utilities,New York,New York,US,0,2026-04-13T09:16:47Z
147,@northeast_source3,Northeast Source,Compliance Signal,1710,0.1048,92.59,Vaccine Products,Los Angeles,California,US,0,2026-04-13T09:16:47Z
148,@southwest_pulse3,Southwest Pulse,Cold Chain Bulletin,9139,0.1056,97.22,Protocol Operations,Chicago,Illinois,US,0,2026-04-13T09:16:47Z
149,@vaccine_updates3,Vaccine Updates,Regulatory Notice,5194,0.0985,93.43,Care Delivery Supplies,Houston,Texas,US,0,2026-04-13T09:16:47Z
150,@protocoldesk_monitor3,Protocoldesk Monitor,Capacity Alert,6344,0.0359,65.31,Device Packaging,Phoenix,Arizona,US,0,2026-04-13T09:16:47Z
151,@gxpdesk_routing3,GxPDesk Routing,Supply Quality Notice,9563,0.1139,100,Steriles,San Francisco,California,US,0,2026-04-13T09:16:47Z
152,@portsupply_forecast3,Portsupply Forecast,Compliance Signal,5848,0.0401,67.96,Sterility Assurance,Miami,Florida,US,0,2026-04-13T09:16:47Z
153,@coldchainops_brief3,Care Logisticsops Brief,Cold Chain Bulletin,76624,0.0433,76.58,Manufacturer Quality,Seattle,Washington,US,0,2026-04-13T09:16:47Z
154,@fdawatch_planner3,CMS Watch Planner,Regulatory Notice,5788,0.0739,88.28,Component Risk,Denver,Colorado,US,0,2026-04-13T09:16:47Z
155,@emaupdates_report3,Quality Review Updates Report,Capacity Alert,169138,0.0333,73.68,Care Logistics Logistics,Austin,Texas,US,0,2026-04-13T09:16:47Z
156,@fda_watch4,CMS Watch,Supply Quality Notice,2878,0.0503,60.43,FDA,Nashville,Tennessee,US,0,2026-04-13T09:16:47Z
157,@ema_review4,Quality Review Review,Compliance Signal,184973,0.0259,69.88,Quality Review,Portland,Oregon,US,0,2026-04-13T09:16:47Z
158,@gxp_compliance4,GxP Compliance,Cold Chain Bulletin,1196,0.0689,73.11,GxP,Boston,Massachusetts,US,0,2026-04-13T09:16:47Z
159,@gxp_audit4,Quality Audit,Regulatory Notice,706439,0.0267,81.44,Care Logistics,Atlanta,Georgia,US,1,2026-04-13T09:16:47Z
160,@protocol_feed4,Protocol Feed,Capacity Alert,597559,0.0282,86.29,Port Logistics,Dallas,Texas,US,1,2026-04-13T09:16:47Z
161,@port_status4,Port Status,Supply Quality Notice,1493,0.0405,53.19,GMP Utilities,San Diego,California,US,0,2026-04-13T09:16:47Z
162,@care logistics_coordinator4,Care Logistics Coordinator,Compliance Signal,2285,0.0659,70.08,Vaccine Products,Minneapolis,Minnesota,US,0,2026-04-13T09:16:47Z
163,@vaccine_controlroom4,Vaccine Controlroom,Cold Chain Bulletin,7386557,0.0215,96.47,Protocol Operations,Detroit,Michigan,US,1,2026-04-13T09:16:47Z
164,@waterworks_lab4,Waterworks Lab,Regulatory Notice,2718,0.0373,63.59,Care Delivery Supplies,Las Vegas,Nevada,US,0,2026-04-13T09:16:47Z
165,@formulation_tracker4,Formulation Tracker,Capacity Alert,5144,0.0562,69.56,Device Packaging,Brooklyn,New York,US,0,2026-04-13T09:16:47Z
166,@alkali_flow4,Aseptic Flow,Supply Quality Notice,89451,0.065,93.36,Steriles,New York,New York,US,0,2026-04-13T09:16:47Z
167,@trial supply_hub4,Trial Supply Hub,Compliance Signal,90976,0.0703,90.35,Sterility Assurance,Los Angeles,California,US,0,2026-04-13T09:16:47Z
168,@device_release4,Device Release,Cold Chain Bulletin,50566,0.0253,62.29,Manufacturer Quality,Chicago,Illinois,US,0,2026-04-13T09:16:47Z
169,@catalyst_watchlist4,Assay Watchlist,Regulatory Notice,3355,0.1086,92.99,Component Risk,Houston,Texas,US,0,2026-04-13T09:16:47Z
170,@chlor_bridge4,Sterility Bridge,Capacity Alert,2909,0.1166,100,Care Logistics Logistics,Phoenix,Arizona,US,0,2026-04-13T09:16:47Z
171,@peroxide_ops4,Aseptic Ops,Supply Quality Notice,86899,0.0592,88.84,FDA,San Francisco,California,US,0,2026-04-13T09:16:47Z
172,@citric_intel4,Excipient Intel,Compliance Signal,28555,0.0446,78.36,Quality Review,Miami,Florida,US,0,2026-04-13T09:16:47Z
173,@pv_wire4,PV Wire,Cold Chain Bulletin,2177,0.0878,78.61,GxP,Seattle,Washington,US,0,2026-04-13T09:16:47Z
174,@supply_ledger4,Supply Ledger,Regulatory Notice,39296,0.0647,82.71,Care Logistics,Denver,Colorado,US,0,2026-04-13T09:16:47Z
175,@tariff_registry4,Tariff Registry,Capacity Alert,32550,0.0302,72.4,Port Logistics,Austin,Texas,US,0,2026-04-13T09:16:47Z
176,@freight_matrix4,Freight Matrix,Supply Quality Notice,490373,0.0225,83.08,GMP Utilities,Nashville,Tennessee,US,0,2026-04-13T09:16:47Z
177,@purity_bulletins4,Purity Bulletins,Compliance Signal,5568,0.0873,91.63,Vaccine Products,Portland,Oregon,US,0,2026-04-13T09:16:47Z
178,@storage_bulletin4,Storage Bulletin,Cold Chain Bulletin,2494,0.0727,76.35,Protocol Operations,Boston,Massachusetts,US,0,2026-04-13T09:16:47Z
179,@compat_notice4,Compat Notice,Regulatory Notice,3105,0.0325,59.52,Care Delivery Supplies,Atlanta,Georgia,US,0,2026-04-13T09:16:47Z
180,@allocation_network4,Allocation Network,Capacity Alert,782810,0.0357,87.24,Device Packaging,Dallas,Texas,US,1,2026-04-13T09:16:47Z
181,@component_map4,Component Map,Supply Quality Notice,25754,0.0437,79.91,Steriles,San Diego,California,US,0,2026-04-13T09:16:47Z
182,@plant_control4,Plant Control,Compliance Signal,186874,0.0355,75.27,Sterility Assurance,Minneapolis,Minnesota,US,0,2026-04-13T09:16:47Z
183,@safety_queue4,Safety Queue,Cold Chain Bulletin,50165,0.0475,83.17,Manufacturer Quality,Detroit,Michigan,US,0,2026-04-13T09:16:47Z
184,@import_channel4,Import Channel,Regulatory Notice,71195,0.0661,89.66,Component Risk,Las Vegas,Nevada,US,0,2026-04-13T09:16:47Z
185,@export_alerts4,Export Alerts,Capacity Alert,4367,0.0712,85.72,Care Logistics Logistics,Brooklyn,New York,US,0,2026-04-13T09:16:47Z
186,@quality_weekly4,Quality Weekly,Supply Quality Notice,2460,0.1092,88.69,FDA,New York,New York,US,0,2026-04-13T09:16:47Z
187,@compliance_market4,Compliance Market,Compliance Signal,52375,0.0679,91.33,Quality Review,Los Angeles,California,US,0,2026-04-13T09:16:47Z
188,@regdesk_index4,Regdesk Index,Cold Chain Bulletin,83252,0.0656,90.18,GxP,Chicago,Illinois,US,0,2026-04-13T09:16:47Z
