order_id,guest_id,order_status,order_total,shipping_cost,fulfillment_center_id,shipping_lat,shipping_lon,estimated_delivery,actual_delivery,social_source_id,demand_score,created_at,updated_at
22237,4051,confirmed,620.92,7.99,245,,,,,,14.55,2026-08-06T23:05:49Z,2026-09-17T13:44:08Z
22238,3186,processing,2364.93,0,232,,,,,27080,70.04,2026-09-11T14:47:25Z,2026-09-17T13:44:08Z
22239,3373,routed,1072.89,7.99,246,,,,,23885,19.05,2026-08-11T20:59:58Z,2026-09-17T13:44:08Z
22240,2639,completed,899.97,14.99,221,,,,,,76.4,2026-07-25T14:57:14Z,2026-09-17T13:44:08Z
22241,3219,completed,1098.96,7.99,250,,,,,25999,21.68,2026-08-25T19:46:40Z,2026-09-17T13:44:08Z
22242,3444,completed,729.95,0,228,,,,,,73.7,2026-09-17T07:44:30Z,2026-09-17T13:44:08Z
22243,3343,cancelled,1079.94,7.99,241,,,,,,58.8,2026-08-09T22:48:11Z,2026-09-17T13:44:08Z
22244,2255,pending,1250.91,7.99,,,,,,25286,82.65,2026-08-18T19:06:23Z,2026-09-17T13:44:08Z
22245,2989,confirmed,929.95,7.99,247,,,,,,30.87,2026-09-14T02:41:48Z,2026-09-17T13:44:08Z
22246,4042,processing,369.95,14.99,237,,,,,,46.22,2026-09-13T17:30:34Z,2026-09-17T13:44:08Z
22247,2773,routed,653.93,14.99,246,,,,,,53.5,2026-08-23T23:53:58Z,2026-09-17T13:44:08Z
22248,2291,completed,1879.94,7.99,250,,,,,23612,61.44,2026-08-05T18:33:31Z,2026-09-17T13:44:08Z
22249,4077,completed,2359.9,0,229,,,,,23476,78.13,2026-07-25T08:23:29Z,2026-09-17T13:44:08Z
22250,3874,completed,409.96,7.99,245,,,,,,42.14,2026-08-27T14:36:09Z,2026-09-17T13:44:08Z
22251,3920,cancelled,582.96,14.99,246,,,,,,63.44,2026-09-09T11:16:07Z,2026-09-17T13:44:08Z
22252,3626,pending,359.97,14.99,,,,,,26478,20.05,2026-07-30T01:00:26Z,2026-09-17T13:44:08Z
22253,4120,confirmed,1999.96,14.99,224,,,,,,17.99,2026-09-16T19:36:44Z,2026-09-17T13:44:08Z
22254,3249,processing,2679.95,14.99,243,,,,,24444,52.74,2026-08-27T17:22:36Z,2026-09-17T13:44:08Z
22255,3820,routed,1124.96,0,250,,,,,,60.04,2026-08-05T05:08:59Z,2026-09-17T13:44:08Z
22256,2813,completed,219.96,7.99,230,,,,,22516,40.27,2026-08-04T10:50:57Z,2026-09-17T13:44:08Z
22257,2768,completed,187.97,0,238,,,,,22734,14,2026-08-14T11:38:01Z,2026-09-17T13:44:08Z
22258,3252,completed,1599.98,7.99,243,,,,,,18.35,2026-09-05T10:37:47Z,2026-09-17T13:44:08Z
22259,2579,cancelled,3109.88,7.99,239,,,,,22728,81.71,2026-08-26T23:23:39Z,2026-09-17T13:44:08Z
22260,2895,pending,74.97,7.99,,,,,,23670,11.22,2026-08-21T19:54:43Z,2026-09-17T13:44:08Z
22261,3002,confirmed,681.91,7.99,224,,,,,,35.96,2026-07-24T20:38:43Z,2026-09-17T13:44:08Z
22262,3673,processing,3094.95,0,234,,,,,,19.4,2026-08-05T00:06:14Z,2026-09-17T13:44:08Z
22263,2254,routed,308.96,7.99,239,,,,,22442,73.28,2026-09-15T00:47:28Z,2026-09-17T13:44:08Z
22264,2563,completed,1254.92,7.99,250,,,,,,10.97,2026-09-09T11:18:09Z,2026-09-17T13:44:08Z
22265,2386,completed,169.99,7.99,237,,,,,,68.2,2026-07-23T09:46:01Z,2026-09-17T13:44:08Z
22266,3981,completed,10049.91,0,224,,,,,,73.4,2026-09-11T00:30:15Z,2026-09-17T13:44:08Z
22267,2558,cancelled,298.96,7.99,235,,,,,23644,84,2026-09-10T09:13:35Z,2026-09-17T13:44:08Z
22268,2473,pending,8079.93,0,,,,,,23479,37.09,2026-08-27T22:25:25Z,2026-09-17T13:44:08Z
22269,3481,confirmed,1878.93,7.99,221,,,,,,55.15,2026-07-31T12:33:49Z,2026-09-17T13:44:08Z
22270,4095,processing,304.95,0,244,,,,,24083,75.84,2026-09-05T18:55:29Z,2026-09-17T13:44:08Z
22271,4172,routed,3649.92,7.99,243,,,,,,75.61,2026-07-29T14:05:18Z,2026-09-17T13:44:08Z
22272,3322,completed,1159.95,7.99,227,,,,,25458,34.62,2026-08-02T22:15:59Z,2026-09-17T13:44:08Z
22273,3806,completed,2269.9,7.99,222,,,,,,14.9,2026-09-12T20:56:58Z,2026-09-17T13:44:08Z
22274,4052,completed,244.95,7.99,231,,,,,,20.76,2026-08-29T01:44:09Z,2026-09-17T13:44:08Z
22275,3672,cancelled,6629.92,14.99,235,,,,,26880,44.03,2026-07-24T15:36:54Z,2026-09-17T13:44:08Z
22276,2868,pending,799.98,7.99,,,,,,22243,86.55,2026-08-21T21:58:31Z,2026-09-17T13:44:08Z
22277,2766,confirmed,899.98,0,236,,,,,,32.34,2026-08-16T04:25:39Z,2026-09-17T13:44:08Z
22278,2853,processing,118.97,7.99,223,,,,,23108,13.79,2026-08-12T00:22:05Z,2026-09-17T13:44:08Z
22279,3332,routed,329.97,14.99,247,,,,,,59.45,2026-07-26T09:38:11Z,2026-09-17T13:44:08Z
22280,2292,completed,448.94,7.99,233,,,,,23772,32.39,2026-08-11T17:55:39Z,2026-09-17T13:44:08Z
22281,2671,completed,1349.91,7.99,222,,,,,25694,74.06,2026-09-02T23:14:28Z,2026-09-17T13:44:08Z
22282,4037,completed,464.94,7.99,232,,,,,24468,89.79,2026-08-01T03:54:09Z,2026-09-17T13:44:08Z
22283,2684,cancelled,1049.96,7.99,239,,,,,,39.23,2026-08-06T12:20:35Z,2026-09-17T13:44:08Z
22284,3153,pending,94.97,14.99,,,,,,,50.33,2026-08-31T09:04:35Z,2026-09-17T13:44:08Z
22285,2723,confirmed,694.96,7.99,221,,,,,24859,59.09,2026-08-29T10:38:53Z,2026-09-17T13:44:08Z
22286,2739,processing,356.94,0,235,,,,,,79.2,2026-08-07T22:44:27Z,2026-09-17T13:44:08Z
22287,3701,routed,2499.99,7.99,250,,,,,26195,73.6,2026-08-10T20:46:03Z,2026-09-17T13:44:08Z
22288,3007,completed,957.91,0,223,,,,,24737,22.53,2026-08-05T01:14:23Z,2026-09-17T13:44:08Z
22289,2866,completed,199.99,14.99,242,,,,,,45.43,2026-09-02T22:08:41Z,2026-09-17T13:44:08Z
22290,4185,completed,949.97,0,238,,,,,26343,25.03,2026-09-01T19:06:38Z,2026-09-17T13:44:08Z
22291,3700,cancelled,299.97,7.99,234,,,,,,20.03,2026-09-02T17:56:00Z,2026-09-17T13:44:08Z
22292,2852,pending,869.93,14.99,,,,,,,72.89,2026-08-25T13:07:48Z,2026-09-17T13:44:08Z
22293,3363,confirmed,3682.88,14.99,232,,,,,,79.68,2026-08-08T12:11:35Z,2026-09-17T13:44:08Z
22294,3494,processing,629.95,7.99,249,,,,,27047,49.03,2026-08-05T06:29:06Z,2026-09-17T13:44:08Z
22295,2348,routed,3899.97,14.99,237,,,,,,36.59,2026-09-14T03:15:25Z,2026-09-17T13:44:08Z
22296,2516,completed,29.99,0,229,,,,,,81.29,2026-07-23T16:13:10Z,2026-09-17T13:44:08Z
22297,3505,completed,169.97,0,247,,,,,,25.43,2026-08-04T08:35:47Z,2026-09-17T13:44:08Z
22298,3540,completed,644.92,0,249,,,,,,19.6,2026-09-12T06:13:33Z,2026-09-17T13:44:08Z
22299,3117,cancelled,1169.91,0,222,,,,,,44.89,2026-08-09T20:10:09Z,2026-09-17T13:44:08Z
22300,2653,pending,1649.97,0,,,,,,22547,10.49,2026-09-05T09:37:49Z,2026-09-17T13:44:08Z
22301,4139,confirmed,689.95,14.99,244,,,,,,38.37,2026-07-23T09:43:18Z,2026-09-17T13:44:08Z
22302,3030,processing,158.97,14.99,242,,,,,,32.22,2026-09-04T18:40:04Z,2026-09-17T13:44:08Z
22303,2646,routed,74.97,7.99,223,,,,,,58.41,2026-08-24T02:56:01Z,2026-09-17T13:44:08Z
22304,2571,completed,749.91,0,230,,,,,,69.52,2026-07-27T04:08:54Z,2026-09-17T13:44:08Z
22305,3074,completed,777.92,14.99,244,,,,,,39.21,2026-08-04T05:38:13Z,2026-09-17T13:44:08Z
22306,3181,completed,209.97,7.99,224,,,,,,30.88,2026-08-19T18:12:38Z,2026-09-17T13:44:08Z
22307,3571,cancelled,1034.9,7.99,236,,,,,,15.68,2026-08-10T17:47:38Z,2026-09-17T13:44:08Z
22308,3143,pending,184.98,7.99,,,,,,,30.31,2026-08-17T05:15:47Z,2026-09-17T13:44:08Z
22309,2490,confirmed,974.97,0,221,,,,,,40.89,2026-08-01T13:40:15Z,2026-09-17T13:44:08Z
22310,4122,processing,129.98,7.99,234,,,,,,24.94,2026-07-21T09:55:33Z,2026-09-17T13:44:08Z
22311,2329,routed,3410.9,0,224,,,,,,70.87,2026-09-14T00:02:46Z,2026-09-17T13:44:08Z
22312,3436,completed,3854.92,7.99,233,,,,,,24.09,2026-08-30T19:00:23Z,2026-09-17T13:44:08Z
22313,3448,completed,57.98,7.99,243,,,,,24138,34.6,2026-08-01T17:34:21Z,2026-09-17T13:44:08Z
22314,2380,completed,74.97,0,245,,,,,23321,32.51,2026-08-01T20:33:35Z,2026-09-17T13:44:08Z
22315,3230,cancelled,53.98,0,225,,,,,,44.36,2026-08-31T04:34:34Z,2026-09-17T13:44:08Z
22316,4144,pending,1494.91,7.99,,,,,,,91.75,2026-08-04T09:08:37Z,2026-09-17T13:44:08Z
22317,2680,confirmed,2019.94,14.99,227,,,,,,85.37,2026-09-16T23:05:15Z,2026-09-17T13:44:08Z
22318,2907,processing,1488.92,0,232,,,,,26632,55.63,2026-08-24T19:19:40Z,2026-09-17T13:44:08Z
22319,3574,routed,2199.9,7.99,244,,,,,,92.63,2026-08-10T09:18:12Z,2026-09-17T13:44:08Z
22320,4049,completed,109.98,14.99,245,,,,,,57.16,2026-08-29T20:04:49Z,2026-09-17T13:44:08Z
22321,3817,completed,134.97,7.99,225,,,,,,48.28,2026-07-27T07:02:24Z,2026-09-17T13:44:08Z
22322,3122,completed,1548.9,7.99,239,,,,,,41.67,2026-09-10T14:09:25Z,2026-09-17T13:44:08Z
22323,3297,cancelled,1302.9,0,230,,,,,,61.53,2026-08-05T16:43:15Z,2026-09-17T13:44:08Z
22324,2902,pending,279.95,0,,,,,,,60.65,2026-09-15T13:02:45Z,2026-09-17T13:44:08Z
22325,4005,confirmed,514.94,14.99,249,,,,,,13.21,2026-08-02T01:29:09Z,2026-09-17T13:44:08Z
22326,3079,processing,3904.91,0,231,,,,,,15.51,2026-09-15T16:56:18Z,2026-09-17T13:44:08Z
22327,2880,routed,694.94,7.99,242,,,,,,16,2026-08-21T16:51:45Z,2026-09-17T13:44:08Z
22328,2276,completed,1339.89,0,233,,,,,22671,52.58,2026-07-20T17:57:41Z,2026-09-17T13:44:08Z
22329,2674,completed,589.95,7.99,229,,,,,,59.47,2026-08-17T15:28:33Z,2026-09-17T13:44:08Z
22330,3522,completed,771.94,14.99,234,,,,,,12.34,2026-08-30T13:55:34Z,2026-09-17T13:44:08Z
22331,2270,cancelled,287.92,7.99,231,,,,,,29.49,2026-07-28T13:56:12Z,2026-09-17T13:44:08Z
22332,2916,pending,3139.91,14.99,,,,,,,36.02,2026-08-06T09:45:58Z,2026-09-17T13:44:08Z
22333,4171,confirmed,117.98,7.99,225,,,,,,82.72,2026-08-20T12:26:21Z,2026-09-17T13:44:08Z
22334,3587,processing,599.93,7.99,236,,,,,,42.75,2026-08-29T18:21:13Z,2026-09-17T13:44:08Z
22335,3606,routed,279.99,0,221,,,,,,44.38,2026-09-01T04:04:52Z,2026-09-17T13:44:08Z
22336,4042,completed,339.97,0,248,,,,,,91.01,2026-08-28T11:44:52Z,2026-09-17T13:44:08Z
22337,2751,completed,2349.95,7.99,232,,,,,22727,38.62,2026-09-05T15:44:34Z,2026-09-17T13:44:08Z
22338,2848,completed,379.95,7.99,229,,,,,,21.63,2026-09-02T11:02:47Z,2026-09-17T13:44:08Z
22339,2328,cancelled,664.97,7.99,244,,,,,,38.96,2026-09-13T19:57:21Z,2026-09-17T13:44:08Z
22340,3753,pending,934.92,14.99,,,,,,,84.55,2026-07-28T14:22:11Z,2026-09-17T13:44:08Z
22341,2580,confirmed,179.96,0,232,,,,,,86.76,2026-07-26T09:59:22Z,2026-09-17T13:44:08Z
22342,3475,processing,6549.9,7.99,231,,,,,,13.3,2026-08-15T16:38:54Z,2026-09-17T13:44:08Z
22343,2418,routed,159.99,0,246,,,,,,70.74,2026-08-30T19:14:46Z,2026-09-17T13:44:08Z
22344,4022,completed,2229.97,7.99,239,,,,,,75.4,2026-09-07T12:34:20Z,2026-09-17T13:44:08Z
22345,2596,completed,299.99,7.99,248,,,,,,78.24,2026-07-24T03:44:11Z,2026-09-17T13:44:08Z
22346,3876,completed,299.99,7.99,239,,,,,,22.07,2026-08-05T09:27:27Z,2026-09-17T13:44:08Z
22347,2763,cancelled,669.96,0,245,,,,,,51.13,2026-08-20T13:35:16Z,2026-09-17T13:44:08Z
22348,3404,pending,827.94,7.99,,,,,,,66.99,2026-09-10T12:30:14Z,2026-09-17T13:44:08Z
22349,2953,confirmed,34.99,7.99,222,,,,,25205,27.4,2026-09-03T18:20:08Z,2026-09-17T13:44:08Z
22350,3877,processing,2794.98,0,230,,,,,,52.63,2026-09-02T12:37:00Z,2026-09-17T13:44:08Z
22351,2739,routed,49.98,0,242,,,,,,27.99,2026-08-27T18:04:53Z,2026-09-17T13:44:08Z
22352,2405,completed,1249.96,7.99,222,,,,,24525,45.7,2026-07-28T01:46:27Z,2026-09-17T13:44:08Z
22353,2356,completed,914.88,0,239,,,,,26426,83.02,2026-08-30T16:11:16Z,2026-09-17T13:44:08Z
22354,2489,completed,179.96,7.99,246,,,,,,26.84,2026-09-12T17:14:31Z,2026-09-17T13:44:08Z
22355,2597,cancelled,4539.96,7.99,234,,,,,,32.05,2026-07-25T14:52:41Z,2026-09-17T13:44:08Z
22356,2902,pending,2184.95,14.99,,,,,,,41.65,2026-09-09T02:23:11Z,2026-09-17T13:44:08Z
22357,2727,confirmed,24.99,0,223,,,,,,36.15,2026-09-12T21:37:22Z,2026-09-17T13:44:08Z
22358,2554,processing,169.96,0,243,,,,,26883,78.29,2026-08-12T10:33:37Z,2026-09-17T13:44:08Z
22359,4112,routed,1903.9,7.99,244,,,,,,15.31,2026-08-05T00:05:54Z,2026-09-17T13:44:08Z
22360,3256,completed,1253.92,7.99,233,,,,,,92.84,2026-09-13T00:24:07Z,2026-09-17T13:44:08Z
22361,3831,completed,799.95,0,245,,,,,,21.9,2026-08-05T08:18:32Z,2026-09-17T13:44:09Z
22362,2981,completed,959.95,14.99,231,,,,,,40,2026-08-03T07:44:06Z,2026-09-17T13:44:09Z
22363,4048,cancelled,138.98,0,229,,,,,,65.77,2026-08-14T07:43:59Z,2026-09-17T13:44:09Z
22364,2906,pending,225,7.99,,,,,,24864,53.07,2026-08-12T10:58:33Z,2026-09-17T13:44:09Z
22365,3955,confirmed,696.93,7.99,232,,,,,,25.09,2026-09-07T22:01:33Z,2026-09-17T13:44:09Z
22366,2447,processing,1859.94,7.99,224,,,,,,41.75,2026-07-22T03:35:19Z,2026-09-17T13:44:09Z
22367,2310,routed,393.95,7.99,229,,,,,25630,49.84,2026-09-06T02:03:00Z,2026-09-17T13:44:09Z
22368,3995,completed,1854.95,14.99,245,,,,,,83.98,2026-07-26T17:58:44Z,2026-09-17T13:44:09Z
22369,3578,completed,1209.96,7.99,242,,,,,,79.9,2026-08-21T12:07:05Z,2026-09-17T13:44:09Z
22370,3970,completed,1364.92,0,240,,,,,,69.12,2026-08-22T09:09:41Z,2026-09-17T13:44:09Z
22371,3206,cancelled,69.99,7.99,226,,,,,,72.59,2026-07-25T11:35:36Z,2026-09-17T13:44:09Z
22372,3387,pending,79.99,14.99,,,,,,,22.5,2026-09-04T17:03:21Z,2026-09-17T13:44:09Z
22373,3792,confirmed,959.88,14.99,226,,,,,,28.32,2026-07-26T14:11:59Z,2026-09-17T13:44:09Z
22374,3443,processing,639.9,14.99,248,,,,,,36.23,2026-08-13T14:42:48Z,2026-09-17T13:44:09Z
22375,3886,routed,450,7.99,229,,,,,,55.72,2026-07-26T00:50:42Z,2026-09-17T13:44:09Z
22376,3072,completed,2599.98,7.99,233,,,,,22250,90.65,2026-07-20T09:37:16Z,2026-09-17T13:44:09Z
22377,2305,completed,924.94,0,231,,,,,,20.23,2026-08-07T11:33:43Z,2026-09-17T13:44:09Z
22378,3479,completed,119.99,7.99,236,,,,,,42.05,2026-09-12T06:29:14Z,2026-09-17T13:44:09Z
22379,3919,cancelled,414.95,0,244,,,,,,93.98,2026-07-31T04:46:02Z,2026-09-17T13:44:09Z
22380,3349,pending,319.95,7.99,,,,,,,73.31,2026-09-15T03:06:48Z,2026-09-17T13:44:09Z
22381,2535,confirmed,1309.9,14.99,241,,,,,,28.82,2026-08-30T06:54:53Z,2026-09-17T13:44:09Z
22382,2575,processing,1429.91,7.99,249,,,,,,47.9,2026-07-29T13:58:01Z,2026-09-17T13:44:09Z
22383,3566,routed,1364.9,14.99,228,,,,,,47.48,2026-08-26T06:05:14Z,2026-09-17T13:44:09Z
22384,3250,completed,2274.96,7.99,230,,,,,,14.73,2026-08-11T09:25:30Z,2026-09-17T13:44:09Z
22385,2670,completed,1003.95,0,230,,,,,,74.18,2026-09-05T23:51:52Z,2026-09-17T13:44:09Z
22386,2609,completed,4198.96,0,226,,,,,,53.49,2026-07-19T21:05:09Z,2026-09-17T13:44:09Z
22387,3863,cancelled,1474.9,7.99,245,,,,,24748,79.26,2026-08-30T23:14:09Z,2026-09-17T13:44:09Z
22388,3613,pending,1319.95,7.99,,,,,,24878,40.95,2026-08-30T21:02:23Z,2026-09-17T13:44:09Z
22389,3696,confirmed,599.98,0,230,,,,,,81.23,2026-08-07T16:55:16Z,2026-09-17T13:44:09Z
22390,2857,processing,934.91,0,228,,,,,26782,52.63,2026-08-04T23:21:19Z,2026-09-17T13:44:09Z
22391,2917,routed,65.98,7.99,248,,,,,,86.92,2026-09-12T22:18:54Z,2026-09-17T13:44:09Z
22392,3556,completed,2147.9,0,230,,,,,,55.13,2026-07-26T09:31:33Z,2026-09-17T13:44:09Z
22393,3007,completed,1119.93,0,250,,,,,,28.97,2026-09-17T10:18:06Z,2026-09-17T13:44:09Z
22394,2270,completed,2264.91,7.99,243,,,,,,63.82,2026-09-09T08:14:23Z,2026-09-17T13:44:09Z
22395,3341,cancelled,1149.97,7.99,225,,,,,,62.2,2026-07-21T22:14:43Z,2026-09-17T13:44:09Z
22396,2938,pending,744.92,7.99,,,,,,,11.7,2026-09-15T23:55:09Z,2026-09-17T13:44:09Z
22397,3377,confirmed,5037.93,7.99,240,,,,,,40.37,2026-09-11T10:34:43Z,2026-09-17T13:44:09Z
22398,3212,processing,739.96,14.99,233,,,,,,21.54,2026-07-22T04:25:30Z,2026-09-17T13:44:09Z
22399,2930,routed,959.94,7.99,228,,,,,26898,45.23,2026-09-12T23:59:17Z,2026-09-17T13:44:09Z
22400,2661,completed,99.98,0,235,,,,,,59.7,2026-07-20T06:27:21Z,2026-09-17T13:44:09Z
22401,3644,completed,683.94,7.99,250,,,,,,47.91,2026-09-01T18:44:39Z,2026-09-17T13:44:09Z
22402,3094,completed,577.91,7.99,249,,,,,,38.14,2026-07-21T14:25:51Z,2026-09-17T13:44:09Z
22403,2551,cancelled,149.97,0,229,,,,,,33.61,2026-08-12T14:44:33Z,2026-09-17T13:44:09Z
22404,2903,pending,534.97,0,,,,,,,85.7,2026-08-30T14:58:54Z,2026-09-17T13:44:09Z
22405,3281,confirmed,628.96,7.99,232,,,,,,33.14,2026-07-23T04:54:22Z,2026-09-17T13:44:09Z
22406,3106,processing,504.95,14.99,223,,,,,,42.53,2026-07-20T06:31:35Z,2026-09-17T13:44:09Z
22407,3554,routed,2434.94,7.99,245,,,,,,10.55,2026-07-26T22:09:33Z,2026-09-17T13:44:09Z
22408,2651,completed,119.99,7.99,243,,,,,,34.44,2026-08-24T05:25:56Z,2026-09-17T13:44:09Z
22409,3182,completed,179.97,14.99,232,,,,,,71.53,2026-07-22T00:53:49Z,2026-09-17T13:44:09Z
22410,2406,completed,1796.91,14.99,246,,,,,,20.67,2026-09-09T12:40:05Z,2026-09-17T13:44:09Z
22411,2507,cancelled,217.96,7.99,226,,,,,25816,18.77,2026-09-14T02:48:14Z,2026-09-17T13:44:09Z
22412,2500,pending,599.98,7.99,,,,,,,70.69,2026-08-12T20:23:53Z,2026-09-17T13:44:09Z
22413,2922,confirmed,3564.97,14.99,229,,,,,,36.96,2026-09-10T23:43:04Z,2026-09-17T13:44:09Z
22414,2237,processing,699.99,7.99,244,,,,,24892,22.48,2026-08-15T00:36:21Z,2026-09-17T13:44:09Z
22415,2292,routed,527.97,7.99,240,,,,,26188,67.5,2026-07-23T13:56:34Z,2026-09-17T13:44:09Z
22416,3151,completed,519.96,7.99,246,,,,,,44.28,2026-07-21T20:13:42Z,2026-09-17T13:44:09Z
22417,3120,completed,1166.98,0,224,,,,,,75.73,2026-08-22T21:50:55Z,2026-09-17T13:44:09Z
22418,3103,completed,179.95,7.99,243,,,,,,64.93,2026-08-27T17:46:36Z,2026-09-17T13:44:09Z
22419,3367,cancelled,69.99,7.99,250,,,,,,62.08,2026-08-12T01:09:41Z,2026-09-17T13:44:09Z
22420,2651,pending,1414.9,7.99,,,,,,,14.72,2026-08-10T01:44:49Z,2026-09-17T13:44:09Z
22421,2639,confirmed,659.96,7.99,227,,,,,,39.47,2026-08-15T08:41:22Z,2026-09-17T13:44:09Z
22422,2767,processing,4499.88,7.99,237,,,,,25518,28.29,2026-08-24T23:16:03Z,2026-09-17T13:44:09Z
22423,2891,routed,155.96,7.99,222,,,,,,91.21,2026-09-02T12:34:51Z,2026-09-17T13:44:09Z
22424,2911,completed,959.96,14.99,246,,,,,22875,68.85,2026-07-24T11:44:00Z,2026-09-17T13:44:09Z
22425,3805,completed,10099.93,0,243,,,,,,55.85,2026-08-26T05:31:27Z,2026-09-17T13:44:09Z
22426,2489,completed,458.93,0,227,,,,,,88.19,2026-09-17T08:59:26Z,2026-09-17T13:44:09Z
22427,2636,cancelled,58.99,14.99,247,,,,,,47.37,2026-07-28T17:56:21Z,2026-09-17T13:44:09Z
22428,3700,pending,1124.94,0,,,,,,,94.72,2026-08-04T22:48:30Z,2026-09-17T13:44:09Z
22429,3838,confirmed,914.93,0,232,,,,,22997,53.88,2026-08-07T17:59:07Z,2026-09-17T13:44:09Z
22430,2406,processing,1179.92,7.99,222,,,,,,10.89,2026-07-19T13:46:58Z,2026-09-17T13:44:09Z
22431,3813,routed,899.97,0,234,,,,,25173,58.17,2026-08-31T07:41:53Z,2026-09-17T13:44:09Z
22432,4169,completed,4236.9,0,233,,,,,,17.61,2026-08-31T03:13:30Z,2026-09-17T13:44:09Z
22433,3478,completed,389.97,7.99,236,,,,,,18.27,2026-08-18T13:30:40Z,2026-09-17T13:44:09Z
22434,3816,completed,1129.9,0,234,,,,,22668,34.04,2026-08-27T16:36:57Z,2026-09-17T13:44:09Z
22435,2829,cancelled,69.99,7.99,244,,,,,26289,52.28,2026-08-26T22:47:30Z,2026-09-17T13:44:09Z
22436,2789,pending,1176.9,7.99,,,,,,26389,53.66,2026-07-22T16:58:11Z,2026-09-17T13:44:09Z
22437,2287,confirmed,299.97,7.99,237,,,,,,72.67,2026-07-31T00:54:48Z,2026-09-17T13:44:09Z
22438,3408,processing,1135.95,14.99,226,,,,,,34.49,2026-08-22T08:57:22Z,2026-09-17T13:44:09Z
22439,3378,routed,734.91,0,243,,,,,,77.62,2026-09-02T03:01:48Z,2026-09-17T13:44:09Z
22440,2891,completed,2309.9,7.99,221,,,,,22796,66.02,2026-09-16T00:36:59Z,2026-09-17T13:44:09Z
22441,3398,completed,2189.91,7.99,224,,,,,,36.17,2026-09-08T22:34:04Z,2026-09-17T13:44:09Z
22442,2563,completed,4322.9,0,234,,,,,,83.55,2026-09-09T10:44:26Z,2026-09-17T13:44:09Z
22443,3609,cancelled,646.91,7.99,248,,,,,,73.92,2026-08-24T23:41:36Z,2026-09-17T13:44:09Z
22444,2962,pending,939.95,0,,,,,,,59.89,2026-09-11T14:28:00Z,2026-09-17T13:44:09Z
22445,3421,confirmed,2396.89,7.99,239,,,,,27208,71.28,2026-09-13T19:53:56Z,2026-09-17T13:44:09Z
22446,4207,processing,4129.88,14.99,227,,,,,23898,93.09,2026-08-31T06:30:36Z,2026-09-17T13:44:09Z
22447,3396,routed,416.93,0,221,,,,,,84.77,2026-09-03T13:59:31Z,2026-09-17T13:44:09Z
22448,2319,completed,2519.98,0,231,,,,,,20.93,2026-07-23T23:20:23Z,2026-09-17T13:44:09Z
22449,2406,completed,2149.89,0,247,,,,,,36.79,2026-08-09T12:58:14Z,2026-09-17T13:44:09Z
22450,3473,completed,954.92,7.99,248,,,,,,57.29,2026-09-16T22:26:49Z,2026-09-17T13:44:09Z
22451,3713,cancelled,2519.9,7.99,237,,,,,23415,64.91,2026-08-08T05:58:40Z,2026-09-17T13:44:09Z
22452,2741,pending,1179.92,0,,,,,,,72.78,2026-09-17T02:48:26Z,2026-09-17T13:44:09Z
22453,3907,confirmed,1826.92,0,235,,,,,,40.81,2026-08-13T13:53:44Z,2026-09-17T13:44:09Z
22454,2867,processing,22.99,14.99,246,,,,,,84.65,2026-08-21T20:12:14Z,2026-09-17T13:44:09Z
22455,4049,routed,759.94,0,248,,,,,24834,11.16,2026-08-17T13:21:44Z,2026-09-17T13:44:09Z
