demand_forecast_id,manufactured_part_id,planning_region,forecast_date,predicted_unit_demand,lower_confidence_units,upper_confidence_units,production_signal_factor,model_version,forecast_explanation,created_at
53,1,New York Metro,2026-07-22,333,273,373,2,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
54,1,New York Metro,2026-07-23,350,279,379,2.02,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
55,1,New York Metro,2026-07-24,317,285,385,2.07,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
56,1,New York Metro,2026-07-25,317,291,391,2.18,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
57,1,New York Metro,2026-07-26,345,297,397,2.02,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
58,1,New York Metro,2026-07-27,360,303,403,2.07,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
59,1,New York Metro,2026-07-28,368,309,409,2.27,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
60,1,New York Metro,2026-07-29,374,315,415,2.19,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
61,1,Los Angeles Basin,2026-06-30,141,110,198,1.31,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""regional_supplier_notice"",""customer_forecast_update"",""peak_production_season""],""top_network_account"":""@supplier_maya"",""urgency_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-06-29T21:44:58Z
62,1,Los Angeles Basin,2026-07-01,157,115,203,1.38,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""regional_supplier_notice"",""customer_forecast_update"",""peak_production_season""],""top_network_account"":""@supplier_maya"",""urgency_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-06-29T21:44:58Z
63,1,Los Angeles Basin,2026-07-02,156,120,208,1.25,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""regional_supplier_notice"",""customer_forecast_update"",""peak_production_season""],""top_network_account"":""@supplier_maya"",""urgency_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-06-29T21:44:58Z
64,1,Los Angeles Basin,2026-07-03,152,125,213,1.27,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""regional_supplier_notice"",""customer_forecast_update"",""peak_production_season""],""top_network_account"":""@supplier_maya"",""urgency_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-06-29T21:44:58Z
65,1,Los Angeles Basin,2026-07-04,152,130,218,1.33,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""regional_supplier_notice"",""customer_forecast_update"",""peak_production_season""],""top_network_account"":""@supplier_maya"",""urgency_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-06-29T21:44:58Z
66,1,Los Angeles Basin,2026-07-05,176,135,223,1.39,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""regional_supplier_notice"",""customer_forecast_update"",""peak_production_season""],""top_network_account"":""@supplier_maya"",""urgency_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-06-29T21:44:58Z
67,1,Los Angeles Basin,2026-07-06,176,140,228,1.37,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""regional_supplier_notice"",""customer_forecast_update"",""peak_production_season""],""top_network_account"":""@supplier_maya"",""urgency_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-06-29T21:44:58Z
68,1,Los Angeles Basin,2026-07-07,201,145,233,1.58,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""regional_supplier_notice"",""customer_forecast_update"",""peak_production_season""],""top_network_account"":""@supplier_maya"",""urgency_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-06-29T21:44:58Z
69,1,Los Angeles Basin,2026-07-08,199,150,238,1.58,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""regional_supplier_notice"",""customer_forecast_update"",""peak_production_season""],""top_network_account"":""@supplier_maya"",""urgency_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-06-29T21:44:58Z
70,1,Los Angeles Basin,2026-07-09,178,155,243,1.5,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""regional_supplier_notice"",""customer_forecast_update"",""peak_production_season""],""top_network_account"":""@supplier_maya"",""urgency_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-06-29T21:44:58Z
71,1,Los Angeles Basin,2026-07-10,213,160,248,1.57,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""regional_supplier_notice"",""customer_forecast_update"",""peak_production_season""],""top_network_account"":""@supplier_maya"",""urgency_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-06-29T21:44:58Z
72,1,Los Angeles Basin,2026-07-11,220,165,253,1.53,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""regional_supplier_notice"",""customer_forecast_update"",""peak_production_season""],""top_network_account"":""@supplier_maya"",""urgency_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-06-29T21:44:58Z
73,1,Los Angeles Basin,2026-07-12,210,170,258,1.6,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""regional_supplier_notice"",""customer_forecast_update"",""peak_production_season""],""top_network_account"":""@supplier_maya"",""urgency_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-06-29T21:44:58Z
74,1,Los Angeles Basin,2026-07-13,232,175,263,1.66,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""regional_supplier_notice"",""customer_forecast_update"",""peak_production_season""],""top_network_account"":""@supplier_maya"",""urgency_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-06-29T21:44:58Z
75,1,Los Angeles Basin,2026-07-14,234,180,268,1.71,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""regional_supplier_notice"",""customer_forecast_update"",""peak_production_season""],""top_network_account"":""@supplier_maya"",""urgency_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-06-29T21:44:58Z
76,1,Los Angeles Basin,2026-07-15,232,185,273,1.73,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""regional_supplier_notice"",""customer_forecast_update"",""peak_production_season""],""top_network_account"":""@supplier_maya"",""urgency_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-06-29T21:44:58Z
77,1,Los Angeles Basin,2026-07-16,228,190,278,1.73,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""regional_supplier_notice"",""customer_forecast_update"",""peak_production_season""],""top_network_account"":""@supplier_maya"",""urgency_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-06-29T21:44:58Z
78,1,Los Angeles Basin,2026-07-17,251,195,283,1.61,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""regional_supplier_notice"",""customer_forecast_update"",""peak_production_season""],""top_network_account"":""@supplier_maya"",""urgency_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-06-29T21:44:58Z
79,1,Los Angeles Basin,2026-07-18,229,200,288,1.72,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""regional_supplier_notice"",""customer_forecast_update"",""peak_production_season""],""top_network_account"":""@supplier_maya"",""urgency_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-06-29T21:44:58Z
80,1,Los Angeles Basin,2026-07-19,265,205,293,1.82,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""regional_supplier_notice"",""customer_forecast_update"",""peak_production_season""],""top_network_account"":""@supplier_maya"",""urgency_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-06-29T21:44:58Z
