signal_part_mention_id,production_signal_id,manufactured_part_id,confidence_score,mention_type,created_at
68,105,21,0.796,direct,2026-06-29T21:44:57Z
69,106,14,0.862,semantic,2026-06-29T21:44:57Z
70,108,30,0.746,visual,2026-06-29T21:44:57Z
71,109,17,0.963,inferred,2026-06-29T21:44:57Z
72,110,22,0.971,direct,2026-06-29T21:44:57Z
73,111,1,0.944,semantic,2026-06-29T21:44:57Z
74,113,23,0.891,visual,2026-06-29T21:44:57Z
75,114,3,0.962,inferred,2026-06-29T21:44:57Z
76,115,23,0.969,direct,2026-06-29T21:44:57Z
77,116,16,0.834,semantic,2026-06-29T21:44:57Z
78,119,30,0.722,inferred,2026-06-29T21:44:57Z
79,120,28,0.994,direct,2026-06-29T21:44:57Z
80,121,2,0.85,semantic,2026-06-29T21:44:57Z
81,122,5,0.869,hashtag,2026-06-29T21:44:57Z
82,123,5,0.957,visual,2026-06-29T21:44:57Z
83,124,6,0.999,inferred,2026-06-29T21:44:57Z
84,126,21,0.956,semantic,2026-06-29T21:44:57Z
85,127,4,0.73,hashtag,2026-06-29T21:44:57Z
86,128,7,0.874,visual,2026-06-29T21:44:57Z
87,130,31,0.866,direct,2026-06-29T21:44:57Z
88,131,2,0.811,semantic,2026-06-29T21:44:57Z
89,132,14,0.896,hashtag,2026-06-29T21:44:57Z
90,133,19,0.943,visual,2026-06-29T21:44:57Z
91,134,15,0.817,inferred,2026-06-29T21:44:57Z
92,135,12,0.854,direct,2026-06-29T21:44:57Z
93,137,4,0.988,hashtag,2026-06-29T21:44:57Z
94,139,5,0.702,inferred,2026-06-29T21:44:57Z
95,140,8,0.955,direct,2026-06-29T21:44:57Z
96,141,2,0.936,semantic,2026-06-29T21:44:57Z
97,143,5,0.828,visual,2026-06-29T21:44:57Z
98,145,20,0.915,direct,2026-06-29T21:44:57Z
99,146,19,0.726,semantic,2026-06-29T21:44:57Z
100,147,13,0.847,hashtag,2026-06-29T21:44:57Z
101,149,6,0.891,inferred,2026-06-29T21:44:57Z
102,151,21,0.839,semantic,2026-06-29T21:44:57Z
103,152,17,0.97,hashtag,2026-06-29T21:44:57Z
104,153,10,0.797,visual,2026-06-29T21:44:57Z
105,155,14,0.947,direct,2026-06-29T21:44:57Z
106,157,18,0.892,hashtag,2026-06-29T21:44:57Z
107,158,5,0.965,visual,2026-06-29T21:44:57Z
108,159,26,0.963,inferred,2026-06-29T21:44:57Z
109,160,7,0.964,direct,2026-06-29T21:44:57Z
110,161,9,0.918,semantic,2026-06-29T21:44:57Z
111,162,27,0.956,hashtag,2026-06-29T21:44:57Z
112,164,3,0.959,inferred,2026-06-29T21:44:57Z
113,166,26,0.898,semantic,2026-06-29T21:44:57Z
114,169,31,0.863,inferred,2026-06-29T21:44:57Z
115,170,7,0.793,direct,2026-06-29T21:44:57Z
116,173,7,0.78,visual,2026-06-29T21:44:57Z
117,174,21,0.733,inferred,2026-06-29T21:44:57Z
118,176,25,0.861,semantic,2026-06-29T21:44:57Z
119,178,14,0.866,visual,2026-06-29T21:44:57Z
120,181,3,0.897,semantic,2026-06-29T21:44:57Z
121,183,11,0.739,visual,2026-06-29T21:44:57Z
122,188,31,0.82,visual,2026-06-29T21:44:57Z
123,190,9,0.923,direct,2026-06-29T21:44:57Z
124,191,20,0.921,semantic,2026-06-29T21:44:57Z
125,192,4,0.862,hashtag,2026-06-29T21:44:57Z
126,193,13,0.763,visual,2026-06-29T21:44:57Z
127,194,18,0.749,inferred,2026-06-29T21:44:57Z
128,195,27,0.742,direct,2026-06-29T21:44:57Z
129,196,13,0.812,semantic,2026-06-29T21:44:57Z
130,198,15,0.839,visual,2026-06-29T21:44:57Z
131,201,31,0.75,semantic,2026-06-29T21:44:57Z
132,202,7,0.806,hashtag,2026-06-29T21:44:57Z
133,203,29,0.879,visual,2026-06-29T21:44:57Z
134,204,21,0.876,inferred,2026-06-29T21:44:57Z
135,205,6,0.782,direct,2026-06-29T21:44:57Z
136,206,21,0.76,semantic,2026-06-29T21:44:57Z
137,207,14,0.741,hashtag,2026-06-29T21:44:57Z
138,208,11,0.715,visual,2026-06-29T21:44:57Z
139,209,28,0.789,inferred,2026-06-29T21:44:57Z
140,210,14,0.975,direct,2026-06-29T21:44:57Z
141,211,15,0.937,semantic,2026-06-29T21:44:57Z
142,212,23,0.859,hashtag,2026-06-29T21:44:57Z
143,214,15,0.804,inferred,2026-06-29T21:44:57Z
144,215,31,0.91,direct,2026-06-29T21:44:57Z
145,216,9,0.916,semantic,2026-06-29T21:44:57Z
146,217,7,0.934,hashtag,2026-06-29T21:44:57Z
147,219,20,0.987,inferred,2026-06-29T21:44:57Z
148,221,6,0.844,semantic,2026-06-29T21:44:57Z
149,223,11,0.869,visual,2026-06-29T21:44:57Z
150,224,20,0.809,inferred,2026-06-29T21:44:57Z
151,225,14,0.945,direct,2026-06-29T21:44:57Z
152,226,24,0.75,semantic,2026-06-29T21:44:57Z
153,227,23,0.974,hashtag,2026-06-29T21:44:57Z
154,229,11,0.708,inferred,2026-06-29T21:44:57Z
155,230,21,0.725,direct,2026-06-29T21:44:57Z
156,231,1,0.807,semantic,2026-06-29T21:44:57Z
157,233,29,0.905,visual,2026-06-29T21:44:57Z
158,234,1,0.82,inferred,2026-06-29T21:44:57Z
159,235,1,0.981,direct,2026-06-29T21:44:57Z
160,236,31,0.798,semantic,2026-06-29T21:44:57Z
161,237,1,0.897,hashtag,2026-06-29T21:44:57Z
162,238,15,0.832,visual,2026-06-29T21:44:57Z
163,239,25,0.879,inferred,2026-06-29T21:44:57Z
164,240,26,0.83,direct,2026-06-29T21:44:57Z
165,242,18,0.821,hashtag,2026-06-29T21:44:57Z
166,243,31,0.727,visual,2026-06-29T21:44:57Z
167,247,21,0.794,hashtag,2026-06-29T21:44:57Z
168,248,7,0.855,visual,2026-06-29T21:44:57Z
169,249,8,0.978,inferred,2026-06-29T21:44:57Z
170,252,7,0.885,hashtag,2026-06-29T21:44:57Z
171,254,4,0.872,inferred,2026-06-29T21:44:57Z
172,255,16,0.751,direct,2026-06-29T21:44:57Z
173,256,31,0.936,semantic,2026-06-29T21:44:57Z
174,257,6,0.733,hashtag,2026-06-29T21:44:57Z
175,262,2,0.751,hashtag,2026-06-29T21:44:57Z
176,263,31,0.728,visual,2026-06-29T21:44:57Z
177,264,12,0.878,inferred,2026-06-29T21:44:57Z
178,265,5,0.835,direct,2026-06-29T21:44:57Z
179,266,7,0.817,semantic,2026-06-29T21:44:57Z
180,268,28,0.854,visual,2026-06-29T21:44:57Z
181,269,29,0.772,inferred,2026-06-29T21:44:57Z
182,270,7,0.906,direct,2026-06-29T21:44:57Z
183,271,27,0.866,semantic,2026-06-29T21:44:57Z
184,272,1,0.755,hashtag,2026-06-29T21:44:57Z
185,273,2,0.759,visual,2026-06-29T21:44:57Z
186,276,10,0.933,semantic,2026-06-29T21:44:57Z
187,277,8,0.786,hashtag,2026-06-29T21:44:57Z
188,280,16,0.792,direct,2026-06-29T21:44:57Z
189,281,30,0.747,semantic,2026-06-29T21:44:57Z
190,282,6,0.98,hashtag,2026-06-29T21:44:57Z
191,283,4,0.823,visual,2026-06-29T21:44:57Z
192,284,20,0.766,inferred,2026-06-29T21:44:57Z
193,285,5,0.701,direct,2026-06-29T21:44:57Z
194,287,2,0.757,hashtag,2026-06-29T21:44:57Z
195,288,15,0.917,visual,2026-06-29T21:44:57Z
196,289,9,0.796,inferred,2026-06-29T21:44:57Z
197,291,3,0.819,semantic,2026-06-29T21:44:57Z
198,292,26,0.835,hashtag,2026-06-29T21:44:57Z
199,294,27,0.955,inferred,2026-06-29T21:44:57Z
200,295,21,0.849,direct,2026-06-29T21:44:57Z
201,296,24,0.912,semantic,2026-06-29T21:44:57Z
202,297,5,0.701,hashtag,2026-06-29T21:44:57Z
203,298,14,0.751,visual,2026-06-29T21:44:57Z
204,299,24,0.755,inferred,2026-06-29T21:44:57Z
205,303,20,0.808,visual,2026-06-29T21:44:57Z
206,304,6,0.72,inferred,2026-06-29T21:44:57Z
207,306,20,0.933,semantic,2026-06-29T21:44:57Z
208,308,13,0.762,visual,2026-06-29T21:44:57Z
209,309,22,0.793,inferred,2026-06-29T21:44:57Z
210,311,10,0.871,semantic,2026-06-29T21:44:57Z
211,313,21,0.792,visual,2026-06-29T21:44:57Z
212,314,8,0.732,inferred,2026-06-29T21:44:57Z
213,316,22,0.895,semantic,2026-06-29T21:44:57Z
214,317,24,0.75,hashtag,2026-06-29T21:44:57Z
215,318,4,0.702,visual,2026-06-29T21:44:57Z
216,320,2,0.832,direct,2026-06-29T21:44:57Z
217,321,1,0.961,semantic,2026-06-29T21:44:57Z
218,323,1,0.889,visual,2026-06-29T21:44:57Z
219,324,7,0.775,inferred,2026-06-29T21:44:57Z
220,325,30,0.9,direct,2026-06-29T21:44:57Z
221,326,1,0.723,semantic,2026-06-29T21:44:57Z
222,328,14,0.771,visual,2026-06-29T21:44:57Z
223,329,11,0.785,inferred,2026-06-29T21:44:57Z
224,330,1,0.798,direct,2026-06-29T21:44:57Z
225,331,11,0.959,semantic,2026-06-29T21:44:57Z
226,332,19,0.715,hashtag,2026-06-29T21:44:57Z
227,334,11,0.776,inferred,2026-06-29T21:44:57Z
228,335,6,0.87,direct,2026-06-29T21:44:57Z
229,338,28,0.811,visual,2026-06-29T21:44:57Z
230,339,25,0.869,inferred,2026-06-29T21:44:57Z
231,341,3,0.773,semantic,2026-06-29T21:44:57Z
232,345,8,0.76,direct,2026-06-29T21:44:57Z
233,346,10,0.962,semantic,2026-06-29T21:44:57Z
234,347,27,0.95,hashtag,2026-06-29T21:44:57Z
235,348,19,0.991,visual,2026-06-29T21:44:57Z
236,351,19,0.894,semantic,2026-06-29T21:44:57Z
237,354,30,0.934,inferred,2026-06-29T21:44:57Z
238,355,2,0.758,direct,2026-06-29T21:44:57Z
239,356,28,0.746,semantic,2026-06-29T21:44:57Z
240,360,24,0.801,direct,2026-06-29T21:44:57Z
241,362,24,0.771,hashtag,2026-06-29T21:44:57Z
242,363,1,0.948,visual,2026-06-29T21:44:57Z
243,366,18,0.804,semantic,2026-06-29T21:44:57Z
244,367,10,0.709,hashtag,2026-06-29T21:44:57Z
245,368,31,0.892,visual,2026-06-29T21:44:57Z
246,369,29,0.825,inferred,2026-06-29T21:44:57Z
247,371,19,0.743,semantic,2026-06-29T21:44:57Z
248,373,17,0.9,visual,2026-06-29T21:44:57Z
249,374,19,0.75,inferred,2026-06-29T21:44:57Z
250,376,29,0.773,semantic,2026-06-29T21:44:57Z
251,377,27,0.798,hashtag,2026-06-29T21:44:57Z
252,379,6,0.877,inferred,2026-06-29T21:44:57Z
253,380,16,0.762,direct,2026-06-29T21:44:57Z
254,383,27,0.985,visual,2026-06-29T21:44:57Z
255,384,24,0.701,inferred,2026-06-29T21:44:57Z
256,385,29,0.934,direct,2026-06-29T21:44:57Z
257,386,18,0.733,semantic,2026-06-29T21:44:57Z
258,387,6,0.86,hashtag,2026-06-29T21:44:57Z
259,388,5,0.753,visual,2026-06-29T21:44:57Z
260,389,20,0.732,inferred,2026-06-29T21:44:57Z
261,390,25,0.767,direct,2026-06-29T21:44:57Z
262,391,27,0.814,semantic,2026-06-29T21:44:57Z
263,393,6,0.867,visual,2026-06-29T21:44:57Z
264,395,24,0.973,direct,2026-06-29T21:44:57Z
265,397,2,0.816,hashtag,2026-06-29T21:44:57Z
266,399,15,0.915,inferred,2026-06-29T21:44:57Z
267,400,11,0.991,direct,2026-06-29T21:44:57Z
268,403,13,0.93,visual,2026-06-29T21:44:57Z
269,404,4,0.849,inferred,2026-06-29T21:44:57Z
270,405,26,0.8,direct,2026-06-29T21:44:57Z
271,407,18,0.857,hashtag,2026-06-29T21:44:57Z
272,408,25,0.744,visual,2026-06-29T21:44:57Z
273,409,16,0.724,inferred,2026-06-29T21:44:57Z
274,410,16,0.706,direct,2026-06-29T21:44:57Z
275,411,9,0.751,semantic,2026-06-29T21:44:57Z
276,412,22,0.974,hashtag,2026-06-29T21:44:57Z
277,413,16,0.985,visual,2026-06-29T21:44:57Z
278,415,21,0.857,direct,2026-06-29T21:44:57Z
279,417,6,0.847,hashtag,2026-06-29T21:44:57Z
280,418,12,0.797,visual,2026-06-29T21:44:57Z
281,420,4,0.728,direct,2026-06-29T21:44:57Z
282,421,12,0.964,semantic,2026-06-29T21:44:57Z
283,422,30,0.988,hashtag,2026-06-29T21:44:57Z
284,423,8,0.755,visual,2026-06-29T21:44:57Z
285,425,28,0.783,direct,2026-06-29T21:44:57Z
286,428,22,0.895,visual,2026-06-29T21:44:57Z
287,429,18,0.841,inferred,2026-06-29T21:44:57Z
288,432,26,0.74,hashtag,2026-06-29T21:44:57Z
289,434,16,0.788,inferred,2026-06-29T21:44:57Z
290,435,4,0.983,direct,2026-06-29T21:44:57Z
291,437,11,0.942,hashtag,2026-06-29T21:44:57Z
292,438,1,0.997,visual,2026-06-29T21:44:57Z
293,439,8,0.919,inferred,2026-06-29T21:44:57Z
294,440,23,0.81,direct,2026-06-29T21:44:57Z
295,441,1,0.854,semantic,2026-06-29T21:44:57Z
296,444,21,0.867,inferred,2026-06-29T21:44:57Z
297,446,9,0.863,semantic,2026-06-29T21:44:57Z
298,447,4,0.914,hashtag,2026-06-29T21:44:57Z
299,448,23,0.921,visual,2026-06-29T21:44:57Z
300,449,11,0.749,inferred,2026-06-29T21:44:57Z
301,450,13,0.92,direct,2026-06-29T21:44:57Z
302,452,2,0.869,hashtag,2026-06-29T21:44:57Z
303,453,24,0.712,visual,2026-06-29T21:44:57Z
304,455,13,0.726,direct,2026-06-29T21:44:57Z
305,456,27,0.82,semantic,2026-06-29T21:44:57Z
306,457,26,0.922,hashtag,2026-06-29T21:44:57Z
307,458,14,0.798,visual,2026-06-29T21:44:57Z
308,459,9,0.822,inferred,2026-06-29T21:44:57Z
309,462,16,0.751,hashtag,2026-06-29T21:44:57Z
310,463,31,0.992,visual,2026-06-29T21:44:57Z
311,464,22,0.976,inferred,2026-06-29T21:44:57Z
312,466,17,0.917,semantic,2026-06-29T21:44:57Z
313,467,25,0.838,hashtag,2026-06-29T21:44:57Z
314,468,26,0.709,visual,2026-06-29T21:44:57Z
315,469,24,0.842,inferred,2026-06-29T21:44:57Z
316,470,31,0.878,direct,2026-06-29T21:44:57Z
317,471,16,0.96,semantic,2026-06-29T21:44:57Z
318,472,25,0.76,hashtag,2026-06-29T21:44:57Z
319,473,5,0.902,visual,2026-06-29T21:44:57Z
320,474,26,0.951,inferred,2026-06-29T21:44:57Z
321,475,11,0.997,direct,2026-06-29T21:44:57Z
322,476,16,0.816,semantic,2026-06-29T21:44:57Z
323,477,29,0.723,hashtag,2026-06-29T21:44:57Z
324,478,2,0.87,visual,2026-06-29T21:44:57Z
325,479,7,0.818,inferred,2026-06-29T21:44:57Z
326,481,18,0.843,semantic,2026-06-29T21:44:57Z
327,483,21,0.795,visual,2026-06-29T21:44:57Z
328,484,11,0.915,inferred,2026-06-29T21:44:57Z
329,485,2,0.982,direct,2026-06-29T21:44:57Z
330,488,7,0.851,visual,2026-06-29T21:44:57Z
331,489,22,0.939,inferred,2026-06-29T21:44:57Z
332,491,1,0.954,semantic,2026-06-29T21:44:57Z
333,492,15,0.772,hashtag,2026-06-29T21:44:57Z
334,494,27,0.949,inferred,2026-06-29T21:44:57Z
335,495,20,0.744,direct,2026-06-29T21:44:57Z
336,496,31,0.993,semantic,2026-06-29T21:44:57Z
337,498,7,0.81,visual,2026-06-29T21:44:57Z
338,499,2,0.778,inferred,2026-06-29T21:44:57Z
339,500,25,0.909,direct,2026-06-29T21:44:57Z
340,502,3,0.839,hashtag,2026-06-29T21:44:57Z
341,503,8,0.911,visual,2026-06-29T21:44:57Z
342,504,31,0.863,inferred,2026-06-29T21:44:57Z
343,505,29,0.751,direct,2026-06-29T21:44:57Z
344,506,26,0.957,semantic,2026-06-29T21:44:57Z
345,507,29,0.982,hashtag,2026-06-29T21:44:57Z
346,508,25,0.877,visual,2026-06-29T21:44:57Z
347,509,24,0.97,inferred,2026-06-29T21:44:57Z
348,510,20,0.894,direct,2026-06-29T21:44:57Z
349,511,25,0.844,semantic,2026-06-29T21:44:57Z
350,512,21,0.979,hashtag,2026-06-29T21:44:57Z
351,514,24,0.742,inferred,2026-06-29T21:44:57Z
352,516,14,0.959,semantic,2026-06-29T21:44:57Z
353,517,8,0.712,hashtag,2026-06-29T21:44:57Z
354,523,4,0.871,visual,2026-06-29T21:44:57Z
355,524,26,0.935,inferred,2026-06-29T21:44:57Z
356,525,7,0.779,direct,2026-06-29T21:44:57Z
357,527,10,0.975,hashtag,2026-06-29T21:44:57Z
358,528,19,0.816,visual,2026-06-29T21:44:57Z
359,529,17,0.915,inferred,2026-06-29T21:44:57Z
360,532,23,0.977,hashtag,2026-06-29T21:44:57Z
361,535,3,0.811,direct,2026-06-29T21:44:57Z
362,536,8,0.844,semantic,2026-06-29T21:44:57Z
363,537,18,0.865,hashtag,2026-06-29T21:44:57Z
364,538,26,0.736,visual,2026-06-29T21:44:57Z
365,539,27,0.751,inferred,2026-06-29T21:44:57Z
366,541,18,0.876,semantic,2026-06-29T21:44:57Z
367,542,11,0.735,hashtag,2026-06-29T21:44:57Z
368,543,9,0.997,visual,2026-06-29T21:44:57Z
369,544,17,0.93,inferred,2026-06-29T21:44:57Z
370,546,18,0.929,semantic,2026-06-29T21:44:57Z
371,547,6,0.88,hashtag,2026-06-29T21:44:57Z
372,548,5,0.937,visual,2026-06-29T21:44:57Z
373,549,20,0.753,inferred,2026-06-29T21:44:57Z
374,551,23,0.875,semantic,2026-06-29T21:44:57Z
375,553,10,0.751,visual,2026-06-29T21:44:57Z
376,555,8,0.942,direct,2026-06-29T21:44:57Z
377,556,2,0.944,semantic,2026-06-29T21:44:57Z
378,557,8,0.918,hashtag,2026-06-29T21:44:57Z
379,558,20,0.823,visual,2026-06-29T21:44:57Z
380,559,30,0.884,inferred,2026-06-29T21:44:57Z
381,560,6,0.767,direct,2026-06-29T21:44:57Z
382,561,15,0.96,semantic,2026-06-29T21:44:57Z
383,562,15,0.851,hashtag,2026-06-29T21:44:57Z
384,564,26,0.917,inferred,2026-06-29T21:44:57Z
385,565,28,0.887,direct,2026-06-29T21:44:57Z
386,566,31,0.972,semantic,2026-06-29T21:44:57Z
387,568,23,0.962,visual,2026-06-29T21:44:57Z
388,569,26,0.968,inferred,2026-06-29T21:44:57Z
389,574,26,1,inferred,2026-06-29T21:44:57Z
390,575,7,0.976,direct,2026-06-29T21:44:57Z
391,576,29,0.899,semantic,2026-06-29T21:44:57Z
392,577,31,0.791,hashtag,2026-06-29T21:44:57Z
393,579,20,0.965,inferred,2026-06-29T21:44:57Z
394,580,8,0.753,direct,2026-06-29T21:44:57Z
395,581,11,0.908,semantic,2026-06-29T21:44:57Z
396,582,5,0.79,hashtag,2026-06-29T21:44:57Z
397,583,11,0.881,visual,2026-06-29T21:44:57Z
398,584,12,0.964,inferred,2026-06-29T21:44:57Z
399,585,18,0.968,direct,2026-06-29T21:44:57Z
400,587,21,0.78,hashtag,2026-06-29T21:44:57Z
401,588,9,0.717,visual,2026-06-29T21:44:57Z
402,589,23,0.923,inferred,2026-06-29T21:44:57Z
403,591,28,0.838,semantic,2026-06-29T21:44:57Z
404,592,5,0.868,hashtag,2026-06-29T21:44:57Z
405,593,26,0.827,visual,2026-06-29T21:44:57Z
406,594,25,0.801,inferred,2026-06-29T21:44:57Z
407,595,6,0.832,direct,2026-06-29T21:44:57Z
408,597,13,0.866,hashtag,2026-06-29T21:44:57Z
409,598,11,0.782,visual,2026-06-29T21:44:57Z
410,599,25,0.736,inferred,2026-06-29T21:44:57Z
411,600,7,0.917,direct,2026-06-29T21:44:57Z
412,601,6,0.989,semantic,2026-06-29T21:44:57Z
413,602,3,0.906,hashtag,2026-06-29T21:44:57Z
414,604,3,0.88,inferred,2026-06-29T21:44:57Z
415,605,7,0.876,direct,2026-06-29T21:44:57Z
416,606,13,0.902,semantic,2026-06-29T21:44:57Z
417,607,14,0.867,hashtag,2026-06-29T21:44:57Z
418,608,12,0.77,visual,2026-06-29T21:44:57Z
419,609,13,0.887,inferred,2026-06-29T21:44:57Z
420,610,28,0.978,direct,2026-06-29T21:44:57Z
421,611,31,0.929,semantic,2026-06-29T21:44:57Z
422,612,7,0.763,hashtag,2026-06-29T21:44:57Z
423,613,21,0.78,visual,2026-06-29T21:44:57Z
424,614,12,0.916,inferred,2026-06-29T21:44:57Z
425,617,3,0.864,hashtag,2026-06-29T21:44:57Z
426,618,5,0.825,visual,2026-06-29T21:44:57Z
427,619,4,0.742,inferred,2026-06-29T21:44:57Z
428,620,30,0.737,direct,2026-06-29T21:44:57Z
429,622,16,0.977,hashtag,2026-06-29T21:44:57Z
430,623,19,0.828,visual,2026-06-29T21:44:57Z
431,624,1,0.805,inferred,2026-06-29T21:44:57Z
432,625,17,0.8,direct,2026-06-29T21:44:57Z
433,627,8,0.826,hashtag,2026-06-29T21:44:57Z
434,628,22,0.793,visual,2026-06-29T21:44:57Z
435,629,21,0.911,inferred,2026-06-29T21:44:57Z
436,631,20,0.838,semantic,2026-06-29T21:44:57Z
437,632,28,0.854,hashtag,2026-06-29T21:44:57Z
438,633,10,0.822,visual,2026-06-29T21:44:57Z
439,634,28,0.841,inferred,2026-06-29T21:44:57Z
440,635,5,0.745,direct,2026-06-29T21:44:57Z
441,636,3,0.753,semantic,2026-06-29T21:44:57Z
442,637,10,0.745,hashtag,2026-06-29T21:44:57Z
443,638,13,0.782,visual,2026-06-29T21:44:57Z
444,640,5,0.878,direct,2026-06-29T21:44:57Z
445,641,12,0.956,semantic,2026-06-29T21:44:57Z
446,646,9,0.984,semantic,2026-06-29T21:44:57Z
447,647,31,0.74,hashtag,2026-06-29T21:44:57Z
448,648,3,0.704,visual,2026-06-29T21:44:57Z
449,649,23,0.89,inferred,2026-06-29T21:44:57Z
450,650,21,0.876,direct,2026-06-29T21:44:57Z
451,651,31,0.79,semantic,2026-06-29T21:44:57Z
452,653,5,0.954,visual,2026-06-29T21:44:57Z
453,655,9,0.965,direct,2026-06-29T21:44:57Z
454,656,13,0.928,semantic,2026-06-29T21:44:57Z
455,657,11,0.865,hashtag,2026-06-29T21:44:57Z
456,658,12,0.817,visual,2026-06-29T21:44:57Z
457,660,3,0.703,direct,2026-06-29T21:44:57Z
458,662,7,0.836,hashtag,2026-06-29T21:44:57Z
459,663,6,0.944,visual,2026-06-29T21:44:57Z
460,665,17,0.82,direct,2026-06-29T21:44:57Z
461,666,4,0.907,semantic,2026-06-29T21:44:57Z
462,667,23,0.769,hashtag,2026-06-29T21:44:57Z
463,668,20,0.796,visual,2026-06-29T21:44:57Z
464,670,31,0.719,direct,2026-06-29T21:44:57Z
465,671,20,0.903,semantic,2026-06-29T21:44:57Z
466,672,14,0.744,hashtag,2026-06-29T21:44:57Z
467,673,20,0.996,visual,2026-06-29T21:44:57Z
468,675,20,0.981,direct,2026-06-29T21:44:57Z
469,676,9,0.717,semantic,2026-06-29T21:44:57Z
470,677,28,0.978,hashtag,2026-06-29T21:44:57Z
471,678,7,0.754,visual,2026-06-29T21:44:57Z
472,679,8,0.754,inferred,2026-06-29T21:44:57Z
473,680,11,0.911,direct,2026-06-29T21:44:57Z
474,682,20,0.784,hashtag,2026-06-29T21:44:57Z
475,683,25,0.841,visual,2026-06-29T21:44:57Z
476,684,6,0.703,inferred,2026-06-29T21:44:57Z
477,685,8,0.823,direct,2026-06-29T21:44:57Z
478,686,28,0.887,semantic,2026-06-29T21:44:57Z
479,687,30,0.777,hashtag,2026-06-29T21:44:57Z
480,688,31,0.85,visual,2026-06-29T21:44:57Z
481,689,14,0.705,inferred,2026-06-29T21:44:57Z
482,690,5,0.723,direct,2026-06-29T21:44:57Z
483,692,20,0.886,hashtag,2026-06-29T21:44:57Z
