work_order_line_id,work_order_id,manufactured_part_id,requested_units,planned_unit_value,assigned_plant_id
793,271,7,1,1460,6
794,271,14,2,1250,6
795,271,6,1,145,6
796,271,16,3,5200,6
797,272,11,1,520,2
798,272,23,2,98,2
799,272,5,1,680,2
800,272,23,1,98,2
801,273,14,3,1250,2
802,273,25,1,475,2
803,273,29,1,580,2
804,274,19,1,74,9
805,274,8,2,210,9
806,274,10,3,275,9
807,274,26,1,340,9
808,275,29,2,580,12
809,275,18,1,430,12
810,275,14,3,1250,12
811,275,14,2,1250,12
812,275,30,2,46,12
813,276,13,2,980,11
814,276,14,1,1250,11
815,276,24,3,260,11
816,276,25,1,475,11
817,277,1,3,1280,
818,277,8,1,210,
819,278,7,2,1460,6
820,278,2,2,18400,6
821,279,19,3,74,6
822,279,15,2,360,6
823,279,18,1,430,6
824,279,21,1,110,6
825,280,30,1,46,1
826,280,31,1,88,1
827,280,10,3,275,1
828,280,17,3,8900,1
829,280,1,3,1280,1
830,281,15,2,360,9
831,282,17,3,8900,6
832,282,16,2,5200,6
833,282,16,3,5200,6
834,282,13,1,980,6
835,282,6,3,145,6
836,283,4,1,92,7
837,283,3,1,740,7
838,283,9,1,390,7
839,283,18,3,430,7
840,283,12,1,185,7
841,284,18,2,430,12
842,285,15,1,360,
843,286,7,2,1460,10
844,286,3,2,740,10
845,286,2,1,18400,10
846,286,24,3,260,10
847,287,17,2,8900,11
848,287,3,1,740,11
849,288,31,3,88,4
850,288,3,2,740,4
851,288,5,1,680,4
852,288,26,3,340,4
853,288,9,2,390,4
854,289,12,3,185,10
855,289,31,1,88,10
856,290,22,2,132,11
857,291,31,3,88,8
858,291,7,2,1460,8
859,291,27,3,720,8
860,291,28,2,390,8
861,291,30,3,46,8
862,292,27,1,720,2
863,292,14,3,1250,2
864,292,28,3,390,2
865,292,2,1,18400,2
866,292,4,2,92,2
867,293,27,1,720,
868,294,23,3,98,2
869,294,1,3,1280,2
870,294,8,3,210,2
871,294,27,1,720,2
872,295,23,3,98,7
873,296,31,3,88,2
874,296,9,3,390,2
875,297,13,2,980,11
876,297,22,3,132,11
877,298,1,3,1280,3
878,298,26,2,340,3
879,298,26,3,340,3
880,298,26,2,340,3
881,298,16,3,5200,3
882,299,29,2,580,5
883,299,6,3,145,5
884,299,11,1,520,5
885,299,7,2,1460,5
886,299,9,2,390,5
887,300,30,3,46,1
888,300,23,2,98,1
889,300,7,2,1460,1
890,300,21,1,110,1
891,301,27,3,720,
892,301,7,1,1460,
893,301,12,2,185,
894,301,26,3,340,
895,301,26,3,340,
896,302,11,3,520,8
897,302,18,2,430,8
898,302,19,3,74,8
899,302,2,3,18400,8
900,302,3,2,740,8
901,303,9,1,390,2
902,303,24,3,260,2
903,303,22,3,132,2
904,303,20,1,620,2
905,304,29,2,580,6
906,304,25,1,475,6
907,305,12,3,185,12
908,305,13,3,980,12
909,305,31,1,88,12
910,306,17,1,8900,7
911,306,29,3,580,7
912,306,9,2,390,7
913,306,18,3,430,7
914,307,25,3,475,9
915,308,27,3,720,7
916,309,19,2,74,
917,310,8,1,210,4
918,310,15,1,360,4
919,310,6,2,145,4
920,310,7,2,1460,4
921,311,23,2,98,9
922,311,25,1,475,9
923,311,26,2,340,9
924,312,19,3,74,6
925,313,19,3,74,1
926,314,23,3,98,4
927,315,26,1,340,4
928,315,1,1,1280,4
929,315,20,3,620,4
930,315,14,3,1250,4
931,315,23,1,98,4
932,316,20,2,620,1
933,316,28,2,390,1
934,316,21,2,110,1
935,317,5,1,680,
936,317,7,1,1460,
937,317,30,3,46,
938,317,23,3,98,
939,318,9,3,390,5
940,318,26,2,340,5
941,318,8,2,210,5
942,318,7,2,1460,5
943,318,19,1,74,5
944,319,9,3,390,10
945,319,23,2,98,10
946,319,12,3,185,10
947,320,29,2,580,8
948,320,31,1,88,8
949,320,27,3,720,8
950,320,7,3,1460,8
951,321,24,1,260,9
952,321,14,1,1250,9
953,321,23,2,98,9
954,322,9,2,390,8
955,322,31,3,88,8
956,322,5,2,680,8
957,323,11,2,520,5
958,324,3,3,740,12
959,324,31,3,88,12
960,325,8,2,210,
961,325,28,3,390,
962,326,28,2,390,10
963,327,28,3,390,1
964,327,6,2,145,1
965,328,28,2,390,7
966,328,16,1,5200,7
967,328,24,1,260,7
968,329,16,3,5200,4
969,329,14,3,1250,4
970,329,17,1,8900,4
971,329,26,2,340,4
972,329,24,1,260,4
973,330,3,2,740,3
974,331,21,3,110,12
975,331,26,1,340,12
976,331,19,3,74,12
977,331,24,3,260,12
978,332,17,3,8900,5
979,332,18,1,430,5
980,332,23,1,98,5
981,332,10,2,275,5
982,333,30,3,46,
983,333,26,1,340,
984,334,14,1,1250,2
985,335,1,1,1280,11
986,335,22,2,132,11
987,335,9,1,390,11
988,335,4,2,92,11
989,335,30,2,46,11
990,336,5,1,680,12
991,336,7,1,1460,12
992,336,23,1,98,12
993,337,19,1,74,8
994,337,31,2,88,8
995,337,23,1,98,8
996,337,4,2,92,8
997,337,9,2,390,8
998,338,26,2,340,2
999,338,21,2,110,2
1000,338,19,3,74,2
1001,338,29,2,580,2
1002,338,5,1,680,2
1003,339,18,3,430,3
1004,339,14,3,1250,3
1005,339,13,2,980,3
1006,340,9,1,390,5
1007,341,28,2,390,
1008,342,7,2,1460,10
1009,342,7,2,1460,10
1010,342,5,2,680,10
1011,343,5,2,680,9
1012,343,5,3,680,9
1013,343,13,3,980,9
1014,344,20,2,620,10
1015,344,18,3,430,10
1016,344,30,1,46,10
1017,345,24,1,260,5
1018,345,24,3,260,5
1019,345,13,2,980,5
1020,345,8,2,210,5
1021,346,1,1,1280,12
1022,346,12,3,185,12
1023,347,4,1,92,5
1024,347,27,1,720,5
1025,347,4,2,92,5
1026,347,6,3,145,5
1027,348,23,1,98,1
1028,348,1,1,1280,1
1029,348,19,1,74,1
1030,349,7,2,1460,
1031,349,6,2,145,
1032,349,9,1,390,
1033,349,5,3,680,
1034,350,11,2,520,12
1035,350,13,1,980,12
1036,350,1,1,1280,12
1037,351,26,3,340,12
1038,351,23,2,98,12
1039,351,28,1,390,12
1040,351,24,3,260,12
1041,352,17,3,8900,9
1042,352,27,1,720,9
1043,353,15,1,360,2
1044,353,21,1,110,2
1045,354,22,2,132,6
1046,354,22,1,132,6
1047,355,31,3,88,3
1048,356,27,1,720,4
1049,357,24,1,260,
1050,357,14,1,1250,
1051,358,29,1,580,4
1052,358,27,1,720,4
1053,359,13,3,980,9
1054,360,29,1,580,9
1055,360,28,1,390,9
1056,360,27,1,720,9
1057,360,24,1,260,9
1058,361,22,1,132,1
1059,361,25,2,475,1
1060,361,27,1,720,1
1061,361,29,3,580,1
1062,361,26,2,340,1
1063,362,28,3,390,9
1064,362,14,1,1250,9
1065,362,6,2,145,9
1066,362,25,1,475,9
1067,363,2,2,18400,11
1068,363,3,3,740,11
1069,363,2,1,18400,11
1070,363,31,2,88,11
1071,363,18,2,430,11
1072,364,28,3,390,9
1073,364,4,1,92,9
1074,364,13,2,980,9
1075,364,13,1,980,9
1076,364,1,3,1280,9
1077,365,27,2,720,
1078,365,1,2,1280,
1079,365,26,3,340,
1080,366,24,3,260,1
1081,366,3,1,740,1
1082,367,4,2,92,6
1083,367,1,3,1280,6
1084,367,24,1,260,6
1085,368,4,2,92,4
1086,368,6,2,145,4
1087,369,13,2,980,7
1088,369,12,2,185,7
1089,369,21,2,110,7
1090,369,22,2,132,7
1091,370,11,3,520,3
1092,370,9,2,390,3
1093,370,23,1,98,3
1094,371,25,2,475,9
1095,371,2,2,18400,9
1096,371,15,1,360,9
1097,371,25,1,475,9
1098,371,23,1,98,9
1099,372,4,2,92,11
1100,372,24,3,260,11
1101,372,22,3,132,11
1102,372,25,2,475,11
1103,373,4,1,92,
1104,373,1,3,1280,
1105,373,11,3,520,
1106,373,21,3,110,
1107,374,19,2,74,12
1108,374,18,2,430,12
1109,374,24,1,260,12
1110,375,29,3,580,7
1111,375,5,1,680,7
1112,375,8,2,210,7
1113,376,7,2,1460,8
1114,376,9,1,390,8
1115,377,22,1,132,4
1116,377,20,2,620,4
1117,377,24,2,260,4
1118,377,22,3,132,4
1119,378,16,1,5200,4
1120,378,14,3,1250,4
1121,378,21,1,110,4
1122,378,4,3,92,4
1123,378,8,3,210,4
1124,379,6,2,145,11
1125,379,5,1,680,11
1126,379,18,2,430,11
1127,379,29,2,580,11
1128,379,28,3,390,11
1129,380,13,3,980,9
1130,380,20,1,620,9
1131,381,4,1,92,
1132,381,21,3,110,
1133,381,23,1,98,
1134,381,20,1,620,
1135,381,2,3,18400,
1136,382,31,1,88,12
1137,382,23,2,98,12
1138,382,18,2,430,12
1139,382,1,2,1280,12
