production_signal_id,network_account_id,signal_channel_code,external_signal_id,signal_text,observed_at,acknowledgement_count,propagation_count,response_count,observation_count,sentiment_score,urgency_score,detected_part_ids,momentum_code,processed_at,created_at
43,87,partner_operations,ext_tiktok_00000043,Remote monitoring alerts are helping the team catch downtime risk before a line stop,2026-05-18T21:44:57Z,638,4,24,17509,0.187,,,stable,,2026-06-29T21:44:57Z
44,,quality_bulletin,ext_threads_00000044,Added Lightweight Aluminum Extrusion to the high-priority build plan. Thank you AlloyWorks Fabrication for closing the gap,2026-05-17T21:44:57Z,957,71,28,16871,0.793,,,stable,,2026-06-29T21:44:57Z
45,182,partner_operations,ext_tiktok_00000045,The plant is seeing increased demand for changeover tooling after schedule changes,2026-05-16T21:44:57Z,886,49,24,15330,0.666,,,stable,,2026-06-29T21:44:57Z
46,362,market_feed,ext_youtube_00000046,Production planners are flagging Vibration Analytics Gateway from Pacific Sensor Systems as a bottleneck this week,2026-05-15T21:44:57Z,671,36,44,8972,0.627,,,stable,,2026-06-29T21:44:57Z
47,74,market_feed,ext_youtube_00000047,Supplier update: Vibration Analytics Gateway capacity at Pacific Sensor Systems is getting tight after a spike in work orders,2026-05-14T21:44:57Z,507,51,31,8930,0.72,,,stable,,2026-06-29T21:44:57Z
48,279,plant_floor,ext_instagram_00000048,Production planners are coordinating work orders across fabrication cells today,2026-05-13T21:44:57Z,879,43,23,18423,0.164,,,stable,,2026-06-29T21:44:57Z
49,325,partner_operations,ext_tiktok_00000049,Condition-monitoring follow-up: demand for Line Changeover Gauge Set is up and NordicTool Works needs more capacity slots,2026-05-12T21:44:57Z,2397,1085,318,41762,0.534,,,elevated,,2026-06-29T21:44:57Z
50,519,partner_operations,ext_tiktok_00000050,"Two-week review of NordicTool Works High-Precision Drill Fixture: strong yield, but capacity planning matters",2026-05-11T21:44:57Z,6555,497,145,82832,0.229,,,elevated,,2026-06-29T21:44:57Z
51,175,quality_bulletin,ext_threads_00000051,Bearing and seal kits are the top request in our maintenance channel this week,2026-05-10T21:44:57Z,12733,11967,4885,281246,0.255,,,escalating,,2026-06-29T21:44:57Z
52,311,supplier_portal,ext_twitter_00000052,Operations huddle: prioritize Apex Automation Systems Servo Drive Controller AX-400 before the weekend production surge,2026-05-09T21:44:57Z,3590,1687,579,20622,0.226,,,elevated,,2026-06-29T21:44:57Z
53,37,partner_operations,ext_tiktok_00000053,Supplier quality screening is surfacing new need for Vibration Analytics Gateway from Pacific Sensor Systems,2026-05-08T21:44:57Z,900,32,39,4088,0.838,,,stable,,2026-06-29T21:44:57Z
54,135,quality_bulletin,ext_threads_00000054,Transportation delays are slowing component availability for several customer programs,2026-05-07T21:44:57Z,905,65,0,5412,0.676,,,stable,,2026-06-29T21:44:57Z
55,,plant_floor,ext_instagram_00000055,Day 30 with the Injection Molded Gear Housing workflow and the operations team says Quantum Plastics Group reduced manual expediting,2026-05-06T21:44:57Z,300,31,19,10901,0.547,,,stable,,2026-06-29T21:44:57Z
56,347,market_feed,ext_youtube_00000056,Quality engineers keep asking for inspection capacity before launch builds,2026-05-05T21:44:57Z,805,88,13,13440,0.645,,,stable,,2026-06-29T21:44:57Z
57,309,plant_floor,ext_instagram_00000057,Maintenance teams need better spare-part outreach after recent unplanned downtime,2026-05-04T21:44:57Z,22072,5542,4980,638098,0.298,,,escalating,,2026-06-29T21:44:57Z
58,14,market_feed,ext_youtube_00000058,Morning S&OP review featuring Robotic Palletizer Control Cabinet. Apex Automation Systems needs pre-positioned production capacity,2026-05-03T21:44:57Z,7689,763,972,169698,0.894,,,elevated,,2026-06-29T21:44:57Z
59,,quality_bulletin,ext_threads_00000059,Added Injection Molded Gear Housing to the high-priority build plan. Thank you Quantum Plastics Group for closing the gap,2026-05-02T21:44:57Z,604,59,3,3570,0.865,,,stable,,2026-06-29T21:44:57Z
60,401,supplier_portal,ext_twitter_00000060,Operators are asking for clearer shortage signals and faster replenishment windows,2026-05-01T21:44:57Z,493,88,32,17188,0.335,,,stable,,2026-06-29T21:44:57Z
61,212,partner_operations,ext_tiktok_00000061,Production planners are flagging Bearing and Seal Maintenance Kit from Summit Industrial Supply as a bottleneck this week,2026-04-30T21:44:57Z,911,61,13,8823,0.744,,,stable,,2026-06-29T21:44:57Z
62,454,plant_floor,ext_instagram_00000062,Supplier update: Vibration Analytics Gateway capacity at Pacific Sensor Systems is getting tight after a spike in work orders,2026-04-29T21:44:57Z,8249,1656,148,111698,0.258,,,elevated,,2026-06-29T21:44:57Z
63,445,partner_operations,ext_tiktok_00000063,Plant dispatch note - Summit Industrial Supply Safety Stock Replenishment Bundle is the part every line wants scheduled right now,2026-04-28T21:44:57Z,349,48,12,9492,0.417,,,stable,,2026-06-29T21:44:57Z
64,173,supplier_portal,ext_twitter_00000064,Condition-monitoring follow-up: demand for Temperature Sensor Node is up and Pacific Sensor Systems needs more capacity slots,2026-04-27T21:44:57Z,38,48,28,1858,0.642,,,stable,,2026-06-29T21:44:57Z
65,475,partner_operations,ext_tiktok_00000065,"Two-week review of CircuitForge Electronics Power Regulation Board: strong yield, but capacity planning matters",2026-04-26T21:44:57Z,199,97,28,2595,0.646,,,stable,,2026-06-29T21:44:57Z
66,508,plant_floor,ext_instagram_00000066,Quality engineers keep asking for inspection capacity before launch builds,2026-04-25T21:44:57Z,950,28,41,9582,0.576,,,stable,,2026-06-29T21:44:57Z
67,44,market_feed,ext_youtube_00000067,Maintenance teams need better spare-part outreach after recent unplanned downtime,2026-04-24T21:44:57Z,548,93,34,5073,0.158,,,stable,,2026-06-29T21:44:57Z
68,426,supplier_portal,ext_twitter_00000068,Supplier quality screening is surfacing new need for Modular CNC Workholding Kit from NordicTool Works,2026-04-23T21:44:57Z,812,93,26,11828,0.312,,,stable,,2026-06-29T21:44:57Z
69,214,market_feed,ext_youtube_00000069,"If your plants need Nickel Alloy Heat Shield, check AlloyWorks Fabrication availability early; slots are moving fast",2026-04-22T21:44:57Z,26803,13802,7969,224798,0.804,,,escalating,,2026-06-29T21:44:57Z
70,89,market_feed,ext_youtube_00000070,Day 30 with the Line Utilization Beacon workflow and the operations team says Pacific Sensor Systems reduced manual expediting,2026-04-21T21:44:57Z,428,2,20,4461,0.487,,,stable,,2026-06-29T21:44:57Z
71,461,supplier_portal,ext_twitter_00000071,Bearing and seal kits are the top request in our maintenance channel this week,2026-04-20T21:44:57Z,5321,1089,482,106950,0.445,,,elevated,,2026-06-29T21:44:57Z
72,502,quality_bulletin,ext_threads_00000072,Line supervisors need earlier visibility into production slot availability,2026-04-19T21:44:57Z,7505,1434,349,121918,-0.161,,,elevated,,2026-06-29T21:44:57Z
73,75,quality_bulletin,ext_threads_00000073,Morning S&OP review featuring Welded Structural Bracket Set. PrecisionCast Foundry needs pre-positioned production capacity,2026-04-18T21:44:57Z,24752,12866,1335,684029,0.438,,,escalating,,2026-06-29T21:44:57Z
74,360,partner_operations,ext_tiktok_00000074,Added High-Precision Drill Fixture to the high-priority build plan. Thank you NordicTool Works for closing the gap,2026-04-17T21:44:57Z,352,32,6,19305,0.472,,,stable,,2026-06-29T21:44:57Z
75,165,quality_bulletin,ext_threads_00000075,Line supervisors are asking for CNC Machined Pump Impeller through PrecisionCast Foundry; demand is clearly rising,2026-04-16T21:44:57Z,2479,1275,317,87267,0.52,,,elevated,,2026-06-29T21:44:57Z
76,275,partner_operations,ext_tiktok_00000076,Production planners are flagging Bearing and Seal Maintenance Kit from Summit Industrial Supply as a bottleneck this week,2026-04-15T21:44:57Z,6110,611,263,152726,0.556,,,elevated,,2026-06-29T21:44:57Z
77,214,market_feed,ext_youtube_00000077,Supplier update: Line Changeover Gauge Set capacity at NordicTool Works is getting tight after a spike in work orders,2026-04-14T21:44:57Z,470,85,49,14099,0.864,,,stable,,2026-06-29T21:44:57Z
78,292,market_feed,ext_youtube_00000078,Plant dispatch note - Summit Industrial Supply Bearing and Seal Maintenance Kit is the part every line wants scheduled right now,2026-04-13T21:44:57Z,592,19,21,6131,0.551,,,stable,,2026-06-29T21:44:57Z
79,283,quality_bulletin,ext_threads_00000079,Supplier constraints are creating new handoffs to procurement and logistics partners,2026-04-12T21:44:57Z,7423,1128,830,165841,-0.297,,,elevated,,2026-06-29T21:44:57Z
80,368,quality_bulletin,ext_threads_00000080,"Two-week review of NordicTool Works High-Precision Drill Fixture: strong yield, but capacity planning matters",2026-04-11T21:44:57Z,308,30,9,14414,0.825,,,stable,,2026-06-29T21:44:57Z
81,401,supplier_portal,ext_twitter_00000081,Bearing and seal kits are the top request in our maintenance channel this week,2026-04-10T21:44:57Z,121,72,1,11902,-0.291,,,stable,,2026-06-29T21:44:57Z
82,302,market_feed,ext_youtube_00000082,Operations huddle: prioritize RoboFlex Assembly Collaborative Assembly Cell Slot before the weekend production surge,2026-04-09T21:44:57Z,5671,679,342,52606,0.489,,,elevated,,2026-06-29T21:44:57Z
83,463,quality_bulletin,ext_threads_00000083,Supplier quality screening is surfacing new need for Vibration Analytics Gateway from Pacific Sensor Systems,2026-04-08T21:44:57Z,345,31,38,1637,0.767,,,stable,,2026-06-29T21:44:57Z
84,126,plant_floor,ext_instagram_00000084,Transportation delays are slowing component availability for several customer programs,2026-04-07T21:44:57Z,26800,5724,6646,941988,-0.043,,,escalating,,2026-06-29T21:44:57Z
85,,plant_floor,ext_instagram_00000085,The plant is seeing increased demand for changeover tooling after schedule changes,2026-04-06T21:44:57Z,226,72,40,13245,0.228,,,stable,,2026-06-29T21:44:57Z
86,206,plant_floor,ext_instagram_00000086,Quality engineers keep asking for inspection capacity before launch builds,2026-04-05T21:44:57Z,78946,40218,21296,2605542,0.732,,,critical,,2026-06-29T21:44:57Z
87,208,supplier_portal,ext_twitter_00000087,Maintenance teams need better spare-part outreach after recent unplanned downtime,2026-04-04T21:44:57Z,9451,1194,168,39553,0.419,,,elevated,,2026-06-29T21:44:57Z
88,319,plant_floor,ext_instagram_00000088,Production planners are coordinating work orders across fabrication cells today,2026-04-03T21:44:57Z,46914,8766,5301,312529,0.87,,,escalating,,2026-06-29T21:44:57Z
89,313,quality_bulletin,ext_threads_00000089,Added Welded Structural Bracket Set to the high-priority build plan. Thank you PrecisionCast Foundry for closing the gap,2026-04-02T21:44:57Z,7889,369,351,102365,0.355,,,elevated,,2026-06-29T21:44:57Z
90,364,plant_floor,ext_instagram_00000090,Line supervisors are asking for Bearing and Seal Maintenance Kit through Summit Industrial Supply; demand is clearly rising,2026-04-01T21:44:57Z,8358,1729,472,86802,0.585,,,elevated,,2026-06-29T21:44:57Z
91,156,plant_floor,ext_instagram_00000091,Production planners are flagging EV Motor Stator Assembly from MotorWorks Mobility as a bottleneck this week,2026-03-31T21:44:57Z,20,54,11,1207,0.589,,,stable,,2026-06-29T21:44:57Z
92,114,market_feed,ext_youtube_00000092,Supplier update: Thermal Management Manifold capacity at MotorWorks Mobility is getting tight after a spike in work orders,2026-03-30T21:44:57Z,794,47,9,11930,0.899,,,stable,,2026-06-29T21:44:57Z
93,289,plant_floor,ext_instagram_00000093,Plant dispatch note - Quantum Plastics Group Industrial-Grade Enclosure Shell is the part every line wants scheduled right now,2026-03-29T21:44:57Z,459,51,24,6805,0.785,,,stable,,2026-06-29T21:44:57Z
94,229,market_feed,ext_youtube_00000094,Transportation delays are slowing component availability for several customer programs,2026-03-28T21:44:57Z,978,13,40,15923,0.876,,,stable,,2026-06-29T21:44:57Z
95,108,supplier_portal,ext_twitter_00000095,The plant is seeing increased demand for changeover tooling after schedule changes,2026-03-27T21:44:57Z,6729,353,783,138194,0.052,,,elevated,,2026-06-29T21:44:57Z
96,,partner_operations,ext_tiktok_00000096,Maintenance teams keep asking where to find Injection Molded Gear Housing. Quantum Plastics Group is showing up in every shortage thread,2026-03-26T21:44:57Z,1892,1116,107,150000,0.589,,,elevated,,2026-06-29T21:44:57Z
97,153,supplier_portal,ext_twitter_00000097,Operations huddle: prioritize PrecisionCast Foundry Investment Cast Valve Body before the weekend production surge,2026-03-25T21:44:57Z,148,76,9,8645,0.482,,,stable,,2026-06-29T21:44:57Z
98,281,supplier_portal,ext_twitter_00000098,Supplier quality screening is surfacing new need for Ruggedized Edge Compute Module from CircuitForge Electronics,2026-03-24T21:44:57Z,213,12,14,1714,0.772,,,stable,,2026-06-29T21:44:57Z
99,74,market_feed,ext_youtube_00000099,"If your plants need CNC Machined Pump Impeller, check PrecisionCast Foundry availability early; slots are moving fast",2026-03-23T21:44:57Z,29983,5764,1241,671850,0.932,,,escalating,,2026-06-29T21:44:57Z
100,271,supplier_portal,ext_twitter_00000100,Operators are asking for clearer shortage signals and faster replenishment windows,2026-03-22T21:44:57Z,5608,607,852,44392,0.698,,,elevated,,2026-06-29T21:44:57Z
101,145,quality_bulletin,ext_threads_00000101,Recommended AlloyWorks Fabrication Nickel Alloy Heat Shield to a production planner today because avoidable downtime is the risk,2026-03-21T21:44:57Z,9028,1884,521,188749,0.231,,,elevated,,2026-06-29T21:44:57Z
102,136,plant_floor,ext_instagram_00000102,"Thought Line Changeover Gauge Set demand would level off, but NordicTool Works is still seeing urgent work orders",2026-03-20T21:44:57Z,766,79,49,7134,0.882,,,stable,,2026-06-29T21:44:57Z
103,184,market_feed,ext_youtube_00000103,Morning S&OP review featuring EV Motor Stator Assembly. MotorWorks Mobility needs pre-positioned production capacity,2026-03-19T21:44:57Z,360,38,6,11071,0.363,,,stable,,2026-06-29T21:44:57Z
104,262,market_feed,ext_youtube_00000104,Added Servo Drive Controller AX-400 to the high-priority build plan. Thank you Apex Automation Systems for closing the gap,2026-03-18T21:44:57Z,327,18,10,17791,0.778,,,stable,,2026-06-29T21:44:57Z
105,61,plant_floor,ext_instagram_00000105,Line supervisors are asking for Line Utilization Beacon through Pacific Sensor Systems; demand is clearly rising,2026-03-17T21:44:57Z,9590,1176,771,64466,0.726,,,elevated,,2026-06-29T21:44:57Z
106,91,plant_floor,ext_instagram_00000106,Production planners are flagging Modular CNC Workholding Kit from NordicTool Works as a bottleneck this week,2026-03-16T21:44:57Z,498,71,37,3992,0.63,,,stable,,2026-06-29T21:44:57Z
107,67,partner_operations,ext_tiktok_00000107,Maintenance teams need better spare-part outreach after recent unplanned downtime,2026-03-15T21:44:57Z,339,77,1,245,0.043,,,stable,,2026-06-29T21:44:57Z
108,46,plant_floor,ext_instagram_00000108,Plant dispatch note - GreenPack Materials Recyclable Protective Packaging Insert is the part every line wants scheduled right now,2026-03-14T21:44:57Z,847,19,29,17084,0.526,,,stable,,2026-06-29T21:44:57Z
109,371,supplier_portal,ext_twitter_00000109,Condition-monitoring follow-up: demand for Vision Inspection Station is up and RoboFlex Assembly needs more capacity slots,2026-03-13T21:44:57Z,728,79,4,8469,0.609,,,stable,,2026-06-29T21:44:57Z
110,273,quality_bulletin,ext_threads_00000110,"Two-week review of Quantum Plastics Group Injection Molded Gear Housing: strong yield, but capacity planning matters",2026-03-12T21:44:57Z,197,38,14,12609,0.419,,,stable,,2026-06-29T21:44:57Z
111,183,supplier_portal,ext_twitter_00000111,Maintenance teams keep asking where to find Servo Drive Controller AX-400. Apex Automation Systems is showing up in every shortage thread,2026-03-11T21:44:57Z,458,1,26,19291,0.762,,,stable,,2026-06-29T21:44:57Z
112,54,market_feed,ext_youtube_00000112,Line supervisors need earlier visibility into production slot availability,2026-03-10T21:44:57Z,492,90,31,8725,0.598,,,stable,,2026-06-29T21:44:57Z
113,407,market_feed,ext_youtube_00000113,Supplier quality screening is surfacing new need for Industrial-Grade Enclosure Shell from Quantum Plastics Group,2026-03-09T21:44:57Z,5530,1783,312,57464,0.756,,,elevated,,2026-06-29T21:44:57Z
114,286,supplier_portal,ext_twitter_00000114,"If your plants need Predictive Maintenance Sensor Pack, check Apex Automation Systems availability early; slots are moving fast",2026-03-08T21:44:57Z,1738,1659,833,25465,0.25,,,elevated,,2026-06-29T21:44:57Z
115,103,supplier_portal,ext_twitter_00000115,Day 30 with the Industrial-Grade Enclosure Shell workflow and the operations team says Quantum Plastics Group reduced manual expediting,2026-03-07T21:44:57Z,3588,1519,977,44975,0.87,,,elevated,,2026-06-29T21:44:57Z
116,,partner_operations,ext_tiktok_00000116,Recommended RoboFlex Assembly Collaborative Assembly Cell Slot to a production planner today because avoidable downtime is the risk,2026-03-06T21:44:57Z,153,20,24,11934,0.587,,,stable,,2026-06-29T21:44:57Z
117,130,quality_bulletin,ext_threads_00000117,Maintenance teams need better spare-part outreach after recent unplanned downtime,2026-03-05T21:44:57Z,9306,1846,252,45209,0.732,,,elevated,,2026-06-29T21:44:57Z
118,273,quality_bulletin,ext_threads_00000118,Production planners are coordinating work orders across fabrication cells today,2026-03-04T21:44:57Z,510,33,42,17117,-0.161,,,stable,,2026-06-29T21:44:57Z
119,277,market_feed,ext_youtube_00000119,Added Recyclable Protective Packaging Insert to the high-priority build plan. Thank you GreenPack Materials for closing the gap,2026-03-03T21:44:57Z,394,18,35,19473,0.85,,,stable,,2026-06-29T21:44:57Z
120,208,supplier_portal,ext_twitter_00000120,Line supervisors are asking for Hydraulic Actuator Repair Kit through Titan Parts Network; demand is clearly rising,2026-03-02T21:44:57Z,42678,13836,3023,290961,0.355,,,escalating,,2026-06-29T21:44:57Z
121,82,partner_operations,ext_tiktok_00000121,Production planners are flagging Robotic Palletizer Control Cabinet from Apex Automation Systems as a bottleneck this week,2026-03-01T21:44:57Z,525,90,10,356,0.257,,,stable,,2026-06-29T21:44:57Z
122,57,partner_operations,ext_tiktok_00000122,Supplier update: Ruggedized Edge Compute Module capacity at CircuitForge Electronics is getting tight after a spike in work orders,2026-02-28T21:44:57Z,382070,17809,46478,12345328,0.655,,,critical,,2026-06-29T21:44:57Z
123,168,supplier_portal,ext_twitter_00000123,Plant dispatch note - CircuitForge Electronics Ruggedized Edge Compute Module is the part every line wants scheduled right now,2026-02-27T21:44:57Z,516,61,22,5665,0.874,,,stable,,2026-06-29T21:44:57Z
124,368,quality_bulletin,ext_threads_00000124,Condition-monitoring follow-up: demand for Power Regulation Board is up and CircuitForge Electronics needs more capacity slots,2026-02-26T21:44:57Z,898,76,25,9083,0.23,,,stable,,2026-06-29T21:44:57Z
125,110,quality_bulletin,ext_threads_00000125,The plant is seeing increased demand for changeover tooling after schedule changes,2026-02-25T21:44:57Z,484,72,8,6313,-0.259,,,stable,,2026-06-29T21:44:57Z
