post_id,influencer_id,platform,external_post_id,post_text,posted_at,likes_count,shares_count,comments_count,views_count,sentiment_score,virality_score,detected_products,momentum_flag,processed_at,created_at
13,433,threads,pg_threads_00000013,Assortment planner flagged substitute demand for ApexCamp 3P Tent; NorthStar Outdoor Advisors pickup incentives should be tested,2026-03-16T06:29:16Z,8353,1291,289,36604,0.346,,13,rising,,2026-04-13T09:16:48Z
14,168,twitter,pg_twitter_00000014,Customer propensity model ranked PulseTrack GPS Watch; GulfRun Supply loyalty audience likely to convert,2026-03-16T21:20:02Z,388,27,28,2362,0.22,,14,normal,,2026-04-13T09:16:48Z
15,393,threads,pg_threads_00000015,Safety update references ApexBand HR Sensor; Midwest Pickup Network store teams should confirm return reason codes,2026-03-30T03:36:06Z,450,69,26,13524,0.577,,15,normal,,2026-04-13T09:16:48Z
16,31,instagram,pg_instagram_00000016,Peak season forecast raised for CadencePro Bike Computer; Pacific Commerce Network demand multiplier is accelerating,2026-03-16T08:33:54Z,6234,367,158,43652,0.441,,16,rising,,2026-04-13T09:16:48Z
17,195,threads,pg_threads_00000017,Marketplace listing change mentions RecoveryPulse Massage Sleeve; ReturnSure Labs channel margin should be monitored,2026-03-24T21:42:54Z,36,58,40,17410,0.749,,17,normal,,2026-04-13T09:16:48Z
18,137,tiktok,pg_tiktok_00000018,Store master update affects PowerRack Adjustable Kettlebell; RouteOne Fulfillment location eligibility needs validation,2026-03-21T18:42:55Z,895,38,39,13025,0.763,,18,normal,,2026-04-13T09:16:48Z
19,194,youtube,pg_youtube_00000019,Lakehouse catalog enrichment matched CoreBalance Yoga Kit; Waterline Outdoor semantic search coverage improved,2026-04-06T16:59:04Z,7988,1000,449,120669,0.779,,19,rising,,2026-04-13T09:16:48Z
20,179,youtube,pg_youtube_00000020,Operations signal added CourtCore Basketball; RecoveryFit Wellness allocation workflow requested,2026-03-15T02:51:36Z,147,7,13,18799,0.379,,20,normal,,2026-04-13T09:16:48Z
21,482,youtube,pg_youtube_00000021,ElectraRide Devices saw creator demand spike for GoalLine Team Kit; store allocation should be reviewed,2026-04-02T19:22:39Z,447,23,17,19023,0.737,,21,normal,,2026-04-13T09:16:48Z
22,63,twitter,pg_twitter_00000022,Dynamic price match alert references DiamondPro Baseball Glove; ReCycle Outdoor Exchange competitor pricing moved in two regions,2026-03-18T04:54:51Z,3801,1875,236,174783,0.726,,22,rising,,2026-04-13T09:16:48Z
23,6,instagram,pg_instagram_00000023,POS transaction surge detected for Waterline SUP Board; DemandDesk Analytics replenishment plan should be refreshed,2026-03-18T09:56:56Z,2546,770,677,87102,-0.006,,23,rising,,2026-04-13T09:16:48Z
24,432,youtube,pg_youtube_00000024,Returns audit note mentions CoastalDry Duffel; HealthPeak Wearables product content and sizing guidance need review,2026-04-13T07:09:20Z,938,85,17,17211,0.049,,24,normal,,2026-04-13T09:16:48Z
25,377,youtube,pg_youtube_00000025,Store pickup demand increased for TeamPack Sideline Bundle; CleanTrail Apparel nearby inventory should be repositioned,2026-03-30T21:13:35Z,154,86,49,14601,0.238,,25,normal,,2026-04-13T09:16:48Z
26,272,youtube,pg_youtube_00000026,E-commerce search trend rising for Dynamic Price Match Bundle; BridgeLine B2B Gear campaign targeting score improved,2026-04-03T03:05:28Z,252,95,7,9167,0.317,,26,normal,,2026-04-13T09:16:48Z
27,89,youtube,pg_youtube_00000027,Weather and trail conditions lifted demand for Returns Audit Starter Kit; StockGuard Advisors regional forecast moved up,2026-04-11T20:39:14Z,888,58,33,11895,0.356,,27,normal,,2026-04-13T09:16:48Z
28,163,twitter,pg_twitter_00000028,B2B team order inquiry references Product Image Enrichment Pack; FinePoint Digital school athletics pipeline is increasing,2026-04-13T01:26:31Z,202,80,0,1852,0.782,,28,normal,,2026-04-13T09:16:48Z
29,9,youtube,pg_youtube_00000029,Product image enrichment requested for Store Master Info Kit; Portside Outdoor Supply catalog completeness needs attention,2026-04-05T06:50:23Z,7681,483,461,199724,0.782,,29,rising,,2026-04-13T09:16:48Z
30,459,instagram,pg_instagram_00000030,Product manual search spike mentions Customer Propensity Offer Pack; AltitudeYield Gear service content should be promoted,2026-03-27T07:19:52Z,39872,7674,7908,969881,0.584,,30,viral,,2026-04-13T09:16:48Z
31,158,twitter,pg_twitter_00000031,Influencer review mentions SummitStride Trail Runner 2; PurePack Travel sentiment and conversion likelihood improved,2026-03-16T06:37:36Z,282,59,1,17958,0.925,,31,normal,,2026-04-13T09:16:48Z
32,170,threads,pg_threads_00000032,Inventory transfer signal raised for RidgeRunner Hiking Boot 2; SiliconFit Labs west-region stock is below plan,2026-03-23T15:42:57Z,5971,549,713,47507,-0.085,,32,rising,,2026-04-13T09:16:48Z
33,52,tiktok,pg_tiktok_00000033,Assortment planner flagged substitute demand for VelocityFit Court Shoe 2; CarbonActive Outdoor pickup incentives should be tested,2026-03-15T10:50:14Z,134,61,18,235,0.487,,33,normal,,2026-04-13T09:16:48Z
34,9,youtube,pg_youtube_00000034,Customer propensity model ranked GoldLayer Training Hoodie 2; ReturnGuard Operations loyalty audience likely to convert,2026-04-11T08:07:04Z,492,94,31,11340,0.01,,34,normal,,2026-04-13T09:16:48Z
35,455,tiktok,pg_tiktok_00000035,Safety update references SilverRidge Trail Shell 2; GearVault Product Data store teams should confirm return reason codes,2026-04-12T17:17:46Z,934,85,20,19652,-0.238,,35,normal,,2026-04-13T09:16:48Z
36,143,twitter,pg_twitter_00000036,Peak season forecast raised for BronzeTrail Base Tee 2; Coastal Perimeter Surf demand multiplier is accelerating,2026-04-07T23:41:22Z,355,95,1,6924,0.64,,36,normal,,2026-04-13T09:16:48Z
37,518,instagram,pg_instagram_00000037,Marketplace listing change mentions MotionFlex Compression Tight 2; CivicSure Team Sports channel margin should be monitored,2026-04-11T06:18:34Z,101,97,31,19458,0.666,,37,normal,,2026-04-13T09:16:48Z
38,510,twitter,pg_twitter_00000038,Store master update affects StormGuard Rain Jacket 2; IPA Direct Equipment location eligibility needs validation,2026-04-11T23:24:01Z,301,41,47,16509,0.8,,38,normal,,2026-04-13T09:16:48Z
39,509,tiktok,pg_tiktok_00000039,Lakehouse catalog enrichment matched ZeroCopy Hydration Vest 2; ApexOne Outdoors semantic search coverage improved,2026-04-09T05:48:39Z,870,2,16,19289,0.16,,39,normal,,2026-04-13T09:16:48Z
40,,threads,pg_threads_00000040,Operations signal added SilverRidge Backpack 35L 2; Propel Performance allocation workflow requested,2026-03-21T03:22:07Z,791,38,10,14923,0.922,,40,normal,,2026-04-13T09:16:48Z
41,171,instagram,pg_instagram_00000041,Continuity Supply Ops saw creator demand spike for TrailForge Trekking Poles 2; store allocation should be reviewed,2026-04-12T22:52:31Z,220,47,5,6080,0.743,,41,normal,,2026-04-13T09:16:48Z
42,238,twitter,pg_twitter_00000042,Dynamic price match alert references SummitCore Sleeping Bag 2; BatteryStreet Fitness Tech competitor pricing moved in two regions,2026-04-13T04:19:24Z,652,83,46,7822,0.843,,42,normal,,2026-04-13T09:16:48Z
43,158,twitter,pg_twitter_00000043,POS transaction surge detected for ApexCamp 3P Tent 2; TrendWatch Market Signals replenishment plan should be refreshed,2026-03-27T20:55:13Z,6125,1573,187,135814,0.067,,43,rising,,2026-04-13T09:16:48Z
44,361,twitter,pg_twitter_00000044,Returns audit note mentions PulseTrack GPS Watch 2; Safety Updates Desk product content and sizing guidance need review,2026-04-11T23:10:33Z,444,26,12,9888,0.183,,44,normal,,2026-04-13T09:16:48Z
45,132,tiktok,pg_tiktok_00000045,Store pickup demand increased for ApexBand HR Sensor 2; MarketPulse Sports Signals nearby inventory should be repositioned,2026-04-08T07:42:33Z,609,69,2,3733,0.201,,45,normal,,2026-04-13T09:16:48Z
46,372,youtube,pg_youtube_00000046,E-commerce search trend rising for CadencePro Bike Computer 2; StoreOps campaign targeting score improved,2026-03-18T17:41:52Z,4814,276,606,29287,0.568,,46,rising,,2026-04-13T09:16:48Z
47,82,tiktok,pg_tiktok_00000047,Weather and trail conditions lifted demand for RecoveryPulse Massage Sleeve 2; AssortmentDesk regional forecast moved up,2026-03-15T08:22:57Z,334,60,10,8084,0.491,,47,normal,,2026-04-13T09:16:48Z
48,369,instagram,pg_instagram_00000048,B2B team order inquiry references PowerRack Adjustable Kettlebell 2; LedgerGrade Product Data school athletics pipeline is increasing,2026-03-18T07:24:58Z,647,71,15,8240,0.762,,48,normal,,2026-04-13T09:16:48Z
49,327,youtube,pg_youtube_00000049,Product image enrichment requested for CoreBalance Yoga Kit 2; Specialty Gear Exchange catalog completeness needs attention,2026-04-13T03:25:41Z,134,14,20,1119,-0.05,,49,normal,,2026-04-13T09:16:48Z
50,,threads,pg_threads_00000050,Product manual search spike mentions CourtCore Basketball 2; NorthStar Pickup service content should be promoted,2026-04-06T15:22:30Z,984,12,33,9930,0.264,,50,normal,,2026-04-13T09:16:48Z
51,,instagram,pg_instagram_00000051,Influencer review mentions GoalLine Team Kit 2; PeakGear Core sentiment and conversion likelihood improved,2026-03-21T13:57:49Z,323,78,29,3250,0.738,,51,normal,,2026-04-13T09:16:48Z
52,389,instagram,pg_instagram_00000052,Inventory transfer signal raised for DiamondPro Baseball Glove 2; SummitTrail Outfitters west-region stock is below plan,2026-04-12T22:37:04Z,36535,11590,7929,335670,0.392,,52,viral,,2026-04-13T09:16:48Z
53,436,twitter,pg_twitter_00000053,Assortment planner flagged substitute demand for Waterline SUP Board 2; RidgeRunner Performance pickup incentives should be tested,2026-04-09T19:39:14Z,981,39,0,13071,0.645,,53,normal,,2026-04-13T09:16:48Z
54,407,youtube,pg_youtube_00000054,Customer propensity model ranked CoastalDry Duffel 2; VelocityFit Devices loyalty audience likely to convert,2026-03-29T07:08:55Z,827,8,47,10363,0.875,,54,normal,,2026-04-13T09:16:48Z
55,408,threads,pg_threads_00000055,Safety update references TeamPack Sideline Bundle 2; AlpineForge Gear store teams should confirm return reason codes,2026-04-13T06:29:59Z,400,97,15,17514,0.677,,55,normal,,2026-04-13T09:16:48Z
56,93,twitter,pg_twitter_00000056,Peak season forecast raised for Dynamic Price Match Bundle 2; Trailhead Team Sales demand multiplier is accelerating,2026-04-06T04:51:45Z,2859,1650,189,62049,0.861,,56,rising,,2026-04-13T09:16:48Z
57,,tiktok,pg_tiktok_00000057,Marketplace listing change mentions Returns Audit Starter Kit 2; GearPay Commerce channel margin should be monitored,2026-03-25T18:18:39Z,375,38,4,2811,0.719,,57,normal,,2026-04-13T09:16:48Z
58,501,youtube,pg_youtube_00000058,Store master update affects Product Image Enrichment Pack 2; PackGuard Returns Audit location eligibility needs validation,2026-04-12T13:28:40Z,254,17,15,949,0.441,,58,normal,,2026-04-13T09:16:48Z
59,520,twitter,pg_twitter_00000059,Lakehouse catalog enrichment matched Store Master Info Kit 2; UrbanCourt Sports semantic search coverage improved,2026-04-02T16:01:09Z,4896,1892,896,117555,-0.202,,59,rising,,2026-04-13T09:16:48Z
60,354,instagram,pg_instagram_00000060,Operations signal added Customer Propensity Offer Pack 2; EcoPeak Active allocation workflow requested,2026-03-16T13:57:09Z,584,77,8,4043,0.258,,60,normal,,2026-04-13T09:16:48Z
61,181,instagram,pg_instagram_00000061,LoyaltyPeak Offers saw creator demand spike for SummitStride Trail Runner 3; store allocation should be reviewed,2026-04-02T18:10:15Z,1064,477,796,132825,0.87,,61,rising,,2026-04-13T09:16:48Z
62,16,instagram,pg_instagram_00000062,Dynamic price match alert references RidgeRunner Hiking Boot 3; Catalyst Safety Gear competitor pricing moved in two regions,2026-03-23T20:57:28Z,925,70,2,14940,0.453,,62,normal,,2026-04-13T09:16:48Z
63,,twitter,pg_twitter_00000063,POS transaction surge detected for VelocityFit Court Shoe 3; NorthStar Outdoor Advisors replenishment plan should be refreshed,2026-03-17T10:46:26Z,359,13,40,7494,0.611,,63,normal,,2026-04-13T09:16:48Z
64,165,threads,pg_threads_00000064,Returns audit note mentions GoldLayer Training Hoodie 3; GulfRun Supply product content and sizing guidance need review,2026-04-08T04:56:27Z,7818,594,301,170385,-0.109,,64,rising,,2026-04-13T09:16:48Z
65,48,twitter,pg_twitter_00000065,Store pickup demand increased for SilverRidge Trail Shell 3; Midwest Pickup Network nearby inventory should be repositioned,2026-04-11T14:34:58Z,181,35,33,15481,0.352,,65,normal,,2026-04-13T09:16:48Z
66,264,instagram,pg_instagram_00000066,E-commerce search trend rising for BronzeTrail Base Tee 3; Pacific Commerce Network campaign targeting score improved,2026-04-13T05:47:03Z,374,97,2,11041,0.634,,66,normal,,2026-04-13T09:16:48Z
67,4,youtube,pg_youtube_00000067,Weather and trail conditions lifted demand for MotionFlex Compression Tight 3; ReturnSure Labs regional forecast moved up,2026-04-13T09:10:23Z,371,56,7,10410,0.828,,67,normal,,2026-04-13T09:16:48Z
68,371,twitter,pg_twitter_00000068,B2B team order inquiry references StormGuard Rain Jacket 3; RouteOne Fulfillment school athletics pipeline is increasing,2026-04-11T15:10:53Z,458,53,22,9381,-0.073,,68,normal,,2026-04-13T09:16:48Z
69,234,youtube,pg_youtube_00000069,Product image enrichment requested for ZeroCopy Hydration Vest 3; Waterline Outdoor catalog completeness needs attention,2026-03-30T14:13:28Z,236,33,4,7512,0.157,,69,normal,,2026-04-13T09:16:48Z
70,357,youtube,pg_youtube_00000070,Product manual search spike mentions SilverRidge Backpack 35L 3; RecoveryFit Wellness service content should be promoted,2026-04-11T02:20:09Z,1725,1132,116,171037,0.619,,70,rising,,2026-04-13T09:16:48Z
71,83,twitter,pg_twitter_00000071,Influencer review mentions TrailForge Trekking Poles 3; ElectraRide Devices sentiment and conversion likelihood improved,2026-03-27T19:31:25Z,20363,4071,4193,361535,0.605,,71,viral,,2026-04-13T09:16:48Z
72,112,tiktok,pg_tiktok_00000072,Inventory transfer signal raised for SummitCore Sleeping Bag 3; ReCycle Outdoor Exchange west-region stock is below plan,2026-03-15T17:58:11Z,700,67,21,844,0.574,,72,normal,,2026-04-13T09:16:48Z
73,506,youtube,pg_youtube_00000073,Assortment planner flagged substitute demand for ApexCamp 3P Tent 3; DemandDesk Analytics pickup incentives should be tested,2026-04-06T06:03:42Z,6481,501,888,157841,0.543,,73,rising,,2026-04-13T09:16:48Z
74,288,threads,pg_threads_00000074,Customer propensity model ranked PulseTrack GPS Watch 3; HealthPeak Wearables loyalty audience likely to convert,2026-04-11T23:43:40Z,428,90,22,19213,0.647,,74,normal,,2026-04-13T09:16:48Z
75,144,youtube,pg_youtube_00000075,Safety update references ApexBand HR Sensor 3; CleanTrail Apparel store teams should confirm return reason codes,2026-04-10T23:31:11Z,26124,3992,2914,255158,0.744,,75,viral,,2026-04-13T09:16:48Z
76,193,twitter,pg_twitter_00000076,Peak season forecast raised for CadencePro Bike Computer 3; BridgeLine B2B Gear demand multiplier is accelerating,2026-04-13T07:25:34Z,2970,369,837,188568,0.927,,76,rising,,2026-04-13T09:16:48Z
77,489,instagram,pg_instagram_00000077,Marketplace listing change mentions RecoveryPulse Massage Sleeve 3; StockGuard Advisors channel margin should be monitored,2026-04-01T02:05:46Z,3258,1203,658,63231,0.88,,77,rising,,2026-04-13T09:16:48Z
78,,twitter,pg_twitter_00000078,Store master update affects PowerRack Adjustable Kettlebell 3; FinePoint Digital location eligibility needs validation,2026-04-13T05:11:51Z,622,94,16,18614,0.436,,78,normal,,2026-04-13T09:16:48Z
79,64,youtube,pg_youtube_00000079,Lakehouse catalog enrichment matched CoreBalance Yoga Kit 3; Portside Outdoor Supply semantic search coverage improved,2026-04-02T22:18:33Z,144,53,35,15952,0.574,,79,normal,,2026-04-13T09:16:48Z
80,433,threads,pg_threads_00000080,Operations signal added CourtCore Basketball 3; AltitudeYield Gear allocation workflow requested,2026-03-23T08:07:54Z,451,54,28,18296,0.925,,80,normal,,2026-04-13T09:16:48Z
81,82,tiktok,pg_tiktok_00000081,PurePack Travel saw creator demand spike for GoalLine Team Kit 3; store allocation should be reviewed,2026-03-14T13:42:04Z,71,47,35,19999,0.147,,81,normal,,2026-04-13T09:16:48Z
82,361,twitter,pg_twitter_00000082,Dynamic price match alert references DiamondPro Baseball Glove 3; SiliconFit Labs competitor pricing moved in two regions,2026-04-10T05:39:53Z,4905,1766,294,51919,0.231,,82,rising,,2026-04-13T09:16:48Z
83,408,threads,pg_threads_00000083,POS transaction surge detected for Waterline SUP Board 3; CarbonActive Outdoor replenishment plan should be refreshed,2026-04-02T05:44:59Z,577,93,19,9439,0.854,,83,normal,,2026-04-13T09:16:48Z
84,,youtube,pg_youtube_00000084,Returns audit note mentions CoastalDry Duffel 3; ReturnGuard Operations product content and sizing guidance need review,2026-03-21T03:35:38Z,846,91,2,16911,0.276,,84,normal,,2026-04-13T09:16:48Z
85,409,instagram,pg_instagram_00000085,Store pickup demand increased for TeamPack Sideline Bundle 3; GearVault Product Data nearby inventory should be repositioned,2026-04-13T07:44:40Z,352,16,5,1160,0.216,,85,normal,,2026-04-13T09:16:48Z
86,208,twitter,pg_twitter_00000086,E-commerce search trend rising for Dynamic Price Match Bundle 3; Coastal Perimeter Surf campaign targeting score improved,2026-04-08T16:51:14Z,148,29,31,2566,0.702,,86,normal,,2026-04-13T09:16:48Z
87,32,tiktok,pg_tiktok_00000087,Weather and trail conditions lifted demand for Returns Audit Starter Kit 3; CivicSure Team Sports regional forecast moved up,2026-04-06T00:20:02Z,898,67,4,11805,0.291,,87,normal,,2026-04-13T09:16:48Z
88,388,threads,pg_threads_00000088,B2B team order inquiry references Product Image Enrichment Pack 3; IPA Direct Equipment school athletics pipeline is increasing,2026-04-02T15:24:50Z,2504,1816,824,68614,0.821,,88,rising,,2026-04-13T09:16:48Z
89,177,tiktok,pg_tiktok_00000089,Product image enrichment requested for Store Master Info Kit 3; ApexOne Outdoors catalog completeness needs attention,2026-04-11T14:46:43Z,195,9,16,18182,0.652,,89,normal,,2026-04-13T09:16:48Z
90,103,twitter,pg_twitter_00000090,Product manual search spike mentions Customer Propensity Offer Pack 3; Propel Performance service content should be promoted,2026-04-07T00:33:10Z,5326,1742,969,87122,0.479,,90,rising,,2026-04-13T09:16:48Z
91,483,threads,pg_threads_00000091,Influencer review mentions SummitStride Trail Runner 4; Continuity Supply Ops sentiment and conversion likelihood improved,2026-04-11T05:19:05Z,655,21,18,14252,0.589,,91,normal,,2026-04-13T09:16:48Z
92,235,threads,pg_threads_00000092,Inventory transfer signal raised for RidgeRunner Hiking Boot 4; BatteryStreet Fitness Tech west-region stock is below plan,2026-04-10T22:42:25Z,3739,1571,796,145276,0.231,,92,rising,,2026-04-13T09:16:48Z
93,414,instagram,pg_instagram_00000093,Assortment planner flagged substitute demand for VelocityFit Court Shoe 4; TrendWatch Market Signals pickup incentives should be tested,2026-04-05T04:24:47Z,2385,1676,133,111120,0.108,,93,rising,,2026-04-13T09:16:48Z
94,511,youtube,pg_youtube_00000094,Customer propensity model ranked GoldLayer Training Hoodie 4; Safety Updates Desk loyalty audience likely to convert,2026-03-16T15:59:54Z,332,59,47,242,0.299,,94,normal,,2026-04-13T09:16:48Z
95,141,instagram,pg_instagram_00000095,Safety update references SilverRidge Trail Shell 4; MarketPulse Sports Signals store teams should confirm return reason codes,2026-03-30T20:45:13Z,3087,231,667,124884,0.37,,95,rising,,2026-04-13T09:16:48Z
96,104,youtube,pg_youtube_00000096,Peak season forecast raised for BronzeTrail Base Tee 4; StoreOps demand multiplier is accelerating,2026-03-31T16:24:58Z,4906,1144,513,189522,0.709,,96,rising,,2026-04-13T09:16:48Z
97,328,threads,pg_threads_00000097,Marketplace listing change mentions MotionFlex Compression Tight 4; AssortmentDesk channel margin should be monitored,2026-04-02T16:09:29Z,2515,316,195,123642,0.917,,97,rising,,2026-04-13T09:16:48Z
98,28,twitter,pg_twitter_00000098,Store master update affects StormGuard Rain Jacket 4; LedgerGrade Product Data location eligibility needs validation,2026-04-04T20:48:50Z,490,18,35,7772,0.256,,98,normal,,2026-04-13T09:16:48Z
99,,youtube,pg_youtube_00000099,Lakehouse catalog enrichment matched ZeroCopy Hydration Vest 4; Specialty Gear Exchange semantic search coverage improved,2026-04-08T13:55:15Z,495,86,42,15052,0.545,,99,normal,,2026-04-13T09:16:48Z
100,384,instagram,pg_instagram_00000100,Operations signal added SilverRidge Backpack 35L 4; NorthStar Pickup allocation workflow requested,2026-04-13T09:12:27Z,804,16,26,19137,0.266,,100,normal,,2026-04-13T09:16:48Z
101,335,tiktok,pg_tiktok_00000101,PeakGear Core saw creator demand spike for TrailForge Trekking Poles 4; store allocation should be reviewed,2026-04-02T16:49:04Z,2528,643,143,174914,0.924,,101,rising,,2026-04-13T09:16:48Z
102,425,tiktok,pg_tiktok_00000102,Dynamic price match alert references SummitCore Sleeping Bag 4; SummitTrail Outfitters competitor pricing moved in two regions,2026-04-05T17:26:30Z,90,93,46,4450,0.523,,102,normal,,2026-04-13T09:16:48Z
103,316,twitter,pg_twitter_00000103,POS transaction surge detected for ApexCamp 3P Tent 4; RidgeRunner Performance replenishment plan should be refreshed,2026-04-13T08:39:19Z,38,41,3,17512,0.244,,103,normal,,2026-04-13T09:16:48Z
104,265,tiktok,pg_tiktok_00000104,Returns audit note mentions PulseTrack GPS Watch 4; VelocityFit Devices product content and sizing guidance need review,2026-04-02T02:12:07Z,621,56,35,18804,0.226,,104,normal,,2026-04-13T09:16:48Z
105,6,instagram,pg_instagram_00000105,Store pickup demand increased for ApexBand HR Sensor 4; AlpineForge Gear nearby inventory should be repositioned,2026-04-13T04:57:56Z,656,50,33,5593,0.923,,105,normal,,2026-04-13T09:16:48Z
106,16,instagram,pg_instagram_00000106,E-commerce search trend rising for CadencePro Bike Computer 4; Trailhead Team Sales campaign targeting score improved,2026-04-04T14:47:29Z,716,18,10,13685,0.898,,106,normal,,2026-04-13T09:16:48Z
107,71,instagram,pg_instagram_00000107,Weather and trail conditions lifted demand for RecoveryPulse Massage Sleeve 4; GearPay Commerce regional forecast moved up,2026-03-28T23:53:46Z,7385,518,880,164485,0.763,,107,rising,,2026-04-13T09:16:48Z
108,380,tiktok,pg_tiktok_00000108,B2B team order inquiry references PowerRack Adjustable Kettlebell 4; PackGuard Returns Audit school athletics pipeline is increasing,2026-04-08T04:00:42Z,8247,384,859,193637,0.873,,108,rising,,2026-04-13T09:16:48Z
109,126,instagram,pg_instagram_00000109,Product image enrichment requested for CoreBalance Yoga Kit 4; UrbanCourt Sports catalog completeness needs attention,2026-04-01T13:57:47Z,18219,9731,3496,642278,0.223,,109,viral,,2026-04-13T09:16:48Z
110,236,instagram,pg_instagram_00000110,Product manual search spike mentions CourtCore Basketball 4; EcoPeak Active service content should be promoted,2026-03-18T20:00:23Z,39816,13014,2622,320725,0.07,,110,viral,,2026-04-13T09:16:48Z
111,132,tiktok,pg_tiktok_00000111,Influencer review mentions GoalLine Team Kit 4; LoyaltyPeak Offers sentiment and conversion likelihood improved,2026-04-12T04:44:39Z,680,55,28,16510,0.588,,111,normal,,2026-04-13T09:16:48Z
112,374,instagram,pg_instagram_00000112,Inventory transfer signal raised for DiamondPro Baseball Glove 4; Catalyst Safety Gear west-region stock is below plan,2026-04-03T16:58:58Z,12,11,37,15865,0.55,,112,normal,,2026-04-13T09:16:48Z
113,340,tiktok,pg_tiktok_00000113,Assortment planner flagged substitute demand for Waterline SUP Board 4; NorthStar Outdoor Advisors pickup incentives should be tested,2026-03-30T07:11:11Z,392,25,4,11960,0.243,,113,normal,,2026-04-13T09:16:48Z
114,86,instagram,pg_instagram_00000114,Customer propensity model ranked CoastalDry Duffel 4; GulfRun Supply loyalty audience likely to convert,2026-03-22T17:04:20Z,8518,726,135,79704,0.57,,114,rising,,2026-04-13T09:16:48Z
115,473,threads,pg_threads_00000115,Safety update references TeamPack Sideline Bundle 4; Midwest Pickup Network store teams should confirm return reason codes,2026-03-16T22:02:17Z,127,77,38,10002,0.366,,115,normal,,2026-04-13T09:16:48Z
116,311,twitter,pg_twitter_00000116,Peak season forecast raised for Dynamic Price Match Bundle 4; Pacific Commerce Network demand multiplier is accelerating,2026-04-12T00:56:01Z,6637,813,435,196014,0.07,,116,rising,,2026-04-13T09:16:48Z
117,309,instagram,pg_instagram_00000117,Marketplace listing change mentions Returns Audit Starter Kit 4; ReturnSure Labs channel margin should be monitored,2026-04-06T17:27:17Z,681,90,18,4274,0.568,,117,normal,,2026-04-13T09:16:48Z
118,105,threads,pg_threads_00000118,Store master update affects Product Image Enrichment Pack 4; RouteOne Fulfillment location eligibility needs validation,2026-03-15T20:29:25Z,3339,1401,122,27282,0.577,,118,rising,,2026-04-13T09:16:48Z
119,,youtube,pg_youtube_00000119,Lakehouse catalog enrichment matched Store Master Info Kit 4; Waterline Outdoor semantic search coverage improved,2026-04-12T13:11:05Z,508,18,44,14438,0.18,,119,normal,,2026-04-13T09:16:48Z
