"product_id","product_name","category","cost_price","retail_price","sku"
23,"traiLfoRge trail RuNnER 23 ","FOOTWEAR",100.55,185.94,"SKU-100023"
24,"IRoNKINETiC  daYpack  24","OUTDOOR",65.66,121.72,"SKU-100024"
25,"PeakGear Base Layer Top 25","N/A",10.32,21.58,"SKU-100025"
26,"SummitPulse Heart Rate Strap 26","FITNESS_DEVICES",29.43,40.86,"SKU-100026"
27,"HydraWave  Trail     Runner   27    ","FOOTWEAR",86.65,153.73,"SKU-100027"
28,"CoachMark Smart Scale 28","FITNESS_DEVICES",52.27,73.85,"SKU-100028"
29,"nORdcREst     WEigHTliftiNG GlOVeS 29  ","STRENGTH_TRAINING",21.13,36.57,"SKU-100029"
30,"CoachMark Heart Rate Strap 30","FITNESS_DEVICES",53.66,85.18,"SKU-100030"
31,"AeroStride Ski Goggles 31","WINTER_SPORTS",48.59,71.49,"SKU-100031"
32,"CanyonRidge Paddle Leash 32","WATER_SPORTS",11.63,21.82,"SKU-100032"
33,"CoachMark Base Layer Pants 33","WINTER_SPORTS",17.14,34.35,"SKU-100033"
34,"PitchCraft Reflective Vest 34","RUNNING",17.88,33.43,"SKU-100034"
35,"TrailForge Pickleball Paddle 35","RACQUET_SPORTS",63.28,104.36,"SKU-100035"
36,"IRONkiNetIC CampinG STove 36","CAMPING_HIKING",75.28,124.19,"SKU-100036"
37,"PeakGear GPS Fitness Watch 37","FITNESS_DEVICES",184.26,235.14,"SKU-100037"
38,"CanyonRidge Sleeping Bag 38","CAMPING_HIKING",103.65,199.21,"SKU-100038"
39,"PitchCraft Daypack 39","N/A",38.3,63.51,"SKU-100039"
40,"GoalLine Hiking Boot 40","FOOTWEAR",102.31,163.3,"SKU-100040"
41,"VelocityWorks Chalk Bag 41","CLIMBING",11.06,18.97,"SKU-100041"
42,"VelocityWorks Ankle Shin Guard Sleeves 42","SOCCER",5.42,8.84,"SKU-100042"
43,"PitchCraft Adjustable Dumbbells 43","STRENGTH_TRAINING",131.12,176.47,"SKU-100043"
44,"VelocityWorks Training Cone Set 44","SOCCER",17,36.75,"SKU-100044"
45,"CanyonRidge Corner Flag Set 45","SOCCER",69.1,110.73,"SKU-100045"
46,"SummitPulse Pickleball Paddle 46","RACQUET_SPORTS",25.16,51.38,"SKU-100046"
47,"NordCrest Cross-Training Shoe 47","FOOTWEAR",58.82,94.3,"SKU-100047"
48,"PitchCraft Cycling Computer 48","FITNESS_DEVICES",85.98,119.76,"SKU-100048"
49,"PeakGear Base Layer Top 49","ACTIVEWEAR",11.61,25.11,"SKU-100049"
50,"TrailForge Headlamp 50","OUTDOOR",10.33,20.87,"SKU-100050"
51,"SummitPulse Belay Device 51","CLIMBING",23.28,52.71,"SKU-100051"
52,"IronKinetic Kettlebell 52","STRENGTH_TRAINING",32.89,49.87,"SKU-100052"
53,"IronKinetic Daypack 53","OUTDOOR",52.21,76.16,"SKU-100053"
54,"PeakGear Foam Roller 54","RUNNING",13.75,30.82,"SKU-100054"
55,"SummitPulse Running Socks 55","RUNNING",3.76,7.68,"SKU-100055"
56,"SummitPULsE GRip TapE 56      ","RACQUET_SPORTS",7.42,17.19,"SKU-100056"
57,"IronKinetic Dry Bag 57","WATER_SPORTS",19.94,37.92,"SKU-100057"
58,"NordCrest Running Shoe     58  ","FOOTWEAR",36.64,67.54,"SKU-100058"
59,"CoachMark Chalk Bag 59","CLIMBING",10.3,20.41,"SKU-100059"
60,"nORDcRest BAsE laYeR tOp 60     ","ACTIVEWEAR",12.45,21.66,"SKU-100060"
61,"HydraWave Coach Whistle 61","SOCCER",5.28,9.95,"SKU-100061"
62,"AeroStride Cross-Training Shoe 62","FOOTWEAR",48.35,77.95,"SKU-100062"
63,"SUMMITPULSE OutdooR JACKET 63      ","OUTDOOR",38.59,69.25,"SKU-100063"
64,"AeroStride Weightlifting Gloves 64","STRENGTH_TRAINING",24.37,38.47,"SKU-100064"
65,"PitchCraft Cross-Training Shoe 65","FOOTWEAR",51.24,76.63,"SKU-100065"
66,"PitchCraft Training Soccer Ball Size 3 66","SOCCER",17.8,26.03,"SKU-100066"
67,"SummitPulse Smart Scale 67","FITNESS_DEVICES",55.83,77.55,"SKU-100067"
68,"GoalLine Performance Tee 68","ACTIVEWEAR",10.65,23.48,"SKU-100068"
69,"TrailForge Helmet 69","CYCLING",51.6,99.43,"SKU-100069"
70,"GoalLine Compression Shorts 70","ACTIVEWEAR",11.59,20.25,"SKU-100070"
71,"Nordcrest TraInInG Hoodie 71 ","ACTIVEWEAR",21.21,39.42,"SKU-100071"
72,"IronKinetic Belay Device 72","CLIMBING",32.13,53.22,"SKU-100072"
73,"PeakGear Camping Stove 73","CAMPING_HIKING",81.22,144.09,"SKU-100073"
74,"HydraWave First Aid Sideline Kit 74","SOCCER",66.5,139.09,"SKU-100074"
75,"IronKinetic Hiking Boot 75","FOOTWEAR",98,134.68,"SKU-100075"
76,"AeroStride Camping Stove 76","CAMPING_HIKING",77.89,140.92,"SKU-100076"
77,"VelocityWorks Reflective Vest 77","RUNNING",15.74,34.45,"SKU-100077"
78,"VelocityWorks Repair Kit 78","CYCLING",6.4,13.68,"SKU-100078"
79,"VelocityWorks Daypack 79","OUTDOOR",19.68,32.73,"SKU-100079"
80,"TrailForge Compression Shorts 80","ACTIVEWEAR",13.18,28.85,"SKU-100080"
81,"VelocityWorks Foam Roller 81","RUNNING",22.7,38.9,"SKU-100081"
82,"HydraWave Training Hoodie 82","ACTIVEWEAR",33.03,64.06,"SKU-100082"
83,"GoalLine Foam Roller 83","null",13.72,26.02,"SKU-100083"
84,"AeroStride Cycling Jersey 84","CYCLING",30.15,58.71,"SKU-100084"
85,"GoalLine Badminton Set 85","RACQUET_SPORTS",53.81,85.11,"SKU-100085"
86,"HydraWave Chalk Bag 86","CLIMBING",6.23,14.89,"SKU-100086"
87,"IronKinetic Camping Stove 87","CAMPING_HIKING",71.33,136.2,"SKU-100087"
88,"CoachMark Weightlifting Gloves 88","STRENGTH_TRAINING",17.3,37.18,"SKU-100088"
89,"HydraWave Water Filter 89","CAMPING_HIKING",20.11,32.69,"SKU-100089"
90,"PitchCraft Running Shoe 90","FOOTWEAR",64.7,106.55,"SKU-100090"
91,"VelocityWorks Backyard Soccer Net 91","SOCCER",83.1,143.47,"SKU-100091"
92,"HydraWave Electrolyte Mix 92","NUTRITION",15.31,32.96,"SKU-100092"
93,"SummitPulse Heart Rate Strap 93","FITNESS_DEVICES",53.8,90.88,"SKU-100093"
94,"GoalLine Swim Goggles 94","null",10.23,25.9,"SKU-100094"
95,"VelocityWorks Paddle Leash 95","WATER_SPORTS",9.56,23.21,"SKU-100095"
96,"PitchCraft Running Socks 96","RUNNING",9.7,18.62,"SKU-100096"
97,"VelocityWorks Soccer Jersey 97","SOCCER",26.46,47.48,"SKU-100097"
98,"HydraWave Hydration Belt 98","RUNNING",34,63.58,"SKU-100098"
99,"PeakGear Baseball Glove 99","TEAM_SPORTS",82.32,126.3,"SKU-100099"
100,"HydraWave Heart Rate Strap 100","FITNESS_DEVICES",26.66,44.58,"SKU-100100"
101,"GoalLine Cycling Computer 101","FITNESS_DEVICES",187.62,278.25,"SKU-100101"
102,"HydraWave Dry Bag 102","N/A",15.31,35.74,"SKU-100102"
103,"PitchCraft Outdoor Jacket 103","OUTDOOR",51.96,100.61,"SKU-100103"
104,"PeakGear Tent 104","CAMPING_HIKING",150.32,204.02,"SKU-100104"
105,"GoalLine Heart Rate Strap 105","FITNESS_DEVICES",18.93,29.45,"SKU-100105"
106,"VelocityWorks Headlamp 106","OUTDOOR",29,52.46,"SKU-100106"
107,"CoachMark Base Layer Top 107","ACTIVEWEAR",17.7,34.52,"SKU-100107"
108,"CoachMark Weightlifting Gloves 108","STRENGTH_TRAINING",8.15,17.87,"SKU-100108"
109,"HYDRAWAVE hydration Belt 109","RUNNING",34.87,67.82,"SKU-100109"
110,"CoachMark Pickleball Paddle 110","RACQUET_SPORTS",69.3,121.28,"SKU-100110"
111,"VelocityWorks Headlamp 111","OUTDOOR",27.38,52.28,"SKU-100111"
112,"AeroStride Goalkeeper Padded Pants 112","SOCCER",41.15,72.97,"SKU-100112"
113,"VelocityWorks Volleyball 113","TEAM_SPORTS",35.56,65.07,"SKU-100113"
114,"CoachMark Tennis Racket 114","RACQUET_SPORTS",78.26,140.67,"SKU-100114"
115,"GoalLine Ankle Shin Guard Sleeves 115","SOCCER",19.48,34.37,"SKU-100115"
116,"GoalLine Corner Flag Set 116","SOCCER",66.1,129.46,"SKU-100116"
117,"SummitPulse Tent 117","CAMPING_HIKING",109.65,163.98,"SKU-100117"
118,"GoalLine Badminton Set 118","RACQUET_SPORTS",18.54,36.15,"SKU-100118"
119,"CanyonRidge Helmet 119","CYCLING",36.14,54.54,"SKU-100119"
120,"SummitPulse Volleyball 120","TEAM_SPORTS",10.14,17.62,"SKU-100120"
121,"CoachMark Trail Runner 121","FOOTWEAR",88.95,146.85,"SKU-100121"
122,"PitchCraft Ankle Shin Guard Sleeves 122","SOCCER",9.8,16.02,"SKU-100122"
123,"IronKinetic Tent 123","CAMPING_HIKING",58.85,106.33,"SKU-100123"
124,"NordCrest Team Ball Pump 124","TEAM_SPORTS",8.63,20.39,"SKU-100124"
125,"GoalLine Cross-Training Shoe 125","FOOTWEAR",58.06,103.52,"SKU-100125"
126,"VelocityWorks Foam Roller 126","RUNNING",19.61,33.96,"SKU-100126"
127,"CoachMark Soccer Socks 127","SOCCER",12.8,25.95,"SKU-100127"
128,"GoalLine GPS Fitness Watch 128","FITNESS_DEVICES",232.58,349.79,"SKU-100128"
129,"VelocityWorks Foam Roller 129","RUNNING",26.85,45.19,"SKU-100129"
130,"TrailForge Agility Ladder 130","SOCCER",20.19,44.11,"SKU-100130"
131,"PitchCraft Badminton Set 131","RACQUET_SPORTS",31.75,49.13,"SKU-100131"
132,"CoachMark Outdoor Jacket 132","OUTDOOR",70.25,133.53,"SKU-100132"
133,"CoachMark Heart Rate Strap 133","FITNESS_DEVICES",44.02,66.82,"SKU-100133"
134,"VelocityWorks Training Hoodie 134","ACTIVEWEAR",32.77,52.76,"SKU-100134"
135,"PeakGear Running Shoe 135","FOOTWEAR",88.33,137.64,"SKU-100135"
136,"CoachMark Base Layer Top 136","ACTIVEWEAR",17.53,37.6,"SKU-100136"
137,"CoachMark Compression Shorts 137","ACTIVEWEAR",9.9,18.91,"SKU-100137"
138,"VelocityWorks Bike Light Set 138","N/A",34.28,59.6,"SKU-100138"
139,"HydraWave Cycling Computer 139","FITNESS_DEVICES",97.85,141.9,"SKU-100139"
140,"PitcHcraFT KettleBelL 140 ","STRENGTH_TRAINING",55.47,107.98,"SKU-100140"
141,"PeakGear Base Layer Top 141","ACTIVEWEAR",17.03,31.49,"SKU-100141"
142,"AeroStride Team Ball Pump 142","TEAM_SPORTS",4.76,11.62,"SKU-100142"
143,"PeakGear Match Soccer Ball Size 5 143","SOCCER",23.49,46.41,"SKU-100143"
144,"PitchCraft Team Ball Pump 144","TEAM_SPORTS",5.8,10.28,"SKU-100144"
145,"IronKinetic Match Soccer Ball Size 5 145","SOCCER",9.42,14,"SKU-100145"
146,"PeakGear Headlamp 146","OUTDOOR",29.64,56.2,"SKU-100146"
147,"CanyonRidge Trail Runner 147","FOOTWEAR",92.63,166.12,"SKU-100147"
148,"GoalLine Water Filter 148","CAMPING_HIKING",29.93,56.62,"SKU-100148"
149,"GoalLine Wetsuit 149","WATER_SPORTS",78.13,130.74,"SKU-100149"
150,"TrailForge Headlamp 150","N/A",19.43,40.97,"SKU-100150"
151,"PeakGear Goalkeeper Padded Pants 151","SOCCER",42.06,71.33,"SKU-100151"
152,"HydraWave Grip   TAPe    152   ","RACQUET_SPORTS",7.48,14.79,"SKU-100152"
153,"PitchCraft GPS Fitness Watch 153","FITNESS_DEVICES",121.54,187.38,"SKU-100153"
154,"AeroStride Hiking Boot 154","FOOTWEAR",123.17,169.53,"SKU-100154"
155,"HydraWave Base Layer Top 155","ACTIVEWEAR",21.02,34.99,"SKU-100155"
156,"TrailForge Kettlebell 156","STRENGTH_TRAINING",32.17,45.9,"SKU-100156"
157,"CoachMark Running Socks 157","RUNNING",2.68,6.23,"SKU-100157"
158,"NordCrest Performance Tee 158","ACTIVEWEAR",10.83,24.39,"SKU-100158"
159,"IronKinetic Training Hoodie 159","ACTIVEWEAR",40.06,68.35,"SKU-100159"
160,"SummitPulse Reflective Vest 160","RUNNING",7.69,16.77,"SKU-100160"
161,"AeroStride Repair Kit 161","CYCLING",16.92,36.52,"SKU-100161"
162,"PitchCraft Running Socks 162","RUNNING",3.29,8.07,"SKU-100162"
163,"HydraWave Helmet 163","CYCLING",78.09,152.2,"SKU-100163"
164,"TraiLFoRGE   hearT    RAtE  StraP 164","FITNESS_DEVICES",30.44,49.82,"SKU-100164"
165,"NordCrest Compression Shorts 165","ACTIVEWEAR",19.5,32.73,"SKU-100165"
166,"GoalLine Headlamp 166","OUTDOOR",19.11,34.49,"SKU-100166"
167,"CoachMark GPS Fitness Watch 167","null",172.33,215.77,"SKU-100167"
168,"NordCrest Camping Stove 168","CAMPING_HIKING",62.13,103.82,"SKU-100168"
169,"CanyonRidge Smart Scale 169","FITNESS_DEVICES",80.3,151.23,"SKU-100169"
170,"SummitPulse Daypack 170","OUTDOOR",23.94,42.24,"SKU-100170"
171,"IronKinetic Baseball Glove 171","TEAM_SPORTS",72.12,135.97,"SKU-100171"
172,"GoalLine Resistance Band Set 172","STRENGTH_TRAINING",11.84,23.94,"SKU-100172"
173,"HydraWave Thermal Gloves 173","WINTER_SPORTS",8.87,15.3,"SKU-100173"
174,"TRAILFORGE   RUNNING Shoe  174 ","FOOTWEAR",46.08,76.29,"SKU-100174"
175,"PeakGear Tennis Racket 175","RACQUET_SPORTS",127.82,224.81,"SKU-100175"
176,"AeroStride Badminton Set 176","RACQUET_SPORTS",14.87,26.66,"SKU-100176"
177,"SummitPulse Rebounder Training Net 177","SOCCER",131.78,220.29,"SKU-100177"
178,"VelocityWorks Running Shoe 178","FOOTWEAR",70.42,133.8,"SKU-100178"
179,"IronKinetic Bike Light Set 179","CYCLING",32.06,65.03,"SKU-100179"
180,"AeroStride Water Filter 180","CAMPING_HIKING",32.8,55.99,"SKU-100180"
181,"AeroStride Water Filter 181","CAMPING_HIKING",45.39,91.68,"SKU-100181"
182,"IronKinetic Recovery Powder 182","NUTRITION",12.83,26.59,"SKU-100182"
183,"HydraWave Outdoor Jacket 183","OUTDOOR",36.94,67.21,"SKU-100183"
184,"PitchCraft Cycling Jersey 184","CYCLING",17.69,37.21,"SKU-100184"
185,"AeroStride Repair Kit 185","CYCLING",13.74,31.3,"SKU-100185"
186,"IronKinetic Volleyball 186","TEAM_SPORTS",39.07,70.44,"SKU-100186"
187,"HydraWave Volleyball 187","TEAM_SPORTS",24.82,44.73,"SKU-100187"
188,"HydraWave Outdoor Jacket 188","OUTDOOR",98.52,177.2,"SKU-100188"
189,"TRaILfORgE  Cycling JERSEY   189      ","CYCLING",40.62,77.48,"SKU-100189"
190,"TRaIlFoRgE sNOW     HElmET     190      ","WINTER_SPORTS",86.57,172.86,"SKU-100190"
191,"PitchCraft Tennis Racket 191","RACQUET_SPORTS",65.57,104.34,"SKU-100191"
192,"GoalLine Climbing Harness 192","CLIMBING",69.23,138.81,"SKU-100192"
193,"VelocityWorks Camping Stove 193","CAMPING_HIKING",53.76,100.94,"SKU-100193"
194,"CoachMark Weightlifting Gloves 194","STRENGTH_TRAINING",20.6,37.53,"SKU-100194"
195,"CanyonRidge Headlamp 195","OUTDOOR",11.2,18.69,"SKU-100195"
196,"IronKinetic Protein Bar Box 196","NUTRITION",25.16,46.87,"SKU-100196"
197,"VelocityWorks Smart Scale 197","FITNESS_DEVICES",81.04,122.21,"SKU-100197"
198,"IronKinetic Running Socks 198","RUNNING",5.02,13.62,"SKU-100198"
199,"CanyonRidge Hiking Boot 199","FOOTWEAR",112.29,156.72,"SKU-100199"
200,"TrailForge Compression Shorts 200","ACTIVEWEAR",22.6,38.81,"SKU-100200"
