brand_id,brand_name,brand_slug,brand_category,headquarters_city,headquarters_lat,headquarters_lon,founded_year,annual_revenue,social_tier,created_at,updated_at
40,Transparency and Auditability Program 40,state-local-government-program-40,Transparency and Auditability,Greeley,40.4233,-104.7091,2005,171250000,luxury,2026-03-20T12:00:00Z,2026-05-29T12:00:00Z
41,Constituent Services Program 41,state-local-government-program-41,Constituent Services,Castle Rock,39.3722,-104.8561,2006,175000000,standard,2026-03-19T12:00:00Z,2026-06-17T12:00:00Z
42,Permits and Licensing Program 42,state-local-government-program-42,Permits and Licensing,Grand Junction,39.0639,-108.5506,2007,178750000,premium,2026-03-18T12:00:00Z,2026-06-16T12:00:00Z
43,Benefits Eligibility Program 43,state-local-government-program-43,Benefits Eligibility,Broomfield,39.9205,-105.0867,2008,182500000,emerging,2026-03-17T12:00:00Z,2026-06-15T12:00:00Z
44,Case Management Program 44,state-local-government-program-44,Case Management,Durango,37.2753,-107.8801,2009,186250000,luxury,2026-03-16T12:00:00Z,2026-06-14T12:00:00Z
45,Emergency Response Program 45,state-local-government-program-45,Emergency Response,Montrose,38.4783,-107.8762,2010,190000000,standard,2026-03-15T12:00:00Z,2026-06-13T12:00:00Z
46,Public Works Program 46,state-local-government-program-46,Public Works,Steamboat Springs,40.485,-106.8317,2011,193750000,premium,2026-03-14T12:00:00Z,2026-06-12T12:00:00Z
47,Transportation Services Program 47,state-local-government-program-47,Transportation Services,Alamosa,37.4695,-105.87,2012,197500000,emerging,2026-03-13T12:00:00Z,2026-06-11T12:00:00Z
48,Tax and Revenue Operations Program 48,state-local-government-program-48,Tax and Revenue Operations,Glenwood Springs,39.5505,-107.3248,2013,201250000,luxury,2026-03-12T12:00:00Z,2026-06-10T12:00:00Z
49,Citizen-Facing Digital Services Program 49,state-local-government-program-49,Citizen-Facing Digital Services,Idaho Springs,39.7425,-105.5136,2014,205000000,standard,2026-03-11T12:00:00Z,2026-06-09T12:00:00Z
50,Inspections and Code Enforcement Program 50,state-local-government-program-50,Inspections and Code Enforcement,Cañon City,38.4494,-105.2253,2015,208750000,premium,2026-03-10T12:00:00Z,2026-06-08T12:00:00Z
