link_id,brand_id,influencer_id,relationship_type,post_count,avg_engagement,revenue_attributed,first_mention,last_mention
45,16,283,organic,10,0.088,45795,2026-03-06T16:30:00Z,2026-05-03T19:30:00Z
46,23,300,sponsored,13,0.099,46786,2026-03-05T16:30:00Z,2026-05-03T18:30:00Z
47,30,317,ambassador,16,0.025,47777,2026-03-04T16:30:00Z,2026-05-03T17:30:00Z
48,37,334,affiliate,19,0.036,48768,2026-03-03T16:30:00Z,2026-05-03T16:30:00Z
49,44,351,competitor_mention,22,0.047,49759,2026-03-02T16:30:00Z,2026-05-03T15:30:00Z
50,1,368,organic,25,0.058,50750,2026-03-01T16:30:00Z,2026-05-03T14:30:00Z
51,8,385,sponsored,28,0.069,51741,2026-02-28T16:30:00Z,2026-05-03T13:30:00Z
52,15,402,ambassador,31,0.08,52732,2026-02-27T16:30:00Z,2026-05-03T12:30:00Z
53,22,419,affiliate,34,0.091,53723,2026-02-26T16:30:00Z,2026-05-03T11:30:00Z
54,29,436,competitor_mention,37,0.102,54714,2026-02-25T16:30:00Z,2026-05-03T10:30:00Z
55,36,453,organic,40,0.028,55705,2026-02-24T16:30:00Z,2026-05-03T09:30:00Z
56,43,470,sponsored,1,0.039,56696,2026-02-23T16:30:00Z,2026-05-03T08:30:00Z
57,50,4,ambassador,4,0.05,57687,2026-02-22T16:30:00Z,2026-05-03T07:30:00Z
58,7,21,affiliate,7,0.061,58678,2026-02-21T16:30:00Z,2026-05-03T06:30:00Z
59,14,38,competitor_mention,10,0.072,59669,2026-02-20T16:30:00Z,2026-05-03T05:30:00Z
60,21,55,organic,13,0.083,60660,2026-02-19T16:30:00Z,2026-05-03T04:30:00Z
61,28,72,sponsored,16,0.094,61651,2026-02-18T16:30:00Z,2026-05-03T03:30:00Z
62,35,89,ambassador,19,0.02,62642,2026-02-17T16:30:00Z,2026-05-03T02:30:00Z
63,42,106,affiliate,22,0.031,63633,2026-02-16T16:30:00Z,2026-05-03T01:30:00Z
64,49,123,competitor_mention,25,0.042,64624,2026-02-15T16:30:00Z,2026-05-03T00:30:00Z
65,6,140,organic,28,0.053,65615,2026-02-14T16:30:00Z,2026-05-02T23:30:00Z
66,13,157,sponsored,31,0.064,66606,2026-02-13T16:30:00Z,2026-05-02T22:30:00Z
67,20,174,ambassador,34,0.075,67597,2026-02-12T16:30:00Z,2026-05-02T21:30:00Z
68,27,191,affiliate,37,0.086,68588,2026-02-11T16:30:00Z,2026-05-02T20:30:00Z
69,34,208,competitor_mention,40,0.097,69579,2026-02-10T16:30:00Z,2026-05-02T19:30:00Z
70,41,225,organic,1,0.023,70570,2026-02-09T16:30:00Z,2026-05-02T18:30:00Z
71,48,242,sponsored,4,0.034,71561,2026-02-08T16:30:00Z,2026-05-02T17:30:00Z
72,5,259,ambassador,7,0.045,72552,2026-02-07T16:30:00Z,2026-05-02T16:30:00Z
73,12,276,affiliate,10,0.056,73543,2026-02-06T16:30:00Z,2026-05-02T15:30:00Z
74,19,293,competitor_mention,13,0.067,74534,2026-02-05T16:30:00Z,2026-05-02T14:30:00Z
75,26,310,organic,16,0.078,75525,2026-02-04T16:30:00Z,2026-05-02T13:30:00Z
76,33,327,sponsored,19,0.089,76516,2026-02-03T16:30:00Z,2026-05-02T12:30:00Z
77,40,344,ambassador,22,0.1,77507,2026-02-02T16:30:00Z,2026-05-02T11:30:00Z
78,47,361,affiliate,25,0.026,78498,2026-02-01T16:30:00Z,2026-05-02T10:30:00Z
79,4,378,competitor_mention,28,0.037,79489,2026-01-31T16:30:00Z,2026-05-02T09:30:00Z
80,11,395,organic,31,0.048,80480,2026-01-30T16:30:00Z,2026-05-02T08:30:00Z
81,18,412,sponsored,34,0.059,81471,2026-01-29T16:30:00Z,2026-05-02T07:30:00Z
82,25,429,ambassador,37,0.07,82462,2026-01-28T16:30:00Z,2026-05-02T06:30:00Z
83,32,446,affiliate,40,0.081,83453,2026-01-27T16:30:00Z,2026-05-02T05:30:00Z
84,39,463,competitor_mention,1,0.092,84444,2026-01-26T16:30:00Z,2026-05-02T04:30:00Z
85,46,480,organic,4,0.018,85435,2026-01-25T16:30:00Z,2026-05-02T03:30:00Z
86,3,14,sponsored,7,0.029,86426,2026-01-24T16:30:00Z,2026-05-02T02:30:00Z
87,10,31,ambassador,10,0.04,87417,2026-01-23T16:30:00Z,2026-05-02T01:30:00Z
88,17,48,affiliate,13,0.051,88408,2026-01-22T16:30:00Z,2026-05-02T00:30:00Z
89,24,65,competitor_mention,16,0.062,89399,2026-01-21T16:30:00Z,2026-05-01T23:30:00Z
90,31,82,organic,19,0.073,90390,2026-01-20T16:30:00Z,2026-05-01T22:30:00Z
91,38,99,sponsored,22,0.084,91381,2026-01-19T16:30:00Z,2026-05-01T21:30:00Z
92,45,116,ambassador,25,0.095,92372,2026-01-18T16:30:00Z,2026-05-01T20:30:00Z
93,2,133,affiliate,28,0.021,93363,2026-01-17T16:30:00Z,2026-05-01T19:30:00Z
94,9,150,competitor_mention,31,0.032,94354,2026-01-16T16:30:00Z,2026-05-01T18:30:00Z
95,16,167,organic,34,0.043,95345,2026-01-15T16:30:00Z,2026-05-01T17:30:00Z
96,23,184,sponsored,37,0.054,96336,2026-01-14T16:30:00Z,2026-05-05T16:30:00Z
97,30,201,ambassador,40,0.065,97327,2026-01-13T16:30:00Z,2026-05-05T15:30:00Z
98,37,218,affiliate,1,0.076,98318,2026-01-12T16:30:00Z,2026-05-05T14:30:00Z
99,44,235,competitor_mention,4,0.087,99309,2026-01-11T16:30:00Z,2026-05-05T13:30:00Z
100,1,252,organic,7,0.098,100300,2026-01-10T16:30:00Z,2026-05-05T12:30:00Z
101,8,269,sponsored,10,0.024,101291,2026-01-09T16:30:00Z,2026-05-05T11:30:00Z
102,15,286,ambassador,13,0.035,102282,2026-01-08T16:30:00Z,2026-05-05T10:30:00Z
103,22,303,affiliate,16,0.046,103273,2026-01-07T16:30:00Z,2026-05-05T09:30:00Z
104,29,320,competitor_mention,19,0.057,104264,2026-01-06T16:30:00Z,2026-05-05T08:30:00Z
105,36,337,organic,22,0.068,105255,2026-01-05T16:30:00Z,2026-05-05T07:30:00Z
106,43,354,sponsored,25,0.079,106246,2026-01-04T16:30:00Z,2026-05-05T06:30:00Z
107,50,371,ambassador,28,0.09,107237,2026-01-03T16:30:00Z,2026-05-05T05:30:00Z
108,7,388,affiliate,31,0.101,108228,2026-01-02T16:30:00Z,2026-05-05T04:30:00Z
109,14,405,competitor_mention,34,0.027,109219,2026-01-01T16:30:00Z,2026-05-05T03:30:00Z
110,21,422,organic,37,0.038,110210,2025-12-31T16:30:00Z,2026-05-05T02:30:00Z
111,28,439,sponsored,40,0.049,111201,2025-12-30T16:30:00Z,2026-05-05T01:30:00Z
112,35,456,ambassador,1,0.06,112192,2025-12-29T16:30:00Z,2026-05-05T00:30:00Z
113,42,473,affiliate,4,0.071,113183,2025-12-28T16:30:00Z,2026-05-04T23:30:00Z
114,49,7,competitor_mention,7,0.082,114174,2025-12-27T16:30:00Z,2026-05-04T22:30:00Z
115,6,24,organic,10,0.093,115165,2025-12-26T16:30:00Z,2026-05-04T21:30:00Z
116,13,41,sponsored,13,0.019,116156,2025-12-25T16:30:00Z,2026-05-04T20:30:00Z
117,20,58,ambassador,16,0.03,117147,2025-12-24T16:30:00Z,2026-05-04T19:30:00Z
118,27,75,affiliate,19,0.041,118138,2025-12-23T16:30:00Z,2026-05-04T18:30:00Z
119,34,92,competitor_mention,22,0.052,119129,2025-12-22T16:30:00Z,2026-05-04T17:30:00Z
120,41,109,organic,25,0.063,120120,2025-12-21T16:30:00Z,2026-05-04T16:30:00Z
121,48,126,sponsored,28,0.074,121111,2025-12-20T16:30:00Z,2026-05-04T15:30:00Z
122,5,143,ambassador,31,0.085,122102,2025-12-19T16:30:00Z,2026-05-04T14:30:00Z
123,12,160,affiliate,34,0.096,123093,2025-12-18T16:30:00Z,2026-05-04T13:30:00Z
124,19,177,competitor_mention,37,0.022,124084,2025-12-17T16:30:00Z,2026-05-04T12:30:00Z
125,26,194,organic,40,0.033,125075,2025-12-16T16:30:00Z,2026-05-04T11:30:00Z
126,33,211,sponsored,1,0.044,126066,2025-12-15T16:30:00Z,2026-05-04T10:30:00Z
127,40,228,ambassador,4,0.055,127057,2025-12-14T16:30:00Z,2026-05-04T09:30:00Z
128,47,245,affiliate,7,0.066,128048,2025-12-13T16:30:00Z,2026-05-04T08:30:00Z
129,4,262,competitor_mention,10,0.077,129039,2025-12-12T16:30:00Z,2026-05-04T07:30:00Z
130,11,279,organic,13,0.088,130030,2025-12-11T16:30:00Z,2026-05-04T06:30:00Z
131,18,296,sponsored,16,0.099,131021,2025-12-10T16:30:00Z,2026-05-04T05:30:00Z
132,25,313,ambassador,19,0.025,132012,2025-12-09T16:30:00Z,2026-05-04T04:30:00Z
133,32,330,affiliate,22,0.036,133003,2025-12-08T16:30:00Z,2026-05-04T03:30:00Z
134,39,347,competitor_mention,25,0.047,133994,2025-12-07T16:30:00Z,2026-05-04T02:30:00Z
135,46,364,organic,28,0.058,134985,2025-12-06T16:30:00Z,2026-05-04T01:30:00Z
136,3,381,sponsored,31,0.069,135976,2025-12-05T16:30:00Z,2026-05-04T00:30:00Z
137,10,398,ambassador,34,0.08,136967,2025-12-04T16:30:00Z,2026-05-03T23:30:00Z
138,17,415,affiliate,37,0.091,137958,2025-12-03T16:30:00Z,2026-05-03T22:30:00Z
139,24,432,competitor_mention,40,0.102,138949,2025-12-02T16:30:00Z,2026-05-03T21:30:00Z
140,31,449,organic,1,0.028,139940,2025-12-01T16:30:00Z,2026-05-03T20:30:00Z
141,38,466,sponsored,4,0.039,140931,2025-11-30T16:30:00Z,2026-05-03T19:30:00Z
142,45,483,ambassador,7,0.05,141922,2025-11-29T16:30:00Z,2026-05-03T18:30:00Z
143,2,17,affiliate,10,0.061,142913,2025-11-28T16:30:00Z,2026-05-03T17:30:00Z
144,9,34,competitor_mention,13,0.072,143904,2025-11-27T16:30:00Z,2026-05-03T16:30:00Z
145,16,51,organic,16,0.083,144895,2025-11-26T16:30:00Z,2026-05-03T15:30:00Z
146,23,68,sponsored,19,0.094,145886,2025-11-25T16:30:00Z,2026-05-03T14:30:00Z
147,30,85,ambassador,22,0.02,146877,2025-11-24T16:30:00Z,2026-05-03T13:30:00Z
148,37,102,affiliate,25,0.031,147868,2025-11-23T16:30:00Z,2026-05-03T12:30:00Z
149,44,119,competitor_mention,28,0.042,148859,2025-11-22T16:30:00Z,2026-05-03T11:30:00Z
150,1,136,organic,31,0.053,149850,2025-11-21T16:30:00Z,2026-05-03T10:30:00Z
151,8,153,sponsored,34,0.064,150841,2025-11-20T16:30:00Z,2026-05-03T09:30:00Z
152,15,170,ambassador,37,0.075,151832,2025-11-19T16:30:00Z,2026-05-03T08:30:00Z
153,22,187,affiliate,40,0.086,152823,2025-11-18T16:30:00Z,2026-05-03T07:30:00Z
154,29,204,competitor_mention,1,0.097,153814,2025-11-17T16:30:00Z,2026-05-03T06:30:00Z
155,36,221,organic,4,0.023,154805,2025-11-16T16:30:00Z,2026-05-03T05:30:00Z
156,43,238,sponsored,7,0.034,155796,2025-11-15T16:30:00Z,2026-05-03T04:30:00Z
157,50,255,ambassador,10,0.045,156787,2025-11-14T16:30:00Z,2026-05-03T03:30:00Z
158,7,272,affiliate,13,0.056,157778,2025-11-13T16:30:00Z,2026-05-03T02:30:00Z
159,14,289,competitor_mention,16,0.067,158769,2025-11-12T16:30:00Z,2026-05-03T01:30:00Z
160,21,306,organic,19,0.078,159760,2025-11-11T16:30:00Z,2026-05-03T00:30:00Z
161,28,323,sponsored,22,0.089,160751,2025-11-10T16:30:00Z,2026-05-02T23:30:00Z
162,35,340,ambassador,25,0.1,161742,2025-11-09T16:30:00Z,2026-05-02T22:30:00Z
163,42,357,affiliate,28,0.026,162733,2025-11-08T16:30:00Z,2026-05-02T21:30:00Z
164,49,374,competitor_mention,31,0.037,163724,2025-11-07T16:30:00Z,2026-05-02T20:30:00Z
165,6,391,organic,34,0.048,164715,2025-11-06T16:30:00Z,2026-05-02T19:30:00Z
166,13,408,sponsored,37,0.059,165706,2025-11-05T16:30:00Z,2026-05-02T18:30:00Z
167,20,425,ambassador,40,0.07,1697,2025-11-04T16:30:00Z,2026-05-02T17:30:00Z
168,27,442,affiliate,1,0.081,2688,2025-11-03T16:30:00Z,2026-05-02T16:30:00Z
169,34,459,competitor_mention,4,0.092,3679,2025-11-02T16:30:00Z,2026-05-02T15:30:00Z
170,41,476,organic,7,0.018,4670,2025-11-01T16:30:00Z,2026-05-02T14:30:00Z
171,48,10,sponsored,10,0.029,5661,2025-10-31T16:30:00Z,2026-05-02T13:30:00Z
172,5,27,ambassador,13,0.04,6652,2025-10-30T16:30:00Z,2026-05-02T12:30:00Z
173,12,44,affiliate,16,0.051,7643,2025-10-29T16:30:00Z,2026-05-02T11:30:00Z
174,19,61,competitor_mention,19,0.062,8634,2025-10-28T16:30:00Z,2026-05-02T10:30:00Z
175,26,78,organic,22,0.073,9625,2025-10-27T16:30:00Z,2026-05-02T09:30:00Z
176,33,95,sponsored,25,0.084,10616,2025-10-26T16:30:00Z,2026-05-02T08:30:00Z
177,40,112,ambassador,28,0.095,11607,2025-10-25T16:30:00Z,2026-05-02T07:30:00Z
178,47,129,affiliate,31,0.021,12598,2025-10-24T16:30:00Z,2026-05-02T06:30:00Z
179,4,146,competitor_mention,34,0.032,13589,2025-10-23T16:30:00Z,2026-05-02T05:30:00Z
180,11,163,organic,37,0.043,14580,2025-10-22T16:30:00Z,2026-05-02T04:30:00Z
181,18,180,sponsored,40,0.054,15571,2025-10-21T16:30:00Z,2026-05-02T03:30:00Z
182,25,197,ambassador,1,0.065,16562,2025-10-20T16:30:00Z,2026-05-02T02:30:00Z
183,32,214,affiliate,4,0.076,17553,2025-10-19T16:30:00Z,2026-05-02T01:30:00Z
184,39,231,competitor_mention,7,0.087,18544,2025-10-18T16:30:00Z,2026-05-02T00:30:00Z
185,46,248,organic,10,0.098,19535,2025-10-17T16:30:00Z,2026-05-01T23:30:00Z
186,3,265,sponsored,13,0.024,20526,2025-10-16T16:30:00Z,2026-05-01T22:30:00Z
187,10,282,ambassador,16,0.035,21517,2025-10-15T16:30:00Z,2026-05-01T21:30:00Z
188,17,299,affiliate,19,0.046,22508,2025-10-14T16:30:00Z,2026-05-01T20:30:00Z
189,24,316,competitor_mention,22,0.057,23499,2025-10-13T16:30:00Z,2026-05-01T19:30:00Z
190,31,333,organic,25,0.068,24490,2025-10-12T16:30:00Z,2026-05-01T18:30:00Z
191,38,350,sponsored,28,0.079,25481,2025-10-11T16:30:00Z,2026-05-01T17:30:00Z
192,45,367,ambassador,31,0.09,26472,2025-10-10T16:30:00Z,2026-05-05T16:30:00Z
193,2,384,affiliate,34,0.101,27463,2025-10-09T16:30:00Z,2026-05-05T15:30:00Z
194,9,401,competitor_mention,37,0.027,28454,2025-10-08T16:30:00Z,2026-05-05T14:30:00Z
195,16,418,organic,40,0.038,29445,2025-10-07T16:30:00Z,2026-05-05T13:30:00Z
196,23,435,sponsored,1,0.049,30436,2025-10-06T16:30:00Z,2026-05-05T12:30:00Z
197,30,452,ambassador,4,0.06,31427,2025-10-05T16:30:00Z,2026-05-05T11:30:00Z
198,37,469,affiliate,7,0.071,32418,2025-10-04T16:30:00Z,2026-05-05T10:30:00Z
199,44,3,competitor_mention,10,0.082,33409,2025-10-03T16:30:00Z,2026-05-05T09:30:00Z
200,1,20,organic,13,0.093,34400,2025-10-02T16:30:00Z,2026-05-05T08:30:00Z
201,8,37,sponsored,16,0.019,35391,2025-10-01T16:30:00Z,2026-05-05T07:30:00Z
202,15,54,ambassador,19,0.03,36382,2025-09-30T16:30:00Z,2026-05-05T06:30:00Z
203,22,71,affiliate,22,0.041,37373,2025-09-29T16:30:00Z,2026-05-05T05:30:00Z
204,29,88,competitor_mention,25,0.052,38364,2025-09-28T16:30:00Z,2026-05-05T04:30:00Z
205,36,105,organic,28,0.063,39355,2025-09-27T16:30:00Z,2026-05-05T03:30:00Z
206,43,122,sponsored,31,0.074,40346,2025-09-26T16:30:00Z,2026-05-05T02:30:00Z
207,50,139,ambassador,34,0.085,41337,2025-09-25T16:30:00Z,2026-05-05T01:30:00Z
208,7,156,affiliate,37,0.096,42328,2025-09-24T16:30:00Z,2026-05-05T00:30:00Z
209,14,173,competitor_mention,40,0.022,43319,2025-09-23T16:30:00Z,2026-05-04T23:30:00Z
210,21,190,organic,1,0.033,44310,2025-09-22T16:30:00Z,2026-05-04T22:30:00Z
211,28,207,sponsored,4,0.044,45301,2025-09-21T16:30:00Z,2026-05-04T21:30:00Z
212,35,224,ambassador,7,0.055,46292,2025-09-20T16:30:00Z,2026-05-04T20:30:00Z
213,42,241,affiliate,10,0.066,47283,2025-09-19T16:30:00Z,2026-05-04T19:30:00Z
214,49,258,competitor_mention,13,0.077,48274,2025-09-18T16:30:00Z,2026-05-04T18:30:00Z
215,6,275,organic,16,0.088,49265,2025-09-17T16:30:00Z,2026-05-04T17:30:00Z
216,13,292,sponsored,19,0.099,50256,2025-09-16T16:30:00Z,2026-05-04T16:30:00Z
217,20,309,ambassador,22,0.025,51247,2025-09-15T16:30:00Z,2026-05-04T15:30:00Z
218,27,326,affiliate,25,0.036,52238,2025-09-14T16:30:00Z,2026-05-04T14:30:00Z
219,34,343,competitor_mention,28,0.047,53229,2025-09-13T16:30:00Z,2026-05-04T13:30:00Z
220,41,360,organic,31,0.058,54220,2025-09-12T16:30:00Z,2026-05-04T12:30:00Z
221,48,377,sponsored,34,0.069,55211,2025-09-11T16:30:00Z,2026-05-04T11:30:00Z
222,5,394,ambassador,37,0.08,56202,2025-09-10T16:30:00Z,2026-05-04T10:30:00Z
223,12,411,affiliate,40,0.091,57193,2025-09-09T16:30:00Z,2026-05-04T09:30:00Z
224,19,428,competitor_mention,1,0.102,58184,2025-09-08T16:30:00Z,2026-05-04T08:30:00Z
225,26,445,organic,4,0.028,59175,2025-09-07T16:30:00Z,2026-05-04T07:30:00Z
226,33,462,sponsored,7,0.039,60166,2025-09-06T16:30:00Z,2026-05-04T06:30:00Z
227,40,479,ambassador,10,0.05,61157,2025-09-05T16:30:00Z,2026-05-04T05:30:00Z
228,47,13,affiliate,13,0.061,62148,2025-09-04T16:30:00Z,2026-05-04T04:30:00Z
229,4,30,competitor_mention,16,0.072,63139,2025-09-03T16:30:00Z,2026-05-04T03:30:00Z
230,11,47,organic,19,0.083,64130,2025-09-02T16:30:00Z,2026-05-04T02:30:00Z
231,18,64,sponsored,22,0.094,65121,2025-09-01T16:30:00Z,2026-05-04T01:30:00Z
232,25,81,ambassador,25,0.02,66112,2025-08-31T16:30:00Z,2026-05-04T00:30:00Z
233,32,98,affiliate,28,0.031,67103,2025-08-30T16:30:00Z,2026-05-03T23:30:00Z
234,39,115,competitor_mention,31,0.042,68094,2025-08-29T16:30:00Z,2026-05-03T22:30:00Z
235,46,132,organic,34,0.053,69085,2025-08-28T16:30:00Z,2026-05-03T21:30:00Z
236,3,149,sponsored,37,0.064,70076,2025-08-27T16:30:00Z,2026-05-03T20:30:00Z
237,10,166,ambassador,40,0.075,71067,2025-08-26T16:30:00Z,2026-05-03T19:30:00Z
238,17,183,affiliate,1,0.086,72058,2025-08-25T16:30:00Z,2026-05-03T18:30:00Z
239,24,200,competitor_mention,4,0.097,73049,2025-08-24T16:30:00Z,2026-05-03T17:30:00Z
240,31,217,organic,7,0.023,74040,2026-04-20T16:30:00Z,2026-05-03T16:30:00Z
241,38,234,sponsored,10,0.034,75031,2026-04-19T16:30:00Z,2026-05-03T15:30:00Z
242,45,251,ambassador,13,0.045,76022,2026-04-18T16:30:00Z,2026-05-03T14:30:00Z
243,2,268,affiliate,16,0.056,77013,2026-04-17T16:30:00Z,2026-05-03T13:30:00Z
244,9,285,competitor_mention,19,0.067,78004,2026-04-16T16:30:00Z,2026-05-03T12:30:00Z
245,16,302,organic,22,0.078,78995,2026-04-15T16:30:00Z,2026-05-03T11:30:00Z
246,23,319,sponsored,25,0.089,79986,2026-04-14T16:30:00Z,2026-05-03T10:30:00Z
247,30,336,ambassador,28,0.1,80977,2026-04-13T16:30:00Z,2026-05-03T09:30:00Z
248,37,353,affiliate,31,0.026,81968,2026-04-12T16:30:00Z,2026-05-03T08:30:00Z
249,44,370,competitor_mention,34,0.037,82959,2026-04-11T16:30:00Z,2026-05-03T07:30:00Z
250,1,387,organic,37,0.048,83950,2026-04-10T16:30:00Z,2026-05-03T06:30:00Z
251,8,404,sponsored,40,0.059,84941,2026-04-09T16:30:00Z,2026-05-03T05:30:00Z
252,15,421,ambassador,1,0.07,85932,2026-04-08T16:30:00Z,2026-05-03T04:30:00Z
253,22,438,affiliate,4,0.081,86923,2026-04-07T16:30:00Z,2026-05-03T03:30:00Z
254,29,455,competitor_mention,7,0.092,87914,2026-04-06T16:30:00Z,2026-05-03T02:30:00Z
255,36,472,organic,10,0.018,88905,2026-04-05T16:30:00Z,2026-05-03T01:30:00Z
256,43,6,sponsored,13,0.029,89896,2026-04-04T16:30:00Z,2026-05-03T00:30:00Z
257,50,23,ambassador,16,0.04,90887,2026-04-03T16:30:00Z,2026-05-02T23:30:00Z
258,7,40,affiliate,19,0.051,91878,2026-04-02T16:30:00Z,2026-05-02T22:30:00Z
259,14,57,competitor_mention,22,0.062,92869,2026-04-01T16:30:00Z,2026-05-02T21:30:00Z
260,21,74,organic,25,0.073,93860,2026-03-31T16:30:00Z,2026-05-02T20:30:00Z
261,28,91,sponsored,28,0.084,94851,2026-03-30T16:30:00Z,2026-05-02T19:30:00Z
262,35,108,ambassador,31,0.095,95842,2026-03-29T16:30:00Z,2026-05-02T18:30:00Z
263,42,125,affiliate,34,0.021,96833,2026-03-28T16:30:00Z,2026-05-02T17:30:00Z
264,49,142,competitor_mention,37,0.032,97824,2026-03-27T16:30:00Z,2026-05-02T16:30:00Z
265,6,159,organic,40,0.043,98815,2026-03-26T16:30:00Z,2026-05-02T15:30:00Z
266,13,176,sponsored,1,0.054,99806,2026-03-25T16:30:00Z,2026-05-02T14:30:00Z
267,20,193,ambassador,4,0.065,100797,2026-03-24T16:30:00Z,2026-05-02T13:30:00Z
268,27,210,affiliate,7,0.076,101788,2026-03-23T16:30:00Z,2026-05-02T12:30:00Z
269,34,227,competitor_mention,10,0.087,102779,2026-03-22T16:30:00Z,2026-05-02T11:30:00Z
270,41,244,organic,13,0.098,103770,2026-03-21T16:30:00Z,2026-05-02T10:30:00Z
271,48,261,sponsored,16,0.024,104761,2026-03-20T16:30:00Z,2026-05-02T09:30:00Z
272,5,278,ambassador,19,0.035,105752,2026-03-19T16:30:00Z,2026-05-02T08:30:00Z
273,12,295,affiliate,22,0.046,106743,2026-03-18T16:30:00Z,2026-05-02T07:30:00Z
274,19,312,competitor_mention,25,0.057,107734,2026-03-17T16:30:00Z,2026-05-02T06:30:00Z
275,26,329,organic,28,0.068,108725,2026-03-16T16:30:00Z,2026-05-02T05:30:00Z
276,33,346,sponsored,31,0.079,109716,2026-03-15T16:30:00Z,2026-05-02T04:30:00Z
277,40,363,ambassador,34,0.09,110707,2026-03-14T16:30:00Z,2026-05-02T03:30:00Z
278,47,380,affiliate,37,0.101,111698,2026-03-13T16:30:00Z,2026-05-02T02:30:00Z
