forecast_id,product_id,region,forecast_date,predicted_demand,confidence_low,confidence_high,social_factor,model_version,explanation,created_at
18,1,Philadelphia Documentary Forum Market,2026-05-23,132,103,164,1.14,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
19,1,Phoenix FAST Channel Region,2026-05-24,138,108,171,1.17,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
20,1,Tampa Subscriber Winback Market,2026-05-25,144,112,179,1.2,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
21,1,Northeast Streaming Corridor,2026-05-26,150,117,186,1.23,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
22,1,Southern Sports Rights Belt,2026-05-27,130,102,161,1.05,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
23,1,West Coast Streaming Launch Belt,2026-05-28,136,106,169,1.08,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
24,1,Florida Family Watch Zone,2026-05-29,142,111,176,1.11,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
25,1,Pacific Northwest Creator Cluster,2026-05-30,148,116,184,1.14,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
26,1,Mountain West Live Event Operations Zone,2026-05-31,154,120,192,1.17,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
27,1,Texas Subscriber Monetization Arc,2026-06-01,161,125,199,1.2,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
28,1,Midwest Sports Replay Cluster,2026-06-02,167,130,207,1.23,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
29,1,Southeast Premiere Belt,2026-06-03,145,113,180,1.05,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
30,1,Las Vegas Live Event Market,2026-06-04,151,118,187,1.08,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access""],""content_asset"":""Midnight Harbor Premiere Window"",""confidence"":""high"",""alert"":""pre_position_campaign_inventory""}",2026-05-05T16:30:00Z
31,4,Southern Sports Rights Belt,2026-05-06,115,90,142,1.16,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
32,4,West Coast Streaming Launch Belt,2026-05-07,121,95,151,1.19,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
33,4,Florida Family Watch Zone,2026-05-08,128,100,159,1.22,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
34,4,Pacific Northwest Creator Cluster,2026-05-09,135,105,167,1.25,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
35,4,Mountain West Live Event Operations Zone,2026-05-10,142,111,176,1.28,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
36,4,Texas Subscriber Monetization Arc,2026-05-11,149,116,185,1.31,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
37,4,Midwest Sports Replay Cluster,2026-05-12,157,122,194,1.34,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
38,4,Southeast Premiere Belt,2026-05-13,139,109,173,1.16,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
39,4,Las Vegas Live Event Market,2026-05-14,146,114,181,1.19,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
40,4,Boston Premium Original Market,2026-05-15,154,120,191,1.22,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
41,4,Washington Trust and Safety Region,2026-05-16,161,126,200,1.25,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
42,4,Nashville Music Livestream Region,2026-05-17,169,132,210,1.28,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
43,4,San Diego Streaming Launch Market,2026-05-18,177,138,219,1.31,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
44,4,Honolulu International Drama Market,2026-05-19,185,144,229,1.34,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
45,4,Charlotte Matchday Belt,2026-05-20,164,128,203,1.16,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
46,4,Portland Indie Festival Market,2026-05-21,171,134,212,1.19,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
47,4,Philadelphia Documentary Forum Market,2026-05-22,179,140,222,1.22,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
48,4,Phoenix FAST Channel Region,2026-05-23,188,146,233,1.25,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
49,4,Tampa Subscriber Winback Market,2026-05-24,196,153,243,1.28,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
50,4,Northeast Streaming Corridor,2026-05-25,204,159,253,1.31,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
51,4,Southern Sports Rights Belt,2026-05-26,213,166,264,1.34,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
52,4,West Coast Streaming Launch Belt,2026-05-27,188,147,233,1.16,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
53,4,Florida Family Watch Zone,2026-05-28,196,153,243,1.19,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
54,4,Pacific Northwest Creator Cluster,2026-05-29,205,160,254,1.22,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
55,4,Mountain West Live Event Operations Zone,2026-05-30,214,167,265,1.25,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
56,4,Texas Subscriber Monetization Arc,2026-05-31,223,174,276,1.28,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
57,4,Midwest Sports Replay Cluster,2026-06-01,232,181,288,1.31,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
58,4,Southeast Premiere Belt,2026-06-02,241,188,299,1.34,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
59,4,Las Vegas Live Event Market,2026-06-03,212,166,263,1.16,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
60,4,Boston Premium Original Market,2026-06-04,221,173,274,1.19,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations""],""content_asset"":""Binge Night Featured Carousel"",""confidence"":""high"",""alert"":""activate_retention_offer""}",2026-05-05T16:30:00Z
61,13,West Coast Streaming Launch Belt,2026-05-06,147,115,183,1.27,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations"",""regional_ad_demand""],""content_asset"":""Sports Media Finals Watch Party"",""confidence"":""high"",""alert"":""reserve_rights_capacity""}",2026-05-05T16:30:00Z
62,13,Florida Family Watch Zone,2026-05-07,156,122,193,1.3,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations"",""regional_ad_demand""],""content_asset"":""Sports Media Finals Watch Party"",""confidence"":""high"",""alert"":""reserve_rights_capacity""}",2026-05-05T16:30:00Z
63,13,Pacific Northwest Creator Cluster,2026-05-08,165,129,205,1.33,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations"",""regional_ad_demand""],""content_asset"":""Sports Media Finals Watch Party"",""confidence"":""high"",""alert"":""reserve_rights_capacity""}",2026-05-05T16:30:00Z
64,13,Mountain West Live Event Operations Zone,2026-05-09,174,136,216,1.36,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations"",""regional_ad_demand""],""content_asset"":""Sports Media Finals Watch Party"",""confidence"":""high"",""alert"":""reserve_rights_capacity""}",2026-05-05T16:30:00Z
65,13,Texas Subscriber Monetization Arc,2026-05-10,183,143,228,1.39,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations"",""regional_ad_demand""],""content_asset"":""Sports Media Finals Watch Party"",""confidence"":""high"",""alert"":""reserve_rights_capacity""}",2026-05-05T16:30:00Z
66,13,Midwest Sports Replay Cluster,2026-05-11,193,151,239,1.42,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations"",""regional_ad_demand""],""content_asset"":""Sports Media Finals Watch Party"",""confidence"":""high"",""alert"":""reserve_rights_capacity""}",2026-05-05T16:30:00Z
67,13,Southeast Premiere Belt,2026-05-12,203,158,252,1.45,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations"",""regional_ad_demand""],""content_asset"":""Sports Media Finals Watch Party"",""confidence"":""high"",""alert"":""reserve_rights_capacity""}",2026-05-05T16:30:00Z
68,13,Las Vegas Live Event Market,2026-05-13,183,143,227,1.27,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations"",""regional_ad_demand""],""content_asset"":""Sports Media Finals Watch Party"",""confidence"":""high"",""alert"":""reserve_rights_capacity""}",2026-05-05T16:30:00Z
69,13,Boston Premium Original Market,2026-05-14,192,150,239,1.3,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations"",""regional_ad_demand""],""content_asset"":""Sports Media Finals Watch Party"",""confidence"":""high"",""alert"":""reserve_rights_capacity""}",2026-05-05T16:30:00Z
70,13,Washington Trust and Safety Region,2026-05-15,202,158,251,1.33,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations"",""regional_ad_demand""],""content_asset"":""Sports Media Finals Watch Party"",""confidence"":""high"",""alert"":""reserve_rights_capacity""}",2026-05-05T16:30:00Z
71,13,Nashville Music Livestream Region,2026-05-16,212,165,263,1.36,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations"",""regional_ad_demand""],""content_asset"":""Sports Media Finals Watch Party"",""confidence"":""high"",""alert"":""reserve_rights_capacity""}",2026-05-05T16:30:00Z
72,13,San Diego Streaming Launch Market,2026-05-17,222,173,276,1.39,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations"",""regional_ad_demand""],""content_asset"":""Sports Media Finals Watch Party"",""confidence"":""high"",""alert"":""reserve_rights_capacity""}",2026-05-05T16:30:00Z
73,13,Honolulu International Drama Market,2026-05-18,233,182,289,1.42,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations"",""regional_ad_demand""],""content_asset"":""Sports Media Finals Watch Party"",""confidence"":""high"",""alert"":""reserve_rights_capacity""}",2026-05-05T16:30:00Z
74,13,Charlotte Matchday Belt,2026-05-19,244,190,302,1.45,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations"",""regional_ad_demand""],""content_asset"":""Sports Media Finals Watch Party"",""confidence"":""high"",""alert"":""reserve_rights_capacity""}",2026-05-05T16:30:00Z
75,13,Portland Indie Festival Market,2026-05-20,218,170,271,1.27,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations"",""regional_ad_demand""],""content_asset"":""Sports Media Finals Watch Party"",""confidence"":""high"",""alert"":""reserve_rights_capacity""}",2026-05-05T16:30:00Z
76,13,Philadelphia Documentary Forum Market,2026-05-21,229,178,284,1.3,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations"",""regional_ad_demand""],""content_asset"":""Sports Media Finals Watch Party"",""confidence"":""high"",""alert"":""reserve_rights_capacity""}",2026-05-05T16:30:00Z
77,13,Phoenix FAST Channel Region,2026-05-22,239,187,297,1.33,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations"",""regional_ad_demand""],""content_asset"":""Sports Media Finals Watch Party"",""confidence"":""high"",""alert"":""reserve_rights_capacity""}",2026-05-05T16:30:00Z
78,13,Tampa Subscriber Winback Market,2026-05-23,250,195,310,1.36,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations"",""regional_ad_demand""],""content_asset"":""Sports Media Finals Watch Party"",""confidence"":""high"",""alert"":""reserve_rights_capacity""}",2026-05-05T16:30:00Z
79,13,Northeast Streaming Corridor,2026-05-24,261,204,324,1.39,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations"",""regional_ad_demand""],""content_asset"":""Sports Media Finals Watch Party"",""confidence"":""high"",""alert"":""reserve_rights_capacity""}",2026-05-05T16:30:00Z
80,13,Southern Sports Rights Belt,2026-05-25,273,213,338,1.42,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations"",""regional_ad_demand""],""content_asset"":""Sports Media Finals Watch Party"",""confidence"":""high"",""alert"":""reserve_rights_capacity""}",2026-05-05T16:30:00Z
81,13,West Coast Streaming Launch Belt,2026-05-26,284,222,352,1.45,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations"",""regional_ad_demand""],""content_asset"":""Sports Media Finals Watch Party"",""confidence"":""high"",""alert"":""reserve_rights_capacity""}",2026-05-05T16:30:00Z
82,13,Florida Family Watch Zone,2026-05-27,254,198,315,1.27,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations"",""regional_ad_demand""],""content_asset"":""Sports Media Finals Watch Party"",""confidence"":""high"",""alert"":""reserve_rights_capacity""}",2026-05-05T16:30:00Z
83,13,Pacific Northwest Creator Cluster,2026-05-28,265,207,329,1.3,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations"",""regional_ad_demand""],""content_asset"":""Sports Media Finals Watch Party"",""confidence"":""high"",""alert"":""reserve_rights_capacity""}",2026-05-05T16:30:00Z
84,13,Mountain West Live Event Operations Zone,2026-05-29,277,216,343,1.33,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations"",""regional_ad_demand""],""content_asset"":""Sports Media Finals Watch Party"",""confidence"":""high"",""alert"":""reserve_rights_capacity""}",2026-05-05T16:30:00Z
85,13,Texas Subscriber Monetization Arc,2026-05-30,288,225,358,1.36,media_signal_v2,"{""model"":""media_signal_v2"",""drivers"":[""watch_time"",""churn_risk"",""season_access"",""live_event_operations"",""regional_ad_demand""],""content_asset"":""Sports Media Finals Watch Party"",""confidence"":""high"",""alert"":""reserve_rights_capacity""}",2026-05-05T16:30:00Z
