VENDOR_SK,SOURCE_SYSTEM,SOURCE_VENDOR_ID,VENDOR_NAME,REGION,RATING,ONBOARDING_DATE,INSERT_DT,UPDATE_DT
66,Oracle Fusion,66,Vendor 66,NA,4,2025-03-26T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
67,Oracle Fusion,67,Vendor 67,NA,3.5,2024-05-22T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
68,Oracle Fusion,68,Vendor 68,APAC,4.9,2023-08-17T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
69,Oracle Fusion,69,Vendor 69,NA,3.5,2024-03-02T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
70,Oracle Fusion,70,Vendor 70,EMEA,4.2,2022-08-01T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
71,Oracle Fusion,71,Vendor 71,NA,4,2024-02-20T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
72,Oracle Fusion,72,Vendor 72,EMEA,4.6,2024-08-19T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
73,Oracle Fusion,73,Vendor 73,NA,4.4,2022-10-03T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
74,Oracle Fusion,74,Vendor 74,EMEA,2.9,2023-05-07T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
75,Oracle Fusion,75,Vendor 75,NA,4.8,2023-02-08T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
76,Oracle Fusion,76,Vendor 76,EMEA,4.5,2024-06-21T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
77,Oracle Fusion,77,Vendor 77,NA,4.6,2024-12-09T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
78,Oracle Fusion,78,Vendor 78,EMEA,3.2,2021-10-05T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
79,Oracle Fusion,79,Vendor 79,NA,4.8,2021-04-08T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
80,Oracle Fusion,80,Vendor 80,NA,3.6,2023-08-01T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
81,Oracle Fusion,81,Vendor 81,LATAM,2.9,2023-11-28T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
82,Oracle Fusion,82,Vendor 82,NA,3.6,2025-11-16T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
83,Oracle Fusion,83,Vendor 83,NA,3.4,2021-01-18T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
84,Oracle Fusion,84,Vendor 84,NA,4.8,2023-04-07T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
85,Oracle Fusion,85,Vendor 85,EMEA,3.5,2024-12-20T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
86,Oracle Fusion,86,Vendor 86,NA,4.2,2025-09-25T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
87,Oracle Fusion,87,Vendor 87,EMEA,4.9,2025-06-12T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
88,Oracle Fusion,88,Vendor 88,LATAM,4.1,2021-08-09T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
89,Oracle Fusion,89,Vendor 89,EMEA,2.9,2025-05-20T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
90,Oracle Fusion,90,Vendor 90,APAC,3.7,2024-08-17T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
91,Oracle Fusion,91,Vendor 91,NA,4.3,2023-09-24T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
92,Oracle Fusion,92,Vendor 92,APAC,3.2,2022-10-15T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
93,Oracle Fusion,93,Vendor 93,LATAM,3.7,2022-10-06T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
94,Oracle Fusion,94,Vendor 94,NA,3.8,2023-02-06T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
95,Oracle Fusion,95,Vendor 95,NA,3.6,2022-12-18T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
96,Oracle Fusion,96,Vendor 96,EMEA,4,2024-02-11T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
97,Oracle Fusion,97,Vendor 97,EMEA,3.9,2021-03-06T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
98,Oracle Fusion,98,Vendor 98,NA,4.9,2025-08-19T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
99,Oracle Fusion,99,Vendor 99,EMEA,3.5,2021-10-26T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
100,Oracle Fusion,100,Vendor 100,NA,3.1,2025-07-24T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
101,Oracle Fusion,101,Vendor 101,LATAM,3.3,2025-12-19T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
102,Oracle Fusion,102,Vendor 102,NA,4.6,2021-07-04T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
103,Oracle Fusion,103,Vendor 103,EMEA,3.8,2024-11-27T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
104,Oracle Fusion,104,Vendor 104,NA,4.4,2024-11-14T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
105,Oracle Fusion,105,Vendor 105,LATAM,4.9,2024-09-11T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
106,Oracle Fusion,106,Vendor 106,NA,3.2,2025-09-07T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
107,Oracle Fusion,107,Vendor 107,NA,3.5,2021-09-02T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
108,Oracle Fusion,108,Vendor 108,LATAM,4.2,2021-02-20T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
109,Oracle Fusion,109,Vendor 109,APAC,4.8,2025-12-28T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
110,Oracle Fusion,110,Vendor 110,EMEA,4.7,2025-07-18T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
111,Oracle Fusion,111,Vendor 111,EMEA,4.5,2022-01-07T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
112,Oracle Fusion,112,Vendor 112,APAC,4.4,2021-01-08T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
113,Oracle Fusion,113,Vendor 113,NA,4.2,2021-12-13T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
114,Oracle Fusion,114,Vendor 114,APAC,3.2,2024-11-12T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
115,Oracle Fusion,115,Vendor 115,LATAM,4.7,2023-09-24T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
116,Oracle Fusion,116,Vendor 116,NA,4.4,2022-12-20T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
117,Oracle Fusion,117,Vendor 117,NA,3.5,2024-08-22T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
118,Oracle Fusion,118,Vendor 118,EMEA,4.2,2023-10-31T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
119,Oracle Fusion,119,Vendor 119,APAC,4.5,2022-02-20T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
120,Oracle Fusion,120,Vendor 120,NA,3.5,2023-08-04T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
121,Oracle Fusion,121,Vendor 121,NA,3.8,2022-06-07T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
122,Oracle Fusion,122,Vendor 122,NA,4.2,2022-05-22T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
123,Oracle Fusion,123,Vendor 123,NA,4,2022-10-03T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
124,Oracle Fusion,124,Vendor 124,APAC,4.7,2022-02-12T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
125,Oracle Fusion,125,Vendor 125,APAC,3.4,2024-01-20T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
126,Oracle Fusion,126,Vendor 126,NA,4.6,2025-11-14T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
127,Oracle Fusion,127,Vendor 127,EMEA,3.5,2024-03-02T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
128,Oracle Fusion,128,Vendor 128,LATAM,4.3,2022-11-22T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
129,Oracle Fusion,129,Vendor 129,APAC,4.2,2025-09-25T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
130,Oracle Fusion,130,Vendor 130,APAC,2.8,2023-02-09T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
131,Oracle Fusion,131,Vendor 131,NA,3.2,2021-07-08T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
132,Oracle Fusion,132,Vendor 132,NA,3.9,2022-12-02T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
133,Oracle Fusion,133,Vendor 133,NA,4.9,2021-06-22T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
134,Oracle Fusion,134,Vendor 134,APAC,3.3,2023-01-26T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
135,Oracle Fusion,135,Vendor 135,APAC,3.3,2024-04-16T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
136,Oracle Fusion,136,Vendor 136,APAC,3,2023-12-09T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
137,Oracle Fusion,137,Vendor 137,NA,3.5,2025-02-06T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
138,Oracle Fusion,138,Vendor 138,NA,3.2,2024-05-12T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
139,Oracle Fusion,139,Vendor 139,EMEA,4.8,2021-03-31T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
140,Oracle Fusion,140,Vendor 140,NA,4.4,2025-08-16T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
141,Oracle Fusion,141,Vendor 141,LATAM,5,2021-09-13T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
142,Oracle Fusion,142,Vendor 142,APAC,3.1,2025-02-10T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
143,Oracle Fusion,143,Vendor 143,NA,4.2,2021-01-28T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
144,Oracle Fusion,144,Vendor 144,APAC,4.3,2025-05-28T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
145,Oracle Fusion,145,Vendor 145,LATAM,3.5,2023-07-10T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
146,Oracle Fusion,146,Vendor 146,APAC,4.8,2025-10-25T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
147,Oracle Fusion,147,Vendor 147,EMEA,4.9,2022-11-01T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
148,Oracle Fusion,148,Vendor 148,EMEA,4.9,2022-03-24T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
149,Oracle Fusion,149,Vendor 149,NA,3.5,2021-08-05T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
150,Oracle Fusion,150,Vendor 150,EMEA,3,2024-03-07T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
151,Oracle Fusion,151,Vendor 151,NA,4.4,2025-09-30T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
152,Oracle Fusion,152,Vendor 152,NA,4.8,2024-06-11T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
153,Oracle Fusion,153,Vendor 153,NA,3.2,2025-06-07T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
154,Oracle Fusion,154,Vendor 154,EMEA,4.7,2025-08-19T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
155,Oracle Fusion,155,Vendor 155,NA,2.9,2024-04-29T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
156,Oracle Fusion,156,Vendor 156,NA,3.8,2024-04-28T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
157,Oracle Fusion,157,Vendor 157,EMEA,3.1,2025-05-13T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
158,Oracle Fusion,158,Vendor 158,NA,4.1,2022-09-15T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
159,Oracle Fusion,159,Vendor 159,NA,2.8,2021-12-23T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
160,Oracle Fusion,160,Vendor 160,NA,3.6,2022-12-07T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
161,Oracle Fusion,161,Vendor 161,APAC,3.4,2022-07-21T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
162,Oracle Fusion,162,Vendor 162,LATAM,3.4,2022-06-23T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
163,Oracle Fusion,163,Vendor 163,APAC,4.2,2021-09-25T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
164,Oracle Fusion,164,Vendor 164,EMEA,4.9,2025-12-13T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
165,Oracle Fusion,165,Vendor 165,EMEA,3.9,2021-04-10T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
166,Oracle Fusion,166,Vendor 166,NA,4.8,2023-09-15T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
167,Oracle Fusion,167,Vendor 167,EMEA,3.4,2025-10-05T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
168,Oracle Fusion,168,Vendor 168,NA,2.9,2023-12-25T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
169,Oracle Fusion,169,Vendor 169,EMEA,4.6,2025-04-13T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
170,Oracle Fusion,170,Vendor 170,EMEA,3.8,2024-08-31T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
171,Oracle Fusion,171,Vendor 171,APAC,4.5,2021-04-13T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
172,Oracle Fusion,172,Vendor 172,NA,3.2,2025-09-11T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
173,Oracle Fusion,173,Vendor 173,NA,2.9,2024-11-14T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
174,Oracle Fusion,174,Vendor 174,NA,4,2023-10-21T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
175,Oracle Fusion,175,Vendor 175,NA,4.7,2022-07-27T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
