LOCATION_GEO,STORE_SK,SOURCE_SYSTEM,SOURCE_STORE_ID,LOCATION,MANAGER_NAME,CHANNEL_TYPE,STORE_TYPE,OPENED_DATE,INSERT_DT,UPDATE_DT
"{""point"": {""directposition"": [-75.18515, 39.95196]}, ""srid"": 4326}",16,In-Store POS,16,"8822 Lake Ct, Philadelphia, PA 19104",Reese Lopez,RETAIL,SMALL,2021-06-27T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-121.85976, 37.37831]}, ""srid"": 4326}",17,In-Store POS,17,"7641 Elm Dr, San Jose, CA 95113",Avery Hall,OUTLET,SMALL,2023-12-03T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-75.18098, 39.94982]}, ""srid"": 4326}",18,In-Store POS,18,"1424 Riverside Pl, Philadelphia, PA 19102",Parker Allen,FLAGSHIP,SMALL,2023-08-20T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-112.08014, 33.49264]}, ""srid"": 4326}",19,In-Store POS,19,"3820 Hawthorn Dr, Phoenix, AZ 85012",Rowan Hall,RETAIL,SMALL,2021-12-12T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-97.73997, 30.28153]}, ""srid"": 4326}",20,In-Store POS,20,"5466 Center Ave, Austin, TX 78704",Casey Smith,RETAIL,SMALL,2025-10-28T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-112.03005, 33.47187]}, ""srid"": 4326}",21,In-Store POS,21,"9336 Cherry Pl, Phoenix, AZ 85008",Quinn Lopez,RETAIL,SMALL,2025-10-02T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-117.14808, 32.75274]}, ""srid"": 4326}",22,In-Store POS,22,"2714 Washington St, San Diego, CA 92102",David Smith,OUTLET,SMALL,2024-06-01T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-97.77041, 30.29322]}, ""srid"": 4326}",23,In-Store POS,23,"2423 Cherry Ln, Austin, TX 78704",Jordan Smith,RETAIL,SMALL,2025-07-16T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-122.32902, 47.60005]}, ""srid"": 4326}",24,In-Store POS,24,"8637 Main Ln, Seattle, WA 98101",Casey Nguyen,RETAIL,SMALL,2021-04-25T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-75.64487, 39.724]}, ""srid"": 4326}",25,In-Store POS,25,"3645 Oak St, Philadelphia, PA 19103",Riley Smith,OUTLET,SMALL,2022-02-14T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-98.51267, 29.38482]}, ""srid"": 4326}",26,In-Store POS,26,"9818 Hawthorn Way, San Antonio, TX 78205",Parker Lopez,RETAIL,SMALL,2023-04-29T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-122.34279, 47.62974]}, ""srid"": 4326}",27,In-Store POS,27,"2636 Highland Dr, Seattle, WA 98104",Reese Wilson,RETAIL,SMALL,2025-05-30T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-117.14903, 32.73526]}, ""srid"": 4326}",28,In-Store POS,28,"4089 Forest Ln, San Diego, CA 92101",Robin Allen,RETAIL,SMALL,2025-07-06T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-97.33487, 32.74777]}, ""srid"": 4326}",29,In-Store POS,29,"4743 Cherry Rd, Fort Worth, TX 76102",Reese Walker,OUTLET,SMALL,2022-01-06T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-122.33854, 47.60421]}, ""srid"": 4326}",30,In-Store POS,30,"7890 Valley Way, Seattle, WA 98101",David Brown,OUTLET,SMALL,2025-09-20T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-87.64117, 41.9334]}, ""srid"": 4326}",31,In-Store POS,31,"2339 Spruce Ave, Chicago, IL 60654",Anne Allen,FLAGSHIP,SMALL,2023-07-17T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-81.65551, 30.32382]}, ""srid"": 4326}",32,In-Store POS,32,"975 Market Ln, Jacksonville, FL 32202",Dana King,RETAIL,SMALL,2021-08-13T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-97.48977632653062, 32.75552448979592]}, ""srid"": 4326}",33,In-Store POS,33,"380 Elm Dr, Fort Worth, TX 76107",Jamie Lee,RETAIL,SMALL,2021-05-23T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-81.56782, 30.22222]}, ""srid"": 4326}",34,In-Store POS,34,"4175 Pine Ln, Jacksonville, FL 32206",Quinn Hall,RETAIL,SMALL,2024-09-06T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-118.34853, 34.0354]}, ""srid"": 4326}",35,In-Store POS,35,"8722 Highland Dr, Los Angeles, CA 90013",Morgan Lewis,RETAIL,SMALL,2023-10-14T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-97.75638, 30.17784]}, ""srid"": 4326}",36,In-Store POS,36,"7995 Main Dr, Austin, TX 78704",Emerson Martin,RETAIL,SMALL,2022-12-05T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-95.41027, 30.25211]}, ""srid"": 4326}",37,In-Store POS,37,"6078 Magnolia Ct, Houston, TX 77002",David Clark,OUTLET,SMALL,2022-06-04T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-121.87327, 37.25924]}, ""srid"": 4326}",38,In-Store POS,38,"5243 Center Ave, San Jose, CA 95128",Casey Wilson,OUTLET,SMALL,2023-06-04T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-97.74716, 30.29138]}, ""srid"": 4326}",39,In-Store POS,39,"6575 Poplar Ave, Austin, TX 78704",Dana Allen,RETAIL,SMALL,2023-03-25T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-97.33595, 32.72595]}, ""srid"": 4326}",40,In-Store POS,40,"6408 Washington Pl, Fort Worth, TX 76102",Morgan Smith,RETAIL,SMALL,2024-10-20T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-86.20414, 39.7988]}, ""srid"": 4326}",41,In-Store POS,41,"9315 Spring Ln, Indianapolis, IN 46202",Rowan Smith,RETAIL,SMALL,2023-07-13T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-97.75766, 30.33774]}, ""srid"": 4326}",42,In-Store POS,42,"3810 Highland Dr, Austin, TX 78701",Jordan Walker,RETAIL,SMALL,2025-07-04T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-98.60976, 29.63173]}, ""srid"": 4326}",43,In-Store POS,43,"5944 Cedar Ln, San Antonio, TX 78230",Alex Lee,OUTLET,SMALL,2021-09-15T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-80.76774, 35.22613]}, ""srid"": 4326}",44,In-Store POS,44,"694 Birch Way, Charlotte, NC 28206",Emerson Chen,FLAGSHIP,SMALL,2025-10-25T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-118.23854, 33.96006]}, ""srid"": 4326}",45,In-Store POS,45,"4974 Elm St, Los Angeles, CA 90012",Cameron Nguyen,RETAIL,SMALL,2024-03-02T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-97.71553, 30.27377]}, ""srid"": 4326}",46,In-Store POS,46,"6875 Chestnut Rd, Austin, TX 78701",Reese Brown,OUTLET,SMALL,2024-04-24T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-117.07798, 32.68587]}, ""srid"": 4326}",47,In-Store POS,47,"2241 Hill Pl, San Diego, CA 92104",Cameron Wilson,FLAGSHIP,SMALL,2023-11-09T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-95.19182, 29.86525]}, ""srid"": 4326}",48,In-Store POS,48,"3342 Forest Ln, Houston, TX 77004",Jamie Clark,RETAIL,SMALL,2022-02-26T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-98.54219, 29.54064]}, ""srid"": 4326}",49,In-Store POS,49,"7587 Spring Dr, San Antonio, TX 78230",Riley Jones,RETAIL,SMALL,2023-10-06T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-112.03005, 33.47187]}, ""srid"": 4326}",50,In-Store POS,50,"5283 Cherry Blvd, Phoenix, AZ 85018",Emerson Smith,FLAGSHIP,SMALL,2023-10-21T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
