OPPORTUNITY_SK,OPPORTUNITY_ID,PARTNER_CUSTOMER_SK,STAGE_SK,CREATED_DATE_KEY,EXPECTED_CLOSE_DATE_KEY,AMOUNT_AMT,PROBABILITY_PCT,REGION,IS_CLOSED_FLAG,IS_WON_FLAG,SRC_SYSTEM,CREATED_TS,UPDATED_TS
731,OPP-3837,2097,2,,20261027,1515000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
732,OPP-3838,2046,3,,20260620,661000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
733,OPP-3839,2009,2,,20260716,116000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
734,OPP-3841,2069,3,,20261023,1458000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
735,OPP-3842,2048,5,,20251222,1276000,,APAC,Y,Y,SALESFORCE,2026-03-19T21:20:08.875862Z,
736,OPP-3843,2059,5,,20251016,1831000,,NA,Y,Y,SALESFORCE,2026-03-19T21:20:08.875862Z,
737,OPP-3844,2023,1,,20260913,1843000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
738,OPP-3845,2036,2,,20260421,342000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
739,OPP-3846,2027,1,,20261106,313000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
740,OPP-3847,2088,3,,20260725,858000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
741,OPP-3848,2054,3,,20261025,715000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
742,OPP-3850,2043,1,,20261118,1325000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
323,OPP-3367,2082,2,,20260518,801000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
324,OPP-3368,2077,1,,20260510,970000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
325,OPP-3372,2026,1,,20261007,26000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
326,OPP-3373,2077,4,,20260604,73000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
327,OPP-3374,2005,3,,20260522,1385000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
328,OPP-3376,2051,2,,20260824,1376000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
329,OPP-3378,2037,5,,20250921,1130000,,NA,Y,Y,SALESFORCE,2026-03-19T21:20:08.875862Z,
330,OPP-3379,2036,5,,20251125,1977000,,APAC,Y,Y,SALESFORCE,2026-03-19T21:20:08.875862Z,
331,OPP-3380,2052,2,,20261015,1909000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
332,OPP-3381,2053,3,,20260708,363000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
333,OPP-3382,2038,3,,20260403,1035000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
334,OPP-3383,2033,2,,20261114,1964000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
335,OPP-3384,2049,3,,20261009,1983000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
336,OPP-3385,2044,3,,20260629,1556000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
337,OPP-3386,2076,6,,20260219,948000,,LATAM,Y,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
338,OPP-3387,2009,1,,20260425,533000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
339,OPP-3390,2012,5,,20251031,593000,,APAC,Y,Y,SALESFORCE,2026-03-19T21:20:08.875862Z,
340,OPP-3392,2074,3,,20260825,452000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
341,OPP-3393,2095,2,,20260602,1026000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
342,OPP-3394,2034,2,,20260628,1792000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
343,OPP-3395,2032,2,,20260608,1714000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
344,OPP-3396,2014,4,,20260515,1600000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
345,OPP-3397,2001,1,,20261104,1262000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
346,OPP-3398,2080,6,,20251230,765000,,NA,Y,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
347,OPP-3399,2024,2,,20260715,1010000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
348,OPP-3400,2097,6,,20251208,459000,,APAC,Y,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
349,OPP-3401,2055,3,,20260324,1081000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
350,OPP-3402,2051,3,,20261109,716000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
351,OPP-3403,2090,5,,20251224,251000,,EMEA,Y,Y,SALESFORCE,2026-03-19T21:20:08.875862Z,
352,OPP-3404,2002,3,,20260805,1416000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
2109,OPP-5480,2024,1,,20260620,518000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
2110,OPP-5481,2060,6,,20251121,1460000,,APAC,Y,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
2111,OPP-5482,2055,5,,20251001,676000,,APAC,Y,Y,SALESFORCE,2026-03-19T21:20:08.875862Z,
2112,OPP-5484,2002,4,,20260606,378000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
2113,OPP-5485,2051,1,,20260626,336000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
2114,OPP-5486,2045,2,,20261029,995000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
2115,OPP-5487,2059,1,,20261014,444000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
2116,OPP-5488,2096,4,,20261008,246000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
2117,OPP-5489,2024,2,,20260816,1832000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
2118,OPP-5490,2071,2,,20261101,1586000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
2119,OPP-5492,2083,2,,20260831,878000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
2120,OPP-5493,2059,1,,20260414,470000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
2121,OPP-5494,2045,1,,20260726,263000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
2122,OPP-5495,2011,2,,20261006,1138000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
2123,OPP-5496,2066,3,,20260916,1684000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
2124,OPP-5497,2003,1,,20260618,1594000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
2125,OPP-5498,2100,2,,20261121,1235000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
2126,OPP-5499,2030,1,,20260829,1109000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
2127,OPP-5500,2013,5,,20251202,330000,,EMEA,Y,Y,SALESFORCE,2026-03-19T21:20:08.875862Z,
533,OPP-3614,2021,1,,20260926,370000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
534,OPP-3615,2089,5,,20260201,1358000,,APAC,Y,Y,SALESFORCE,2026-03-19T21:20:08.875862Z,
535,OPP-3616,2075,5,,20251223,1539000,,EMEA,Y,Y,SALESFORCE,2026-03-19T21:20:08.875862Z,
536,OPP-3618,2009,2,,20260907,1684000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
353,OPP-3405,2013,1,,20260907,1194000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
354,OPP-3406,2071,2,,20260707,388000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
355,OPP-3407,2079,2,,20260712,970000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
356,OPP-3408,2055,2,,20260530,1026000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
357,OPP-3409,2052,2,,20260903,752000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
358,OPP-3410,2017,2,,20260528,1175000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
359,OPP-3411,2035,3,,20260417,1481000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
360,OPP-3412,2019,2,,20260908,406000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
361,OPP-3413,2002,6,,20251228,1655000,,EMEA,Y,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
362,OPP-3414,2081,1,,20261107,280000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
363,OPP-3415,2033,3,,20261101,619000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
364,OPP-3416,2089,3,,20260916,207000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
365,OPP-3417,2033,1,,20260615,1671000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
366,OPP-3418,2043,3,,20261013,1529000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
367,OPP-3419,2072,2,,20260828,1152000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
368,OPP-3420,2016,2,,20260307,848000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
369,OPP-3421,2037,2,,20260525,1603000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
370,OPP-3423,2079,6,,20250918,785000,,LATAM,Y,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
371,OPP-3424,2022,2,,20260510,1783000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
372,OPP-3425,2079,4,,20260928,1297000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
373,OPP-3426,2021,3,,20260402,167000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
374,OPP-3427,2084,2,,20260804,653000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
375,OPP-3428,2057,2,,20260915,560000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
537,OPP-3619,2038,6,,20260116,137000,,LATAM,Y,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
538,OPP-3620,2036,3,,20260428,1427000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
539,OPP-3621,2090,2,,20261120,434000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
540,OPP-3622,2094,2,,20260421,1175000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
541,OPP-3623,2089,4,,20261030,1487000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
542,OPP-3624,2041,4,,20261001,1251000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
543,OPP-3625,2073,2,,20260502,1263000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
544,OPP-3626,2024,3,,20261104,1659000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
545,OPP-3627,2001,4,,20260723,401000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
546,OPP-3628,2016,1,,20261021,1285000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
547,OPP-3629,2053,6,,20260202,854000,,EMEA,Y,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
548,OPP-3630,2082,1,,20260823,1152000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
549,OPP-3631,2037,2,,20260608,1418000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
550,OPP-3632,2065,2,,20260801,619000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
551,OPP-3633,2088,3,,20260228,238000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
552,OPP-3634,2073,2,,20260915,1488000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
553,OPP-3635,2043,4,,20260525,402000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
554,OPP-3636,2005,2,,20261025,1637000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
555,OPP-3637,2081,4,,20261029,323000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
556,OPP-3639,2073,6,,20260109,618000,,NA,Y,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
557,OPP-3640,2003,5,,20260118,1102000,,APAC,Y,Y,SALESFORCE,2026-03-19T21:20:08.875862Z,
558,OPP-3641,2020,2,,20260825,140000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
559,OPP-3642,2081,2,,20260817,773000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
376,OPP-3429,2058,6,,20260126,1071000,,APAC,Y,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
377,OPP-3431,2096,1,,20260703,1931000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
378,OPP-3432,2051,5,,20251021,346000,,NA,Y,Y,SALESFORCE,2026-03-19T21:20:08.875862Z,
379,OPP-3433,2061,1,,20260329,1923000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
380,OPP-3434,2051,3,,20260310,1583000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
381,OPP-3435,2080,3,,20260419,542000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
382,OPP-3436,2030,1,,20260912,638000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
383,OPP-3437,2017,2,,20261009,1288000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
384,OPP-3438,2085,1,,20260311,76000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
385,OPP-3440,2090,2,,20260505,1990000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
386,OPP-3441,2096,3,,20261016,1297000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
387,OPP-3442,2082,4,,20261120,1315000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
388,OPP-3443,2070,3,,20260821,991000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
389,OPP-3444,2047,2,,20261009,635000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
390,OPP-3446,2061,1,,20260820,592000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
391,OPP-3447,2097,3,,20261103,1944000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
392,OPP-3448,2056,3,,20260301,1573000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
393,OPP-3449,2048,2,,20260228,1127000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
394,OPP-3450,2032,1,,20261006,813000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
395,OPP-3451,2034,1,,20260906,456000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
396,OPP-3452,2098,1,,20260627,1063000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
397,OPP-3453,2096,4,,20260720,1333000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
398,OPP-3454,2009,3,,20260924,390000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
560,OPP-3643,2077,3,,20260912,388000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
561,OPP-3644,2005,1,,20260805,1458000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
562,OPP-3645,2031,2,,20260410,1022000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
563,OPP-3647,2005,2,,20260423,771000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
564,OPP-3648,2065,6,,20250921,913000,,EMEA,Y,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
565,OPP-3649,2025,1,,20261108,320000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
566,OPP-3650,2100,2,,20261120,640000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
567,OPP-3651,2067,2,,20260416,1688000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
568,OPP-3652,2005,5,,20251020,1488000,,EMEA,Y,Y,SALESFORCE,2026-03-19T21:20:08.875862Z,
569,OPP-3654,2060,2,,20260410,687000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
570,OPP-3655,2085,1,,20261118,1574000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
571,OPP-3656,2098,6,,20250903,1187000,,APAC,Y,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
572,OPP-3657,2025,2,,20260808,415000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
573,OPP-3658,2057,2,,20260807,1587000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
574,OPP-3659,2021,5,,20251106,310000,,NA,Y,Y,SALESFORCE,2026-03-19T21:20:08.875862Z,
575,OPP-3660,2080,2,,20260304,1967000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
576,OPP-3661,2045,3,,20260610,1116000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
577,OPP-3662,2091,3,,20260713,294000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
578,OPP-3663,2040,2,,20260523,150000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
579,OPP-3664,2017,4,,20261010,108000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
580,OPP-3665,2050,1,,20260322,221000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
581,OPP-3666,2023,1,,20261001,807000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
582,OPP-3667,2040,5,,20260202,733000,,LATAM,Y,Y,SALESFORCE,2026-03-19T21:20:08.875862Z,
399,OPP-3455,2082,1,,20260723,231000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
400,OPP-3457,2020,3,,20260808,44000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
401,OPP-3458,2014,1,,20260531,1996000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
402,OPP-3459,2057,2,,20260430,1469000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
403,OPP-3460,2020,6,,20251027,189000,,NA,Y,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
404,OPP-3461,2054,1,,20260616,705000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
405,OPP-3462,2090,2,,20260903,954000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
406,OPP-3463,2097,1,,20260407,1732000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
407,OPP-3464,2051,1,,20260711,1593000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
408,OPP-3465,2033,1,,20260528,398000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
409,OPP-3467,2057,5,,20251205,1584000,,EMEA,Y,Y,SALESFORCE,2026-03-19T21:20:08.875862Z,
410,OPP-3468,2095,2,,20260606,948000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
411,OPP-3469,2027,6,,20260109,1368000,,NA,Y,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
412,OPP-3470,2042,3,,20260803,1922000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
413,OPP-3471,2033,1,,20261118,255000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
414,OPP-3472,2007,3,,20260606,743000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
415,OPP-3473,2082,5,,20250926,488000,,EMEA,Y,Y,SALESFORCE,2026-03-19T21:20:08.875862Z,
416,OPP-3475,2032,3,,20260915,1621000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
417,OPP-3476,2077,1,,20261026,1414000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
418,OPP-3477,2021,1,,20260411,514000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
419,OPP-3478,2098,3,,20260817,1911000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
420,OPP-3479,2083,4,,20260327,733000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
421,OPP-3480,2030,1,,20260430,1004000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
422,OPP-3481,2025,2,,20261007,1506000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
583,OPP-3668,2097,2,,20260406,1999000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
584,OPP-3669,2012,6,,20260121,274000,,LATAM,Y,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
585,OPP-3670,2040,5,,20250922,938000,,LATAM,Y,Y,SALESFORCE,2026-03-19T21:20:08.875862Z,
586,OPP-3671,2029,5,,20251227,479000,,LATAM,Y,Y,SALESFORCE,2026-03-19T21:20:08.875862Z,
587,OPP-3672,2024,1,,20260830,807000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
588,OPP-3673,2063,5,,20251120,933000,,APAC,Y,Y,SALESFORCE,2026-03-19T21:20:08.875862Z,
589,OPP-3674,2045,1,,20261026,236000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
590,OPP-3675,2099,3,,20260523,583000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
591,OPP-3676,2052,2,,20261112,215000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
592,OPP-3677,2084,5,,20251120,1143000,,NA,Y,Y,SALESFORCE,2026-03-19T21:20:08.875862Z,
593,OPP-3678,2076,1,,20261019,825000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
594,OPP-3680,2027,3,,20260330,702000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
595,OPP-3681,2044,5,,20251218,1166000,,LATAM,Y,Y,SALESFORCE,2026-03-19T21:20:08.875862Z,
596,OPP-3682,2086,3,,20260524,1362000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
597,OPP-3683,2077,1,,20260424,1217000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
598,OPP-3685,2077,1,,20260920,147000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
599,OPP-3686,2083,1,,20260811,1017000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
600,OPP-3687,2018,4,,20260412,450000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
601,OPP-3688,2020,3,,20260511,1358000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
602,OPP-3691,2045,2,,20261005,1475000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
603,OPP-3692,2017,1,,20261113,832000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
604,OPP-3693,2071,2,,20260902,1850000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
605,OPP-3694,2037,1,,20260827,229000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
606,OPP-3695,2076,1,,20261004,1443000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
607,OPP-3698,2054,1,,20260828,1725000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
