B2B_FACT_ID,PARTNER_ID,CONTRACT_ID,OPPORTUNITY_ID,REGION,MARKET_SEGMENT,ACTIVE_FROM,EXPIRES_ON,ANNUAL_CONTRACT_VALUE,PIPELINE_AMOUNT,PIPELINE_STAGE,IS_ACTIVE
72,2865,C-200067,,,SMB,2022-10-28T00:00:00Z,2023-07-18T00:00:00Z,4882298.94,,,0
73,2786,C-200068,,,ENT,2024-05-04T00:00:00Z,2025-12-17T00:00:00Z,2727768.92,,,0
74,55,C-200069,,,MID,2022-07-23T00:00:00Z,2025-03-23T00:00:00Z,1973721.04,,,0
75,2351,C-200070,,,SMB,2024-11-10T00:00:00Z,2025-12-31T00:00:00Z,1935521.28,,,0
76,3574,C-200071,,,SMB,2025-10-11T00:00:00Z,2025-12-31T00:00:00Z,4640643.22,,,0
77,3749,C-200072,,,SMB,2022-04-14T00:00:00Z,2024-12-14T00:00:00Z,2897952.87,,,0
78,1874,C-200073,,,PUBLIC,2024-05-30T00:00:00Z,2025-12-31T00:00:00Z,451976.36,,,0
79,1242,C-200074,,,SMB,2024-12-03T00:00:00Z,2025-12-31T00:00:00Z,4765155.95,,,0
80,3879,C-200075,,,MID,2023-09-26T00:00:00Z,2025-12-31T00:00:00Z,3446916.75,,,0
81,4267,C-200076,,,MID,2025-11-16T00:00:00Z,2025-12-31T00:00:00Z,4842716.57,,,0
82,1112,C-200077,,,SMB,2023-04-01T00:00:00Z,2024-12-24T00:00:00Z,1973174.17,,,0
83,2238,C-200078,,,MID,2023-02-06T00:00:00Z,2025-12-31T00:00:00Z,2403365.96,,,0
84,1366,C-200079,,,ENT,2023-10-03T00:00:00Z,2024-07-09T00:00:00Z,4935922.56,,,0
85,114,C-200080,,,MID,2024-01-30T00:00:00Z,2025-01-13T00:00:00Z,902667.94,,,0
86,4392,C-200081,,,MID,2024-10-08T00:00:00Z,2025-12-31T00:00:00Z,146470.27,,,0
87,4112,C-200082,,,SMB,2022-12-13T00:00:00Z,2025-05-09T00:00:00Z,1574600.7,,,0
88,2139,C-200083,,,SMB,2025-04-22T00:00:00Z,2025-12-31T00:00:00Z,1297324.65,,,0
89,213,C-200084,,,SMB,2023-09-05T00:00:00Z,2024-10-09T00:00:00Z,2365010.44,,,0
90,2481,C-200085,,,SMB,2025-07-03T00:00:00Z,2025-12-31T00:00:00Z,1391933.81,,,0
91,3538,C-200086,,,MID,2021-04-18T00:00:00Z,2022-08-13T00:00:00Z,240405.84,,,0
92,849,C-200087,,,SMB,2024-06-16T00:00:00Z,2025-12-31T00:00:00Z,2139876.52,,,0
93,2563,C-200088,,,SMB,2024-05-21T00:00:00Z,2025-12-31T00:00:00Z,518618.15,,,0
94,4109,C-200089,,,SMB,2023-01-07T00:00:00Z,2024-06-21T00:00:00Z,204618.42,,,0
95,1173,C-200090,,,SMB,2023-08-23T00:00:00Z,2025-07-31T00:00:00Z,1837643.35,,,0
96,1348,C-200091,,,SMB,2023-03-11T00:00:00Z,2025-05-29T00:00:00Z,690267.01,,,0
97,224,C-200092,,,MID,2023-12-20T00:00:00Z,2024-10-10T00:00:00Z,2954321.91,,,0
98,2952,C-200093,,,SMB,2023-12-04T00:00:00Z,2025-12-31T00:00:00Z,1898842.46,,,0
99,3524,C-200094,,,SMB,2024-12-09T00:00:00Z,2025-12-31T00:00:00Z,4705287.99,,,0
100,2287,C-200095,,,SMB,2023-10-01T00:00:00Z,2025-04-12T00:00:00Z,1087600.25,,,0
101,4056,C-200096,,,SMB,2022-06-02T00:00:00Z,2023-05-08T00:00:00Z,1578460.87,,,0
102,3485,C-200097,,,SMB,2025-06-10T00:00:00Z,2025-12-31T00:00:00Z,395740.95,,,0
103,1936,C-200098,,,SMB,2021-01-13T00:00:00Z,2022-06-08T00:00:00Z,2866609.68,,,0
104,3754,C-200099,,,SMB,2023-09-29T00:00:00Z,2025-12-31T00:00:00Z,683324.66,,,0
105,1741,C-200100,,,SMB,2021-11-12T00:00:00Z,2023-08-11T00:00:00Z,3018501.09,,,0
106,906,C-200101,,,SMB,2024-09-09T00:00:00Z,2025-12-31T00:00:00Z,44581.84,,,0
107,4481,C-200102,,,SMB,2021-04-19T00:00:00Z,2022-11-14T00:00:00Z,4776946.72,,,0
108,4912,C-200103,,,SMB,2021-03-08T00:00:00Z,2022-05-29T00:00:00Z,2656093.36,,,0
109,4814,C-200104,,,SMB,2024-12-01T00:00:00Z,2025-12-31T00:00:00Z,894887.46,,,0
110,3963,C-200105,,,MID,2024-12-31T00:00:00Z,2025-12-31T00:00:00Z,2399991.56,,,0
111,434,C-200106,,,ENT,2025-08-18T00:00:00Z,2025-12-31T00:00:00Z,3461835.67,,,0
112,4780,C-200107,,,MID,2024-01-18T00:00:00Z,2025-01-01T00:00:00Z,771534.3,,,0
113,1196,C-200108,,,MID,2024-03-23T00:00:00Z,2025-12-31T00:00:00Z,797905.02,,,0
114,980,C-200109,,,ENT,2023-05-20T00:00:00Z,2024-12-17T00:00:00Z,1872764.82,,,0
115,1703,C-200110,,,ENT,2021-03-26T00:00:00Z,2021-10-27T00:00:00Z,4675508.81,,,0
116,4864,C-200111,,,MID,2024-05-11T00:00:00Z,2025-10-03T00:00:00Z,2858661.93,,,0
117,3910,C-200112,,,ENT,2024-01-04T00:00:00Z,2025-12-31T00:00:00Z,4521828.84,,,0
118,4013,C-200113,,,SMB,2025-05-19T00:00:00Z,2025-12-31T00:00:00Z,4533126.62,,,0
119,3591,C-200114,,,SMB,2023-04-20T00:00:00Z,2024-03-15T00:00:00Z,2077880.11,,,0
120,1093,C-200115,,,MID,2023-07-01T00:00:00Z,2025-12-31T00:00:00Z,4792983.88,,,0
121,59,C-200116,,,ENT,2025-07-14T00:00:00Z,2025-12-31T00:00:00Z,1214624.71,,,0
122,4838,C-200117,,,SMB,2024-10-12T00:00:00Z,2025-08-10T00:00:00Z,4861008.86,,,0
123,3257,C-200118,,,SMB,2024-03-10T00:00:00Z,2025-12-29T00:00:00Z,1383043.99,,,0
124,1479,C-200119,,,SMB,2023-10-17T00:00:00Z,2025-12-31T00:00:00Z,4753379.5,,,0
125,2837,C-200120,,,SMB,2023-06-07T00:00:00Z,2025-12-31T00:00:00Z,4866539.01,,,0
126,1252,C-200121,,,SMB,2025-03-11T00:00:00Z,2025-12-31T00:00:00Z,3457130.62,,,0
127,2341,C-200122,,,SMB,2025-04-06T00:00:00Z,2025-12-31T00:00:00Z,2812400.74,,,0
128,468,C-200123,,,SMB,2023-01-12T00:00:00Z,2025-06-25T00:00:00Z,4206255.97,,,0
129,2979,C-200124,,,SMB,2023-04-08T00:00:00Z,2025-08-22T00:00:00Z,2649066.74,,,0
130,4087,C-200125,,,PUBLIC,2022-10-15T00:00:00Z,2025-06-03T00:00:00Z,1964063.86,,,0
131,3287,C-200126,,,SMB,2023-02-16T00:00:00Z,2025-06-21T00:00:00Z,1641393.57,,,0
132,3115,C-200127,,,SMB,2023-05-18T00:00:00Z,2024-11-06T00:00:00Z,3168573.52,,,0
133,4412,C-200128,,,SMB,2024-10-22T00:00:00Z,2025-12-31T00:00:00Z,4101746.45,,,0
134,2278,C-200129,,,MID,2021-01-09T00:00:00Z,2023-05-23T00:00:00Z,3456657.45,,,0
135,4906,C-200130,,,SMB,2025-05-26T00:00:00Z,2025-12-31T00:00:00Z,390676.13,,,0
136,1312,C-200131,,,MID,2023-01-25T00:00:00Z,2025-04-13T00:00:00Z,60675.43,,,0
137,2192,C-200132,,,SMB,2025-01-13T00:00:00Z,2025-12-31T00:00:00Z,2731838.36,,,0
138,430,C-200133,,,MID,2024-04-09T00:00:00Z,2025-01-23T00:00:00Z,1407208.67,,,0
139,2910,C-200134,,,MID,2022-11-02T00:00:00Z,2025-02-16T00:00:00Z,4598877.52,,,0
140,3455,C-200135,,,ENT,2024-05-05T00:00:00Z,2025-07-17T00:00:00Z,1946657.02,,,0
141,3266,C-200136,,,MID,2024-05-19T00:00:00Z,2025-12-31T00:00:00Z,3332280.88,,,0
142,1697,C-200137,,,ENT,2023-05-22T00:00:00Z,2024-03-09T00:00:00Z,1009963.83,,,0
143,3520,C-200138,,,SMB,2025-01-02T00:00:00Z,2025-09-23T00:00:00Z,1924073.88,,,0
144,1018,C-200139,,,SMB,2021-09-07T00:00:00Z,2023-02-07T00:00:00Z,3318702.7,,,0
145,1080,C-200140,,,ENT,2025-09-19T00:00:00Z,2025-12-31T00:00:00Z,4086721.45,,,0
146,1125,C-200141,,,ENT,2023-04-11T00:00:00Z,2025-07-01T00:00:00Z,4783620.71,,,0
147,1447,C-200142,,,SMB,2024-02-02T00:00:00Z,2024-11-13T00:00:00Z,2214694.63,,,0
148,4289,C-200143,,,PUBLIC,2021-02-17T00:00:00Z,2022-05-23T00:00:00Z,2292008.45,,,0
149,3928,C-200144,,,SMB,2025-06-10T00:00:00Z,2025-12-31T00:00:00Z,3658043.16,,,0
150,83,C-200145,,,SMB,2025-06-22T00:00:00Z,2025-12-31T00:00:00Z,4356419.18,,,0
151,2139,C-200146,,,SMB,2022-07-07T00:00:00Z,2024-01-08T00:00:00Z,2966121.41,,,0
152,2225,C-200147,,,SMB,2024-02-15T00:00:00Z,2025-04-12T00:00:00Z,2486232.19,,,0
153,2277,C-200148,,,SMB,2024-10-28T00:00:00Z,2025-12-31T00:00:00Z,4756211.39,,,0
154,1284,C-200149,,,MID,2022-10-11T00:00:00Z,2024-06-21T00:00:00Z,4603285.9,,,0
155,278,C-200150,,,SMB,2022-05-17T00:00:00Z,2023-09-17T00:00:00Z,1117761.62,,,0
156,1091,C-200151,,,SMB,2022-09-05T00:00:00Z,2024-10-26T00:00:00Z,1995756.65,,,0
157,298,C-200152,,,MID,2021-05-06T00:00:00Z,2022-02-21T00:00:00Z,3293037.9,,,0
158,3666,C-200153,,,SMB,2023-11-18T00:00:00Z,2025-12-31T00:00:00Z,1589109.57,,,0
159,135,C-200154,,,SMB,2024-02-23T00:00:00Z,2025-03-01T00:00:00Z,1652778.51,,,0
160,3662,C-200155,,,MID,2024-04-11T00:00:00Z,2024-10-25T00:00:00Z,3280723.02,,,0
161,3315,C-200156,,,MID,2025-05-05T00:00:00Z,2025-12-31T00:00:00Z,2718187.53,,,0
162,1318,C-200157,,,MID,2025-06-10T00:00:00Z,2025-12-31T00:00:00Z,3248676.83,,,0
163,4933,C-200158,,,SMB,2022-06-08T00:00:00Z,2023-05-28T00:00:00Z,3898421.93,,,0
164,2632,C-200159,,,SMB,2025-09-01T00:00:00Z,2025-12-31T00:00:00Z,1437377.3,,,0
165,1438,C-200160,,,MID,2025-03-15T00:00:00Z,2025-12-31T00:00:00Z,1700466.44,,,0
166,2430,C-200161,,,MID,2022-12-08T00:00:00Z,2025-01-08T00:00:00Z,31584.08,,,0
167,4075,C-200162,,,SMB,2023-12-03T00:00:00Z,2025-09-07T00:00:00Z,1465718.48,,,0
168,4635,C-200163,,,SMB,2024-10-06T00:00:00Z,2025-11-24T00:00:00Z,4552419.98,,,0
169,2328,C-200164,,,SMB,2021-01-10T00:00:00Z,2022-02-04T00:00:00Z,1736870.48,,,0
170,4465,C-200165,,,SMB,2022-05-03T00:00:00Z,2024-03-26T00:00:00Z,4789034.19,,,0
171,3651,C-200166,,,MID,2022-01-22T00:00:00Z,2022-12-11T00:00:00Z,3237937.47,,,0
172,4844,C-200167,,,SMB,2023-09-01T00:00:00Z,2025-02-05T00:00:00Z,4645002.19,,,0
173,1816,C-200168,,,MID,2024-04-24T00:00:00Z,2025-12-31T00:00:00Z,3626845.1,,,0
174,1066,C-200169,,,ENT,2022-09-21T00:00:00Z,2024-08-18T00:00:00Z,992082.36,,,0
175,2023,C-200170,,,SMB,2021-08-20T00:00:00Z,2023-06-04T00:00:00Z,4750859.88,,,0
176,1539,C-200171,,,MID,2024-03-22T00:00:00Z,2025-12-31T00:00:00Z,4553893.85,,,0
177,825,C-200172,,,MID,2021-11-26T00:00:00Z,2023-05-25T00:00:00Z,990070.09,,,0
178,2647,C-200173,,,SMB,2021-03-13T00:00:00Z,2021-12-30T00:00:00Z,3047161.17,,,0
179,4785,C-200174,,,MID,2021-04-01T00:00:00Z,2022-08-17T00:00:00Z,1653707.59,,,0
180,2922,C-200175,,,SMB,2022-12-14T00:00:00Z,2025-09-10T00:00:00Z,1120991.81,,,0
181,4819,C-200176,,,MID,2024-12-01T00:00:00Z,2025-12-31T00:00:00Z,2962526.87,,,0
182,4866,C-200177,,,SMB,2022-08-13T00:00:00Z,2023-04-24T00:00:00Z,3455532.6,,,0
183,4025,C-200178,,,PUBLIC,2025-10-02T00:00:00Z,2025-12-31T00:00:00Z,3798560.66,,,0
184,171,C-200179,,,MID,2024-03-21T00:00:00Z,2025-11-19T00:00:00Z,3593153.54,,,0
185,842,C-200180,,,SMB,2025-01-01T00:00:00Z,2025-12-31T00:00:00Z,4713270.42,,,0
186,4560,C-200181,,,SMB,2021-05-11T00:00:00Z,2022-03-28T00:00:00Z,2700575.8,,,0
187,4061,C-200182,,,SMB,2023-09-15T00:00:00Z,2025-12-31T00:00:00Z,4163556.03,,,0
188,949,C-200183,,,SMB,2022-03-09T00:00:00Z,2023-05-29T00:00:00Z,616749.08,,,0
189,1814,C-200184,,,MID,2021-10-06T00:00:00Z,2024-05-18T00:00:00Z,4138754.09,,,0
190,210,C-200185,,,SMB,2023-01-30T00:00:00Z,2025-03-18T00:00:00Z,4142927.79,,,0
191,2300,C-200186,,,SMB,2023-06-29T00:00:00Z,2025-08-14T00:00:00Z,2658280.48,,,0
192,898,C-200187,,,SMB,2023-01-15T00:00:00Z,2023-10-16T00:00:00Z,4902729.62,,,0
193,2231,C-200188,,,ENT,2021-09-21T00:00:00Z,2023-09-24T00:00:00Z,4755485.2,,,0
194,4477,C-200189,,,MID,2022-09-03T00:00:00Z,2025-03-21T00:00:00Z,3006928.01,,,0
195,4855,C-200190,,,SMB,2024-02-05T00:00:00Z,2024-10-29T00:00:00Z,2383213.89,,,0
196,2247,C-200191,,,SMB,2023-11-21T00:00:00Z,2025-12-31T00:00:00Z,341242.7,,,0
197,142,C-200192,,,SMB,2024-10-04T00:00:00Z,2025-12-31T00:00:00Z,4030150.51,,,0
198,3430,C-200193,,,SMB,2025-02-01T00:00:00Z,2025-12-31T00:00:00Z,553400.22,,,0
199,2979,C-200194,,,SMB,2023-07-09T00:00:00Z,2025-12-31T00:00:00Z,779344.24,,,0
200,2661,C-200195,,,MID,2022-07-29T00:00:00Z,2023-11-04T00:00:00Z,4040564.42,,,0
201,237,C-200196,,,SMB,2023-03-29T00:00:00Z,2023-10-17T00:00:00Z,3038217.68,,,0
202,4545,C-200197,,,ENT,2021-09-25T00:00:00Z,2023-03-18T00:00:00Z,4861499.92,,,0
203,2899,C-200198,,,SMB,2025-09-09T00:00:00Z,2025-12-31T00:00:00Z,3942661.05,,,0
204,4468,C-200199,,,ENT,2024-06-24T00:00:00Z,2025-12-31T00:00:00Z,3933926.03,,,0
205,320,C-200200,,,MID,2025-10-06T00:00:00Z,2025-12-31T00:00:00Z,4256505.26,,,0
206,1739,C-200201,,,SMB,2025-03-31T00:00:00Z,2025-10-11T00:00:00Z,3070534.77,,,0
207,4883,C-200202,,,PUBLIC,2021-07-31T00:00:00Z,2022-02-11T00:00:00Z,2950669.04,,,0
208,1257,C-200203,,,ENT,2025-12-19T00:00:00Z,2025-12-31T00:00:00Z,147323.7,,,0
209,1306,C-200204,,,MID,2023-07-30T00:00:00Z,2025-07-28T00:00:00Z,807002.67,,,0
210,3128,C-200205,,,SMB,2022-06-09T00:00:00Z,2024-11-10T00:00:00Z,251537.44,,,0
211,3284,C-200206,,,SMB,2023-03-16T00:00:00Z,2024-09-14T00:00:00Z,1777282.57,,,0
212,3404,C-200207,,,MID,2024-06-05T00:00:00Z,2025-05-12T00:00:00Z,361405.31,,,0
213,1426,C-200208,,,SMB,2021-08-13T00:00:00Z,2024-05-21T00:00:00Z,2208628.94,,,0
214,4394,C-200209,,,SMB,2025-08-26T00:00:00Z,2025-12-31T00:00:00Z,25254.02,,,0
215,1544,C-200210,,,SMB,2025-10-30T00:00:00Z,2025-12-31T00:00:00Z,4749440.85,,,0
216,1609,C-200211,,,ENT,2022-11-30T00:00:00Z,2025-09-07T00:00:00Z,1094068.77,,,0
217,453,C-200212,,,SMB,2022-08-08T00:00:00Z,2025-06-18T00:00:00Z,1581001.43,,,0
218,3188,C-200213,,,ENT,2021-07-08T00:00:00Z,2024-05-18T00:00:00Z,1485184.96,,,0
219,2835,C-200214,,,SMB,2022-03-05T00:00:00Z,2022-11-12T00:00:00Z,1627213.47,,,0
220,3903,C-200215,,,PUBLIC,2021-12-07T00:00:00Z,2023-01-14T00:00:00Z,1626306.16,,,0
221,974,C-200216,,,SMB,2021-08-14T00:00:00Z,2022-06-03T00:00:00Z,3095792.05,,,0
222,3787,C-200217,,,SMB,2022-04-08T00:00:00Z,2023-01-31T00:00:00Z,2191360.25,,,0
223,4392,C-200218,,,MID,2023-09-22T00:00:00Z,2024-05-18T00:00:00Z,1115233.18,,,0
224,3808,C-200219,,,MID,2021-10-20T00:00:00Z,2023-09-03T00:00:00Z,2003735.87,,,0
225,4961,C-200220,,,PUBLIC,2022-01-15T00:00:00Z,2023-04-07T00:00:00Z,1221550.49,,,0
226,294,C-200221,,,SMB,2021-07-11T00:00:00Z,2022-12-27T00:00:00Z,2330487.05,,,0
227,770,C-200222,,,ENT,2023-03-08T00:00:00Z,2023-12-17T00:00:00Z,4677514.97,,,0
228,2496,C-200223,,,MID,2023-06-27T00:00:00Z,2025-12-31T00:00:00Z,3189542.7,,,0
229,3873,C-200224,,,SMB,2021-06-26T00:00:00Z,2022-07-03T00:00:00Z,765246.27,,,0
230,3106,C-200225,,,SMB,2021-12-01T00:00:00Z,2023-04-15T00:00:00Z,1685688.72,,,0
231,4203,C-200226,,,SMB,2021-01-21T00:00:00Z,2023-12-25T00:00:00Z,4407424.28,,,0
232,1775,C-200227,,,SMB,2021-03-11T00:00:00Z,2022-07-03T00:00:00Z,32024.83,,,0
233,1620,C-200228,,,MID,2022-04-30T00:00:00Z,2024-08-16T00:00:00Z,1177304.26,,,0
234,1909,C-200229,,,SMB,2021-02-26T00:00:00Z,2023-08-03T00:00:00Z,810501.46,,,0
235,2219,C-200230,,,MID,2024-08-24T00:00:00Z,2025-05-15T00:00:00Z,3242361.17,,,0
236,4118,C-200231,,,MID,2021-03-14T00:00:00Z,2023-06-05T00:00:00Z,3182265.65,,,0
237,764,C-200232,,,SMB,2024-03-04T00:00:00Z,2025-01-01T00:00:00Z,319839.92,,,0
238,4174,C-200233,,,SMB,2023-11-04T00:00:00Z,2024-06-04T00:00:00Z,1899042.83,,,0
239,4938,C-200234,,,MID,2024-10-02T00:00:00Z,2025-12-31T00:00:00Z,1495889.19,,,0
240,4384,C-200235,,,PUBLIC,2023-12-04T00:00:00Z,2025-03-05T00:00:00Z,3868222.87,,,0
241,2059,C-200236,,,MID,2022-10-24T00:00:00Z,2025-09-08T00:00:00Z,3189648.58,,,0
242,776,C-200237,,,SMB,2023-04-07T00:00:00Z,2025-03-28T00:00:00Z,3868539.09,,,0
243,2105,C-200238,,,SMB,2023-05-24T00:00:00Z,2024-04-10T00:00:00Z,4605252.92,,,0
244,2194,C-200239,,,ENT,2025-01-10T00:00:00Z,2025-12-31T00:00:00Z,449302.7,,,0
245,106,C-200240,,,SMB,2021-05-19T00:00:00Z,2023-03-10T00:00:00Z,4221218,,,0
246,4919,C-200241,,,SMB,2025-11-06T00:00:00Z,2025-12-31T00:00:00Z,1329001.78,,,0
247,2068,C-200242,,,ENT,2024-08-29T00:00:00Z,2025-02-27T00:00:00Z,4366962.38,,,0
