PROCUREMENT_FACT_ID,PO_NUMBER,VENDOR_ID,VENDOR_REGION,CREATION_DATE,PO_STATUS,TOTAL_AMOUNT,VENDOR_RATING
4331,PO-104331,535,NA,2022-04-15T00:00:00Z,OPEN,198321.71,4.5
4332,PO-104332,93,LATAM,2022-12-28T00:00:00Z,OPEN,164380.91,3.7
4333,PO-104333,483,EMEA,2025-03-02T00:00:00Z,CLOSED,228957.06,3.3
4334,PO-104334,372,EMEA,2024-05-25T00:00:00Z,CLOSED,201367.14,4.4
4335,PO-104335,294,NA,2022-12-12T00:00:00Z,CLOSED,35595.95,3.8
4336,PO-104336,781,EMEA,2025-01-10T00:00:00Z,CANCELLED,137503.42,4.4
4337,PO-104337,500,APAC,2024-11-02T00:00:00Z,APPROVED,117681.78,4
4338,PO-104338,529,NA,2024-11-20T00:00:00Z,OPEN,237495.71,4.4
4339,PO-104339,101,LATAM,2021-08-18T00:00:00Z,CLOSED,30211.58,3.3
4340,PO-104340,668,NA,2023-08-29T00:00:00Z,CLOSED,71307.65,3.1
4341,PO-104341,981,NA,2023-05-08T00:00:00Z,OPEN,248278.43,3.8
4342,PO-104342,334,APAC,2024-06-08T00:00:00Z,OPEN,239500.73,4.6
4343,PO-104343,471,NA,2025-09-25T00:00:00Z,CLOSED,20419.92,4
4344,PO-104344,660,EMEA,2022-12-25T00:00:00Z,CLOSED,112472.26,4.7
4345,PO-104345,298,APAC,2023-10-25T00:00:00Z,OPEN,60664.6,3.9
4346,PO-104346,641,NA,2023-08-21T00:00:00Z,CLOSED,55451,3.1
4347,PO-104347,835,NA,2022-11-29T00:00:00Z,CLOSED,3273.38,3.6
4348,PO-104348,512,APAC,2021-05-19T00:00:00Z,APPROVED,163447.51,3.4
4349,PO-104349,131,NA,2024-12-01T00:00:00Z,APPROVED,231061.41,3.2
4350,PO-104350,368,EMEA,2023-12-01T00:00:00Z,CLOSED,64041.33,3.2
4351,PO-104351,67,NA,2024-11-21T00:00:00Z,CLOSED,198775,3.5
4352,PO-104352,499,NA,2021-06-08T00:00:00Z,CLOSED,18387.37,4.9
4353,PO-104353,716,EMEA,2022-11-29T00:00:00Z,OPEN,223137.48,3.1
4354,PO-104354,665,APAC,2022-12-12T00:00:00Z,APPROVED,140839.03,4.1
4355,PO-104355,926,EMEA,2024-08-01T00:00:00Z,CLOSED,137890.27,4.2
4356,PO-104356,634,APAC,2023-11-15T00:00:00Z,CANCELLED,167171.94,3.9
4357,PO-104357,577,EMEA,2023-08-05T00:00:00Z,APPROVED,129131.54,4.2
4358,PO-104358,699,EMEA,2023-06-17T00:00:00Z,APPROVED,23801.9,3.6
4359,PO-104359,994,NA,2023-11-20T00:00:00Z,APPROVED,142597.32,4.3
4360,PO-104360,726,NA,2021-12-06T00:00:00Z,OPEN,74934.86,2.9
4361,PO-104361,977,NA,2024-07-23T00:00:00Z,OPEN,204339.77,3.3
4362,PO-104362,70,EMEA,2023-11-16T00:00:00Z,OPEN,39814.62,4.2
4363,PO-104363,389,APAC,2024-12-23T00:00:00Z,OPEN,10835.18,3.3
4364,PO-104364,476,EMEA,2022-03-27T00:00:00Z,APPROVED,245686.38,3.3
4365,PO-104365,294,NA,2024-03-05T00:00:00Z,OPEN,201486.36,3.8
4366,PO-104366,612,NA,2022-10-12T00:00:00Z,CANCELLED,204078.85,2.9
4367,PO-104367,707,APAC,2024-05-22T00:00:00Z,OPEN,28456.74,4.9
4368,PO-104368,296,EMEA,2025-12-20T00:00:00Z,CLOSED,228374.32,4.8
4369,PO-104369,204,EMEA,2024-06-12T00:00:00Z,APPROVED,157661.43,3.1
4370,PO-104370,430,NA,2024-09-14T00:00:00Z,CLOSED,97266.79,4.1
4371,PO-104371,416,NA,2024-06-12T00:00:00Z,CLOSED,29839.97,3.5
4372,PO-104372,390,NA,2023-07-04T00:00:00Z,APPROVED,98882.91,3.3
4373,PO-104373,289,EMEA,2023-07-18T00:00:00Z,OPEN,6651.37,4.7
4374,PO-104374,631,EMEA,2021-07-18T00:00:00Z,APPROVED,49629.34,3.1
4375,PO-104375,584,EMEA,2021-12-23T00:00:00Z,APPROVED,242639.66,3
4376,PO-104376,915,NA,2025-08-31T00:00:00Z,OPEN,72932.66,3.9
4377,PO-104377,432,NA,2024-04-07T00:00:00Z,CLOSED,117185.02,4.8
4378,PO-104378,381,NA,2025-03-04T00:00:00Z,OPEN,100906.37,3
4379,PO-104379,542,NA,2025-04-03T00:00:00Z,CLOSED,168379.24,5
4380,PO-104380,642,NA,2023-11-02T00:00:00Z,CANCELLED,87971.62,2.9
4381,PO-104381,870,NA,2024-09-12T00:00:00Z,CLOSED,182083.2,4.4
4382,PO-104382,521,NA,2023-11-10T00:00:00Z,CLOSED,172703.18,4
4383,PO-104383,658,NA,2024-06-03T00:00:00Z,APPROVED,59703.81,4
4384,PO-104384,499,NA,2025-03-26T00:00:00Z,CLOSED,187563.3,4.9
4385,PO-104385,470,NA,2025-12-03T00:00:00Z,CANCELLED,115028.16,4.2
4386,PO-104386,187,APAC,2025-08-08T00:00:00Z,CLOSED,84193.11,3.3
4387,PO-104387,875,APAC,2023-12-04T00:00:00Z,OPEN,125065.87,4.9
4388,PO-104388,319,APAC,2023-02-01T00:00:00Z,APPROVED,87689.23,4.2
4389,PO-104389,283,APAC,2021-05-29T00:00:00Z,APPROVED,151039.86,4.4
4390,PO-104390,730,APAC,2023-07-03T00:00:00Z,OPEN,60340.13,3.8
4391,PO-104391,674,NA,2024-01-13T00:00:00Z,APPROVED,95568.98,4.3
4392,PO-104392,923,EMEA,2021-04-24T00:00:00Z,APPROVED,206447.79,3.5
4393,PO-104393,300,NA,2021-06-07T00:00:00Z,OPEN,205637.29,3.6
4394,PO-104394,764,NA,2025-08-17T00:00:00Z,APPROVED,46634.46,3.6
4395,PO-104395,633,APAC,2025-09-19T00:00:00Z,APPROVED,102244.96,3
4396,PO-104396,261,NA,2021-12-08T00:00:00Z,CLOSED,168788.15,3.9
4397,PO-104397,173,NA,2023-12-23T00:00:00Z,APPROVED,224862.95,2.9
4398,PO-104398,194,EMEA,2024-10-16T00:00:00Z,CLOSED,211361.23,4.1
4399,PO-104399,83,NA,2022-08-07T00:00:00Z,APPROVED,54078.28,3.4
4400,PO-104400,230,NA,2025-04-08T00:00:00Z,APPROVED,4328.08,4.4
4401,PO-104401,937,APAC,2021-08-01T00:00:00Z,OPEN,229407.35,4.7
4402,PO-104402,496,LATAM,2024-06-16T00:00:00Z,OPEN,55521.65,3.1
4403,PO-104403,806,NA,2025-09-09T00:00:00Z,CLOSED,103853.37,3.9
4404,PO-104404,154,EMEA,2023-10-29T00:00:00Z,OPEN,144469.6,4.7
4405,PO-104405,465,NA,2022-04-29T00:00:00Z,OPEN,11057.85,4.8
4406,PO-104406,866,EMEA,2021-09-28T00:00:00Z,APPROVED,146683.1,3.9
4407,PO-104407,759,EMEA,2024-04-14T00:00:00Z,OPEN,46155.06,3.6
4408,PO-104408,422,NA,2024-12-17T00:00:00Z,CLOSED,145546.59,4.8
4409,PO-104409,1,EMEA,2023-01-01T00:00:00Z,OPEN,1296.2,4.6
4410,PO-104410,131,NA,2022-08-15T00:00:00Z,OPEN,206775.09,3.2
4411,PO-104411,144,APAC,2023-02-17T00:00:00Z,APPROVED,9417.32,4.3
4412,PO-104412,793,NA,2024-06-22T00:00:00Z,CLOSED,47955.79,3.7
4413,PO-104413,786,NA,2025-11-10T00:00:00Z,APPROVED,102386.81,4.5
4414,PO-104414,625,NA,2021-04-16T00:00:00Z,OPEN,29460.65,3.8
4415,PO-104415,336,EMEA,2024-01-05T00:00:00Z,OPEN,232952.78,4.8
4416,PO-104416,924,APAC,2023-07-20T00:00:00Z,CLOSED,24232.06,3.8
4417,PO-104417,814,NA,2024-11-23T00:00:00Z,CLOSED,54194.07,3
4418,PO-104418,511,LATAM,2023-01-17T00:00:00Z,OPEN,156853.33,4.8
4419,PO-104419,145,LATAM,2021-11-03T00:00:00Z,CANCELLED,128604.13,3.5
4420,PO-104420,721,EMEA,2022-01-26T00:00:00Z,APPROVED,239244.59,3.8
4421,PO-104421,606,EMEA,2024-11-11T00:00:00Z,APPROVED,150270.82,4
4422,PO-104422,574,EMEA,2025-01-03T00:00:00Z,OPEN,161792.88,3.7
4423,PO-104423,136,APAC,2023-10-14T00:00:00Z,OPEN,126396,3
4424,PO-104424,378,APAC,2023-12-31T00:00:00Z,OPEN,199677.1,4.7
4425,PO-104425,409,NA,2022-12-08T00:00:00Z,CLOSED,135373.42,4.1
4426,PO-104426,324,NA,2025-09-12T00:00:00Z,APPROVED,87362.32,4.9
4427,PO-104427,911,EMEA,2023-09-05T00:00:00Z,CANCELLED,49282.18,4
4428,PO-104428,822,NA,2021-07-05T00:00:00Z,CLOSED,190321.06,4.8
4429,PO-104429,759,EMEA,2025-12-09T00:00:00Z,OPEN,126796.39,3.6
4430,PO-104430,220,EMEA,2022-11-30T00:00:00Z,CLOSED,51814.88,3.2
4431,PO-104431,603,EMEA,2022-04-17T00:00:00Z,OPEN,174451.07,3.8
4432,PO-104432,138,NA,2022-09-01T00:00:00Z,OPEN,57241.43,3.2
4433,PO-104433,606,EMEA,2023-07-25T00:00:00Z,OPEN,133805.81,4
4434,PO-104434,151,NA,2022-12-01T00:00:00Z,APPROVED,162812.33,4.4
4435,PO-104435,863,LATAM,2023-06-05T00:00:00Z,OPEN,211008.94,3.8
4436,PO-104436,978,NA,2022-05-15T00:00:00Z,OPEN,152489.71,3.4
4437,PO-104437,604,LATAM,2023-04-17T00:00:00Z,CLOSED,71042.8,4.4
4438,PO-104438,935,APAC,2025-08-09T00:00:00Z,CLOSED,186863.86,4.3
4439,PO-104439,634,APAC,2024-10-15T00:00:00Z,APPROVED,181368.75,3.9
4440,PO-104440,608,APAC,2021-01-14T00:00:00Z,CANCELLED,136163.12,2.9
4441,PO-104441,215,APAC,2023-01-01T00:00:00Z,OPEN,67742.72,4.3
4442,PO-104442,828,EMEA,2024-03-28T00:00:00Z,OPEN,210743.55,4.3
4443,PO-104443,765,NA,2025-06-01T00:00:00Z,APPROVED,64307.01,4.7
4444,PO-104444,162,LATAM,2025-12-14T00:00:00Z,APPROVED,134098.83,3.4
4445,PO-104445,789,NA,2025-09-10T00:00:00Z,CLOSED,7442.68,4.3
4446,PO-104446,278,NA,2023-11-27T00:00:00Z,APPROVED,231653.5,3.4
4447,PO-104447,857,NA,2022-10-19T00:00:00Z,OPEN,39862.78,3.6
4448,PO-104448,469,NA,2022-12-28T00:00:00Z,APPROVED,20802.23,3.8
4449,PO-104449,175,NA,2021-04-29T00:00:00Z,APPROVED,70907.38,4.7
4450,PO-104450,261,NA,2023-08-23T00:00:00Z,CANCELLED,32044.4,3.9
4451,PO-104451,224,APAC,2022-12-16T00:00:00Z,CLOSED,68678.82,3.5
4452,PO-104452,529,NA,2024-12-17T00:00:00Z,APPROVED,148986.93,4.4
4453,PO-104453,842,LATAM,2025-06-29T00:00:00Z,APPROVED,114600.82,3.2
4454,PO-104454,218,APAC,2022-12-01T00:00:00Z,CLOSED,61685.22,4.6
4455,PO-104455,193,NA,2024-01-18T00:00:00Z,APPROVED,134737.24,4.2
4456,PO-104456,183,APAC,2025-01-06T00:00:00Z,OPEN,235464.32,4.7
4457,PO-104457,923,EMEA,2024-02-25T00:00:00Z,CLOSED,241455.57,3.5
4458,PO-104458,860,EMEA,2025-08-30T00:00:00Z,CLOSED,14560.15,4.2
4459,PO-104459,529,NA,2024-11-04T00:00:00Z,APPROVED,201341.37,4.4
4460,PO-104460,448,EMEA,2024-09-12T00:00:00Z,CLOSED,146287.93,3.7
4461,PO-104461,990,EMEA,2022-01-23T00:00:00Z,APPROVED,140487.92,4.2
4462,PO-104462,898,NA,2024-12-07T00:00:00Z,APPROVED,84961.02,4.2
4463,PO-104463,710,NA,2025-01-13T00:00:00Z,OPEN,44253.7,3.1
4464,PO-104464,223,EMEA,2024-05-11T00:00:00Z,OPEN,202702.88,4.1
4465,PO-104465,674,NA,2021-12-28T00:00:00Z,APPROVED,147533.82,4.3
4466,PO-104466,829,NA,2023-11-16T00:00:00Z,CLOSED,49488.57,4.7
4467,PO-104467,644,NA,2023-01-13T00:00:00Z,OPEN,184322.48,3.7
4468,PO-104468,256,LATAM,2021-12-14T00:00:00Z,CLOSED,120232.2,3.6
4469,PO-104469,296,EMEA,2025-03-11T00:00:00Z,OPEN,181138.07,4.8
4470,PO-104470,587,APAC,2024-01-07T00:00:00Z,OPEN,193451.04,3.3
4471,PO-104471,754,NA,2023-09-02T00:00:00Z,OPEN,15005.83,3.6
4472,PO-104472,58,NA,2022-04-19T00:00:00Z,CLOSED,44359.93,4.4
4473,PO-104473,291,EMEA,2023-09-19T00:00:00Z,OPEN,208960.45,3.2
4474,PO-104474,104,NA,2021-08-11T00:00:00Z,APPROVED,144242.66,4.4
4475,PO-104475,845,APAC,2022-08-25T00:00:00Z,OPEN,23804.08,2.9
4476,PO-104476,685,APAC,2023-12-30T00:00:00Z,CLOSED,123208.3,4.3
4477,PO-104477,797,APAC,2024-07-05T00:00:00Z,APPROVED,113382.11,3.4
4478,PO-104478,538,NA,2024-09-19T00:00:00Z,OPEN,17191.79,3
4479,PO-104479,392,NA,2021-11-03T00:00:00Z,OPEN,24850.35,3.7
4480,PO-104480,65,EMEA,2022-11-03T00:00:00Z,APPROVED,147141.29,4.7
4481,PO-104481,561,EMEA,2022-07-12T00:00:00Z,OPEN,118584.9,4
4482,PO-104482,267,NA,2023-07-14T00:00:00Z,APPROVED,6106.29,4.1
4483,PO-104483,482,NA,2021-07-31T00:00:00Z,CLOSED,33225.77,4.5
4484,PO-104484,773,EMEA,2024-08-06T00:00:00Z,APPROVED,127739.31,2.8
4485,PO-104485,898,NA,2022-02-03T00:00:00Z,OPEN,43466.57,4.2
4486,PO-104486,116,NA,2024-12-11T00:00:00Z,OPEN,212174.06,4.4
4487,PO-104487,631,EMEA,2021-03-05T00:00:00Z,OPEN,92363.46,3.1
4488,PO-104488,915,NA,2025-08-10T00:00:00Z,APPROVED,150065.4,3.9
4489,PO-104489,465,NA,2021-05-29T00:00:00Z,OPEN,247802.4,4.8
4490,PO-104490,490,APAC,2025-03-16T00:00:00Z,CLOSED,135271.79,3.7
4491,PO-104491,516,NA,2021-06-01T00:00:00Z,APPROVED,11120.23,3.6
4492,PO-104492,87,EMEA,2025-07-29T00:00:00Z,CLOSED,32324.13,4.9
4493,PO-104493,251,NA,2021-07-08T00:00:00Z,CLOSED,115619.71,4
4494,PO-104494,934,NA,2024-12-17T00:00:00Z,OPEN,109798.56,4.7
4495,PO-104495,771,APAC,2025-11-07T00:00:00Z,OPEN,77443.79,4.1
4496,PO-104496,192,NA,2022-05-06T00:00:00Z,OPEN,237078.69,3.1
4497,PO-104497,903,EMEA,2025-11-28T00:00:00Z,OPEN,237544.54,4
4498,PO-104498,255,NA,2022-08-31T00:00:00Z,OPEN,128662.39,5
4499,PO-104499,921,EMEA,2024-10-25T00:00:00Z,APPROVED,33527.13,3
4500,PO-104500,519,EMEA,2023-11-11T00:00:00Z,OPEN,141297.88,4.3
4501,PO-104501,863,LATAM,2025-10-04T00:00:00Z,OPEN,209130.24,3.8
4502,PO-104502,672,APAC,2025-12-02T00:00:00Z,OPEN,62493.82,4.8
4503,PO-104503,896,EMEA,2021-03-01T00:00:00Z,APPROVED,124010.77,3.5
4504,PO-104504,676,LATAM,2025-04-07T00:00:00Z,APPROVED,222636.56,3.7
4505,PO-104505,140,NA,2025-10-19T00:00:00Z,APPROVED,114844.78,4.4
4506,PO-104506,318,NA,2025-09-02T00:00:00Z,APPROVED,131711.61,4.9
4507,PO-104507,763,NA,2022-05-01T00:00:00Z,OPEN,198223.23,3.2
4508,PO-104508,920,NA,2023-09-02T00:00:00Z,OPEN,212662.48,3.8
4509,PO-104509,62,APAC,2023-06-09T00:00:00Z,APPROVED,239738.78,4.8
4510,PO-104510,262,EMEA,2021-11-02T00:00:00Z,APPROVED,133501.59,3.2
4511,PO-104511,241,EMEA,2025-09-22T00:00:00Z,OPEN,232521.88,5
4512,PO-104512,806,NA,2025-04-07T00:00:00Z,CLOSED,125838.3,3.9
4513,PO-104513,33,EMEA,2024-05-13T00:00:00Z,OPEN,8669.12,3.9
4514,PO-104514,756,APAC,2023-06-28T00:00:00Z,OPEN,113928.63,4.7
4515,PO-104515,1000,LATAM,2025-07-17T00:00:00Z,CLOSED,69878.72,3
4516,PO-104516,324,NA,2024-03-06T00:00:00Z,CLOSED,145640.54,4.9
4517,PO-104517,656,APAC,2025-11-06T00:00:00Z,OPEN,116966.31,2.9
4518,PO-104518,30,EMEA,2023-11-23T00:00:00Z,OPEN,191051.59,2.9
4519,PO-104519,252,NA,2025-07-10T00:00:00Z,OPEN,26427.36,4.1
4520,PO-104520,31,NA,2023-07-23T00:00:00Z,OPEN,209258.7,3.4
4521,PO-104521,984,EMEA,2025-05-23T00:00:00Z,APPROVED,71269.35,5
4522,PO-104522,866,EMEA,2023-12-30T00:00:00Z,OPEN,196124.68,3.9
4523,PO-104523,314,NA,2024-11-23T00:00:00Z,CLOSED,66156.87,4.7
4524,PO-104524,178,NA,2021-11-16T00:00:00Z,OPEN,179244.2,4.8
4525,PO-104525,972,EMEA,2021-01-01T00:00:00Z,OPEN,150744.74,4.1
4526,PO-104526,513,NA,2022-11-25T00:00:00Z,APPROVED,227060.29,2.8
4527,PO-104527,44,APAC,2021-12-09T00:00:00Z,APPROVED,162745.85,3.4
4528,PO-104528,803,EMEA,2022-05-30T00:00:00Z,CLOSED,54241.93,3.7
4529,PO-104529,380,APAC,2025-01-31T00:00:00Z,CLOSED,208627.95,3.3
4530,PO-104530,639,NA,2023-08-26T00:00:00Z,APPROVED,72903.02,3.2
4531,PO-104531,941,NA,2022-08-05T00:00:00Z,CLOSED,46541.26,3.7
4532,PO-104532,317,NA,2025-10-18T00:00:00Z,OPEN,28683.07,3
4533,PO-104533,490,APAC,2021-06-01T00:00:00Z,OPEN,82209.64,3.7
4534,PO-104534,505,EMEA,2025-10-28T00:00:00Z,OPEN,31503.09,4.2
4535,PO-104535,639,NA,2025-11-12T00:00:00Z,CLOSED,163769.38,3.2
4536,PO-104536,334,APAC,2023-12-21T00:00:00Z,CLOSED,207820.56,4.6
4537,PO-104537,451,EMEA,2024-09-14T00:00:00Z,OPEN,72214.74,4
4538,PO-104538,325,NA,2023-01-11T00:00:00Z,OPEN,146366.37,3.4
4539,PO-104539,385,NA,2025-08-16T00:00:00Z,CLOSED,102136.24,3.3
4540,PO-104540,160,NA,2024-12-10T00:00:00Z,APPROVED,72273.72,3.6
4541,PO-104541,816,NA,2023-08-27T00:00:00Z,APPROVED,61951.17,3.8
4542,PO-104542,492,NA,2021-12-17T00:00:00Z,CANCELLED,88447.39,3.5
4543,PO-104543,871,NA,2022-02-01T00:00:00Z,APPROVED,2883.61,4.9
4544,PO-104544,50,NA,2023-02-21T00:00:00Z,CANCELLED,248492.59,4.2
4545,PO-104545,106,NA,2024-10-23T00:00:00Z,CLOSED,122651.94,3.2
4546,PO-104546,960,NA,2022-10-12T00:00:00Z,OPEN,184755.38,4.5
4547,PO-104547,926,EMEA,2023-01-16T00:00:00Z,APPROVED,208755.57,4.2
4548,PO-104548,671,NA,2022-03-10T00:00:00Z,CLOSED,106504.21,3.4
4549,PO-104549,903,EMEA,2024-12-23T00:00:00Z,APPROVED,140484.43,4
4550,PO-104550,466,NA,2021-08-03T00:00:00Z,OPEN,232847.21,2.8
4551,PO-104551,271,NA,2025-05-09T00:00:00Z,OPEN,213744.58,3.8
4552,PO-104552,406,LATAM,2022-11-24T00:00:00Z,APPROVED,232817.12,2.9
4553,PO-104553,382,EMEA,2025-03-26T00:00:00Z,APPROVED,162949.33,3.9
4554,PO-104554,98,NA,2022-12-02T00:00:00Z,APPROVED,65908.03,4.9
4555,PO-104555,57,APAC,2024-04-10T00:00:00Z,OPEN,81121.88,3
4556,PO-104556,613,NA,2024-04-02T00:00:00Z,APPROVED,129943.7,4.4
4557,PO-104557,844,NA,2025-01-20T00:00:00Z,OPEN,128619.59,4.6
4558,PO-104558,637,EMEA,2025-10-06T00:00:00Z,CLOSED,3163.93,5
4559,PO-104559,880,EMEA,2024-07-03T00:00:00Z,OPEN,174856.26,3.4
4560,PO-104560,257,APAC,2025-08-13T00:00:00Z,CLOSED,135666.87,4.2
4561,PO-104561,98,NA,2023-07-23T00:00:00Z,CLOSED,163654.99,4.9
4562,PO-104562,820,NA,2025-09-09T00:00:00Z,APPROVED,116174.74,4.7
4563,PO-104563,986,NA,2023-05-11T00:00:00Z,CLOSED,21817.69,4.1
4564,PO-104564,239,EMEA,2022-12-29T00:00:00Z,CLOSED,59401.93,4.9
4565,PO-104565,403,NA,2024-08-14T00:00:00Z,OPEN,69326.96,3.7
4566,PO-104566,845,APAC,2023-05-30T00:00:00Z,CANCELLED,77695.24,2.9
4567,PO-104567,320,APAC,2024-05-27T00:00:00Z,APPROVED,88548.9,4.1
4568,PO-104568,671,NA,2023-02-24T00:00:00Z,CLOSED,128076.6,3.4
4569,PO-104569,294,NA,2021-12-10T00:00:00Z,OPEN,64778.47,3.8
4570,PO-104570,628,NA,2022-05-27T00:00:00Z,OPEN,70992.72,3.2
4571,PO-104571,510,EMEA,2021-05-04T00:00:00Z,OPEN,123699.67,3.7
4572,PO-104572,341,EMEA,2025-07-04T00:00:00Z,CANCELLED,75705.16,3.3
4573,PO-104573,846,LATAM,2023-08-12T00:00:00Z,CLOSED,227353.38,3.6
4574,PO-104574,202,EMEA,2021-09-01T00:00:00Z,CLOSED,136114.82,3.3
4575,PO-104575,834,NA,2023-06-07T00:00:00Z,CLOSED,38672.6,3.9
4576,PO-104576,450,EMEA,2021-12-25T00:00:00Z,CLOSED,84481.31,2.9
4577,PO-104577,985,APAC,2023-12-18T00:00:00Z,OPEN,130145.87,3.5
4578,PO-104578,98,NA,2025-09-27T00:00:00Z,CLOSED,25290.11,4.9
4579,PO-104579,622,APAC,2021-11-24T00:00:00Z,APPROVED,50307.06,4.9
4580,PO-104580,377,APAC,2022-11-02T00:00:00Z,CLOSED,22632.23,3.7
4581,PO-104581,406,LATAM,2023-05-23T00:00:00Z,CANCELLED,201351.04,2.9
4582,PO-104582,522,NA,2023-07-05T00:00:00Z,CANCELLED,64092.27,4.8
4583,PO-104583,852,NA,2025-02-24T00:00:00Z,CLOSED,149465.76,4.7
4584,PO-104584,449,LATAM,2023-11-18T00:00:00Z,OPEN,3863.84,4.7
4585,PO-104585,995,NA,2022-02-09T00:00:00Z,APPROVED,127390.97,3.9
4586,PO-104586,743,NA,2025-11-13T00:00:00Z,OPEN,10171.92,4.5
4587,PO-104587,675,EMEA,2023-05-30T00:00:00Z,OPEN,6192.87,4.2
4588,PO-104588,410,NA,2023-05-12T00:00:00Z,OPEN,124754.88,3.9
4589,PO-104589,89,EMEA,2025-10-27T00:00:00Z,APPROVED,124957.59,2.9
4590,PO-104590,627,EMEA,2021-08-05T00:00:00Z,CLOSED,148335.18,3.6
4591,PO-104591,672,APAC,2021-11-20T00:00:00Z,OPEN,54349.84,4.8
4592,PO-104592,821,EMEA,2025-06-25T00:00:00Z,APPROVED,34991.21,3.1
4593,PO-104593,250,EMEA,2023-04-14T00:00:00Z,OPEN,146723.39,3.2
4594,PO-104594,295,APAC,2022-05-24T00:00:00Z,CLOSED,98105.76,4.7
4595,PO-104595,645,NA,2022-08-02T00:00:00Z,CLOSED,25801.75,4.3
4596,PO-104596,21,EMEA,2021-12-02T00:00:00Z,APPROVED,60702.85,4.1
4597,PO-104597,970,NA,2025-01-30T00:00:00Z,OPEN,226112.35,3.8
4598,PO-104598,939,NA,2023-09-30T00:00:00Z,OPEN,57139,4.3
4599,PO-104599,987,EMEA,2022-10-29T00:00:00Z,APPROVED,88889.12,4
4600,PO-104600,595,APAC,2022-12-16T00:00:00Z,OPEN,180829.01,3.8
4601,PO-104601,813,EMEA,2024-12-04T00:00:00Z,CLOSED,133199.23,3.3
4602,PO-104602,416,NA,2024-09-12T00:00:00Z,OPEN,133492.75,3.5
4603,PO-104603,57,APAC,2021-04-20T00:00:00Z,OPEN,69976.88,3
4604,PO-104604,176,APAC,2025-08-14T00:00:00Z,OPEN,3054.11,3
