PRODUCT_SK,SOURCE_SYSTEM,SOURCE_PRODUCT_ID,SKU,PRODUCT_NAME,CATEGORY,CURRENT_COST_PRICE,CURRENT_RETAIL_PRICE,INSERT_DT,UPDATE_DT
829,NetSuite,1013,SKU-101013,Summitpulse Base Layer Top 1013,ACTIVEWEAR,73.14,182.7,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
830,NetSuite,1014,SKU-101014,Velocityworks Volleyball 1014,TEAM_SPORTS,142.12,281.4,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
831,NetSuite,1015,SKU-101015,Hydrawave Base Layer Top 1015,ACTIVEWEAR,45.4,94.65,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
832,NetSuite,1016,SKU-101016,Hydrawave Cross-Training Shoe 1016,FOOTWEAR,68.51,128.71,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
833,NetSuite,1017,SKU-101017,Canyonridge Snow Helmet 1017,WINTER_SPORTS,202.84,326.34,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
834,NetSuite,1018,SKU-101018,Peakgear Bike Light Set 1018,CYCLING,96.28,170.62,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
835,NetSuite,1019,SKU-101019,Nordcrest Snow Helmet 1019,WINTER_SPORTS,256.24,444,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
836,NetSuite,1020,SKU-101020,Ironkinetic  Cross-Training  Shoe 1020,FOOTWEAR,80.67,114.85,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
837,NetSuite,1021,SKU-101021,Canyonridge Foam Roller 1021,RUNNING,186.95,359.34,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
838,NetSuite,1022,SKU-101022,Hydrawave Bike Light Set 1022,CYCLING,14.82,27.33,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
839,NetSuite,1023,SKU-101023,Summitpulse Adjustable Dumbbells 1023,,131.88,197.05,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
840,NetSuite,1024,SKU-101024,Velocityworks Badminton Set 1024,RACQUET_SPORTS,140.78,274.94,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
841,NetSuite,1025,SKU-101025,Canyonridge Basketball 1025,TEAM_SPORTS,195.11,390.17,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
842,NetSuite,1026,SKU-101026,Summitpulse Base Layer Top 1026,,60.11,144.88,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
843,NetSuite,1027,SKU-101027,Trailforge Running Shoe 1027,FOOTWEAR,117.76,167.47,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
844,NetSuite,1028,SKU-101028,Velocityworks Performance Tee 1028,ACTIVEWEAR,31.5,66.07,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
845,NetSuite,1029,SKU-101029,Trailforge Outdoor Jacket 1029,OUTDOOR,186.99,245.16,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
846,NetSuite,1030,SKU-101030,Peakgear Cycling Computer 1030,FITNESS_DEVICES,121.03,158.73,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
847,NetSuite,1031,SKU-101031,Velocityworks Performance Tee 1031,ACTIVEWEAR,29.75,55.45,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
848,NetSuite,1032,SKU-101032,Velocityworks  Resistance  Band Set 1032,STRENGTH_TRAINING,14.76,20.7,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
849,NetSuite,1033,SKU-101033,Trailforge Basketball 1033,TEAM_SPORTS,75.41,110.84,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
850,NetSuite,1034,SKU-101034,Nordcrest Climbing Harness 1034,CLIMBING,106.44,170.1,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
851,NetSuite,1035,SKU-101035,Summitpulse Weightlifting Gloves 1035,STRENGTH_TRAINING,32.46,61.62,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
852,NetSuite,1036,SKU-101036,Trailforge Performance Tee 1036,ACTIVEWEAR,56.57,103.98,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
853,NetSuite,1037,SKU-101037,Trailforge Compression     Shorts 1037,,22.56,56.07,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
854,NetSuite,1038,SKU-101038,Trailforge Hiking Boot 1038,FOOTWEAR,42.29,70.23,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
855,NetSuite,1039,SKU-101039,Trailforge Cycling Computer 1039,FITNESS_DEVICES,30.61,37.38,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
856,NetSuite,1040,SKU-101040,Summitpulse Swim Goggles 1040,WATER_SPORTS,90.14,147.05,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
857,NetSuite,1041,SKU-101041,Aerostride Gps Fitness Watch 1041,FITNESS_DEVICES,406.28,565.18,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
858,NetSuite,1042,SKU-101042,Hydrawave Cycling Jersey 1042,CYCLING,162.2,314.43,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
859,NetSuite,1043,SKU-101043,Canyonridge Helmet 1043,CYCLING,126.04,181.54,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
860,NetSuite,1044,SKU-101044,Peakgear Heart Rate Strap 1044,FITNESS_DEVICES,69.87,107.88,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
861,NetSuite,1045,SKU-101045,Velocityworks Volleyball 1045,TEAM_SPORTS,140.73,288.88,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
862,NetSuite,1046,SKU-101046,Aerostride Hiking Boot 1046,FOOTWEAR,124.74,225.95,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
863,NetSuite,1047,SKU-101047,Summitpulse Volleyball 1047,TEAM_SPORTS,100.1,192.26,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
864,NetSuite,1048,SKU-101048,Canyonridge Paddle Leash 1048,WATER_SPORTS,92.98,139.41,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
865,NetSuite,1049,SKU-101049,Trailforge Water Filter 1049,CAMPING_HIKING,31.33,56.65,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
866,NetSuite,1050,SKU-101050,Ironkinetic Training Hoodie 1050,ACTIVEWEAR,64.56,110.83,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
867,NetSuite,1051,SKU-101051,Peakgear Chalk Bag 1051,CLIMBING,11.35,23.7,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
868,NetSuite,1052,SKU-101052,Trailforge Belay Device 1052,CLIMBING,80.48,106.2,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
869,NetSuite,1053,SKU-101053,Peakgear Helmet 1053,CYCLING,167.09,276.85,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
870,NetSuite,1054,SKU-101054,Hydrawave Hydration Belt 1054,RUNNING,103.27,189.17,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
871,NetSuite,1055,SKU-101055,Peakgear Snow Helmet 1055,,129.72,168.93,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
872,NetSuite,1056,SKU-101056,Trailforge Performance Tee 1056,ACTIVEWEAR,45.82,81.3,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
873,NetSuite,1057,SKU-101057,Trailforge Grip Tape 1057,RACQUET_SPORTS,30.51,54.77,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
874,NetSuite,1058,SKU-101058,Canyonridge Tennis Racket 1058,RACQUET_SPORTS,159.45,299.66,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
875,NetSuite,1059,SKU-101059,Hydrawave Badminton Set 1059,RACQUET_SPORTS,25.02,40.16,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
876,NetSuite,1060,SKU-101060,Summitpulse Chalk Bag 1060,CLIMBING,65.42,115.18,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
877,NetSuite,1061,SKU-101061,Canyonridge Baseball Glove 1061,,167.49,288.64,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
878,NetSuite,1062,SKU-101062,Hydrawave Outdoor Jacket 1062,OUTDOOR,209.58,303.38,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
879,NetSuite,1063,SKU-101063,Summitpulse Smart Scale 1063,FITNESS_DEVICES,34.58,51.79,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
880,NetSuite,1064,SKU-101064,Canyonridge Badminton Set 1064,RACQUET_SPORTS,147.95,319.88,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
881,NetSuite,1065,SKU-101065,Velocityworks Basketball 1065,TEAM_SPORTS,56.7,102.6,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
882,NetSuite,1066,SKU-101066,Trailforge Training Hoodie 1066,ACTIVEWEAR,8.91,16.29,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
883,NetSuite,1067,SKU-101067,Summitpulse Cross-Training Shoe 1067,FOOTWEAR,64.53,96.28,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
884,NetSuite,1068,SKU-101068,Nordcrest Base Layer Pants 1068,WINTER_SPORTS,147.13,191.68,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
885,NetSuite,1069,SKU-101069,Peakgear Volleyball 1069,TEAM_SPORTS,46.92,85.9,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
886,NetSuite,1070,SKU-101070,Ironkinetic Pickleball Paddle 1070,RACQUET_SPORTS,32.79,67.89,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
887,NetSuite,1071,SKU-101071,Peakgear Electrolyte Mix 1071,,118.46,154.37,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
888,NetSuite,1072,SKU-101072,Canyonridge Repair Kit 1072,CYCLING,214.23,323.02,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
889,NetSuite,1073,SKU-101073,Aerostride Grip Tape 1073,,138.47,212.15,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
890,NetSuite,1074,SKU-101074,Velocityworks          Cross-Training     Shoe  1074,FOOTWEAR,112.39,213.08,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
891,NetSuite,1075,SKU-101075,Trailforge Smart Scale 1075,FITNESS_DEVICES,308.09,448.77,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
892,NetSuite,1076,SKU-101076,Summitpulse Volleyball 1076,TEAM_SPORTS,127.3,230.75,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
893,NetSuite,1077,SKU-101077,Canyonridge Running Shoe 1077,FOOTWEAR,72.89,129.85,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
894,NetSuite,1078,SKU-101078,Nordcrest Base Layer Top 1078,ACTIVEWEAR,46.14,95.46,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
895,NetSuite,1079,SKU-101079,Aerostride Daypack 1079,OUTDOOR,296.29,387.18,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
896,NetSuite,1080,SKU-101080,Hydrawave Reflective Vest 1080,RUNNING,181.23,296.07,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
897,NetSuite,1081,SKU-101081,Velocityworks Trekking Poles 1081,,155.49,245.06,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
898,NetSuite,1082,SKU-101082,Canyonridge Reflective Vest 1082,RUNNING,92.45,190.58,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
899,NetSuite,1083,SKU-101083,Hydrawave Helmet 1083,CYCLING,156.14,331.25,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
900,NetSuite,1084,SKU-101084,Ironkinetic Carabiner Set 1084,CLIMBING,102.56,140.88,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
901,NetSuite,1085,SKU-101085,Velocityworks Weightlifting Gloves 1085,STRENGTH_TRAINING,206.39,409.56,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
902,NetSuite,1086,SKU-101086,Trailforge Volleyball 1086,TEAM_SPORTS,13.17,22.24,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
903,NetSuite,1087,SKU-101087,Canyonridge Kettlebell 1087,STRENGTH_TRAINING,158.12,246.08,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
904,NetSuite,1088,SKU-101088,Canyonridge Base Layer Top 1088,ACTIVEWEAR,20.46,48.21,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
905,NetSuite,1089,SKU-101089,Canyonridge Pickleball Paddle 1089,RACQUET_SPORTS,91.32,154.81,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
906,NetSuite,1090,SKU-101090,Ironkinetic Performance Tee 1090,ACTIVEWEAR,59.56,121.37,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
907,NetSuite,1091,SKU-101091,Trailforge Foam Roller 1091,RUNNING,112.95,231.79,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
908,NetSuite,1092,SKU-101092,Summitpulse Tent 1092,CAMPING_HIKING,149.32,200.84,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
909,NetSuite,1093,SKU-101093,Ironkinetic Ski Goggles 1093,WINTER_SPORTS,230.33,375.52,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
910,NetSuite,1094,SKU-101094,Hydrawave Training Hoodie 1094,ACTIVEWEAR,26.28,53.58,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
911,NetSuite,1095,SKU-101095,Velocityworks Carabiner Set 1095,CLIMBING,33.14,54.99,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
912,NetSuite,1096,SKU-101096,Peakgear Training Hoodie 1096,ACTIVEWEAR,59.34,97.57,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
913,NetSuite,1097,SKU-101097,Trailforge Trail Runner 1097,FOOTWEAR,34.87,51.04,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
914,NetSuite,1098,SKU-101098,Trailforge Training Hoodie 1098,ACTIVEWEAR,27.8,59.3,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
915,NetSuite,1099,SKU-101099,Canyonridge           Electrolyte Mix  1099,NUTRITION,47.43,82.3,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
916,NetSuite,1100,SKU-101100,Hydrawave Trail Runner 1100,FOOTWEAR,85.11,173.78,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
917,NetSuite,1101,SKU-101101,Velocityworks Foam Roller 1101,RUNNING,211.24,286.69,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
918,NetSuite,1102,SKU-101102,Hydrawave Camping Stove 1102,CAMPING_HIKING,148.25,222.74,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
919,NetSuite,1103,SKU-101103,Aerostride Bike Light Set 1103,CYCLING,98.42,147.64,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
920,NetSuite,1104,SKU-101104,Ironkinetic Basketball 1104,TEAM_SPORTS,197.43,345.82,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
921,NetSuite,1105,SKU-101105,Hydrawave Trekking Poles 1105,OUTDOOR,309.99,561.02,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
922,NetSuite,1106,SKU-101106,Aerostride Baseball Glove 1106,TEAM_SPORTS,19.23,39.96,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
923,NetSuite,1107,SKU-101107,Hydrawave Heart Rate Strap 1107,FITNESS_DEVICES,132.98,201.29,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
924,NetSuite,1108,SKU-101108,Trailforge Soccer Ball 1108,TEAM_SPORTS,103.97,151.76,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
925,NetSuite,1109,SKU-101109,Aerostride Camping Stove 1109,CAMPING_HIKING,259.76,396.35,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
926,NetSuite,1110,SKU-101110,Peakgear Bike Light Set 1110,CYCLING,210.08,351.15,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
927,NetSuite,1111,SKU-101111,Canyonridge Badminton Set 1111,RACQUET_SPORTS,70.28,104.34,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
928,NetSuite,1112,SKU-101112,Hydrawave Badminton Set 1112,RACQUET_SPORTS,181.32,361.57,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
929,NetSuite,1113,SKU-101113,Aerostride Reflective Vest 1113,RUNNING,24.4,51.68,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
930,NetSuite,1114,SKU-101114,Summitpulse Cross-Training Shoe 1114,,133.87,237.49,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
931,NetSuite,1115,SKU-101115,Ironkinetic Soccer Ball 1115,TEAM_SPORTS,198.33,327.44,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
932,NetSuite,1116,SKU-101116,Peakgear Water Filter 1116,CAMPING_HIKING,233.54,436.09,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
933,NetSuite,1117,SKU-101117,Trailforge Water Filter 1117,CAMPING_HIKING,45.3,67.61,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
934,NetSuite,1118,SKU-101118,Velocityworks Bike Light Set 1118,CYCLING,98.57,183.9,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
935,NetSuite,1119,SKU-101119,Ironkinetic Cycling Jersey 1119,CYCLING,178.02,297,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
936,NetSuite,1120,SKU-101120,Summitpulse Compression Shorts 1120,ACTIVEWEAR,11.36,27.75,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
937,NetSuite,1121,SKU-101121,Aerostride Cross-Training Shoe 1121,FOOTWEAR,117.43,234.81,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
938,NetSuite,1122,SKU-101122,Aerostride Performance Tee 1122,ACTIVEWEAR,47.06,84.41,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
939,NetSuite,1123,SKU-101123,Canyonridge Trekking Poles 1123,OUTDOOR,218.09,314.72,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
940,NetSuite,1124,SKU-101124,Nordcrest Water Filter 1124,,45,79.99,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
941,NetSuite,1125,SKU-101125,Nordcrest Soccer Ball 1125,TEAM_SPORTS,95.26,187.07,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
942,NetSuite,1126,SKU-101126,Hydrawave Cross-Training Shoe 1126,FOOTWEAR,75.13,151.54,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
943,NetSuite,1127,SKU-101127,Aerostride Compression Shorts 1127,ACTIVEWEAR,69.36,160.26,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
944,NetSuite,1128,SKU-101128,Hydrawave Badminton Set 1128,RACQUET_SPORTS,116.44,159.04,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
945,NetSuite,1129,SKU-101129,Canyonridge Helmet 1129,,189.92,284.53,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
946,NetSuite,1130,SKU-101130,Canyonridge Compression Shorts 1130,ACTIVEWEAR,22.54,43.6,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
947,NetSuite,1131,SKU-101131,Hydrawave Sleeping Bag 1131,CAMPING_HIKING,155.55,248.92,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
948,NetSuite,1132,SKU-101132,Hydrawave Heart Rate Strap 1132,FITNESS_DEVICES,146.93,182.89,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
949,NetSuite,1133,SKU-101133,Nordcrest Repair Kit 1133,CYCLING,124.15,245.68,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
950,NetSuite,1134,SKU-101134,Hydrawave Reflective Vest 1134,RUNNING,133.35,283.08,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
951,NetSuite,1135,SKU-101135,Hydrawave Trekking Poles 1135,OUTDOOR,17.8,27.77,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
952,NetSuite,1136,SKU-101136,Summitpulse Hiking Boot 1136,FOOTWEAR,104.64,204.94,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
953,NetSuite,1137,SKU-101137,Hydrawave Adjustable Dumbbells 1137,STRENGTH_TRAINING,167.27,289.44,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
954,NetSuite,1138,SKU-101138,Aerostride Pickleball Paddle 1138,RACQUET_SPORTS,141.28,263.35,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
955,NetSuite,1139,SKU-101139,Peakgear Tent     1139,CAMPING_HIKING,285.77,481.24,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
956,NetSuite,1140,SKU-101140,Aerostride Resistance Band Set 1140,STRENGTH_TRAINING,63.17,115.67,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
957,NetSuite,1141,SKU-101141,Hydrawave Trekking Poles 1141,OUTDOOR,162.66,243.54,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
